date,home_team,away_team,home_score,away_score
2024-09-02,Altamura,Foggia,0.0,2.0
2024-09-02,Avellino,Giugliano,1.0,1.0
2024-09-02,Cavese,Crotone,2.0,1.0
2024-09-02,Catania_Calcio,Benevento,1.0,0.0
2024-09-07,Juventus_U23,Catania_Calcio,1.0,3.0
2024-09-07,Picerno,Casertana,0.0,0.0
2024-09-07,Messina,Taranto,4.0,1.0
2024-09-07,Crotone,Trapani,1.0,2.0
2024-09-07,Turris_Neapolis,Latina,2.0,0.0
2024-09-08,Sorrento,Altamura,2.0,1.0
2024-09-08,Avellino,Audace_Cerignola,0.0,0.0
2024-09-08,Benevento,Potenza,4.0,1.0
2024-09-08,Foggia,Monopoli,1.0,4.0
2024-09-08,Giugliano,Cavese,0.0,0.0
2024-09-13,Potenza,Sorrento,1.0,0.0
2024-09-13,Taranto,Trapani,0.0,0.0
2024-09-14,Crotone,Messina,2.0,0.0
2024-09-14,Monopoli,Juventus_U23,0.0,0.0
2024-09-14,Casertana,Turris_Neapolis,0.0,0.0
2024-09-14,Catania_Calcio,Picerno,0.0,0.0
2024-09-15,Altamura,Benevento,0.0,2.0
2024-09-15,Audace_Cerignola,Giugliano,3.0,1.0
2024-09-15,Cavese,Avellino,1.0,1.0
2024-09-16,Latina,Foggia,0.0,0.0
2024-09-20,Messina,Casertana,2.0,2.0
2024-09-21,Sorrento,Turris_Neapolis,0.0,0.0
2024-09-21,Avellino,Latina,0.0,1.0
2024-09-21,Cavese,Monopoli,0.0,1.0
2024-09-21,Taranto,Altamura,1.0,2.0
2024-09-22,Trapani,Juventus_U23,1.0,1.0
2024-09-22,Giugliano,Catania_Calcio,3.0,2.0
2024-09-22,Audace_Cerignola,Potenza,0.0,1.0
2024-09-22,Benevento,Foggia,4.0,0.0
2024-09-22,Picerno,Crotone,5.0,2.0
2024-09-24,Altamura,Cavese,0.0,0.0
2024-09-24,Casertana,Taranto,2.0,0.0
2024-09-24,Turris_Neapolis,Avellino,0.0,0.0
2024-09-25,Potenza,Trapani,1.0,5.0
2024-09-25,Catania_Calcio,Audace_Cerignola,0.0,0.0
2024-09-25,Crotone,Sorrento,1.0,2.0
2024-09-25,Foggia,Giugliano,1.0,2.0
2024-09-25,Latina,Messina,1.0,1.0
2024-09-26,Juventus_U23,Picerno,1.0,1.0
2024-09-26,Monopoli,Benevento,1.0,0.0
2024-09-28,Taranto,Sorrento,2.0,2.0
2024-09-29,Audace_Cerignola,Casertana,0.0,0.0
2024-09-29,Cavese,Latina,1.0,0.0
2024-09-29,Trapani,Turris_Neapolis,4.0,0.0
2024-09-29,Avellino,Foggia,2.0,1.0
2024-09-29,Catania_Calcio,Monopoli,1.0,0.0
2024-09-29,Giugliano,Altamura,2.0,3.0
2024-09-29,Potenza,Crotone,3.0,3.0
2024-09-30,Picerno,Messina,2.0,0.0
2024-09-30,Benevento,Juventus_U23,4.0,1.0
2024-10-04,Foggia,Taranto,2.0,0.0
2024-10-05,Juventus_U23,Potenza,2.0,3.0
2024-10-05,Altamura,Monopoli,0.0,1.0
