date,home_team,away_team,home_score,away_score
2024-09-02,Jonkoping_Sodra_IF,Norrby_IF,1,0
2024-09-02,Trollhättan_FC,Ljungskile,1,1
2024-09-07,Tvaakers_IF,Rosengard,1,2
2024-09-07,Ariana,Torslanda_IK,1,2
2024-09-07,Eskilsminne_IF,Oskarshamns_AIK,0,3
2024-09-07,Torns_IF,Ljungskile,1,0
2024-09-08,Ängelholm,Jonkoping_Sodra_IF,2,2
2024-09-08,Onsala_BK,Olympic_Malmo_BK,0,2
2024-09-08,Trollhättan_FC,Lunds_BK,0,2
2024-09-09,Norrby_IF,Falkenbergs_FF,0,1
2024-09-13,Rosengard,Ariana,0,0
2024-09-14,Ängelholm,Torns_IF,0,0
2024-09-14,Olympic_Malmo_BK,Tvaakers_IF,1,1
2024-09-14,Eskilsminne_IF,Trollhättan_FC,4,1
2024-09-14,Lunds_BK,Oskarshamns_AIK,4,2
2024-09-15,Falkenbergs_FF,Jonkoping_Sodra_IF,3,0
2024-09-15,Ljungskile,Torslanda_IK,3,2
2024-09-15,Norrby_IF,Onsala_BK,3,3
2024-09-20,Ariana,Eskilsminne_IF,0,1
2024-09-21,Falkenbergs_FF,Ljungskile,2,3
2024-09-21,Torslanda_IK,Rosengard,2,2
2024-09-21,Jonkoping_Sodra_IF,Lunds_BK,3,1
2024-09-21,Oskarshamns_AIK,Olympic_Malmo_BK,2,4
2024-09-22,Onsala_BK,Ängelholm,1,1
2024-09-22,Tvaakers_IF,Trollhättan_FC,1,1
2024-09-22,Torns_IF,Norrby_IF,2,2
2024-09-27,Trollhättan_FC,Falkenbergs_FF,3,2
2024-09-28,Eskilsminne_IF,Torns_IF,2,2
2024-09-28,Ängelholm,Torslanda_IK,2,1
2024-09-28,Lunds_BK,Onsala_BK,2,0
2024-09-28,Rosengard,Oskarshamns_AIK,0,1
2024-09-29,Ljungskile,Ariana,2,1
2024-09-29,Olympic_Malmo_BK,Jonkoping_Sodra_IF,4,1
2024-09-30,Norrby_IF,Tvaakers_IF,2,1
2024-10-04,Torns_IF,Olympic_Malmo_BK,0,3
2024-10-05,Falkenbergs_FF,Ängelholm,0,2
2024-10-05,Tvaakers_IF,Lunds_BK,0,1
2024-10-05,Jonkoping_Sodra_IF,Ljungskile,0,1
2024-10-05,Oskarshamns_AIK,Trollhättan_FC,0,1
2024-10-06,Onsala_BK,Rosengard,2,2
2024-10-06,Torslanda_IK,Eskilsminne_IF,2,0
2024-10-06,Ariana,Norrby_IF,2,1
2024-10-12,Ljungskile,Onsala_BK,2,0
2024-10-12,Eskilsminne_IF,Lunds_BK,3,1
2024-10-12,Olympic_Malmo_BK,Ariana,3,0
2024-10-12,Tvaakers_IF,Torns_IF,1,1
2024-10-12,Oskarshamns_AIK,Falkenbergs_FF,0,0
2024-10-13,Norrby_IF,Ängelholm,1,2
2024-10-13,Rosengard,Jonkoping_Sodra_IF,0,2
2024-10-14,Trollhättan_FC,Torslanda_IK,1,1
2024-10-19,Torns_IF,Rosengard,0,2
2024-10-19,Ängelholm,Trollhättan_FC,3,1
2024-10-19,Jonkoping_Sodra_IF,Eskilsminne_IF,2,1
2024-10-19,Torslanda_IK,Oskarshamns_AIK,1,0
2024-10-20,Onsala_BK,Tvaakers_IF,2,3
2024-10-20,Norrby_IF,Olympic_Malmo_BK,1,0
