date,home_team,away_team,home_score,away_score
2024-09-02,Hammarby_TFF,Stockholm_Internazionale,0,1
2024-09-07,AFC_United,United_Nordic,0,2
2024-09-07,Umea_FC,Sollentuna_United_FF,3,1
2024-09-07,Stockholm_Internazionale,Örebro_Syrianska_BK,1,0
2024-09-07,Karlbergs_BK,Täby_IS,2,2
2024-09-08,Friska_Viljor,Stocksund,3,3
2024-09-08,FBK_Karlstad,IF_Karlstad,1,1
2024-09-08,Assyriska_Föreningen,Pitea,2,1
2024-09-09,Vasalund_IF,Hammarby_TFF,3,0
2024-09-13,Stocksund,Karlbergs_BK,0,1
2024-09-13,Täby_IS,Stockholm_Internazionale,0,2
2024-09-14,Sollentuna_United_FF,Assyriska_Föreningen,1,1
2024-09-14,United_Nordic,Friska_Viljor,1,0
2024-09-14,FBK_Karlstad,Vasalund_IF,1,2
2024-09-14,Hammarby_TFF,IF_Karlstad,1,1
2024-09-15,AFC_United,Umea_FC,3,1
2024-09-15,Örebro_Syrianska_BK,Pitea,0,1
2024-09-21,Stockholm_Internazionale,AFC_United,4,0
2024-09-21,Vasalund_IF,Stocksund,6,2
2024-09-21,Umea_FC,Hammarby_TFF,1,2
2024-09-21,Karlbergs_BK,FBK_Karlstad,1,2
2024-09-22,Assyriska_Föreningen,Friska_Viljor,1,2
2024-09-22,Pitea,Sollentuna_United_FF,0,3
2024-09-22,IF_Karlstad,Täby_IS,1,0
2024-09-22,Örebro_Syrianska_BK,United_Nordic,0,1
2024-09-27,Täby_IS,Assyriska_Föreningen,3,0
2024-09-28,FBK_Karlstad,Stockholm_Internazionale,1,4
2024-09-28,Stocksund,IF_Karlstad,4,1
2024-09-28,Sollentuna_United_FF,Örebro_Syrianska_BK,3,3
2024-09-29,Friska_Viljor,Hammarby_TFF,0,3
2024-09-29,Karlbergs_BK,Umea_FC,2,2
2024-09-29,AFC_United,Vasalund_IF,2,3
2024-09-29,United_Nordic,Pitea,2,0
2024-10-04,Sollentuna_United_FF,Karlbergs_BK,2,1
2024-10-05,Vasalund_IF,Friska_Viljor,2,2
2024-10-05,Örebro_Syrianska_BK,Täby_IS,2,2
2024-10-05,Umea_FC,Stockholm_Internazionale,2,4
2024-10-05,IF_Karlstad,United_Nordic,0,2
2024-10-06,Pitea,FBK_Karlstad,2,3
2024-10-06,Assyriska_Föreningen,AFC_United,1,1
2024-10-06,Hammarby_TFF,Stocksund,0,0
2024-10-12,FBK_Karlstad,Umea_FC,1,3
2024-10-12,Stocksund,Sollentuna_United_FF,2,1
2024-10-12,United_Nordic,Hammarby_TFF,1,3
2024-10-13,Stockholm_Internazionale,Assyriska_Föreningen,2,2
2024-10-13,Friska_Viljor,IF_Karlstad,0,1
2024-10-13,AFC_United,Örebro_Syrianska_BK,1,1
2024-10-13,Täby_IS,Pitea,0,2
2024-10-14,Karlbergs_BK,Vasalund_IF,3,1
2024-10-19,Stockholm_Internazionale,United_Nordic,1,0
2024-10-19,Vasalund_IF,Sollentuna_United_FF,5,2
2024-10-19,Assyriska_Föreningen,IF_Karlstad,0,3
2024-10-20,Friska_Viljor,Örebro_Syrianska_BK,2,2
2024-10-20,Umea_FC,Täby_IS,0,0
2024-10-20,Pitea,Stocksund,1,1
2024-10-20,Hammarby_TFF,FBK_Karlstad,3,3
2024-10-20,Karlbergs_BK,AFC_United,0,1
2024-10-26,IF_Karlstad,Umea_FC,3,4
2024-10-26,Örebro_Syrianska_BK,Assyriska_Föreningen,1,1
2024-10-26,Sollentuna_United_FF,Hammarby_TFF,0,4
2024-10-26,United_Nordic,Karlbergs_BK,2,0
2024-10-27,FBK_Karlstad,Friska_Viljor,1,1
2024-10-27,Täby_IS,Vasalund_IF,0,1
2024-10-27,AFC_United,Pitea,2,1
2024-10-27,Stocksund,Stockholm_Internazionale,0,2
2024-11-01,FBK_Karlstad,Örebro_Syrianska_BK,1,2
2024-11-02,IF_Karlstad,Sollentuna_United_FF,1,2
2024-11-02,Umea_FC,United_Nordic,1,1
2024-11-02,Stockholm_Internazionale,Friska_Viljor,6,0
2024-11-03,AFC_United,Stocksund,5,4
2024-11-03,Assyriska_Föreningen,Karlbergs_BK,2,3
2024-11-03,Hammarby_TFF,Täby_IS,3,1
2024-11-03,Vasalund_IF,Pitea,0,1
2024-11-03,Umea_FC,United_Nordic,2,1
2024-11-09,Friska_Viljor,AFC_United,2,3
2024-11-09,Stocksund,Assyriska_Föreningen,5,2
2024-11-09,Karlbergs_BK,IF_Karlstad,2,4
2024-11-09,Örebro_Syrianska_BK,Umea_FC,0,2
2024-11-09,Pitea,Hammarby_TFF,1,4
2024-11-09,Sollentuna_United_FF,Stockholm_Internazionale,0,1
2024-11-09,Täby_IS,FBK_Karlstad,0,4
2024-11-09,United_Nordic,Vasalund_IF,1,4
2025-03-28,Enköping,Haninge_IFK,0,0
2025-03-29,Stocksund,AFC_United,1,2
2025-03-29,Örebro_Syrianska_BK,Arlanda,1,0
2025-03-29,Hammarby_TFF,Gefle,2,0
2025-03-29,United_Nordic,Sollentuna_United_FF,2,0
2025-03-30,Team_Thoren_Umea,IF_Karlstad,1,4
2025-03-30,Vasalund_IF,Karlbergs_BK,2,0
2025-03-30,Assyriska_Föreningen,Stockholm_Internazionale,1,1
2025-04-04,AFC_United,Enköping,2,1
2025-04-04,Sollentuna_United_FF,Hammarby_TFF,2,3
2025-04-05,Stockholm_Internazionale,Stocksund,5,0
2025-04-05,Karlbergs_BK,Örebro_Syrianska_BK,4,1
