date,home_team,away_team,home_score,away_score
2024-09-06,Aubstadt_TSV,Nürnberg_FC_(Am.),1.0,1.0
2024-09-06,Schweinfurt,Türkgücü-Ataspor,2.0,0.0
2024-09-07,Bamberg_Eintracht_1.FC,Schwaben_Augsburg,0.0,2.0
2024-09-07,Buchbach,Burghausen_Wacker,1.0,1.0
2024-09-07,Fürth_(Am.),Illertissen_FV,0.0,3.0
2024-09-07,Hankofen-Hailing,Ansbach,2.0,1.0
2024-09-07,Vilzing,Viktoria_Aschaffenburg,0.0,0.0
2024-09-07,Würzburger_Kickers,Bayreuth_SpVgg,0.0,4.0
2024-09-13,Würzburger_Kickers,Vilzing,4.0,0.0
2024-09-13,Viktoria_Aschaffenburg,Augsburg_FC_(Am.),0.0,0.0
2024-09-13,Bayern_München_(Am.),Aubstadt_TSV,2.0,2.0
2024-09-14,Ansbach,Buchbach,2.0,2.0
2024-09-14,Bayreuth_SpVgg,Illertissen_FV,1.0,0.0
2024-09-14,Burghausen_Wacker,Bamberg_Eintracht_1.FC,,
2024-09-14,Nürnberg_FC_(Am.),Hankofen-Hailing,2.0,2.0
2024-09-14,Schwaben_Augsburg,Schweinfurt,4.0,3.0
2024-09-14,Türkgücü-Ataspor,Fürth_(Am.),,
2024-09-17,Würzburger_Kickers,Nürnberg_FC_(Am.),2.0,2.0
2024-09-20,Hankofen-Hailing,Bayern_München_(Am.),2.0,0.0
2024-09-20,Schweinfurt,Burghausen_Wacker,3.0,2.0
2024-09-20,Illertissen_FV,Türkgücü-Ataspor,2.0,1.0
2024-09-21,Augsburg_FC_(Am.),Würzburger_Kickers,1.0,3.0
2024-09-21,Bamberg_Eintracht_1.FC,Ansbach,1.0,3.0
2024-09-21,Buchbach,Nürnberg_FC_(Am.),0.0,0.0
2024-09-21,Fürth_(Am.),Schwaben_Augsburg,1.0,0.0
2024-09-21,Aubstadt_TSV,Viktoria_Aschaffenburg,1.0,1.0
2024-09-21,Vilzing,Bayreuth_SpVgg,2.0,2.0
2024-09-27,Viktoria_Aschaffenburg,Hankofen-Hailing,2.0,1.0
2024-09-27,Bayern_München_(Am.),Buchbach,2.0,3.0
2024-09-27,Bayreuth_SpVgg,Türkgücü-Ataspor,4.0,0.0
2024-09-27,Burghausen_Wacker,Fürth_(Am.),2.0,4.0
2024-09-27,Schwaben_Augsburg,Illertissen_FV,0.0,1.0
2024-09-28,Ansbach,Schweinfurt,0.0,2.0
2024-09-28,Nürnberg_FC_(Am.),Bamberg_Eintracht_1.FC,4.0,0.0
2024-09-28,Vilzing,Augsburg_FC_(Am.),0.0,3.0
2024-09-28,Würzburger_Kickers,Aubstadt_TSV,1.0,1.0
2024-10-02,Schweinfurt,Nürnberg_FC_(Am.),3.0,1.0
2024-10-02,Illertissen_FV,Burghausen_Wacker,1.0,2.0
2024-10-03,Augsburg_FC_(Am.),Bayreuth_SpVgg,1.0,1.0
2024-10-03,Buchbach,Viktoria_Aschaffenburg,3.0,0.0
2024-10-03,Fürth_(Am.),Ansbach,,
2024-10-03,Hankofen-Hailing,Würzburger_Kickers,1.0,1.0
2024-10-03,Aubstadt_TSV,Vilzing,4.0,2.0
2024-10-03,Türkgücü-Ataspor,Schwaben_Augsburg,1.0,3.0
2024-10-03,Bamberg_Eintracht_1.FC,Bayern_München_(Am.),0.0,2.0
2024-10-06,Augsburg_FC_(Am.),Aubstadt_TSV,0.0,3.0
2024-10-06,Bayreuth_SpVgg,Schwaben_Augsburg,3.0,2.0
2024-10-06,Burghausen_Wacker,Türkgücü-Ataspor,1.0,0.0
2024-10-06,Nürnberg_FC_(Am.),Fürth_(Am.),0.0,2.0
2024-10-06,Würzburger_Kickers,Buchbach,3.0,0.0
2024-10-11,Schweinfurt,Viktoria_Aschaffenburg,1.0,1.0
2024-10-11,Buchbach,Vilzing,1.0,1.0
2024-10-12,Bamberg_Eintracht_1.FC,Würzburger_Kickers,0.0,4.0
2024-10-12,Hankofen-Hailing,Augsburg_FC_(Am.),1.0,1.0
2024-10-12,Illertissen_FV,Nürnberg_FC_(Am.),0.0,2.0
2024-10-12,Aubstadt_TSV,Bayreuth_SpVgg,0.0,0.0
2024-10-12,Schwaben_Augsburg,Burghausen_Wacker,3.0,2.0
2024-10-12,Türkgücü-Ataspor,Ansbach,2.0,2.0
2024-10-15,Burghausen_Wacker,Bamberg_Eintracht_1.FC,0.0,1.0
2024-10-18,Viktoria_Aschaffenburg,Fürth_(Am.),3.0,3.0
2024-10-18,Augsburg_FC_(Am.),Buchbach,4.0,3.0
2024-10-18,Bayern_München_(Am.),Illertissen_FV,3.0,2.0
2024-10-18,Bayreuth_SpVgg,Burghausen_Wacker,1.0,0.0
2024-10-18,Würzburger_Kickers,Schweinfurt,1.0,0.0
2024-10-19,Ansbach,Schwaben_Augsburg,2.0,1.0
2024-10-19,Nürnberg_FC_(Am.),Türkgücü-Ataspor,1.0,3.0
2024-10-19,Aubstadt_TSV,Hankofen-Hailing,0.0,1.0
2024-10-19,Vilzing,Bamberg_Eintracht_1.FC,3.0,0.0
2024-10-22,Bamberg_Eintracht_1.FC,Augsburg_FC_(Am.),3.0,3.0
2024-10-22,Fürth_(Am.),Würzburger_Kickers,1.0,1.0
2024-10-22,Schweinfurt,Vilzing,3.0,2.0
2024-10-22,Bayreuth_SpVgg,Hankofen-Hailing,1.0,0.0
2024-10-22,Buchbach,Aubstadt_TSV,3.0,2.0
2024-10-22,Burghausen_Wacker,Ansbach,0.0,0.0
2024-10-22,Illertissen_FV,Viktoria_Aschaffenburg,1.0,0.0
2024-10-22,Schwaben_Augsburg,Nürnberg_FC_(Am.),0.0,3.0
2024-10-22,Türkgücü-Ataspor,Bayern_München_(Am.),1.0,1.0
2024-10-25,Augsburg_FC_(Am.),Schweinfurt,2.0,6.0
2024-10-25,Bayern_München_(Am.),Schwaben_Augsburg,3.0,0.0
2024-10-26,Ansbach,Bayreuth_SpVgg,0.0,1.0
2024-10-26,Viktoria_Aschaffenburg,Türkgücü-Ataspor,1.0,0.0
2024-10-26,Nürnberg_FC_(Am.),Burghausen_Wacker,3.0,1.0
2024-10-26,Aubstadt_TSV,Bamberg_Eintracht_1.FC,5.0,2.0
2024-10-26,Vilzing,Fürth_(Am.),0.0,2.0
2024-10-26,Würzburger_Kickers,Illertissen_FV,0.0,3.0
2024-10-26,Hankofen-Hailing,Buchbach,1.0,1.0
2024-10-29,Bayern_München_(Am.),Fürth_(Am.),4.0,0.0
2024-11-02,Bayern_München_(Am.),Burghausen_Wacker,5.0,2.0
2024-11-02,Viktoria_Aschaffenburg,Schwaben_Augsburg,1.0,0.0
2024-11-02,Augsburg_FC_(Am.),Fürth_(Am.),1.0,1.0
2024-11-02,Buchbach,Bayreuth_SpVgg,4.0,1.0
2024-11-02,Hankofen-Hailing,Bamberg_Eintracht_1.FC,1.0,0.0
2024-11-02,Nürnberg_FC_(Am.),Ansbach,1.0,1.0
2024-11-02,Aubstadt_TSV,Schweinfurt,1.0,0.0
2024-11-02,Vilzing,Illertissen_FV,0.0,1.0
2024-11-02,Würzburger_Kickers,Türkgücü-Ataspor,3.0,0.0
2024-11-05,Viktoria_Aschaffenburg,Bamberg_Eintracht_1.FC,0.0,0.0
2024-11-08,Illertissen_FV,Augsburg_FC_(Am.),0.0,0.0
2024-11-08,Bayreuth_SpVgg,Nürnberg_FC_(Am.),1.0,1.0
2024-11-09,Schweinfurt,Hankofen-Hailing,5.0,0.0
2024-11-09,Ansbach,Bayern_München_(Am.),1.0,0.0
2024-11-09,Bamberg_Eintracht_1.FC,Buchbach,0.0,4.0
2024-11-09,Burghausen_Wacker,Viktoria_Aschaffenburg,0.0,0.0
2024-11-09,Fürth_(Am.),Aubstadt_TSV,1.0,1.0
2024-11-09,Schwaben_Augsburg,Würzburger_Kickers,1.0,1.0
2024-11-09,Türkgücü-Ataspor,Vilzing,0.0,2.0
2024-11-13,Fürth_(Am.),Ansbach,1.0,1.0
2024-11-15,Augsburg_FC_(Am.),Türkgücü-Ataspor,0.0,1.0
2024-11-15,Bayern_München_(Am.),Nürnberg_FC_(Am.),4.0,0.0
2024-11-15,Würzburger_Kickers,Burghausen_Wacker,2.0,0.0
2024-11-16,Viktoria_Aschaffenburg,Ansbach,4.0,1.0
2024-11-16,Bamberg_Eintracht_1.FC,Bayreuth_SpVgg,0.0,3.0
2024-11-16,Buchbach,Schweinfurt,1.0,1.0
2024-11-16,Hankofen-Hailing,Fürth_(Am.),0.0,3.0
2024-11-16,Aubstadt_TSV,Illertissen_FV,1.0,3.0
2024-11-16,Vilzing,Schwaben_Augsburg,0.0,4.0
2024-11-22,Bayreuth_SpVgg,Bayern_München_(Am.),1.0,1.0
2024-11-23,Schweinfurt,Bamberg_Eintracht_1.FC,2.0,0.0
2024-11-23,Ansbach,Würzburger_Kickers,,
2024-11-23,Burghausen_Wacker,Vilzing,1.0,3.0
2024-11-23,Illertissen_FV,Hankofen-Hailing,,
2024-11-23,Nürnberg_FC_(Am.),Viktoria_Aschaffenburg,3.0,3.0
