date,home_team,away_team,home_score,away_score
2024-09-03,Phönix_Lübeck,Emden,1.0,1.0
2024-09-04,Eintracht_Norderstedt,Hamburg_(Am.),,
2024-09-04,Lohne_BW,Meppen,0.0,2.0
2024-09-04,Teutonia_Ottensen,St._Pauli_(Am.),,
2024-09-07,Holstein_Kiel_(Am.),Phönix_Lübeck,1.0,2.0
2024-09-07,Weiche_Flensburg_ETSV,Teutonia_Ottensen,3.0,0.0
2024-09-07,Hamburg_(Am.),Emden,1.0,2.0
2024-09-07,Todesfelde_SV,Oldenburg,0.0,0.0
2024-09-07,Jeddeloh_SSV,Lübeck,3.0,2.0
2024-09-08,St._Pauli_(Am.),Lohne_BW,2.0,1.0
2024-09-08,Bremen_(Am.),Meppen,4.0,1.0
2024-09-08,Bremer_SV,Havelse_TSV,1.0,2.0
2024-09-08,Drochtersen/Assel_SV,Eintracht_Norderstedt,2.0,1.0
2024-09-11,Jeddeloh_SSV,Hamburg_(Am.),2.0,2.0
2024-09-11,Drochtersen/Assel_SV,Bremer_SV,2.0,0.0
2024-09-13,Phönix_Lübeck,Weiche_Flensburg_ETSV,2.0,1.0
2024-09-14,Meppen,Lübeck,3.0,0.0
2024-09-14,Emden,Holstein_Kiel_(Am.),1.0,3.0
2024-09-14,Lohne_BW,Hamburg_(Am.),3.0,2.0
2024-09-14,Oldenburg,St._Pauli_(Am.),4.0,0.0
2024-09-15,Teutonia_Ottensen,Drochtersen/Assel_SV,2.0,0.0
2024-09-15,Bremen_(Am.),Todesfelde_SV,1.0,2.0
2024-09-15,Eintracht_Norderstedt,Bremer_SV,0.0,4.0
2024-09-15,Havelse_TSV,Jeddeloh_SSV,2.0,0.0
2024-09-18,Todesfelde_SV,Teutonia_Ottensen,2.0,0.0
2024-09-20,Weiche_Flensburg_ETSV,Emden,1.0,3.0
2024-09-21,Jeddeloh_SSV,Eintracht_Norderstedt,1.0,2.0
2024-09-21,Drochtersen/Assel_SV,Phönix_Lübeck,2.0,1.0
2024-09-22,Lübeck,Havelse_TSV,2.0,2.0
2024-09-22,Hamburg_(Am.),Oldenburg,5.0,0.0
2024-09-22,Holstein_Kiel_(Am.),Lohne_BW,1.0,1.0
2024-09-22,St._Pauli_(Am.),Bremen_(Am.),1.0,5.0
2024-09-22,Todesfelde_SV,Meppen,0.0,0.0
2024-09-22,Bremer_SV,Teutonia_Ottensen,0.0,0.0
2024-09-27,Emden,Drochtersen/Assel_SV,0.0,1.0
2024-09-27,Lohne_BW,Weiche_Flensburg_ETSV,3.0,1.0
2024-09-28,Bremen_(Am.),Hamburg_(Am.),5.0,0.0
2024-09-28,Meppen,Havelse_TSV,4.0,0.0
2024-09-28,Todesfelde_SV,St._Pauli_(Am.),2.0,4.0
2024-09-29,Teutonia_Ottensen,Jeddeloh_SSV,2.0,2.0
