date,home_team,away_team,home_score,away_score
2024-09-07,Lotte_Sportfreunde,Oberhausen,1.0,4.0
2024-09-13,Paderborn_(Am.),Gutersloh,1.0,2.0
2024-09-13,Uerdingen,Oberhausen,0.0,1.0
2024-09-13,Wiedenbrück_SC,Wuppertaler,0.0,0.0
2024-09-14,Bocholt_FC,Duren,1.0,1.0
2024-09-14,Eintracht_Hohkeppel,Türkspor_Dortmund,1.0,2.0
2024-09-14,Fortuna_Köln,Duisburg,0.0,0.0
2024-09-14,Rödinghausen_SV,Köln_(Am.),2.0,0.0
2024-09-14,Schalke_04_Amat.,Mönchengladbach_(Am.),0.0,1.0
2024-09-15,Düsseldorf_(Am.),Lotte_Sportfreunde,1.0,4.0
2024-09-20,Türkspor_Dortmund,Paderborn_(Am.),3.0,7.0
2024-09-20,Wuppertaler,Schalke_04_Amat.,1.0,0.0
2024-09-21,Duren,Uerdingen,5.0,3.0
2024-09-21,Mönchengladbach_(Am.),Rödinghausen_SV,1.0,1.0
2024-09-21,Duisburg,Wiedenbrück_SC,3.0,1.0
2024-09-21,Gutersloh,Düsseldorf_(Am.),0.0,2.0
2024-09-21,Köln_(Am.),Bocholt_FC,4.0,5.0
2024-09-21,Lotte_Sportfreunde,Fortuna_Köln,1.0,1.0
2024-09-21,Oberhausen,Eintracht_Hohkeppel,1.0,0.0
2024-09-27,Wiedenbrück_SC,Lotte_Sportfreunde,2.0,4.0
2024-09-28,Bocholt_FC,Mönchengladbach_(Am.),2.0,4.0
2024-09-28,Düsseldorf_(Am.),Türkspor_Dortmund,7.0,0.0
2024-09-28,Fortuna_Köln,Gutersloh,1.0,1.0
2024-09-28,Paderborn_(Am.),Oberhausen,3.0,1.0
2024-09-28,Rödinghausen_SV,Wuppertaler,3.0,0.0
2024-09-28,Uerdingen,Eintracht_Hohkeppel,2.0,1.0
2024-09-28,Schalke_04_Amat.,Duisburg,1.0,2.0
2024-09-29,Duren,Köln_(Am.),2.0,2.0
2024-10-04,Gutersloh,Wiedenbrück_SC,3.0,1.0
2024-10-05,Mönchengladbach_(Am.),Duren,5.0,0.0
2024-10-05,Duisburg,Rödinghausen_SV,2.0,1.0
2024-10-05,Eintracht_Hohkeppel,Paderborn_(Am.),1.0,1.0
2024-10-05,Köln_(Am.),Uerdingen,1.0,1.0
2024-10-05,Lotte_Sportfreunde,Schalke_04_Amat.,4.0,1.0
2024-10-05,Wuppertaler,Bocholt_FC,1.0,5.0
2024-10-06,Oberhausen,Düsseldorf_(Am.),2.0,1.0
2024-10-11,Schalke_04_Amat.,Gutersloh,1.0,1.0
2024-10-11,Wiedenbrück_SC,Türkspor_Dortmund,4.0,2.0
2024-10-12,Duren,Wuppertaler,0.0,0.0
2024-10-12,Düsseldorf_(Am.),Eintracht_Hohkeppel,1.0,2.0
2024-10-12,Fortuna_Köln,Oberhausen,3.0,1.0
2024-10-12,Rödinghausen_SV,Lotte_Sportfreunde,2.0,3.0
2024-10-12,Uerdingen,Paderborn_(Am.),3.0,1.0
2024-10-18,Wuppertaler,Köln_(Am.),1.0,2.0
2024-10-19,Mönchengladbach_(Am.),Uerdingen,1.0,0.0
2024-10-19,Duisburg,Duren,1.0,0.0
2024-10-19,Eintracht_Hohkeppel,Fortuna_Köln,1.0,3.0
2024-10-19,Gutersloh,Rödinghausen_SV,2.0,3.0
2024-10-19,Lotte_Sportfreunde,Bocholt_FC,4.0,1.0
2024-10-19,Oberhausen,Wiedenbrück_SC,3.0,1.0
2024-10-19,Paderborn_(Am.),Düsseldorf_(Am.),1.0,1.0
2024-10-25,Schalke_04_Amat.,Oberhausen,1.0,2.0
2024-10-25,Mönchengladbach_(Am.),Wuppertaler,4.0,2.0
2024-10-25,Köln_(Am.),Duisburg,1.0,1.0
2024-10-26,Duren,Lotte_Sportfreunde,2.0,1.0
2024-10-26,Bocholt_FC,Gutersloh,0.0,1.0
2024-10-26,Fortuna_Köln,Paderborn_(Am.),1.0,3.0
2024-10-26,Rödinghausen_SV,Türkspor_Dortmund,4.0,2.0
2024-10-26,Wiedenbrück_SC,Eintracht_Hohkeppel,0.0,3.0
2024-10-28,Uerdingen,Düsseldorf_(Am.),1.0,1.0
2024-10-30,Bocholt_FC,Duisburg,2.0,4.0
2024-11-02,Düsseldorf_(Am.),Fortuna_Köln,0.0,1.0
2024-11-02,Eintracht_Hohkeppel,Schalke_04_Amat.,2.0,1.0
2024-11-02,Gutersloh,Duren,2.0,0.0
2024-11-02,Lotte_Sportfreunde,Köln_(Am.),0.0,1.0
2024-11-02,Oberhausen,Rödinghausen_SV,2.0,2.0
2024-11-02,Türkspor_Dortmund,Bocholt_FC,2.0,4.0
2024-11-02,Wuppertaler,Uerdingen,1.0,2.0
2024-11-03,Duisburg,Mönchengladbach_(Am.),3.0,1.0
2024-11-04,Paderborn_(Am.),Wiedenbrück_SC,1.0,2.0
2024-11-08,Schalke_04_Amat.,Paderborn_(Am.),0.0,4.0
2024-11-09,Duren,Türkspor_Dortmund,1.0,1.0
2024-11-09,Mönchengladbach_(Am.),Lotte_Sportfreunde,1.0,2.0
2024-11-09,Bocholt_FC,Oberhausen,1.0,1.0
2024-11-09,Köln_(Am.),Gutersloh,0.0,1.0
2024-11-09,Rödinghausen_SV,Eintracht_Hohkeppel,2.0,0.0
2024-11-09,Uerdingen,Fortuna_Köln,0.0,1.0
2024-11-09,Wiedenbrück_SC,Düsseldorf_(Am.),1.0,2.0
2024-11-10,Wuppertaler,Duisburg,1.0,2.0
2024-11-15,Türkspor_Dortmund,Schalke_04_Amat.,0.0,3.0
2024-11-22,Fortuna_Köln,Wiedenbrück_SC,1.0,3.0
2024-11-23,Düsseldorf_(Am.),Schalke_04_Amat.,2.0,1.0
2024-11-23,Eintracht_Hohkeppel,Bocholt_FC,2.0,5.0
2024-11-23,Gutersloh,Mönchengladbach_(Am.),0.0,2.0
2024-11-23,Lotte_Sportfreunde,Wuppertaler,0.0,1.0
2024-11-23,Oberhausen,Duren,2.0,0.0
2024-11-23,Türkspor_Dortmund,Köln_(Am.),0.0,0.0
2024-11-23,Uerdingen,Duisburg,1.0,2.0
2024-11-24,Paderborn_(Am.),Rödinghausen_SV,2.0,0.0
2024-11-30,Duren,Eintracht_Hohkeppel,2.0,1.0
2024-11-30,Mönchengladbach_(Am.),Türkspor_Dortmund,4.0,0.0
2024-11-30,Bocholt_FC,Paderborn_(Am.),1.0,3.0
2024-11-30,Duisburg,Lotte_Sportfreunde,1.0,0.0
2024-11-30,Köln_(Am.),Oberhausen,3.0,2.0
2024-11-30,Rödinghausen_SV,Düsseldorf_(Am.),3.0,2.0
2024-11-30,Schalke_04_Amat.,Fortuna_Köln,0.0,1.0
2024-11-30,Wiedenbrück_SC,Uerdingen,0.0,1.0
2024-11-30,Wuppertaler,Gutersloh,2.0,0.0
2024-12-04,Köln_(Am.),Mönchengladbach_(Am.),0.0,0.0
2024-12-07,Duren,Paderborn_(Am.),2.0,1.0
2024-12-07,Bocholt_FC,Düsseldorf_(Am.),1.0,1.0
2024-12-07,Duisburg,Gutersloh,3.0,4.0
2024-12-07,Köln_(Am.),Eintracht_Hohkeppel,2.0,0.0
2024-12-07,Lotte_Sportfreunde,Uerdingen,5.0,1.0
2024-12-07,Schalke_04_Amat.,Wiedenbrück_SC,3.0,1.0
2024-12-07,Wuppertaler,Türkspor_Dortmund,2.0,0.0
2024-12-07,Mönchengladbach_(Am.),Oberhausen,0.0,1.0
2025-01-24,Oberhausen,Wuppertaler,3.0,2.0
2025-01-25,Düsseldorf_(Am.),Duren,1.0,1.0
2025-01-25,Eintracht_Hohkeppel,Mönchengladbach_(Am.),2.0,6.0
2025-01-25,Fortuna_Köln,Bocholt_FC,1.0,1.0
2025-01-25,Paderborn_(Am.),Köln_(Am.),2.0,2.0
2025-01-25,Uerdingen,Schalke_04_Amat.,2.0,2.0
2025-01-26,Türkspor_Dortmund,Duisburg,0.0,3.0
2025-01-26,Wiedenbrück_SC,Rödinghausen_SV,0.0,1.0
2025-01-31,Duisburg,Oberhausen,0.0,2.0
2025-01-31,Gutersloh,Uerdingen,2.0,1.0
2025-02-01,Bocholt_FC,Wiedenbrück_SC,3.0,3.0
2025-02-01,Duren,Fortuna_Köln,0.0,0.0
2025-02-01,Köln_(Am.),Düsseldorf_(Am.),0.0,2.0
2025-02-01,Lotte_Sportfreunde,Türkspor_Dortmund,2.0,0.0
2025-02-01,Rödinghausen_SV,Schalke_04_Amat.,0.0,0.0
2025-02-01,Wuppertaler,Eintracht_Hohkeppel,1.0,1.0
2025-02-03,Paderborn_(Am.),Mönchengladbach_(Am.),0.0,1.0
2025-02-08,Düsseldorf_(Am.),Mönchengladbach_(Am.),0.0,1.0
2025-02-08,Eintracht_Hohkeppel,Duisburg,2.0,2.0
2025-02-08,Oberhausen,Lotte_Sportfreunde,1.0,1.0
2025-02-08,Paderborn_(Am.),Wuppertaler,2.0,0.0
2025-02-08,Schalke_04_Amat.,Bocholt_FC,0.0,0.0
2025-02-08,Türkspor_Dortmund,Gutersloh,1.0,1.0
2025-02-08,Uerdingen,Rödinghausen_SV,0.0,0.0
2025-02-08,Wiedenbrück_SC,Duren,2.0,1.0
2025-02-09,Fortuna_Köln,Köln_(Am.),3.0,3.0
2025-02-14,Duisburg,Paderborn_(Am.),0.0,0.0
2025-02-15,Duren,Schalke_04_Amat.,1.0,1.0
2025-02-15,Mönchengladbach_(Am.),Fortuna_Köln,0.0,3.0
2025-02-15,Bocholt_FC,Rödinghausen_SV,0.0,2.0
2025-02-15,Gutersloh,Oberhausen,2.0,1.0
2025-02-15,Köln_(Am.),Wiedenbrück_SC,1.0,0.0
2025-02-15,Lotte_Sportfreunde,Eintracht_Hohkeppel,2.0,0.0
2025-02-15,Türkspor_Dortmund,Uerdingen,,
2025-02-15,Wuppertaler,Düsseldorf_(Am.),1.0,1.0
2025-02-21,Fortuna_Köln,Wuppertaler,1.0,0.0
2025-02-22,Eintracht_Hohkeppel,Gutersloh,1.0,1.0
2025-02-22,Oberhausen,Türkspor_Dortmund,4.0,4.0
2025-02-22,Rödinghausen_SV,Duren,0.0,0.0
2025-02-22,Uerdingen,Bocholt_FC,0.0,4.0
2025-02-22,Wiedenbrück_SC,Mönchengladbach_(Am.),0.0,1.0
2025-02-22,Paderborn_(Am.),Lotte_Sportfreunde,1.0,3.0
2025-02-23,Düsseldorf_(Am.),Duisburg,0.0,1.0
2025-02-23,Schalke_04_Amat.,Köln_(Am.),1.0,0.0
2025-02-28,Mönchengladbach_(Am.),Schalke_04_Amat.,0.0,0.0
