date,home_team,away_team,home_score,away_score
2024-09-07,Fylde,Yeovil,3.0,4.0
2024-09-07,Gateshead,Barnet,2.0,0.0
2024-09-07,Maidenhead_United,Dagenham_&_Redbridge,1.0,1.0
2024-09-07,Altrincham,Ebbsfleet_United,4.0,0.0
2024-09-07,Braintree_Town,Woking,0.0,0.0
2024-09-07,Eastleigh,Tamworth,1.0,0.0
2024-09-07,Hartlepool,Halifax,0.0,0.0
2024-09-07,Oldham,Southend,1.0,1.0
2024-09-07,Solihull,Forest_Green,0.0,1.0
2024-09-07,Sutton_UTD,Boston_Utd.,0.0,3.0
2024-09-07,Wealdstone,York,0.0,2.0
2024-09-07,Aldershot,Rochdale,0.0,2.0
2024-09-10,Barnet,Altrincham,2.0,1.0
2024-09-10,Boston_Utd.,Hartlepool,1.0,2.0
2024-09-10,Dagenham_&_Redbridge,Sutton_UTD,3.0,0.0
2024-09-10,Ebbsfleet_United,Aldershot,0.0,0.0
2024-09-10,Forest_Green,Fylde,3.0,0.0
2024-09-10,Halifax,Oldham,1.0,1.0
2024-09-10,Rochdale,Maidenhead_United,3.0,1.0
2024-09-10,Southend,Eastleigh,2.0,0.0
2024-09-10,Woking,Wealdstone,1.0,0.0
2024-09-10,Yeovil,Solihull,0.0,1.0
2024-09-10,York,Braintree_Town,2.0,1.0
2024-09-14,Barnet,Braintree_Town,3.0,1.0
2024-09-14,Boston_Utd.,Aldershot,1.0,1.0
2024-09-14,Ebbsfleet_United,Hartlepool,1.0,0.0
2024-09-14,Forest_Green,Wealdstone,2.0,2.0
2024-09-14,Halifax,Eastleigh,3.0,1.0
2024-09-14,Rochdale,Solihull,1.0,2.0
2024-09-14,Southend,Sutton_UTD,1.0,3.0
2024-09-14,Tamworth,Maidenhead_United,3.0,1.0
2024-09-14,Woking,Oldham,1.0,3.0
2024-09-14,Yeovil,Altrincham,0.0,0.0
2024-09-14,York,Fylde,3.0,0.0
2024-09-14,Dagenham_&_Redbridge,Gateshead,7.0,1.0
2024-09-17,Fylde,Southend,2.0,1.0
2024-09-21,Fylde,Woking,1.0,1.0
