date,home_team,away_team,home_score,away_score
2024-09-03,Curzon_Ashton,Scunthorpe,0.0,1.0
2024-09-03,Kidderminster,Chester,1.0,1.0
2024-09-03,Brackley_Town,Chorley,0.0,2.0
2024-09-03,Darlington,Alfreton_Town,0.0,0.0
2024-09-03,Southport,Farsley,1.0,1.0
2024-09-03,Hereford,Needham_Market,0.0,1.0
2024-09-03,Radcliffe,Spennymoor_Town,2.0,4.0
2024-09-03,Rushall_Olympic,Marine,2.0,0.0
2024-09-03,Scarborough,Kings_Lynn,0.0,0.0
2024-09-03,South_Shields,Buxton,1.0,0.0
2024-09-03,Warrington_Town,Leamington,1.0,1.0
2024-09-07,Alfreton_Town,Scarborough,1.0,1.0
2024-09-07,Buxton,Rushall_Olympic,2.0,0.0
2024-09-07,Chester,South_Shields,1.0,0.0
2024-09-07,Chorley,Kidderminster,2.0,1.0
2024-09-07,Kings_Lynn,Curzon_Ashton,0.0,2.0
2024-09-07,Marine,Darlington,0.0,0.0
2024-09-07,Needham_Market,Farsley,0.0,1.0
2024-09-07,Peterborough_Sports,Brackley_Town,0.0,2.0
2024-09-07,Scunthorpe,Warrington_Town,1.0,1.0
2024-09-07,Southport,Radcliffe,2.0,2.0
2024-09-07,Spennymoor_Town,Hereford,0.0,0.0
2024-09-17,Oxford_City,Peterborough_Sports,1.0,3.0
2024-09-21,Brackley_Town,Marine,1.0,0.0
2024-09-21,Curzon_Ashton,Peterborough_Sports,1.0,1.0
2024-09-21,Darlington,Southport,3.0,0.0
2024-09-21,Farsley,Leamington,0.0,1.0
2024-09-21,Hereford,Kings_Lynn,0.0,0.0
2024-09-21,Kidderminster,Alfreton_Town,0.0,1.0
2024-09-21,Oxford_City,Needham_Market,3.0,0.0
2024-09-21,Rushall_Olympic,Chester,1.0,2.0
2024-09-21,Scarborough,Scunthorpe,1.0,0.0
2024-09-21,South_Shields,Chorley,3.0,3.0
2024-09-21,Warrington_Town,Spennymoor_Town,1.0,1.0
2024-09-24,Leamington,Oxford_City,4.0,1.0
2024-10-05,Alfreton_Town,Hereford,0.0,0.0
2024-10-05,Buxton,Curzon_Ashton,0.0,1.0
2024-10-05,Chester,Farsley,0.0,0.0
2024-10-05,Chorley,Warrington_Town,1.0,1.0
2024-10-05,Kings_Lynn,Darlington,2.0,1.0
2024-10-05,Leamington,Scarborough,1.0,1.0
2024-10-05,Marine,Radcliffe,1.0,0.0
