date,home_team,away_team,home_score,away_score
2024-09-02,Aveley,Dorking_Wanderers,3.0,1.0
2024-09-02,Hemel_Hempstead_Town,Welling,4.0,2.0
2024-09-02,Boreham_Wood,Worthing,1.0,2.0
2024-09-03,Torquay,Chippenham_Town,3.0,0.0
2024-09-03,Bath_City,Truro_City,1.0,0.0
2024-09-03,Eastbourne,Enfield_Town,1.0,0.0
2024-09-03,Hornchurch,Farnborough,1.0,0.0
2024-09-03,Maidstone_United,Chelmsford_City,1.0,5.0
2024-09-03,Salisbury,Chesham_United,1.0,2.0
2024-09-03,Tonbridge_Angels,St._Albans,2.0,0.0
2024-09-03,Weston_Super_Mare,Slough,2.0,0.0
2024-09-03,Weymouth,Hampton_Richmond,0.0,1.0
2024-09-07,Chelmsford_City,Bath_City,3.0,0.0
2024-09-07,Chesham_United,Aveley,3.0,2.0
2024-09-07,Chippenham_Town,Tonbridge_Angels,0.0,0.0
2024-09-07,Dorking_Wanderers,Weymouth,1.0,2.0
2024-09-07,Enfield_Town,Maidstone_United,1.0,4.0
2024-09-07,Farnborough,Salisbury,3.0,1.0
2024-09-07,Hampton_Richmond,Boreham_Wood,1.0,1.0
2024-09-07,Slough,Hemel_Hempstead_Town,0.0,1.0
2024-09-07,St._Albans,Weston_Super_Mare,0.0,0.0
2024-09-07,Truro_City,Eastbourne,0.0,1.0
2024-09-07,Welling,Torquay,2.0,0.0
2024-09-07,Worthing,Hornchurch,0.0,0.0
2024-09-21,Aveley,Truro_City,1.0,2.0
2024-09-21,Bath_City,Enfield_Town,0.0,1.0
2024-09-21,Boreham_Wood,Welling,6.0,0.0
2024-09-21,Eastbourne,Slough,1.0,1.0
2024-09-21,Hemel_Hempstead_Town,Farnborough,3.0,3.0
2024-09-21,Hornchurch,Chelmsford_City,0.0,2.0
2024-09-21,Maidstone_United,Chesham_United,2.0,2.0
2024-09-21,Salisbury,Chippenham_Town,3.0,2.0
2024-09-21,Tonbridge_Angels,Hampton_Richmond,2.0,2.0
2024-09-21,Torquay,St._Albans,1.0,1.0
2024-09-21,Weston_Super_Mare,Dorking_Wanderers,1.0,1.0
2024-09-21,Weymouth,Worthing,1.0,1.0
2024-09-28,Hampton_Richmond,Enfield_Town,4.0,0.0
2024-10-05,Chelmsford_City,Eastbourne,4.0,2.0
2024-10-05,Chesham_United,Bath_City,0.0,1.0
2024-10-05,Chippenham_Town,Boreham_Wood,0.0,1.0
2024-10-05,Dorking_Wanderers,Hornchurch,3.0,1.0
2024-10-05,Enfield_Town,Weymouth,1.0,0.0
2024-10-05,Farnborough,Aveley,2.0,0.0
2024-10-05,Hampton_Richmond,Torquay,0.0,1.0
2024-10-05,Slough,Tonbridge_Angels,3.0,1.0
2024-10-05,St._Albans,Salisbury,3.0,4.0
2024-10-05,Truro_City,Hemel_Hempstead_Town,1.0,0.0
2024-10-05,Welling,Weston_Super_Mare,1.0,3.0
2024-10-05,Worthing,Maidstone_United,0.0,2.0
2024-10-08,Worthing,Welling,1.0,0.0
2024-10-12,Aveley,Chippenham_Town,0.0,1.0
2024-10-12,Farnborough,Enfield_Town,4.0,1.0
2024-10-12,Hampton_Richmond,St._Albans,0.0,1.0
2024-10-12,Salisbury,Hornchurch,2.0,2.0
2024-10-12,Dorking_Wanderers,Hemel_Hempstead_Town,3.0,2.0
2024-10-12,Welling,Eastbourne,0.0,1.0
2024-10-19,Chelmsford_City,Farnborough,1.0,2.0
2024-10-19,Chippenham_Town,Hemel_Hempstead_Town,3.0,0.0
2024-10-19,Dorking_Wanderers,Salisbury,3.0,3.0
2024-10-19,Eastbourne,Torquay,1.0,1.0
2024-10-19,Enfield_Town,Aveley,2.0,4.0
2024-10-19,Hornchurch,Bath_City,0.0,0.0
2024-10-19,Maidstone_United,Slough,1.0,1.0
2024-10-19,St._Albans,Welling,0.0,1.0
2024-10-19,Truro_City,Hampton_Richmond,3.0,0.0
2024-10-19,Weston_Super_Mare,Boreham_Wood,0.0,0.0
2024-10-19,Weymouth,Chesham_United,1.0,1.0
