date,home_team,away_team,home_score,away_score
2024-09-04,Imperial_Unido,Huachipato,1.0,2.0
2024-09-05,Deportes_Iquique,Coquimbo_Unido,1.0,2.0
2024-09-05,Palestino,Universidad_de_Chile,0.0,5.0
2024-09-07,Magallanes_Deportivo,Colo_Colo,3.0,0.0
2024-09-08,Coquimbo_Unido,Deportes_Iquique,1.0,0.0
2024-09-10,Universidad_de_Chile,Palestino,0.0,1.0
2024-10-09,Coquimbo_Unido,Universidad_de_Chile,0.0,0.0
2024-10-09,Puerto_Montt,Huachipato,5.0,1.0
2024-10-14,Universidad_de_Chile,Coquimbo_Unido,1.0,0.0
2024-10-16,Huachipato,Puerto_Montt,1.0,0.0
2024-10-24,Puerto_Montt,Atletico_Nublense,1.0,1.0
2024-10-29,Colo_Colo,Magallanes_Deportivo,0.0,0.0
2024-10-29,Atletico_Nublense,Puerto_Montt,2.0,1.0
2024-11-14,Atletico_Nublense,Magallanes_Deportivo,2.0,1.0
2024-11-17,Magallanes_Deportivo,Atletico_Nublense,1.0,1.0
2024-11-20,Universidad_de_Chile,Atletico_Nublense,1.0,0.0
2025-01-25,Cobresal,La_Serena,,
2025-01-26,Huachipato,Deportes_Temuco,,
2025-01-26,Deportes_Iquique,Antofagasta,2.0,4.0
2025-01-26,Universidad_Católica,Everton,,
2025-01-26,O'Higgins,Rangers_de_Talca,,
2025-01-26,Atletico_Nublense,Curicó_Unido,,
2025-01-27,Palestino,Audax_Italiano,0.0,2.0
2025-01-27,Cobresal,La_Serena,1.0,2.0
2025-01-28,San_Luis_de_Quillota,Union_La_Calera,0.0,1.0
2025-01-29,Copiapó,Cobreloa,1.0,1.0
2025-01-29,San_Marcos_Arica,Coquimbo_Unido,2.0,2.0
2025-01-29,Recoleta,Universidad_de_Chile,1.0,6.0
2025-01-31,Colo_Colo,Deportes_Limache,2.0,2.0
2025-01-31,Universidad_de_Concepción,Atletico_Nublense,2.0,3.0
2025-02-01,Union_La_Calera,Everton,1.0,0.0
2025-02-01,Deportes_Temuco,O'Higgins,1.0,1.0
2025-02-01,Unión_Espaňola,Palestino,1.0,2.0
2025-02-02,San_Marcos_Arica,Cobresal,2.0,1.0
2025-02-02,San_Luis_de_Quillota,Universidad_Católica,2.0,1.0
2025-02-02,Coquimbo_Unido,La_Serena,1.0,1.0
2025-02-02,Huachipato,Rangers_de_Talca,2.0,0.0
2025-02-02,Copiapó,Deportes_Iquique,1.0,0.0
2025-02-02,Cobreloa,Antofagasta,1.0,1.0
2025-02-02,Santiago_Morning,Recoleta,,
2025-02-03,Deportes_Santa_Cruz,Curicó_Unido,0.0,2.0
2025-02-03,Universidad_de_Chile,Magallanes_Deportivo,0.0,1.0
2025-02-03,Santiago_Wanderers,Colo_Colo,1.0,0.0
2025-02-05,Deportes_Limache,Uniön_San_Felipe,1.0,1.0
2025-02-07,Audax_Italiano,Unión_Espaňola,3.0,1.0
2025-02-08,Everton,San_Luis_de_Quillota,1.0,0.0
