date,home_team,away_team,home_score,away_score
2024-09-06,Vejprnice,Domažlice_Jiskra_B,3.0,1.0
2024-09-06,Hluboká_nad_Vltavou,Soběslav_FK,2.0,0.0
2024-09-07,Přeštice_TJ,Aritma_Praha,1.0,4.0
2024-09-07,Králův_Dvůr,Příbram_B,3.0,1.0
2024-09-07,Rokycany,Komárov,0.0,2.0
2024-09-08,Jindřichův_Hradec,Petřín_Plzeň_B,1.0,4.0
2024-09-13,Petřín_Plzeň_B,Hluboká_nad_Vltavou,,
2024-09-14,Aritma_Praha,Hořovicko_FC,,
2024-09-14,Komárov,Český_Krumlov,,
2024-09-14,Králův_Dvůr,Rokycany,,
2024-09-14,Domažlice_Jiskra_B,Jindřichův_Hradec,,
2024-09-14,Příbram_B,Soběslav_FK,,
2024-09-20,Přeštice_TJ,Komárov,0.0,5.0
2024-09-21,Český_Krumlov,Králův_Dvůr,0.0,5.0
2024-09-21,Hluboká_nad_Vltavou,Domažlice_Jiskra_B,4.0,1.0
2024-09-21,Rokycany,Příbram_B,3.0,2.0
2024-09-21,Soběslav_FK,Petřín_Plzeň_B,3.0,1.0
2024-09-21,Vejprnice,Aritma_Praha,1.0,3.0
2024-09-25,Králův_Dvůr,Rokycany,4.0,0.0
2024-09-24,Komárov,Český_Krumlov,2.0,1.0
2024-09-28,Aritma_Praha,Jindřichův_Hradec,3.0,0.0
2024-09-28,Komárov,Hořovicko_FC,2.0,0.0
2024-09-28,Králův_Dvůr,Přeštice_TJ,1.0,0.0
2024-09-28,Rokycany,Český_Krumlov,0.0,3.0
2024-09-29,Domažlice_Jiskra_B,Soběslav_FK,2.0,2.0
2024-09-29,Příbram_B,Petřín_Plzeň_B,3.0,2.0
2024-10-04,Petřín_Plzeň_B,Domažlice_Jiskra_B,3.0,2.0
2024-10-04,Hluboká_nad_Vltavou,Aritma_Praha,1.0,3.0
2024-10-05,Český_Krumlov,Příbram_B,1.0,1.0
2024-10-05,Přeštice_TJ,Rokycany,1.0,1.0
2024-10-05,Hořovicko_FC,Králův_Dvůr,2.0,1.0
2024-10-05,Vejprnice,Komárov,1.0,4.0
2024-10-08,Petřín_Plzeň_B,Hluboká_nad_Vltavou,1.0,0.0
2024-10-08,Příbram_B,Soběslav_FK,1.0,2.0
2024-10-12,Příbram_B,Domažlice_Jiskra_B,4.0,0.0
2024-10-12,Aritma_Praha,Soběslav_FK,5.0,1.0
2024-10-12,Český_Krumlov,Přeštice_TJ,2.0,0.0
2024-10-12,Komárov,Jindřichův_Hradec,5.0,1.0
2024-10-12,Králův_Dvůr,Vejprnice,5.0,0.0
2024-10-12,Rokycany,Hořovicko_FC,0.0,1.0
2024-10-18,Petřín_Plzeň_B,Aritma_Praha,1.0,4.0
2024-10-19,Přeštice_TJ,Příbram_B,4.0,1.0
2024-10-19,Hluboká_nad_Vltavou,Komárov,1.0,0.0
2024-10-19,Hořovicko_FC,Český_Krumlov,3.0,2.0
2024-10-20,Vejprnice,Rokycany,3.0,0.0
2024-10-20,Jindřichův_Hradec,Králův_Dvůr,0.0,2.0
2024-10-19,Vejprnice,Rokycany,3.0,0.0
2024-10-26,Aritma_Praha,Domažlice_Jiskra_B,3.0,2.0
2024-10-26,Český_Krumlov,Vejprnice,5.0,1.0
2024-10-26,Přeštice_TJ,Hořovicko_FC,1.0,2.0
2024-10-26,Komárov,Soběslav_FK,2.0,0.0
2024-10-26,Králův_Dvůr,Hluboká_nad_Vltavou,2.0,1.0
2024-10-26,Rokycany,Jindřichův_Hradec,1.0,1.0
2024-10-28,Domažlice_Jiskra_B,Jindřichův_Hradec,1.0,0.0
2024-11-02,Hluboká_nad_Vltavou,Rokycany,2.0,0.0
2024-11-02,Petřín_Plzeň_B,Komárov,0.0,1.0
2024-11-02,Hořovicko_FC,Příbram_B,4.0,2.0
2024-11-02,Soběslav_FK,Králův_Dvůr,1.0,2.0
2024-11-02,Vejprnice,Přeštice_TJ,0.0,5.0
2024-11-03,Jindřichův_Hradec,Český_Krumlov,1.0,1.0
2024-11-09,Příbram_B,Aritma_Praha,0.0,5.0
2024-11-09,Český_Krumlov,Hluboká_nad_Vltavou,0.0,0.0
2024-11-09,Přeštice_TJ,Jindřichův_Hradec,1.0,4.0
2024-11-09,Komárov,Domažlice_Jiskra_B,0.0,1.0
2024-11-09,Králův_Dvůr,Petřín_Plzeň_B,6.0,1.0
2024-11-09,Rokycany,Soběslav_FK,1.0,5.0
2024-11-09,Hořovicko_FC,Vejprnice,1.0,0.0
2024-11-15,Petřín_Plzeň_B,Rokycany,2.0,1.0
2024-11-16,Jindřichův_Hradec,Hořovicko_FC,1.0,4.0
2024-11-16,Hluboká_nad_Vltavou,Přeštice_TJ,5.0,2.0
2024-11-16,Soběslav_FK,Český_Krumlov,3.0,0.0
2024-11-16,Vejprnice,Příbram_B,0.0,3.0
2024-11-17,Domažlice_Jiskra_B,Králův_Dvůr,1.0,1.0
2024-11-23,Aritma_Praha,Hořovicko_FC,1.0,0.0
2025-03-08,Aritma_Praha,Komárov,1.0,1.0
2025-03-08,Petřín_Plzeň_B,Český_Krumlov,2.0,6.0
2025-03-08,Soběslav_FK,Přeštice_TJ,1.0,0.0
2025-03-08,Domažlice_Jiskra_B,Rokycany,1.0,1.0
2025-03-09,Hluboká_nad_Vltavou,Hořovicko_FC,1.0,1.0
2025-03-09,Jindřichův_Hradec,Vejprnice,4.0,0.0
2025-03-15,Přeštice_TJ,Petřín_Plzeň_B,1.0,2.0
2025-03-15,Český_Krumlov,Domažlice_Jiskra_B,1.0,1.0
2025-03-15,Komárov,Milín,1.0,0.0
2025-03-15,Jindřichův_Hradec,Příbram_B,2.0,4.0
2025-03-15,Vejprnice,Hluboká_nad_Vltavou,0.0,1.0
2025-03-15,Hořovicko_FC,Soběslav_FK,2.0,2.0
2025-03-21,Hluboká_nad_Vltavou,Jindřichův_Hradec,3.0,1.0
2025-03-22,Aritma_Praha,Rokycany,4.0,0.0
2025-03-22,Domažlice_Jiskra_B,Přeštice_TJ,0.0,1.0
2025-03-22,Petřín_Plzeň_B,Hořovicko_FC,1.0,0.0
2025-03-22,Soběslav_FK,Vejprnice,2.0,1.0
2025-03-23,Příbram_B,Komárov,1.0,1.0
2025-03-29,Český_Krumlov,Aritma_Praha,0.0,2.0
2025-03-29,Vejprnice,Petřín_Plzeň_B,0.0,5.0
2025-03-29,Rokycany,Milín,0.0,0.0
2025-03-29,Hořovicko_FC,Domažlice_Jiskra_B,0.0,2.0
2025-03-29,Hluboká_nad_Vltavou,Příbram_B,1.0,1.0
2025-03-30,Jindřichův_Hradec,Soběslav_FK,1.0,1.0
2025-04-05,Aritma_Praha,Přeštice_TJ,2.0,0.0
2025-04-05,Milín,Český_Krumlov,2.0,2.0
2025-04-05,Komárov,Rokycany,0.0,2.0
2025-04-05,Domažlice_Jiskra_B,Vejprnice,0.0,1.0
2025-04-05,Soběslav_FK,Hluboká_nad_Vltavou,1.0,0.0
2025-04-06,Petřín_Plzeň_B,Jindřichův_Hradec,0.0,2.0
