date,home_team,away_team,home_score,away_score
2024-09-06,Velká_Bíteš,Bohunice,2,1
2024-09-07,Líšeň_SK_B,Tasovice_Sokol,0,2
2024-09-07,Polná_Slavoj,Třebíč_FS,1,5
2024-09-07,Humpolec,Lanžhot,1,3
2024-09-07,Vrchovina_SFK,Břeclav,2,0
2024-09-07,Ždírec_n._Doubr.,Havlíčkův_Brod,1,0
2024-09-08,Velké_Meziříčí,Speřice,3,0
2024-09-08,Žďár_n._Sázavou,Kuřim,1,0
2024-09-21,Havlíčkův_Brod,Speřice,3,0
2024-09-21,Humpolec,Třebíč_FS,4,2
2024-09-21,Vrchovina_SFK,Tasovice_Sokol,6,0
2024-09-22,Velké_Meziříčí,Kuřim,0,2
2024-09-22,Líšeň_SK_B,Bohunice,2,2
2024-09-22,Polná_Slavoj,Velká_Bíteš,0,3
2024-09-22,Žďár_n._Sázavou,Lanžhot,2,0
2024-09-22,Ždírec_n._Doubr.,Břeclav,1,1
2024-09-28,Bohunice,Žďár_n._Sázavou,2,2
2024-09-28,Břeclav,Havlíčkův_Brod,0,2
2024-09-28,Třebíč_FS,Líšeň_SK_B,2,2
2024-09-28,Velká_Bíteš,Humpolec,2,1
2024-09-29,Kuřim,Ždírec_n._Doubr.,1,2
2024-09-29,Lanžhot,Vrchovina_SFK,2,1
2024-09-29,Speřice,Polná_Slavoj,3,1
2024-09-29,Tasovice_Sokol,Velké_Meziříčí,0,0
2024-10-02,Břeclav,Velké_Meziříčí,2,1
2024-10-05,Havlíčkův_Brod,Kuřim,2,2
2024-10-05,Vrchovina_SFK,Bohunice,0,3
2024-10-06,Velké_Meziříčí,Lanžhot,1,1
2024-10-06,Líšeň_SK_B,Velká_Bíteš,0,5
2024-10-06,Polná_Slavoj,Humpolec,0,3
2024-10-06,Speřice,Břeclav,1,1
2024-10-06,Žďár_n._Sázavou,Třebíč_FS,2,0
2024-10-06,Ždírec_n._Doubr.,Tasovice_Sokol,3,1
2024-10-12,Bohunice,Velké_Meziříčí,6,2
2024-10-12,Kuřim,Speřice,4,2
2024-10-12,Břeclav,Polná_Slavoj,5,0
2024-10-13,Třebíč_FS,Vrchovina_SFK,0,2
2024-10-13,Humpolec,Líšeň_SK_B,1,4
2024-10-13,Lanžhot,Ždírec_n._Doubr.,3,1
2024-10-13,Tasovice_Sokol,Havlíčkův_Brod,1,2
2024-10-13,Velká_Bíteš,Žďár_n._Sázavou,1,0
2024-10-12,Humpolec,Líšeň_SK_B,1,4
2024-10-19,Havlíčkův_Brod,Lanžhot,1,1
2024-10-19,Břeclav,Kuřim,0,3
2024-10-19,Vrchovina_SFK,Velká_Bíteš,4,1
2024-10-20,Velké_Meziříčí,Třebíč_FS,2,0
2024-10-20,Polná_Slavoj,Líšeň_SK_B,0,3
2024-10-20,Speřice,Tasovice_Sokol,1,0
2024-10-20,Žďár_n._Sázavou,Humpolec,0,0
2024-10-20,Ždírec_n._Doubr.,Bohunice,1,1
2024-10-23,Kuřim,Vrchovina_SFK,2,1
2024-10-26,Bohunice,Havlíčkův_Brod,2,0
2024-10-26,Třebíč_FS,Ždírec_n._Doubr.,3,1
2024-10-26,Humpolec,Vrchovina_SFK,0,0
2024-10-26,Velká_Bíteš,Velké_Meziříčí,2,0
2024-10-27,Kuřim,Polná_Slavoj,3,1
2024-10-27,Lanžhot,Speřice,3,2
2024-10-27,Tasovice_Sokol,Břeclav,4,2
2024-10-27,Líšeň_SK_B,Žďár_n._Sázavou,1,2
2024-11-02,Kuřim,Tasovice_Sokol,2,0
2024-11-02,Havlíčkův_Brod,Třebíč_FS,2,2
2024-11-02,Břeclav,Lanžhot,0,0
2024-11-02,Vrchovina_SFK,Líšeň_SK_B,1,0
2024-11-03,Velké_Meziříčí,Humpolec,1,0
2024-11-03,Polná_Slavoj,Žďár_n._Sázavou,0,4
2024-11-03,Speřice,Bohunice,1,1
2024-11-03,Ždírec_n._Doubr.,Velká_Bíteš,0,0
2024-11-09,Bohunice,Břeclav,2,1
2024-11-09,Lanžhot,Kuřim,2,0
2024-11-09,Tasovice_Sokol,Polná_Slavoj,3,0
2024-11-09,Třebíč_FS,Speřice,0,1
2024-11-09,Humpolec,Ždírec_n._Doubr.,1,0
2024-11-09,Velká_Bíteš,Havlíčkův_Brod,2,6
2024-11-09,Žďár_n._Sázavou,Vrchovina_SFK,1,2
2024-11-10,Líšeň_SK_B,Velké_Meziříčí,5,1
2024-11-16,Bohunice,Humpolec,1,2
2024-11-16,Havlíčkův_Brod,Polná_Slavoj,6,1
2024-11-16,Tasovice_Sokol,Žďár_n._Sázavou,0,4
2024-11-16,Lanžhot,Líšeň_SK_B,0,2
2024-11-16,Speřice,Ždírec_n._Doubr.,4,0
2024-11-17,Třebíč_FS,Velká_Bíteš,2,7
2025-03-08,Bohunice,Kuřim,0,2
2025-03-08,Humpolec,Havlíčkův_Brod,1,1
2025-03-09,Polná_Slavoj,Vrchovina_SFK,1,0
2025-03-09,Velká_Bíteš,Speřice,4,0
2025-03-09,Žďár_n._Sázavou,Velké_Meziříčí,6,0
2025-03-09,Lanžhot,Tasovice_Sokol,1,2
2025-03-09,Líšeň_SK_B,Ždírec_n._Doubr.,2,0
2025-03-15,Havlíčkův_Brod,Líšeň_SK_B,1,0
2025-03-15,Kuřim,Třebíč_FS,3,0
2025-03-16,Velké_Meziříčí,Vrchovina_SFK,0,4
2025-03-16,Tasovice_Sokol,Bohunice,1,2
2025-03-16,Speřice,Humpolec,1,0
2025-03-16,Lanžhot,Polná_Slavoj,6,0
2025-03-22,Bohunice,Lanžhot,1,5
2025-03-22,Velká_Bíteš,Kuřim,1,0
2025-03-22,Humpolec,Břeclav,2,0
2025-03-22,Líšeň_SK_B,Speřice,5,1
2025-03-22,Vrchovina_SFK,Ždírec_n._Doubr.,3,1
2025-03-23,Třebíč_FS,Tasovice_Sokol,0,0
2025-03-23,Žďár_n._Sázavou,Havlíčkův_Brod,2,2
2025-03-23,Polná_Slavoj,Velké_Meziříčí,0,4
2025-03-29,Havlíčkův_Brod,Vrchovina_SFK,1,3
2025-03-29,Kuřim,Humpolec,2,0
2025-03-29,Bohunice,Polná_Slavoj,3,1
2025-03-29,Ždírec_n._Doubr.,Velké_Meziříčí,2,1
2025-03-29,Břeclav,Líšeň_SK_B,1,2
2025-03-30,Speřice,Žďár_n._Sázavou,1,0
2025-03-30,Tasovice_Sokol,Velká_Bíteš,1,0
2025-03-30,Lanžhot,Třebíč_FS,3,0
2025-04-02,Třebíč_FS,Břeclav,4,0
2025-04-02,Ždírec_n._Doubr.,Žďár_n._Sázavou,0,3
2025-04-05,Líšeň_SK_B,Kuřim,1,1
2025-04-05,Velká_Bíteš,Lanžhot,3,0
2025-04-05,Vrchovina_SFK,Speřice,3,0
2025-04-05,Humpolec,Tasovice_Sokol,2,1
2025-04-06,Velké_Meziříčí,Havlíčkův_Brod,0,2
2025-04-06,Žďár_n._Sázavou,Břeclav,0,1
2025-04-06,Třebíč_FS,Bohunice,0,1
2025-04-06,Polná_Slavoj,Ždírec_n._Doubr.,1,3
