date,home_team,away_team,home_score,away_score
2024-09-04,Frýdlant_nad_Ostravicí,Rýmařov,3.0,1.0
2024-09-06,Opava_B,Bílovec,2.0,3.0
2024-09-07,Vratimov,Břidličná,3.0,2.0
2024-09-07,Frýdlant_nad_Ostravicí,Nový_Jičín,0.0,1.0
2024-09-07,Pustá_Polom,Řepiště,2.0,2.0
2024-09-07,Petřvald_na_Moravě,Krnov,5.0,0.0
2024-09-07,Rýmařov,Havířov,0.0,3.0
2024-09-08,Bohumín,Vítkovice,2.0,1.0
2024-09-08,Polanka,Frenštát,6.0,1.0
2024-09-20,Petřvald_na_Moravě,Vítkovice,3.0,6.0
2024-09-21,Vratimov,Bílovec,1.0,0.0
2024-09-21,Frýdlant_nad_Ostravicí,Havířov,1.0,2.0
2024-09-21,Pustá_Polom,Krnov,,
2024-09-21,Nový_Jičín,Řepiště,1.0,0.0
2024-09-21,Rýmařov,Břidličná,3.0,1.0
2024-09-26,Frýdlant_nad_Ostravicí,Krnov,2.0,0.0
2024-09-28,Řepiště,Polanka,0.0,2.0
2024-09-28,Vítkovice,Rýmařov,2.0,0.0
2024-09-29,Havířov,Nový_Jičín,2.0,2.0
2024-09-29,Opava_B,Bohumín,5.0,2.0
2024-09-29,Břidličná,Pustá_Polom,3.0,1.0
2024-09-29,Bílovec,Petřvald_na_Moravě,2.0,2.0
2024-09-29,Frenštát,Vratimov,2.0,3.0
2024-10-02,Pustá_Polom,Krnov,7.0,0.0
2024-10-05,Vratimov,Opava_B,1.0,0.0
2024-10-05,Frýdlant_nad_Ostravicí,Břidličná,1.0,2.0
2024-10-05,Pustá_Polom,Vítkovice,,
2024-10-05,Nový_Jičín,Krnov,5.0,0.0
2024-10-05,Petřvald_na_Moravě,Frenštát,5.0,1.0
2024-10-05,Řepiště,Havířov,1.0,4.0
2024-10-05,Rýmařov,Bílovec,1.0,2.0
2024-10-06,Polanka,Bohumín,1.0,1.0
2024-10-09,Bohumín,Frenštát,7.0,0.0
2024-10-09,Pustá_Polom,Vítkovice,1.0,5.0
2024-10-12,Opava_B,Petřvald_na_Moravě,2.0,3.0
2024-10-12,Břidličná,Nový_Jičín,1.0,0.0
2024-10-12,Řepiště,Krnov,3.0,2.0
2024-10-12,Vítkovice,Frýdlant_nad_Ostravicí,5.0,4.0
2024-10-13,Havířov,Polanka,2.0,3.0
2024-10-13,Bílovec,Pustá_Polom,3.0,1.0
2024-10-13,Bohumín,Vratimov,3.0,1.0
2024-10-13,Frenštát,Rýmařov,1.0,3.0
2024-10-19,Frýdlant_nad_Ostravicí,Bílovec,2.0,1.0
2024-10-19,Pustá_Polom,Frenštát,0.0,0.0
2024-10-19,Nový_Jičín,Vítkovice,0.0,2.0
2024-10-19,Petřvald_na_Moravě,Bohumín,2.0,2.0
2024-10-19,Řepiště,Břidličná,2.0,1.0
2024-10-19,Rýmařov,Opava_B,1.0,3.0
2024-10-20,Havířov,Krnov,13.0,0.0
2024-10-20,Polanka,Vratimov,4.0,0.0
2024-10-23,Rýmařov,Krnov,8.0,1.0
2024-10-26,Vratimov,Petřvald_na_Moravě,1.0,1.0
2024-10-26,Pustá_Polom,Opava_B,2.0,2.0
2024-10-26,Břidličná,Havířov,3.0,0.0
2024-10-26,Vítkovice,Řepiště,3.0,0.0
2024-10-27,Polanka,Krnov,7.0,0.0
2024-10-27,Bílovec,Nový_Jičín,2.0,0.0
2024-10-27,Bohumín,Rýmařov,2.0,0.0
2024-10-27,Frenštát,Frýdlant_nad_Ostravicí,2.0,1.0
2024-10-30,Břidličná,Petřvald_na_Moravě,0.0,0.0
2024-11-02,Frýdlant_nad_Ostravicí,Opava_B,2.0,2.0
2024-11-02,Pustá_Polom,Bohumín,1.0,5.0
2024-11-02,Nový_Jičín,Frenštát,1.0,1.0
2024-11-02,Řepiště,Bílovec,2.0,1.0
2024-11-02,Rýmařov,Vratimov,2.0,0.0
2024-11-03,Havířov,Vítkovice,4.0,3.0
2024-11-03,Břidličná,Krnov,6.0,2.0
2024-11-03,Polanka,Petřvald_na_Moravě,3.0,0.0
2024-11-09,Vratimov,Pustá_Polom,3.0,0.0
2024-11-09,Břidličná,Polanka,0.0,1.0
2024-11-09,Bílovec,Havířov,1.0,2.0
2024-11-09,Frenštát,Řepiště,2.0,3.0
2024-11-09,Petřvald_na_Moravě,Rýmařov,1.0,2.0
2024-11-09,Vítkovice,Krnov,12.0,1.0
2024-11-10,Opava_B,Nový_Jičín,5.0,1.0
2024-11-10,Bohumín,Frýdlant_nad_Ostravicí,1.0,0.0
2024-11-15,Vítkovice,Vratimov,3.0,3.0
2024-11-16,Havířov,Pustá_Polom,3.0,0.0
2024-11-16,Bílovec,Bohumín,4.0,2.0
2024-11-16,Frenštát,Opava_B,4.0,1.0
2024-11-16,Řepiště,Frýdlant_nad_Ostravicí,0.0,3.0
2024-11-16,Nový_Jičín,Polanka,1.0,6.0
2025-03-08,Vratimov,Frýdlant_nad_Ostravicí,0.0,2.0
2025-03-08,Petřvald_na_Moravě,Pustá_Polom,5.0,1.0
2025-03-08,Vítkovice,Břidličná,2.0,4.0
2025-03-09,Polanka,Rýmařov,2.0,3.0
2025-03-09,Bohumín,Nový_Jičín,1.0,0.0
2025-03-09,Frenštát,Havířov,0.0,2.0
2025-03-09,Bílovec,Krnov,2.0,2.0
2025-03-15,Nový_Jičín,Vratimov,0.0,0.0
2025-03-15,Řepiště,Bohumín,,
2025-03-15,Vítkovice,Polanka,1.0,0.0
2025-03-16,Havířov,Opava_B,2.0,2.0
2025-03-16,Frýdlant_nad_Ostravicí,Petřvald_na_Moravě,1.0,0.0
2025-03-16,Krnov,Frenštát,1.0,1.0
2025-03-22,Vratimov,Řepiště,5.0,0.0
2025-03-22,Petřvald_na_Moravě,Nový_Jičín,1.0,0.0
2025-03-22,Rýmařov,Frýdlant_nad_Ostravicí,5.0,2.0
2025-03-23,Frenštát,Břidličná,1.0,1.0
2025-03-23,Polanka,Pustá_Polom,2.0,0.0
2025-03-23,Bílovec,Vítkovice,0.0,0.0
2025-03-23,Bohumín,Havířov,1.0,3.0
2025-03-29,Břidličná,Opava_B,1.0,3.0
2025-03-29,Řepiště,Petřvald_na_Moravě,1.0,5.0
2025-03-29,Nový_Jičín,Rýmařov,3.0,1.0
2025-03-29,Vítkovice,Frenštát,2.0,0.0
2025-03-30,Havířov,Vratimov,1.0,1.0
2025-03-30,Frýdlant_nad_Ostravicí,Pustá_Polom,0.0,3.0
2025-03-30,Krnov,Bohumín,1.0,0.0
2025-03-30,Bílovec,Polanka,1.0,3.0
2025-04-05,Vratimov,Krnov,4.0,2.0
2025-04-05,Pustá_Polom,Nový_Jičín,2.0,2.0
2025-04-05,Rýmařov,Řepiště,4.0,1.0
2025-04-05,Petřvald_na_Moravě,Havířov,2.0,1.0
2025-04-06,Opava_B,Vítkovice,2.0,2.0
2025-04-06,Polanka,Frýdlant_nad_Ostravicí,2.0,1.0
2025-04-06,Bohumín,Břidličná,3.0,0.0
