date,home_team,away_team,home_score,away_score
2024-11-01,Tamworth,Huddersfield,1.0,0.0
2024-11-01,Notts_County,Alfreton_Town,5.0,1.0
2024-11-02,Rotherham,Cheltenham,1.0,3.0
2024-11-02,Barrow,Doncaster,0.0,1.0
2024-11-02,Exeter,Barnet,5.0,3.0
2024-11-02,Carlisle,Wigan,0.0,2.0
2024-11-02,Wycombe,York,3.0,2.0
2024-11-02,Bradford,Aldershot,3.0,1.0
2024-11-02,Worthing,Morecambe,0.0,2.0
2024-11-02,Hednesford,Gainsborough,4.0,5.0
2024-11-02,Burton,Scarborough,1.0,0.0
2024-11-02,Tranmere,Oldham,1.0,2.0
2024-11-02,Rochdale,Bromley,3.0,4.0
2024-11-02,Walsall,Bolton,2.0,1.0
2024-11-02,Grimsby,Wealdstone,0.0,1.0
2024-11-02,Bristol_Rovers,Weston_Super_Mare,3.0,1.0
2024-11-02,Solihull,Maidstone_United,3.0,0.0
2024-11-02,Stockport,Forest_Green,2.0,1.0
2024-11-02,Reading,Fleetwood_Town,2.0,0.0
2024-11-02,Stevenage,Guiseley,2.0,1.0
2024-11-02,Rushall_Olympic,Accrington_Stanley,0.0,2.0
2024-11-02,Swindon,Colchester,2.0,1.0
2024-11-02,Salford_City,Shrewsbury,2.0,1.0
2024-11-02,Crewe,Dagenham_&_Redbridge,0.0,1.0
2024-11-02,Port_Vale,Barnsley,1.0,3.0
2024-11-02,Chesterfield,Horsham,3.0,1.0
2024-11-02,Southend,Charlton,3.0,4.0
2024-11-02,Maidenhead_United,Crawley_Town,1.0,2.0
2024-11-02,Woking,Cambridge,0.0,1.0
2024-11-02,Gillingham,Blackpool,0.0,2.0
2024-11-02,Tonbridge_Angels,Harborough_Town,1.0,4.0
2024-11-02,Newport,Peterborough,2.0,4.0
2024-11-02,Northampton,Kettering,1.0,2.0
2024-11-02,Brackley_Town,Braintree_Town,1.0,0.0
2024-11-03,Milton_Keynes,AFC_Wimbledon,0.0,2.0
2024-11-03,Sutton_UTD,Birmingham,0.0,1.0
2024-11-03,Curzon_Ashton,Mansfield,0.0,4.0
2024-11-03,Boreham_Wood,Leyton,2.0,3.0
2024-11-03,Harrogate_Town,Wrexham,1.0,0.0
2024-11-04,Chesham_United,Lincoln,0.0,4.0
2024-11-29,Harrogate_Town,Gainsborough,1.0,0.0
2024-11-30,Wealdstone,Wycombe,0.0,2.0
2024-11-30,Accrington_Stanley,Swindon,3.0,2.0
2024-11-30,Barnsley,Bristol_Rovers,0.0,1.0
2024-11-30,Cambridge,Wigan,1.0,2.0
2024-11-30,Crawley_Town,Lincoln,3.0,4.0
2024-11-30,Exeter,Chesterfield,2.0,0.0
2024-11-30,Leyton,Oldham,2.0,1.0
2024-11-30,Morecambe,Bradford,1.0,0.0
2024-11-30,Peterborough,Notts_County,4.0,3.0
2024-11-30,Salford_City,Cheltenham,2.0,0.0
2024-11-30,Stevenage,Mansfield,0.0,1.0
2024-11-30,Stockport,Brackley_Town,3.0,1.0
2024-11-30,Walsall,Charlton,0.0,4.0
2024-11-30,AFC_Wimbledon,Dagenham_&_Redbridge,1.0,2.0
2024-12-01,Kettering,Doncaster,1.0,2.0
2024-12-01,Blackpool,Birmingham,1.0,2.0
2024-12-01,Burton,Tamworth,1.0,2.0
