date,home_team,away_team,home_score,away_score
2024-09-06,Hradec_Králové_B,Liberec_B,3.0,2.0
2024-09-06,Motorlet_Praha,Bohemians_1905_B,1.0,6.0
2024-09-06,Kladno_SK,Ústí_n._Labem,2.0,1.0
2024-09-06,Příbram,Táborsko_B,0.0,1.0
2024-09-06,Chomutov,Dukla_Praha_FK_B,3.0,4.0
2024-09-07,Lokomotiva_Vltavín,Plzeň_Viktoria_B,1.0,2.0
2024-09-07,Jablonec_B,Kolín_Mogul,1.0,1.0
2024-09-07,Pardubice_FK_B,Chlumec,0.0,0.0
2024-09-07,Velvary,Petřín_Plzeň,1.0,0.0
2024-09-07,Domažlice_Jiskra,Hostouň,4.0,0.0
2024-09-07,Česká_Lípa,Živanice_Sokol,3.0,1.0
2024-09-08,Admira_Praha_FK,České_Budějovice_B,3.0,6.0
2024-09-08,Teplice_B,Ústí_n._Orlicí,0.0,2.0
2024-09-08,Brozany,Zápy_Sokol,3.0,0.0
2024-09-08,Benátky,Souš_Siad,3.0,0.0
2024-09-11,Zápy_Sokol,Pardubice_FK_B,2.0,0.0
2024-09-13,Písek,Příbram,,
2024-09-13,Ústí_n._Labem,Brozany,,
2024-09-14,Kolín_Mogul,Ústí_n._Orlicí,,
2024-09-14,Petřín_Plzeň,Motorlet_Praha,,
2024-09-14,Souš_Siad,Kladno_SK,3.0,0.0
2024-09-14,Jablonec_B,Hradec_Králové_B,,
2024-09-14,České_Budějovice_B,Bohemians_1905_B,,
2024-09-14,Živanice_Sokol,Pardubice_FK_B,,
2024-09-15,Admira_Praha_FK,Lokomotiva_Vltavín,,
2024-09-15,Chlumec,Benátky,,
2024-09-15,Liberec_B,Česká_Lípa,,
2024-09-15,Mladá_Boleslav_B,Teplice_B,,
2024-09-15,Plzeň_Viktoria_B,Domažlice_Jiskra,,
2024-09-15,Hostouň,Povltavská_FA,,
2024-09-15,Táborsko_B,Velvary,,
2024-09-18,Liberec_B,Česká_Lípa,4.0,0.0
2024-09-20,Příbram,Dukla_Praha_FK_B,2.0,2.0
2024-09-20,Chomutov,Hostouň,0.0,2.0
2024-09-21,Lokomotiva_Vltavín,České_Budějovice_B,2.0,4.0
2024-09-21,Motorlet_Praha,Táborsko_B,1.0,4.0
2024-09-21,Pardubice_FK_B,Liberec_B,2.0,0.0
2024-09-21,Velvary,Písek,3.0,3.0
2024-09-21,Kladno_SK,Chlumec,3.0,2.0
