sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.SAE liga,2024-09-20,Banni_Yas,Ajman,3.0,1.0,2.32,3.27,2.7
Fotbal,1.SAE liga,2024-09-20,Dibba_Al_Hisn,Al_Bataeh,1.0,2.0,3.31,3.59,1.88
Fotbal,1.SAE liga,2024-09-21,Al_Sharjah,Al_Jazeera_Abu_Dhabi,4.0,0.0,2.02,3.47,3.05
Fotbal,1.SAE liga,2024-09-21,Al_Wasl_Dubai,Al_Nasr_Dubai,3.0,1.0,1.72,3.89,3.63
Fotbal,1.SAE liga,2024-09-22,Shabab_Al_Ahli,Al_Wahda_FC_Abu_Dhabi,5.0,4.0,1.72,3.69,3.85
Fotbal,1.SAE liga,2024-09-22,Al_Urooba,Khor_Fakkan_Club,1.0,2.0,3.01,3.44,2.05
Fotbal,1.SAE liga,2024-09-26,Al_Bataeh,Al_Sharjah,0.0,2.0,5.34,4.56,1.41
Fotbal,1.SAE liga,2024-09-26,Al_Ain,Al_Wasl_Dubai,4.0,2.0,2.44,3.59,2.38
Fotbal,1.SAE liga,2024-09-27,Ajman,Dibba_Al_Hisn,5.0,1.0,1.43,4.16,5.55
Fotbal,1.SAE liga,2024-09-27,Al_Urooba,Shabab_Al_Ahli,1.0,4.0,9.34,6.12,1.21
Fotbal,1.SAE liga,2024-09-27,Al_Wahda_FC_Abu_Dhabi,Banni_Yas,2.0,2.0,1.73,3.63,3.84
Fotbal,1.SAE liga,2024-09-28,Khor_Fakkan_Club,Al_Ittihad_Kalba,0.0,2.0,2.78,3.59,2.12
Fotbal,1.SAE liga,2024-09-28,Al_Jazeera_Abu_Dhabi,Al_Nasr_Dubai,3.0,1.0,2.32,3.58,2.52
Fotbal,1.SAE liga,2024-10-05,Al_Nasr_Dubai,Ajman,3.0,1.0,1.8,3.62,3.56
Fotbal,1.SAE liga,2024-10-05,Dibba_Al_Hisn,Al_Jazeera_Abu_Dhabi,1.0,6.0,5.47,4.36,1.42
Fotbal,1.SAE liga,2024-10-05,Al_Ittihad_Kalba,Al_Bataeh,3.0,0.0,1.97,3.7,3.0
Fotbal,1.SAE liga,2024-10-05,Al_Wasl_Dubai,Khor_Fakkan_Club,3.0,4.0,1.29,5.03,7.31
Fotbal,1.SAE liga,2024-10-06,Banni_Yas,Shabab_Al_Ahli,1.0,5.0,3.75,3.95,1.69
Fotbal,1.SAE liga,2024-10-06,Al_Sharjah,Al_Urooba,2.0,1.0,1.12,7.73,15.3
Fotbal,1.SAE liga,2024-10-06,Al_Ain,Al_Wahda_FC_Abu_Dhabi,1.0,2.0,1.66,4.02,3.86
Fotbal,1.SAE liga,2024-10-25,Dibba_Al_Hisn,Al_Ain,1.0,1.0,5.48,4.72,1.38
Fotbal,1.SAE liga,2024-10-25,Al_Wahda_FC_Abu_Dhabi,Al_Ittihad_Kalba,3.0,1.0,1.7,3.78,3.85
Fotbal,1.SAE liga,2024-10-26,Al_Urooba,Banni_Yas,1.0,0.0,3.44,3.53,1.85
Fotbal,1.SAE liga,2024-10-26,Ajman,Al_Wasl_Dubai,0.0,0.0,4.06,4.05,1.62
Fotbal,1.SAE liga,2024-10-26,Al_Jazeera_Abu_Dhabi,Khor_Fakkan_Club,4.0,2.0,1.41,4.55,5.29
Fotbal,1.SAE liga,2024-10-27,Al_Bataeh,Al_Nasr_Dubai,3.0,4.0,4.38,4.08,1.56
Fotbal,1.SAE liga,2024-10-27,Shabab_Al_Ahli,Al_Sharjah,2.0,1.0,2.04,3.36,3.08
Fotbal,1.SAE liga,2024-10-31,Banni_Yas,Al_Sharjah,1.0,4.0,4.59,3.92,1.56
Fotbal,1.SAE liga,2024-10-31,Al_Wasl_Dubai,Al_Jazeera_Abu_Dhabi,2.0,2.0,1.81,3.93,3.29
Fotbal,1.SAE liga,2024-11-01,Al_Ittihad_Kalba,Al_Urooba,3.0,0.0,1.56,3.7,4.81
