sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.alžírská liga,2024-09-19,Entente_Sportive_de_Sétif,El_Bayadh,1,0,1.67,3.18,5.82
Fotbal,1.alžírská liga,2024-09-20,Oued_Akbou,Magra,1,0,2.05,2.72,4.4
Fotbal,1.alžírská liga,2024-09-21,Paradou_AC,Chlef_ASO,2,0,1.92,2.98,4.4
Fotbal,1.alžírská liga,2024-09-24,Oran_MC,Saoura_JS,2,0,1.6,3.13,7.06
Fotbal,1.alžírská liga,2024-09-27,Belouizdad_CR,Entente_Sportive_de_Sétif,0,0,1.47,3.69,7.51
Fotbal,1.alžírská liga,2024-09-27,El_Bayadh,Biskra_US,0,1,1.57,3.33,6.63
Fotbal,1.alžírská liga,2024-09-27,Alger_MC,Paradou_AC,1,1,1.46,3.61,8.22
Fotbal,1.alžírská liga,2024-09-27,Kabylie_JS,Oued_Akbou,2,1,1.82,3.09,4.7
Fotbal,1.alžírská liga,2024-09-27,Chlef_ASO,Constantine_CS,0,0,2.14,2.86,3.72
Fotbal,1.alžírská liga,2024-09-28,Magra,Alger_USM,0,0,3.44,2.61,2.43
Fotbal,1.alžírská liga,2024-09-28,Saoura_JS,Khenchela_USM,1,1,1.78,3.19,4.74
Fotbal,1.alžírská liga,2024-09-28,Chlef_ASO,Constantine_CS,0,0,2.14,2.86,3.72
Fotbal,1.alžírská liga,2024-09-28,Mostaganem_ES,Oran_MC,2,1,2.44,2.74,3.22
Fotbal,1.alžírská liga,2024-10-01,Kabylie_JS,Alger_MC,1,2,2.57,2.52,3.33
Fotbal,1.alžírská liga,2024-10-02,Constantine_CS,Mostaganem_ES,0,0,1.79,3.05,5.04
Fotbal,1.alžírská liga,2024-10-02,Khenchela_USM,Belouizdad_CR,0,0,2.9,2.61,2.8
Fotbal,1.alžírská liga,2024-10-02,Alger_USM,Biskra_US,2,1,1.3,4.53,10.2
Fotbal,1.alžírská liga,2024-10-04,Oued_Akbou,Saoura_JS,2,1,1.93,2.71,5.07
Fotbal,1.alžírská liga,2024-10-04,Entente_Sportive_de_Sétif,Magra,0,0,1.54,3.24,7.9
Fotbal,1.alžírská liga,2024-10-04,Oran_MC,Chlef_ASO,0,0,1.74,2.81,6.53
Fotbal,1.alžírská liga,2024-10-06,Constantine_CS,Alger_MC,1,1,2.65,2.58,3.1
Fotbal,1.alžírská liga,2024-10-06,Khenchela_USM,Mostaganem_ES,2,0,2.02,2.88,4.12
Fotbal,1.alžírská liga,2024-10-06,Paradou_AC,Kabylie_JS,0,3,2.52,2.53,3.4
Fotbal,1.alžírská liga,2024-10-06,Biskra_US,Belouizdad_CR,0,0,4.17,2.62,2.16
Fotbal,1.alžírská liga,2024-10-06,Alger_USM,El_Bayadh,1,0,1.32,4.35,10.2
Fotbal,1.alžírská liga,2024-10-11,Paradou_AC,Oued_Akbou,1,3,2.0,3.01,3.95
Fotbal,1.alžírská liga,2024-10-11,Saoura_JS,Entente_Sportive_de_Sétif,3,2,1.92,2.97,4.44
Fotbal,1.alžírská liga,2024-10-11,Alger_MC,Oran_MC,1,0,1.37,4.08,9.2
Fotbal,1.alžírská liga,2024-10-12,Magra,Biskra_US,2,2,2.08,2.65,4.4
Fotbal,1.alžírská liga,2024-10-12,Kabylie_JS,Constantine_CS,2,3,1.94,2.74,4.91
Fotbal,1.alžírská liga,2024-10-12,Belouizdad_CR,El_Bayadh,2,3,1.21,4.97,17.6
Fotbal,1.alžírská liga,2024-10-18,Khenchela_USM,Alger_MC,0,1,2.89,2.62,2.79
Fotbal,1.alžírská liga,2024-10-18,Oued_Akbou,Chlef_ASO,0,0,1.66,3.15,6.03
Fotbal,1.alžírská liga,2024-10-18,Entente_Sportive_de_Sétif,Mostaganem_ES,1,0,1.55,3.4,6.77
Fotbal,1.alžírská liga,2024-10-18,Alger_USM,Belouizdad_CR,0,0,2.05,2.76,4.29
Fotbal,1.alžírská liga,2024-10-19,Constantine_CS,Paradou_AC,2,1,1.64,3.3,5.79
Fotbal,1.alžírská liga,2024-10-19,El_Bayadh,Magra,4,0,1.59,3.29,6.47
Fotbal,1.alžírská liga,2024-10-19,Biskra_US,Saoura_JS,2,1,2.05,2.76,4.29
Fotbal,1.alžírská liga,2024-10-19,Oran_MC,Kabylie_JS,2,0,2.26,2.64,3.77
Fotbal,1.alžírská liga,2024-10-22,Chlef_ASO,Khenchela_USM,1,1,1.51,3.38,7.82
Fotbal,1.alžírská liga,2024-10-22,Mostaganem_ES,Alger_USM,0,1,2.55,2.71,3.07
Fotbal,1.alžírská liga,2024-10-24,Alger_MC,Oued_Akbou,0,0,1.45,3.77,7.63
Fotbal,1.alžírská liga,2024-10-25,Magra,Belouizdad_CR,1,0,5.25,3.15,1.73
Fotbal,1.alžírská liga,2024-10-25,Constantine_CS,Entente_Sportive_de_Sétif,2,1,1.85,2.99,4.79
Fotbal,1.alžírská liga,2024-10-25,Saoura_JS,El_Bayadh,1,0,1.69,3.14,5.65
Fotbal,1.alžírská liga,2024-10-25,Paradou_AC,Oran_MC,2,2,2.37,2.66,3.46
Fotbal,1.alžírská liga,2024-10-26,Chlef_ASO,Alger_USM,0,0,2.99,2.64,2.68
Fotbal,1.alžírská liga,2024-10-26,Kabylie_JS,Khenchela_USM,1,0,1.61,3.29,6.27
Fotbal,1.alžírská liga,2024-10-26,Mostaganem_ES,Biskra_US,1,0,1.93,2.99,4.35
Fotbal,1.alžírská liga,2024-11-02,El_Bayadh,Paradou_AC,1,1,1.96,2.84,4.52
Fotbal,1.alžírská liga,2024-11-02,Khenchela_USM,Magra,1,0,1.66,3.24,5.7
Fotbal,1.alžírská liga,2024-11-02,Entente_Sportive_de_Sétif,Chlef_ASO,1,0,1.58,3.33,6.63
Fotbal,1.alžírská liga,2024-11-02,Oran_MC,Constantine_CS,1,0,1.93,2.82,4.71
Fotbal,1.alžírská liga,2024-11-03,Biskra_US,Kabylie_JS,0,1,2.81,2.54,2.97
Fotbal,1.alžírská liga,2024-11-03,Oued_Akbou,Mostaganem_ES,1,2,1.69,3.02,6.09
Fotbal,1.alžírská liga,2024-11-07,Oran_MC,Entente_Sportive_de_Sétif,1,0,1.81,2.96,5.13
Fotbal,1.alžírská liga,2024-11-08,Chlef_ASO,El_Bayadh,2,0,1.49,3.51,7.71
Fotbal,1.alžírská liga,2024-11-08,Paradou_AC,Khenchela_USM,4,0,1.83,3.01,4.87
Fotbal,1.alžírská liga,2024-11-08,Constantine_CS,Oued_Akbou,2,1,1.79,3.03,5.1
Fotbal,1.alžírská liga,2024-11-09,Saoura_JS,Magra,1,0,1.44,3.67,8.46
Fotbal,1.alžírská liga,2024-11-09,Kabylie_JS,Alger_USM,0,0,2.17,2.69,3.94
Fotbal,1.alžírská liga,2024-11-09,Alger_MC,Biskra_US,0,0,1.37,3.91,9.99
Fotbal,1.alžírská liga,2024-11-09,Mostaganem_ES,Belouizdad_CR,0,2,3.56,2.58,2.4
Fotbal,1.alžírská liga,2024-11-15,El_Bayadh,Alger_MC,0,1,5.22,2.97,1.8
Fotbal,1.alžírská liga,2024-11-15,Khenchela_USM,Constantine_CS,1,0,1.98,2.86,4.36
Fotbal,1.alžírská liga,2024-11-15,Oued_Akbou,Oran_MC,3,1,2.17,2.66,4.03
Fotbal,1.alžírská liga,2024-11-16,Magra,Mostaganem_ES,1,0,2.11,2.62,4.36
Fotbal,1.alžírská liga,2024-11-16,Biskra_US,Chlef_ASO,1,2,2.11,2.66,4.26
Fotbal,1.alžírská liga,2024-11-16,Alger_USM,Saoura_JS,2,0,1.36,3.97,9.87
Fotbal,1.alžírská liga,2024-11-20,Alger_MC,Belouizdad_CR,1,3,1.96,2.68,4.93
Fotbal,1.alžírská liga,2024-11-21,Constantine_CS,Alger_USM,1,0,2.64,2.51,3.22
Fotbal,1.alžírská liga,2024-11-22,Oran_MC,Khenchela_USM,0,0,1.73,3.05,5.59
Fotbal,1.alžírská liga,2024-11-23,Chlef_ASO,Magra,2,2,1.65,3.1,6.33
Fotbal,1.alžírská liga,2024-11-23,Oued_Akbou,Entente_Sportive_de_Sétif,0,1,1.72,3.09,5.52
Fotbal,1.alžírská liga,2024-11-23,Mostaganem_ES,Saoura_JS,1,1,1.95,2.86,4.53
Fotbal,1.alžírská liga,2024-11-30,El_Bayadh,Mostaganem_ES,1,1,1.97,2.77,4.68
Fotbal,1.alžírská liga,2024-11-30,Khenchela_USM,Oued_Akbou,1,0,1.93,2.91,4.48
Fotbal,1.alžírská liga,2024-11-30,Magra,Oran_MC,2,1,2.53,2.43,3.55
Fotbal,1.alžírská liga,2024-12-01,Entente_Sportive_de_Sétif,Alger_MC,0,0,2.85,2.48,3.01
Fotbal,1.alžírská liga,2024-12-01,Belouizdad_CR,Chlef_ASO,2,0,1.43,3.63,8.99
Fotbal,1.alžírská liga,2024-12-02,Saoura_JS,Kabylie_JS,1,1,2.67,2.54,3.13
Fotbal,1.alžírská liga,2024-12-02,Biskra_US,Constantine_CS,1,1,2.5,2.65,3.25
Fotbal,1.alžírská liga,2024-12-07,Chlef_ASO,Mostaganem_ES,2,0,1.73,3.05,5.5
Fotbal,1.alžírská liga,2024-12-07,Khenchela_USM,Entente_Sportive_de_Sétif,2,3,1.99,2.84,4.38
