sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.anglická liga U23,2024-09-02,Sunderland_U23,Liverpool_U23,2.0,3.0,1.67,4.13,3.68
Fotbal,1.anglická liga U23,2024-09-20,Crystal_Palace_U23,Reading_U23,1.0,1.0,1.4,4.73,5.16
Fotbal,1.anglická liga U23,2024-09-20,Newcastle_U23,West_Ham_U23,0.0,1.0,3.3,3.93,1.8
Fotbal,1.anglická liga U23,2024-09-20,Nottingham_U23,Brighton_U23,0.0,1.0,1.9,3.78,3.11
Fotbal,1.anglická liga U23,2024-09-20,Southampton_U23,Norwich_U23,2.0,3.0,1.44,4.68,4.76
Fotbal,1.anglická liga U23,2024-09-20,Tottenham_U23,Fulham_U23,1.0,4.0,2.37,3.91,2.32
Fotbal,1.anglická liga U23,2024-09-21,Aston_Villa_U23,Blackburn_U23,2.0,1.0,1.43,4.79,4.76
Fotbal,1.anglická liga U23,2024-09-21,Manchester_United_U23,Manchester_City_U23,1.0,3.0,2.07,4.18,2.6
Fotbal,1.anglická liga U23,2024-09-21,Liverpool_U23,Derby_U23,3.0,1.0,1.51,4.33,4.54
Fotbal,1.anglická liga U23,2024-09-21,Chelsea_U23,West_Bromwich_U23,1.0,2.0,1.37,4.92,5.44
Fotbal,1.anglická liga U23,2024-09-22,Everton_U23,Sunderland_U23,4.0,3.0,2.54,3.91,2.18
Fotbal,1.anglická liga U23,2024-09-23,Stoke_U23,Arsenal_U23,0.0,1.0,5.42,5.13,1.35
Fotbal,1.anglická liga U23,2024-09-23,Leicester_City_U23,Middlesbrough_U23,3.0,1.0,1.65,4.24,3.71
Fotbal,1.anglická liga U23,2024-09-23,Wolves_U23,Leeds_U23,4.0,1.0,1.76,3.94,3.46
Fotbal,1.anglická liga U23,2024-09-27,Middlesbrough_U23,Brighton_U23,0.0,3.0,3.37,4.12,1.75
Fotbal,1.anglická liga U23,2024-09-27,Arsenal_U23,Liverpool_U23,0.0,3.0,2.03,3.84,2.8
Fotbal,1.anglická liga U23,2024-09-27,Fulham_U23,Sunderland_U23,5.0,2.0,1.34,5.17,5.68
Fotbal,1.anglická liga U23,2024-09-27,Manchester_City_U23,Aston_Villa_U23,4.0,1.0,2.01,4.12,2.73
Fotbal,1.anglická liga U23,2024-09-27,Newcastle_U23,Blackburn_U23,2.0,0.0,1.6,4.26,3.98
Fotbal,1.anglická liga U23,2024-09-27,Norwich_U23,Manchester_United_U23,3.0,5.0,3.11,4.25,1.81
Fotbal,1.anglická liga U23,2024-09-27,West_Bromwich_U23,Southampton_U23,1.0,1.0,3.03,4.12,1.86
Fotbal,1.anglická liga U23,2024-09-27,West_Ham_U23,Chelsea_U23,3.0,2.0,2.46,3.9,2.24
Fotbal,1.anglická liga U23,2024-09-28,Tottenham_U23,Leeds_U23,0.0,3.0,1.33,5.03,6.04
Fotbal,1.anglická liga U23,2024-09-30,Leicester_City_U23,Stoke_U23,,,1.68,4.1,3.68
Fotbal,1.anglická liga U23,2024-09-27,Leicester_City_U23,Stoke_U23,4.0,0.0,1.68,4.1,3.68
Fotbal,1.anglická liga U23,2024-09-30,Crystal_Palace_U23,Nottingham_U23,2.0,1.0,2.46,3.82,2.28
Fotbal,1.anglická liga U23,2024-09-30,Derby_U23,Wolves_U23,4.0,1.0,3.32,3.87,1.81
Fotbal,1.anglická liga U23,2024-09-30,Everton_U23,Reading_U23,3.0,3.0,1.73,4.06,3.47
Fotbal,1.anglická liga U23,2024-10-04,Fulham_U23,Chelsea_U23,0.0,6.0,1.92,4.13,2.88
Fotbal,1.anglická liga U23,2024-10-04,Nottingham_U23,Southampton_U23,0.0,2.0,1.67,3.96,3.85
Fotbal,1.anglická liga U23,2024-10-04,Stoke_U23,Middlesbrough_U23,1.0,3.0,2.84,3.85,2.01
Fotbal,1.anglická liga U23,2024-10-04,Wolves_U23,Everton_U23,4.0,2.0,2.18,3.77,2.6
Fotbal,1.anglická liga U23,2024-10-04,Blackburn_U23,Leicester_City_U23,3.0,2.0,2.29,3.8,2.44
Fotbal,1.anglická liga U23,2024-10-04,Leeds_U23,West_Bromwich_U23,2.0,1.0,2.13,3.87,2.63
Fotbal,1.anglická liga U23,2024-10-05,Aston_Villa_U23,Newcastle_U23,2.0,3.0,1.29,5.2,6.69
Fotbal,1.anglická liga U23,2024-10-05,Arsenal_U23,Tottenham_U23,2.0,5.0,1.73,4.08,3.45
Fotbal,1.anglická liga U23,2024-10-05,Brighton_U23,Crystal_Palace_U23,10.0,0.0,1.73,4.07,3.48
Fotbal,1.anglická liga U23,2024-10-05,Manchester_City_U23,West_Ham_U23,4.0,1.0,1.83,3.95,3.21
Fotbal,1.anglická liga U23,2024-10-06,Manchester_United_U23,Liverpool_U23,0.0,1.0,1.84,4.07,3.1
Fotbal,1.anglická liga U23,2024-10-07,Reading_U23,Norwich_U23,1.0,2.0,3.47,4.24,1.7
