sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.arménská liga,2024-09-13,BKMA,Van_Yerevan,0.0,1.0,3.83,3.48,1.77
Fotbal,1.arménská liga,2024-09-13,West_Armenia,Pyunik_Yerevan,1.0,3.0,13.4,7.48,1.14
Fotbal,1.arménská liga,2024-09-14,Gandzasar_Kapan,Ararat-Armenia,0.0,3.0,10.7,6.2,1.19
Fotbal,1.arménská liga,2024-09-14,Shirak_Gyumri,Urartu_Yerevan,0.0,2.0,4.18,3.15,1.8
Fotbal,1.arménská liga,2024-09-15,Ararat_Yerevan,Noah,2.0,1.0,6.36,4.01,1.41
Fotbal,1.arménská liga,2024-09-18,Alashkert_FC,Gandzasar_Kapan,2.0,2.0,1.18,6.07,12.2
Fotbal,1.arménská liga,2024-09-18,Urartu_Yerevan,West_Armenia,1.0,2.0,1.12,7.55,16.1
Fotbal,1.arménská liga,2024-09-19,Van_Yerevan,Noah,1.0,1.0,3.76,3.44,1.8
Fotbal,1.arménská liga,2024-09-19,Ararat-Armenia,Shirak_Gyumri,4.0,0.0,1.23,5.29,9.9
Fotbal,1.arménská liga,2024-09-20,Pyunik_Yerevan,BKMA,4.0,1.0,1.15,6.62,13.9
Fotbal,1.arménská liga,2024-09-23,Ararat_Yerevan,Van_Yerevan,0.0,3.0,2.1,2.93,3.39
Fotbal,1.arménská liga,2024-09-23,Shirak_Gyumri,Alashkert_FC,0.0,0.0,3.94,3.24,1.81
Fotbal,1.arménská liga,2024-09-24,West_Armenia,Ararat-Armenia,1.0,2.0,8.43,5.44,1.24
Fotbal,1.arménská liga,2024-09-24,Noah,Pyunik_Yerevan,2.0,0.0,1.74,3.3,4.26
Fotbal,1.arménská liga,2024-09-25,BKMA,Urartu_Yerevan,2.0,1.0,6.55,4.45,1.35
Fotbal,1.arménská liga,2024-09-27,Gandzasar_Kapan,Shirak_Gyumri,1.0,2.0,5.94,4.27,1.4
Fotbal,1.arménská liga,2024-09-28,Alashkert_FC,West_Armenia,0.0,2.0,1.45,4.14,5.36
Fotbal,1.arménská liga,2024-09-28,Pyunik_Yerevan,Ararat_Yerevan,3.0,0.0,1.54,3.67,5.1
Fotbal,1.arménská liga,2024-09-29,Ararat-Armenia,BKMA,2.0,0.0,1.21,5.64,10.3
Fotbal,1.arménská liga,2024-09-29,Urartu_Yerevan,Noah,2.0,1.0,4.18,3.39,1.73
Fotbal,1.arménská liga,2024-10-03,Ararat-Armenia,Pyunik_Yerevan,1.0,3.0,2.32,2.93,2.96
Fotbal,1.arménská liga,2024-10-06,Van_Yerevan,Pyunik_Yerevan,1.0,3.0,3.74,3.29,1.85
Fotbal,1.arménská liga,2024-10-06,Ararat_Yerevan,Urartu_Yerevan,0.0,1.0,4.16,3.2,1.78
Fotbal,1.arménská liga,2024-10-07,BKMA,Alashkert_FC,1.0,0.0,3.34,3.28,1.97
Fotbal,1.arménská liga,2024-10-07,West_Armenia,Gandzasar_Kapan,2.0,0.0,1.61,3.6,4.6
Fotbal,1.arménská liga,2024-10-16,Alashkert_FC,Noah,0.0,6.0,4.4,3.39,1.69
Fotbal,1.arménská liga,2024-10-16,Urartu_Yerevan,Van_Yerevan,3.0,1.0,1.68,3.36,4.49
Fotbal,1.arménská liga,2024-10-17,Shirak_Gyumri,West_Armenia,2.0,0.0,1.56,3.7,4.86
Fotbal,1.arménská liga,2024-10-18,Ararat-Armenia,Ararat_Yerevan,3.0,2.0,1.42,4.04,6.03
Fotbal,1.arménská liga,2024-10-19,Gandzasar_Kapan,BKMA,1.0,6.0,4.6,4.2,1.52
Fotbal,1.arménská liga,2024-10-20,Noah,Van_Yerevan,5.0,0.0,1.31,4.63,7.61
Fotbal,1.arménská liga,2024-10-21,West_Armenia,Urartu_Yerevan,2.0,2.0,11.9,6.52,1.17
Fotbal,1.arménská liga,2024-10-22,Shirak_Gyumri,Ararat-Armenia,0.0,3.0,5.59,3.87,1.47
Fotbal,1.arménská liga,2024-10-23,Gandzasar_Kapan,Alashkert_FC,0.0,1.0,8.05,4.84,1.28
Fotbal,1.arménská liga,2024-10-23,BKMA,Pyunik_Yerevan,1.0,2.0,6.62,4.71,1.33
Fotbal,1.arménská liga,2024-10-26,Urartu_Yerevan,Ararat_Yerevan,1.0,0.0,1.64,3.41,4.68
Fotbal,1.arménská liga,2024-10-27,Alashkert_FC,BKMA,2.0,0.0,1.95,3.3,3.37
Fotbal,1.arménská liga,2024-10-27,Gandzasar_Kapan,West_Armenia,0.0,1.0,3.39,3.47,1.89
Fotbal,1.arménská liga,2024-10-28,Pyunik_Yerevan,Van_Yerevan,1.0,0.0,1.31,4.43,8.13
Fotbal,1.arménská liga,2024-10-28,Ararat-Armenia,Noah,0.0,1.0,2.11,3.18,3.1
Fotbal,1.arménská liga,2024-10-31,West_Armenia,Alashkert_FC,2.0,0.0,3.25,3.27,2.0
Fotbal,1.arménská liga,2024-10-31,Shirak_Gyumri,Gandzasar_Kapan,0.0,0.0,1.33,4.42,7.27
Fotbal,1.arménská liga,2024-11-01,Noah,Urartu_Yerevan,2.0,1.0,1.47,3.98,5.31
Fotbal,1.arménská liga,2024-11-02,Ararat_Yerevan,Pyunik_Yerevan,0.0,2.0,5.79,3.8,1.46
Fotbal,1.arménská liga,2024-11-02,BKMA,Ararat-Armenia,2.0,4.0,8.54,5.32,1.25
Fotbal,1.arménská liga,2024-11-04,Alashkert_FC,Shirak_Gyumri,1.0,3.0,2.38,2.84,2.98
Fotbal,1.arménská liga,2024-11-05,Van_Yerevan,Ararat_Yerevan,4.0,0.0,2.0,3.1,3.44
Fotbal,1.arménská liga,2024-11-06,Ararat-Armenia,West_Armenia,3.0,0.0,1.09,8.72,17.7
Fotbal,1.arménská liga,2024-11-06,Urartu_Yerevan,BKMA,4.0,2.0,1.3,4.68,7.82
Fotbal,1.arménská liga,2024-11-07,Gandzasar_Kapan,Pyunik_Yerevan,0.0,5.0,17.9,9.44,1.08
Fotbal,1.arménská liga,2024-11-09,West_Armenia,Shirak_Gyumri,0.0,0.0,3.21,3.51,1.94
Fotbal,1.arménská liga,2024-11-10,Ararat_Yerevan,Ararat-Armenia,0.0,0.0,8.74,5.12,1.25
Fotbal,1.arménská liga,2024-11-10,Noah,Alashkert_FC,4.0,0.0,1.08,9.13,19.5
Fotbal,1.arménská liga,2024-11-11,Van_Yerevan,Urartu_Yerevan,3.0,1.0,3.49,3.52,1.84
Fotbal,1.arménská liga,2024-11-20,Urartu_Yerevan,Shirak_Gyumri,1.0,2.0,1.46,3.94,5.52
Fotbal,1.arménská liga,2024-11-20,Noah,Ararat_Yerevan,4.0,0.0,1.14,7.1,15.3
Fotbal,1.arménská liga,2024-11-21,Pyunik_Yerevan,West_Armenia,,,1.05,11.6,25.9
Fotbal,1.arménská liga,2024-11-21,Ararat-Armenia,Gandzasar_Kapan,3.0,0.0,1.0,19.2,33.0
Fotbal,1.arménská liga,2024-11-22,Van_Yerevan,BKMA,2.0,3.0,1.6,3.76,4.44
Fotbal,1.arménská liga,2024-11-24,Pyunik_Yerevan,Noah,1.0,3.0,2.93,3.0,2.3
Fotbal,1.arménská liga,2024-11-26,West_Armenia,Van_Yerevan,0.0,2.0,3.94,3.76,1.69
Fotbal,1.arménská liga,2024-11-27,Alashkert_FC,Ararat-Armenia,2.0,2.0,10.0,5.58,1.22
Fotbal,1.arménská liga,2024-11-27,BKMA,Ararat_Yerevan,1.0,1.0,3.17,3.47,1.96
Fotbal,1.arménská liga,2024-11-28,Gandzasar_Kapan,Urartu_Yerevan,0.0,4.0,20.1,8.73,1.09
Fotbal,1.arménská liga,2024-11-28,Shirak_Gyumri,Pyunik_Yerevan,1.0,0.0,5.85,3.63,1.48
Fotbal,1.arménská liga,2024-12-02,Van_Yerevan,Shirak_Gyumri,1.0,0.0,1.85,3.34,3.64
Fotbal,1.arménská liga,2024-12-02,Pyunik_Yerevan,Gandzasar_Kapan,,,1.08,11.1,15.5
Fotbal,1.arménská liga,2024-12-03,Ararat_Yerevan,West_Armenia,2.0,3.0,1.56,3.56,5.08
Fotbal,1.arménská liga,2024-12-03,Urartu_Yerevan,Alashkert_FC,1.0,0.0,1.33,4.38,7.35
Fotbal,1.arménská liga,2024-12-04,Noah,Ararat-Armenia,2.0,1.0,1.83,3.44,3.61
Fotbal,1.arménská liga,2025-02-24,West_Armenia,Noah,0.0,4.0,11.8,7.24,1.16
Fotbal,1.arménská liga,2025-02-25,Alashkert_FC,Pyunik_Yerevan,0.0,2.0,6.16,4.16,1.4
Fotbal,1.arménská liga,2025-02-25,Ararat-Armenia,Urartu_Yerevan,1.0,2.0,1.77,3.36,3.96
Fotbal,1.arménská liga,2025-03-01,Van_Yerevan,Alashkert_FC,1.0,1.0,1.89,3.29,3.58
Fotbal,1.arménská liga,2025-03-01,Pyunik_Yerevan,Ararat-Armenia,1.0,2.0,2.1,3.42,2.94
Fotbal,1.arménská liga,2025-03-02,West_Armenia,BKMA,1.0,0.0,2.91,3.78,1.99
Fotbal,1.arménská liga,2025-03-02,Noah,Shirak_Gyumri,4.0,0.0,1.25,4.95,9.67
Fotbal,1.arménská liga,2025-03-08,Alashkert_FC,Ararat_Yerevan,0.0,1.0,2.28,3.04,2.92
Fotbal,1.arménská liga,2025-03-08,Shirak_Gyumri,BKMA,0.0,0.0,1.83,3.15,4.02
Fotbal,1.arménská liga,2025-03-09,Pyunik_Yerevan,Urartu_Yerevan,0.0,3.0,2.11,3.06,3.2
Fotbal,1.arménská liga,2025-03-10,Ararat-Armenia,Van_Yerevan,1.0,1.0,1.35,4.4,6.78
Fotbal,1.arménská liga,2025-03-13,Ararat_Yerevan,BKMA,1.0,1.0,2.22,2.99,3.06
Fotbal,1.arménská liga,2025-03-14,Pyunik_Yerevan,Shirak_Gyumri,6.0,1.0,1.35,4.11,7.55
Fotbal,1.arménská liga,2025-03-15,Ararat-Armenia,Alashkert_FC,3.0,0.0,1.26,5.01,8.42
Fotbal,1.arménská liga,2025-03-16,Van_Yerevan,West_Armenia,2.0,0.0,1.26,4.96,8.99
Fotbal,1.arménská liga,2025-03-27,BKMA,West_Armenia,3.0,0.0,1.74,3.63,3.78
Fotbal,1.arménská liga,2025-03-28,Ararat-Armenia,Pyunik_Yerevan,3.0,2.0,2.1,3.03,3.27
Fotbal,1.arménská liga,2025-03-29,Alashkert_FC,Van_Yerevan,2.0,2.0,6.81,4.35,1.35
Fotbal,1.arménská liga,2025-03-29,Shirak_Gyumri,Noah,1.0,2.0,9.9,5.18,1.24
