sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.australská liga,2024-10-18,Central_Coast_Mariners,Melbourne_Victory,0.0,0.0,2.98,3.61,2.21
Fotbal,1.australská liga,2024-10-19,Auckland_FC,Brisbane,2.0,0.0,2.22,3.53,3.01
Fotbal,1.australská liga,2024-10-19,Newcastle,Melbourne_City,0.0,1.0,3.0,3.82,2.13
Fotbal,1.australská liga,2024-10-19,Western_Sydney,Sydney_FC,1.0,2.0,3.52,4.0,1.89
Fotbal,1.australská liga,2024-10-20,Wellington_Phoenix,Western_United,1.0,1.0,2.04,3.67,3.32
Fotbal,1.australská liga,2024-10-20,Macarthur,Perth_Glory,6.0,1.0,1.79,4.03,3.89
Fotbal,1.australská liga,2024-10-25,Macarthur,Newcastle,1.0,2.0,1.63,4.32,4.58
Fotbal,1.australská liga,2024-10-26,Adelaide_United,Central_Coast_Mariners,1.0,1.0,1.9,4.03,3.47
Fotbal,1.australská liga,2024-10-26,Melbourne_City,Melbourne_Victory,1.0,3.0,2.68,3.4,2.5
Fotbal,1.australská liga,2024-10-26,Perth_Glory,Wellington_Phoenix,0.0,2.0,2.57,3.61,2.5
Fotbal,1.australská liga,2024-10-27,Auckland_FC,Sydney_FC,1.0,0.0,2.77,3.87,2.25
Fotbal,1.australská liga,2024-10-27,Western_United,Western_Sydney,1.0,1.0,2.72,3.73,2.33
Fotbal,1.australská liga,2024-11-01,Brisbane,Sydney_FC,2.0,3.0,2.96,3.44,2.29
Fotbal,1.australská liga,2024-11-02,Central_Coast_Mariners,Perth_Glory,0.0,0.0,1.69,4.15,4.36
Fotbal,1.australská liga,2024-11-02,Western_Sydney,Adelaide_United,3.0,4.0,2.3,3.86,2.7
Fotbal,1.australská liga,2024-11-03,Melbourne_Victory,Macarthur,2.0,1.0,1.78,3.74,4.28
Fotbal,1.australská liga,2024-11-04,Western_United,Melbourne_City,0.0,1.0,3.17,3.86,2.04
Fotbal,1.australská liga,2024-11-02,Wellington_Phoenix,Auckland_FC,0.0,2.0,2.59,3.32,2.64
Fotbal,1.australská liga,2024-11-08,Western_Sydney,Newcastle,4.0,1.0,2.04,3.83,3.19
Fotbal,1.australská liga,2024-11-09,Melbourne_Victory,Brisbane,2.0,0.0,1.58,4.25,5.13
Fotbal,1.australská liga,2024-11-09,Adelaide_United,Western_United,2.0,1.0,1.74,4.16,4.04
Fotbal,1.australská liga,2024-11-10,Central_Coast_Mariners,Wellington_Phoenix,0.0,3.0,2.4,3.26,2.91
Fotbal,1.australská liga,2024-11-10,Sydney_FC,Macarthur,1.0,2.0,1.72,4.15,4.18
Fotbal,1.australská liga,2024-11-10,Perth_Glory,Melbourne_City,0.0,5.0,2.77,3.61,2.34
Fotbal,1.australská liga,2024-11-22,Perth_Glory,Western_United,1.0,3.0,4.25,4.07,1.72
Fotbal,1.australská liga,2024-11-22,Newcastle,Central_Coast_Mariners,1.0,2.0,3.07,3.28,2.29
Fotbal,1.australská liga,2024-11-23,Brisbane,Adelaide_United,2.0,3.0,3.48,4.03,1.9
Fotbal,1.australská liga,2024-11-23,Sydney_FC,Western_Sydney,4.0,2.0,1.66,4.31,4.42
Fotbal,1.australská liga,2024-11-24,Wellington_Phoenix,Melbourne_Victory,1.0,0.0,4.41,3.44,1.83
Fotbal,1.australská liga,2024-11-24,Macarthur,Auckland_FC,0.0,1.0,2.81,3.44,2.39
Fotbal,1.australská liga,2024-11-29,Adelaide_United,Perth_Glory,2.0,2.0,1.31,5.64,8.07
Fotbal,1.australská liga,2024-11-30,Auckland_FC,Newcastle,2.0,0.0,1.55,4.17,5.51
Fotbal,1.australská liga,2024-11-30,Melbourne_City,Western_Sydney,0.0,2.0,1.88,4.09,3.48
Fotbal,1.australská liga,2024-11-30,Western_United,Melbourne_Victory,,,4.23,3.94,1.75
Fotbal,1.australská liga,2024-11-30,Macarthur,Brisbane,4.0,4.0,1.86,4.03,3.61
Fotbal,1.australská liga,2024-12-01,Western_United,Melbourne_Victory,1.0,3.0,4.27,3.86,1.75
Fotbal,1.australská liga,2024-12-06,Brisbane,Melbourne_City,1.0,4.0,2.96,3.86,2.14
Fotbal,1.australská liga,2024-12-07,Auckland_FC,Wellington_Phoenix,2.0,1.0,1.72,3.58,4.91
Fotbal,1.australská liga,2024-12-07,Newcastle,Adelaide_United,0.0,1.0,3.84,4.29,1.76
Fotbal,1.australská liga,2024-12-07,Western_United,Macarthur,0.0,0.0,2.56,3.7,2.47
Fotbal,1.australská liga,2024-12-08,Melbourne_Victory,Perth_Glory,2.0,0.0,1.24,6.14,10.1
Fotbal,1.australská liga,2024-12-08,Central_Coast_Mariners,Sydney_FC,2.0,1.0,3.87,3.68,1.88
Fotbal,1.australská liga,2024-12-13,Central_Coast_Mariners,Adelaide_United,0.0,4.0,2.93,3.82,2.17
Fotbal,1.australská liga,2024-12-14,Wellington_Phoenix,Macarthur,1.0,2.0,2.01,3.64,3.41
Fotbal,1.australská liga,2024-12-14,Sydney_FC,Western_United,3.0,4.0,1.5,4.83,5.25
Fotbal,1.australská liga,2024-12-14,Western_Sydney,Brisbane,2.0,2.0,1.69,4.17,4.31
Fotbal,1.australská liga,2024-12-14,Perth_Glory,Newcastle,0.0,4.0,2.65,3.77,2.36
Fotbal,1.australská liga,2024-12-15,Melbourne_City,Auckland_FC,2.0,2.0,2.56,3.36,2.64
Fotbal,1.australská liga,2024-12-20,Adelaide_United,Sydney_FC,3.0,3.0,2.03,4.24,3.0
Fotbal,1.australská liga,2024-12-21,Auckland_FC,Western_United,0.0,4.0,1.56,4.36,5.13
Fotbal,1.australská liga,2024-12-21,Brisbane,Perth_Glory,0.0,1.0,1.36,5.16,7.36
Fotbal,1.australská liga,2024-12-21,Melbourne_Victory,Melbourne_City,1.0,1.0,1.95,3.63,3.62
Fotbal,1.australská liga,2024-12-22,Western_Sydney,Wellington_Phoenix,4.0,1.0,2.15,3.58,3.12
Fotbal,1.australská liga,2024-12-23,Macarthur,Central_Coast_Mariners,1.0,1.0,1.92,3.74,3.62
Fotbal,1.australská liga,2024-12-27,Adelaide_United,Western_Sydney,2.0,3.0,1.63,4.57,4.37
Fotbal,1.australská liga,2024-12-27,Perth_Glory,Macarthur,0.0,3.0,3.64,4.14,1.83
Fotbal,1.australská liga,2024-12-28,Wellington_Phoenix,Newcastle,2.0,1.0,1.92,3.77,3.59
Fotbal,1.australská liga,2024-12-28,Central_Coast_Mariners,Auckland_FC,1.0,4.0,2.99,3.05,2.47
Fotbal,1.australská liga,2024-12-28,Sydney_FC,Melbourne_Victory,3.0,0.0,2.8,3.77,2.26
Fotbal,1.australská liga,2024-12-29,Western_United,Brisbane,1.0,0.0,1.73,4.17,4.1
Fotbal,1.australská liga,2024-12-31,Central_Coast_Mariners,Melbourne_City,1.0,1.0,2.96,3.32,2.34
Fotbal,1.australská liga,2025-01-01,Auckland_FC,Melbourne_Victory,0.0,0.0,2.44,3.3,2.84
Fotbal,1.australská liga,2025-01-01,Western_Sydney,Macarthur,2.0,3.0,2.22,3.89,2.8
Fotbal,1.australská liga,2025-01-03,Melbourne_City,Wellington_Phoenix,2.0,0.0,1.86,3.55,4.08
Fotbal,1.australská liga,2025-01-03,Brisbane,Central_Coast_Mariners,1.0,3.0,2.38,3.31,2.9
Fotbal,1.australská liga,2025-01-03,Perth_Glory,Western_United,2.0,3.0,4.88,4.44,1.58
Fotbal,1.australská liga,2025-01-04,Newcastle,Sydney_FC,2.0,2.0,3.4,4.21,1.88
Fotbal,1.australská liga,2025-01-04,Melbourne_Victory,Western_Sydney,2.0,2.0,1.69,4.25,4.23
Fotbal,1.australská liga,2025-01-06,Macarthur,Adelaide_United,1.0,2.0,2.53,3.85,2.44
Fotbal,1.australská liga,2025-01-07,Melbourne_City,Western_United,2.0,0.0,2.26,3.51,2.95
Fotbal,1.australská liga,2025-01-07,Brisbane,Newcastle,0.0,1.0,2.33,3.7,2.74
Fotbal,1.australská liga,2025-01-08,Sydney_FC,Perth_Glory,3.0,0.0,1.22,6.87,10.2
Fotbal,1.australská liga,2025-01-10,Melbourne_Victory,Western_United,3.0,4.0,1.75,4.06,4.07
Fotbal,1.australská liga,2025-01-11,Wellington_Phoenix,Adelaide_United,1.0,2.0,3.82,3.73,1.88
Fotbal,1.australská liga,2025-01-11,Melbourne_City,Brisbane,1.0,0.0,1.49,4.42,5.91
Fotbal,1.australská liga,2025-01-11,Sydney_FC,Central_Coast_Mariners,4.0,1.0,1.6,4.19,4.94
Fotbal,1.australská liga,2025-01-11,Perth_Glory,Auckland_FC,1.0,0.0,6.61,4.73,1.42
Fotbal,1.australská liga,2025-01-12,Newcastle,Macarthur,1.0,3.0,2.67,3.76,2.36
Fotbal,1.australská liga,2025-01-14,Perth_Glory,Western_Sydney,1.0,2.0,5.06,4.84,1.51
Fotbal,1.australská liga,2025-01-15,Wellington_Phoenix,Sydney_FC,0.0,0.0,4.49,4.27,1.65
Fotbal,1.australská liga,2025-01-17,Western_United,Newcastle,3.0,1.0,1.61,4.18,4.93
Fotbal,1.australská liga,2025-01-17,Western_Sydney,Central_Coast_Mariners,1.0,3.0,1.88,3.74,3.78
Fotbal,1.australská liga,2025-01-18,Auckland_FC,Melbourne_City,3.0,0.0,2.23,3.29,3.18
Fotbal,1.australská liga,2025-01-18,Sydney_FC,Brisbane,3.0,4.0,1.5,4.68,5.41
Fotbal,1.australská liga,2025-01-18,Adelaide_United,Melbourne_Victory,3.0,2.0,2.02,4.03,3.12
Fotbal,1.australská liga,2025-01-20,Macarthur,Wellington_Phoenix,1.0,2.0,1.67,4.06,4.57
Fotbal,1.australská liga,2025-01-22,Adelaide_United,Auckland_FC,2.0,2.0,2.04,3.49,3.46
Fotbal,1.australská liga,2025-01-24,Melbourne_Victory,Sydney_FC,2.0,0.0,2.06,4.03,3.03
Fotbal,1.australská liga,2025-01-25,Wellington_Phoenix,Central_Coast_Mariners,0.0,0.0,2.82,3.33,2.43
Fotbal,1.australská liga,2025-01-25,Newcastle,Perth_Glory,2.0,2.0,1.67,4.21,4.4
Fotbal,1.australská liga,2025-01-25,Macarthur,Melbourne_City,1.0,0.0,2.53,3.52,2.59
Fotbal,1.australská liga,2025-01-26,Western_Sydney,Auckland_FC,0.0,1.0,2.61,3.57,2.49
Fotbal,1.australská liga,2025-01-29,Western_United,Central_Coast_Mariners,2.0,2.0,1.78,3.82,4.16
Fotbal,1.australská liga,2025-01-31,Brisbane,Western_Sydney,0.0,1.0,2.63,3.91,2.33
Fotbal,1.australská liga,2025-02-01,Auckland_FC,Macarthur,2.0,1.0,1.7,3.97,4.46
Fotbal,1.australská liga,2025-02-01,Sydney_FC,Adelaide_United,4.0,1.0,2.06,4.07,3.01
Fotbal,1.australská liga,2025-02-01,Central_Coast_Mariners,Newcastle,2.0,2.0,2.46,3.45,2.71
Fotbal,1.australská liga,2025-02-01,Perth_Glory,Melbourne_Victory,0.0,2.0,6.36,5.07,1.41
Fotbal,1.australská liga,2025-02-06,Wellington_Phoenix,Brisbane,1.0,1.0,2.44,3.45,2.73
Fotbal,1.australská liga,2025-02-07,Adelaide_United,Melbourne_City,1.0,0.0,2.02,3.99,3.15
Fotbal,1.australská liga,2025-02-07,Perth_Glory,Central_Coast_Mariners,1.0,1.0,2.94,3.7,2.2
Fotbal,1.australská liga,2025-02-08,Newcastle,Melbourne_Victory,3.0,0.0,3.86,3.99,1.81
Fotbal,1.australská liga,2025-02-08,Sydney_FC,Western_Sydney,3.0,3.0,1.84,4.2,3.56
Fotbal,1.australská liga,2025-02-09,Macarthur,Western_United,2.0,2.0,2.58,3.79,2.42
