sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.azerbajdžánská liga,2024-09-14,Araz_Nahcivan,Kapaz_Ganca_FC,,,1.53,3.51,5.44
Fotbal,1.azerbajdžánská liga,2024-09-13,Araz_Nahcivan,Kapaz_Ganca_FC,1.0,0.0,1.48,3.72,5.65
Fotbal,1.azerbajdžánská liga,2024-09-14,Shamakhi,Sumgayet_Khazar,1.0,0.0,3.32,2.85,2.18
Fotbal,1.azerbajdžánská liga,2024-09-14,Garabag-Azersun_Agdam,Sabail_Baku,2.0,1.0,1.12,7.86,14.8
Fotbal,1.azerbajdžánská liga,2024-09-15,Zira_IK,Neftci_Baku,2.0,0.0,2.23,2.76,3.35
Fotbal,1.azerbajdžánská liga,2024-09-15,Sabah_FK,Turan_Tovuz,2.0,2.0,1.64,3.24,4.96
Fotbal,1.azerbajdžánská liga,2024-09-20,Kapaz_Ganca_FC,Shamakhi,0.0,2.0,3.57,2.86,2.08
Fotbal,1.azerbajdžánská liga,2024-09-20,Garabag-Azersun_Agdam,Neftci_Baku,4.0,0.0,1.24,5.31,8.89
Fotbal,1.azerbajdžánská liga,2024-09-21,Turan_Tovuz,Araz_Nahcivan,1.0,2.0,1.74,3.09,4.57
Fotbal,1.azerbajdžánská liga,2024-09-22,Sabail_Baku,Sabah_FK,2.0,4.0,4.25,3.47,1.7
Fotbal,1.azerbajdžánská liga,2024-09-22,Sumgayet_Khazar,Zira_IK,0.0,2.0,3.83,2.76,2.05
Fotbal,1.azerbajdžánská liga,2024-09-27,Araz_Nahcivan,Sabail_Baku,3.0,2.0,1.86,3.14,3.88
Fotbal,1.azerbajdžánská liga,2024-09-28,Zira_IK,Kapaz_Ganca_FC,3.0,0.0,1.32,4.36,7.98
Fotbal,1.azerbajdžánská liga,2024-09-28,Neftci_Baku,Sumgayet_Khazar,1.0,1.0,1.66,3.22,4.84
Fotbal,1.azerbajdžánská liga,2024-09-29,Shamakhi,Turan_Tovuz,2.0,2.0,2.78,2.7,2.68
Fotbal,1.azerbajdžánská liga,2024-09-29,Garabag-Azersun_Agdam,Sabah_FK,3.0,2.0,1.39,4.32,5.98
Fotbal,1.azerbajdžánská liga,2024-10-04,Kapaz_Ganca_FC,Neftci_Baku,4.0,3.0,3.81,3.56,1.76
Fotbal,1.azerbajdžánská liga,2024-10-05,Sabail_Baku,Shamakhi,2.0,0.0,2.49,2.94,2.75
Fotbal,1.azerbajdžánská liga,2024-10-05,Sabah_FK,Araz_Nahcivan,1.0,1.0,1.56,3.59,4.99
Fotbal,1.azerbajdžánská liga,2024-10-06,Turan_Tovuz,Zira_IK,1.0,0.0,2.76,2.68,2.72
Fotbal,1.azerbajdžánská liga,2024-10-06,Sumgayet_Khazar,Garabag-Azersun_Agdam,0.0,1.0,8.75,5.4,1.24
Fotbal,1.azerbajdžánská liga,2024-10-18,Kapaz_Ganca_FC,Garabag-Azersun_Agdam,0.0,5.0,12.6,7.59,1.14
Fotbal,1.azerbajdžánská liga,2024-10-19,Shamakhi,Araz_Nahcivan,0.0,1.0,4.63,3.12,1.72
Fotbal,1.azerbajdžánská liga,2024-10-19,Neftci_Baku,Sabail_Baku,3.0,1.0,1.46,3.97,5.57
Fotbal,1.azerbajdžánská liga,2024-10-20,Zira_IK,Sabah_FK,1.0,1.0,2.39,2.79,3.02
Fotbal,1.azerbajdžánská liga,2024-10-20,Sumgayet_Khazar,Turan_Tovuz,2.0,4.0,3.15,2.86,2.26
Fotbal,1.azerbajdžánská liga,2024-10-25,Turan_Tovuz,Kapaz_Ganca_FC,2.0,1.0,1.34,4.28,7.37
Fotbal,1.azerbajdžánská liga,2024-10-26,Araz_Nahcivan,Zira_IK,1.0,1.0,3.24,2.65,2.36
Fotbal,1.azerbajdžánská liga,2024-10-26,Sabail_Baku,Sumgayet_Khazar,0.0,1.0,2.96,2.95,2.31
Fotbal,1.azerbajdžánská liga,2024-10-27,Sabah_FK,Neftci_Baku,0.0,0.0,2.02,3.2,3.27
Fotbal,1.azerbajdžánská liga,2024-10-27,Garabag-Azersun_Agdam,Shamakhi,3.0,0.0,1.12,7.75,14.6
Fotbal,1.azerbajdžánská liga,2024-11-01,Turan_Tovuz,Garabag-Azersun_Agdam,0.0,0.0,6.01,4.39,1.38
Fotbal,1.azerbajdžánská liga,2024-11-01,Neftci_Baku,Araz_Nahcivan,0.0,1.0,1.97,3.02,3.64
Fotbal,1.azerbajdžánská liga,2024-11-02,Shamakhi,Zira_IK,0.0,2.0,4.27,2.94,1.86
Fotbal,1.azerbajdžánská liga,2024-11-03,Kapaz_Ganca_FC,Sabail_Baku,1.0,0.0,2.31,3.24,2.73
