sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.bahrajnská liga,2024-09-21,Al_Riffa,Al-Najma,3.0,0.0,1.32,4.96,8.06
Fotbal,1.bahrajnská liga,2024-09-21,East_Riffa,Malkiya,1.0,2.0,2.31,3.1,3.02
Fotbal,1.bahrajnská liga,2024-09-21,Sitra,A'Ali,2.0,1.0,2.2,3.24,3.1
Fotbal,1.bahrajnská liga,2024-09-22,Al_Ahli_Manama,Bahrain_SC,0.0,1.0,1.81,3.31,4.38
Fotbal,1.bahrajnská liga,2024-09-22,Al-Muharraq,Al_Shabbab_Manama,3.0,0.0,1.59,3.8,5.2
Fotbal,1.bahrajnská liga,2024-09-22,Manama,Khalidiya,0.0,5.0,3.56,3.19,2.04
Fotbal,1.bahrajnská liga,2024-09-26,Bahrain_SC,East_Riffa,2.0,1.0,2.88,2.86,2.57
Fotbal,1.bahrajnská liga,2024-09-26,Sitra,Manama,4.0,1.0,2.36,3.11,2.94
Fotbal,1.bahrajnská liga,2024-09-27,A'Ali,Al_Shabbab_Manama,1.0,2.0,2.75,3.39,2.35
Fotbal,1.bahrajnská liga,2024-09-27,Khalidiya,Al_Riffa,1.0,0.0,2.3,3.09,3.06
Fotbal,1.bahrajnská liga,2024-09-27,Al-Najma,Al_Ahli_Manama,2.0,3.0,3.24,3.47,2.05
Fotbal,1.bahrajnská liga,2024-09-27,Malkiya,Al-Muharraq,1.0,1.0,4.97,3.62,1.64
Fotbal,1.bahrajnská liga,2024-10-02,East_Riffa,Al-Najma,2.0,4.0,2.29,3.43,2.8
Fotbal,1.bahrajnská liga,2024-10-02,Manama,A'Ali,2.0,2.0,2.45,3.21,2.75
Fotbal,1.bahrajnská liga,2024-10-03,Al_Shabbab_Manama,Malkiya,0.0,0.0,2.73,3.19,2.47
Fotbal,1.bahrajnská liga,2024-10-20,Al-Muharraq,Bahrain_SC,7.0,2.0,1.82,3.44,4.07
Fotbal,1.bahrajnská liga,2024-10-21,Sitra,Al_Ahli_Manama,3.0,1.0,2.61,3.14,2.61
Fotbal,1.bahrajnská liga,2024-10-25,A'Ali,Malkiya,2.0,1.0,4.26,3.28,1.84
Fotbal,1.bahrajnská liga,2024-10-26,Al-Najma,Al-Muharraq,0.0,0.0,5.01,4.31,1.53
Fotbal,1.bahrajnská liga,2024-10-26,Bahrain_SC,Al_Shabbab_Manama,1.0,2.0,2.91,2.98,2.47
Fotbal,1.bahrajnská liga,2024-10-27,Khalidiya,East_Riffa,2.0,1.0,1.33,4.66,8.41
Fotbal,1.bahrajnská liga,2024-10-28,Manama,Al_Riffa,0.0,0.0,4.59,3.56,1.71
Fotbal,1.bahrajnská liga,2024-11-01,Al-Muharraq,Khalidiya,,,2.98,3.31,2.23
Fotbal,1.bahrajnská liga,2024-11-23,Al-Muharraq,Khalidiya,3.0,1.0,4.72,3.78,1.64
Fotbal,1.bahrajnská liga,2024-11-23,Al_Riffa,A'Ali,3.0,0.0,1.33,4.68,8.3
Fotbal,1.bahrajnská liga,2024-11-24,Al_Ahli_Manama,Manama,2.0,0.0,2.26,2.94,3.29
Fotbal,1.bahrajnská liga,2024-11-24,Al_Shabbab_Manama,Al-Najma,0.0,2.0,2.38,3.37,2.72
Fotbal,1.bahrajnská liga,2024-11-25,East_Riffa,Sitra,0.0,2.0,2.72,3.39,2.37
Fotbal,1.bahrajnská liga,2024-12-01,Malkiya,Bahrain_SC,0.0,0.0,2.41,2.93,3.04
Fotbal,1.bahrajnská liga,2024-12-07,A'Ali,Bahrain_SC,0.0,2.0,2.7,3.0,2.62
Fotbal,1.bahrajnská liga,2024-12-07,Sitra,Al-Muharraq,0.0,2.0,3.6,3.26,2.0
Fotbal,1.bahrajnská liga,2024-12-08,Al-Najma,Malkiya,5.0,1.0,2.58,3.21,2.6
Fotbal,1.bahrajnská liga,2024-12-08,Manama,East_Riffa,1.0,0.0,2.2,3.24,3.11
Fotbal,1.bahrajnská liga,2024-12-09,Khalidiya,Al_Shabbab_Manama,2.0,0.0,1.28,4.99,9.37
Fotbal,1.bahrajnská liga,2024-12-09,Al_Riffa,Al_Ahli_Manama,2.0,1.0,1.51,3.76,6.4
Fotbal,1.bahrajnská liga,2024-12-13,Al_Shabbab_Manama,Sitra,2.0,2.0,3.02,3.08,2.33
Fotbal,1.bahrajnská liga,2024-12-13,Bahrain_SC,Al-Najma,1.0,2.0,2.62,3.45,2.42
Fotbal,1.bahrajnská liga,2024-12-14,Al_Ahli_Manama,A'Ali,4.0,1.0,1.56,3.81,5.53
Fotbal,1.bahrajnská liga,2024-12-14,Al-Muharraq,Manama,3.0,0.0,1.57,3.77,5.47
Fotbal,1.bahrajnská liga,2024-12-15,East_Riffa,Al_Riffa,0.0,0.0,6.01,4.25,1.46
Fotbal,1.bahrajnská liga,2024-12-15,Malkiya,Khalidiya,2.0,1.0,6.04,4.16,1.47
Fotbal,1.bahrajnská liga,2025-01-09,Al_Ahli_Manama,East_Riffa,3.0,2.0,1.9,3.21,4.05
Fotbal,1.bahrajnská liga,2025-01-09,Sitra,Malkiya,0.0,1.0,2.09,3.22,3.37
Fotbal,1.bahrajnská liga,2025-01-10,Khalidiya,Bahrain_SC,3.0,0.0,1.29,4.88,9.35
Fotbal,1.bahrajnská liga,2025-01-10,Al_Riffa,Al-Muharraq,2.0,0.0,2.27,3.2,3.01
Fotbal,1.bahrajnská liga,2025-01-11,A'Ali,Al-Najma,1.0,3.0,4.99,4.12,1.56
Fotbal,1.bahrajnská liga,2025-01-11,Manama,Al_Shabbab_Manama,0.0,2.0,2.34,2.85,3.26
Fotbal,1.bahrajnská liga,2025-01-12,Al_Riffa,Sitra,,,1.46,4.1,6.4
Fotbal,1.bahrajnská liga,2025-01-16,East_Riffa,A'Ali,1.0,1.0,2.07,3.46,3.2
Fotbal,1.bahrajnská liga,2025-01-16,Malkiya,Manama,0.0,0.0,2.82,2.82,2.67
Fotbal,1.bahrajnská liga,2025-01-17,Al-Muharraq,Al_Ahli_Manama,3.0,2.0,1.91,3.35,3.83
Fotbal,1.bahrajnská liga,2025-01-17,Bahrain_SC,Sitra,2.0,2.0,3.2,2.96,2.3
Fotbal,1.bahrajnská liga,2025-01-18,Al-Najma,Khalidiya,1.0,3.0,4.96,4.2,1.55
Fotbal,1.bahrajnská liga,2025-01-18,Al_Shabbab_Manama,Al_Riffa,2.0,0.0,5.17,3.67,1.61
Fotbal,1.bahrajnská liga,2025-02-06,Al_Ahli_Manama,Al_Shabbab_Manama,1.0,3.0,2.05,3.19,3.51
Fotbal,1.bahrajnská liga,2025-02-06,A'Ali,Khalidiya,1.0,2.0,11.9,6.11,1.19
Fotbal,1.bahrajnská liga,2025-02-08,Manama,Bahrain_SC,1.0,1.0,2.5,3.02,2.83
Fotbal,1.bahrajnská liga,2025-02-08,Sitra,Al-Najma,0.0,0.0,2.43,3.37,2.66
Fotbal,1.bahrajnská liga,2025-02-09,Al_Riffa,Malkiya,0.0,2.0,1.41,4.19,7.41
Fotbal,1.bahrajnská liga,2025-02-09,East_Riffa,Al-Muharraq,0.0,3.0,4.51,3.83,1.66
Fotbal,1.bahrajnská liga,2025-02-14,Al-Muharraq,A'Ali,4.0,0.0,1.22,5.57,11.1
Fotbal,1.bahrajnská liga,2025-02-14,Malkiya,Al_Ahli_Manama,1.0,1.0,3.08,2.91,2.39
Fotbal,1.bahrajnská liga,2025-02-15,Al-Najma,Manama,1.0,2.0,2.87,3.17,2.37
Fotbal,1.bahrajnská liga,2025-02-15,Al_Shabbab_Manama,East_Riffa,1.0,1.0,2.18,3.2,3.18
Fotbal,1.bahrajnská liga,2025-02-23,Khalidiya,Sitra,2.0,0.0,1.35,4.59,7.87
Fotbal,1.bahrajnská liga,2025-02-23,Bahrain_SC,Al_Riffa,0.0,2.0,5.84,4.09,1.49
Fotbal,1.bahrajnská liga,2025-03-04,Al_Shabbab_Manama,Al-Muharraq,1.0,2.0,4.3,3.47,1.77
Fotbal,1.bahrajnská liga,2025-03-05,Malkiya,East_Riffa,0.0,0.0,2.17,2.75,3.81
Fotbal,1.bahrajnská liga,2025-03-05,A'Ali,Sitra,0.0,0.0,4.6,3.43,1.73
Fotbal,1.bahrajnská liga,2025-03-05,Bahrain_SC,Al_Ahli_Manama,2.0,1.0,3.34,3.14,2.13
