sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.bosensko-hercegovinská liga,2024-09-02,Borac_Banja_Luka,Gošk_NK,3.0,0.0,1.16,6.44,13.6
Fotbal,1.bosensko-hercegovinská liga,2024-09-03,Zrinjski_Mostar,Posusje_NK,1.0,0.0,1.43,3.89,6.13
Fotbal,1.bosensko-hercegovinská liga,2024-09-11,Zrinjski_Mostar,Sloga_Doboj,3.0,1.0,1.15,6.74,14.3
Fotbal,1.bosensko-hercegovinská liga,2024-09-13,Radnik_Bijeljina,Igman_Konjic,0.0,1.0,1.72,3.22,4.44
Fotbal,1.bosensko-hercegovinská liga,2024-09-14,Sloboda_Tuzla,Velez_Mostar,1.0,1.0,3.61,2.84,2.07
Fotbal,1.bosensko-hercegovinská liga,2024-09-14,Sarajevo_FK,Posusje_NK,2.0,2.0,1.38,3.92,7.53
Fotbal,1.bosensko-hercegovinská liga,2024-09-15,Sloga_Doboj,Siroki_Brijeg_NK,1.0,0.0,2.74,2.75,2.67
Fotbal,1.bosensko-hercegovinská liga,2024-09-15,Zrinjski_Mostar,Borac_Banja_Luka,1.0,1.0,2.02,2.79,3.89
Fotbal,1.bosensko-hercegovinská liga,2024-09-16,Gošk_NK,Zeljeznicar_Sarajevo,0.0,3.0,3.8,3.01,1.93
Fotbal,1.bosensko-hercegovinská liga,2024-09-20,Igman_Konjic,Sloboda_Tuzla,1.0,0.0,1.8,3.01,4.41
Fotbal,1.bosensko-hercegovinská liga,2024-09-20,Velez_Mostar,Sloga_Doboj,0.0,0.0,1.39,4.08,6.7
Fotbal,1.bosensko-hercegovinská liga,2024-09-20,Siroki_Brijeg_NK,Gošk_NK,2.0,2.0,1.57,3.65,4.84
Fotbal,1.bosensko-hercegovinská liga,2024-09-21,Borac_Banja_Luka,Sarajevo_FK,0.0,1.0,1.87,3.13,3.85
Fotbal,1.bosensko-hercegovinská liga,2024-09-21,Posusje_NK,Radnik_Bijeljina,3.0,1.0,1.86,2.89,4.37
Fotbal,1.bosensko-hercegovinská liga,2024-09-21,Zeljeznicar_Sarajevo,Zrinjski_Mostar,0.0,2.0,2.68,2.82,2.65
Fotbal,1.bosensko-hercegovinská liga,2024-09-24,Radnik_Bijeljina,Sloboda_Tuzla,2.0,0.0,1.67,3.16,4.91
Fotbal,1.bosensko-hercegovinská liga,2024-09-24,Gošk_NK,Velez_Mostar,0.0,4.0,4.49,3.52,1.64
Fotbal,1.bosensko-hercegovinská liga,2024-09-24,Zrinjski_Mostar,Siroki_Brijeg_NK,3.0,0.0,1.27,4.77,9.24
Fotbal,1.bosensko-hercegovinská liga,2024-09-25,Sloga_Doboj,Igman_Konjic,0.0,2.0,2.43,2.71,3.06
Fotbal,1.bosensko-hercegovinská liga,2024-09-25,Posusje_NK,Borac_Banja_Luka,0.0,2.0,4.66,2.89,1.8
Fotbal,1.bosensko-hercegovinská liga,2024-09-25,Sarajevo_FK,Zeljeznicar_Sarajevo,1.0,1.0,1.74,3.15,4.47
Fotbal,1.bosensko-hercegovinská liga,2024-09-28,Sloboda_Tuzla,Sloga_Doboj,0.0,3.0,2.36,2.69,3.19
Fotbal,1.bosensko-hercegovinská liga,2024-09-28,Velez_Mostar,Zrinjski_Mostar,0.0,1.0,3.69,2.99,1.97
Fotbal,1.bosensko-hercegovinská liga,2024-09-29,Igman_Konjic,Gošk_NK,3.0,2.0,1.41,3.98,6.47
Fotbal,1.bosensko-hercegovinská liga,2024-09-29,Zeljeznicar_Sarajevo,Posusje_NK,1.0,0.0,1.72,3.01,4.91
Fotbal,1.bosensko-hercegovinská liga,2024-09-29,Borac_Banja_Luka,Radnik_Bijeljina,2.0,0.0,1.16,6.05,15.3
Fotbal,1.bosensko-hercegovinská liga,2024-09-30,Siroki_Brijeg_NK,Sarajevo_FK,3.0,3.0,4.3,3.29,1.73
Fotbal,1.bosensko-hercegovinská liga,2024-10-04,Posusje_NK,Siroki_Brijeg_NK,,,2.01,3.01,3.53
Fotbal,1.bosensko-hercegovinská liga,2024-10-05,Gošk_NK,Sloboda_Tuzla,,,2.54,3.13,2.53
Fotbal,1.bosensko-hercegovinská liga,2024-10-12,Borac_Banja_Luka,Velez_Mostar,2.0,1.0,1.45,3.64,6.45
Fotbal,1.bosensko-hercegovinská liga,2024-10-16,Igman_Konjic,Borac_Banja_Luka,0.0,4.0,4.57,3.58,1.62
Fotbal,1.bosensko-hercegovinská liga,2024-10-16,Zrinjski_Mostar,Radnik_Bijeljina,2.0,0.0,1.17,6.09,13.5
Fotbal,1.bosensko-hercegovinská liga,2024-10-18,Posusje_NK,Siroki_Brijeg_NK,1.0,2.0,2.07,2.81,3.69
Fotbal,1.bosensko-hercegovinská liga,2024-10-19,Gošk_NK,Sloboda_Tuzla,2.0,0.0,2.09,2.94,3.41
Fotbal,1.bosensko-hercegovinská liga,2024-10-19,Sarajevo_FK,Velez_Mostar,4.0,0.0,1.65,3.4,4.6
Fotbal,1.bosensko-hercegovinská liga,2024-10-20,Radnik_Bijeljina,Sloga_Doboj,2.0,1.0,1.7,3.13,4.72
Fotbal,1.bosensko-hercegovinská liga,2024-10-20,Borac_Banja_Luka,Zeljeznicar_Sarajevo,1.0,0.0,1.53,3.37,5.93
Fotbal,1.bosensko-hercegovinská liga,2024-10-21,Zrinjski_Mostar,Igman_Konjic,7.0,1.0,1.17,6.29,13.7
Fotbal,1.bosensko-hercegovinská liga,2024-10-25,Zeljeznicar_Sarajevo,Radnik_Bijeljina,2.0,0.0,1.39,3.94,6.96
Fotbal,1.bosensko-hercegovinská liga,2024-10-26,Sloga_Doboj,Gošk_NK,2.0,0.0,1.61,3.39,4.94
Fotbal,1.bosensko-hercegovinská liga,2024-10-26,Sloboda_Tuzla,Zrinjski_Mostar,0.0,1.0,9.29,4.66,1.27
Fotbal,1.bosensko-hercegovinská liga,2024-10-26,Velez_Mostar,Posusje_NK,3.0,0.0,2.29,2.65,3.37
Fotbal,1.bosensko-hercegovinská liga,2024-10-27,Igman_Konjic,Sarajevo_FK,0.0,3.0,4.58,3.82,1.58
Fotbal,1.bosensko-hercegovinská liga,2024-10-28,Siroki_Brijeg_NK,Borac_Banja_Luka,2.0,3.0,3.85,3.14,1.87
Fotbal,1.bosensko-hercegovinská liga,2024-11-02,Sloga_Doboj,Zrinjski_Mostar,0.0,1.0,7.05,4.13,1.37
Fotbal,1.bosensko-hercegovinská liga,2024-11-02,Velez_Mostar,Borac_Banja_Luka,0.0,0.0,4.61,3.03,1.75
Fotbal,1.bosensko-hercegovinská liga,2024-11-02,Sloboda_Tuzla,Sarajevo_FK,0.0,6.0,8.97,4.34,1.3
Fotbal,1.bosensko-hercegovinská liga,2024-11-03,Igman_Konjic,Posusje_NK,0.0,3.0,2.21,2.88,3.21
Fotbal,1.bosensko-hercegovinská liga,2024-11-03,Siroki_Brijeg_NK,Zeljeznicar_Sarajevo,0.0,3.0,3.03,2.66,2.49
Fotbal,1.bosensko-hercegovinská liga,2024-11-04,Radnik_Bijeljina,Gošk_NK,3.0,1.0,1.39,4.09,6.58
Fotbal,1.bosensko-hercegovinská liga,2024-11-06,Zrinjski_Mostar,Sarajevo_FK,1.0,1.0,1.78,3.24,4.1
Fotbal,1.bosensko-hercegovinská liga,2024-11-08,Posusje_NK,Sloboda_Tuzla,2.0,0.0,1.36,3.86,8.26
Fotbal,1.bosensko-hercegovinská liga,2024-11-09,Sarajevo_FK,Sloga_Doboj,2.0,0.0,1.17,6.13,13.1
Fotbal,1.bosensko-hercegovinská liga,2024-11-10,Zeljeznicar_Sarajevo,Velez_Mostar,2.0,1.0,1.87,2.95,4.15
Fotbal,1.bosensko-hercegovinská liga,2024-11-10,Siroki_Brijeg_NK,Radnik_Bijeljina,2.0,0.0,1.88,3.2,3.74
Fotbal,1.bosensko-hercegovinská liga,2024-11-11,Zrinjski_Mostar,Gošk_NK,3.0,0.0,1.04,12.6,32.0
Fotbal,1.bosensko-hercegovinská liga,2024-11-11,Borac_Banja_Luka,Igman_Konjic,4.0,0.0,1.1,8.56,17.4
Fotbal,1.bosensko-hercegovinská liga,2024-11-22,Igman_Konjic,Zeljeznicar_Sarajevo,0.0,2.0,4.37,3.42,1.69
Fotbal,1.bosensko-hercegovinská liga,2024-11-22,Radnik_Bijeljina,Zrinjski_Mostar,,,6.22,4.07,1.41
Fotbal,1.bosensko-hercegovinská liga,2024-11-23,Sloga_Doboj,Posusje_NK,,,2.97,2.67,2.52
Fotbal,1.bosensko-hercegovinská liga,2024-11-23,Radnik_Bijeljina,Zrinjski_Mostar,,,8.35,4.47,1.3
Fotbal,1.bosensko-hercegovinská liga,2024-11-23,Velez_Mostar,Siroki_Brijeg_NK,3.0,1.0,1.78,3.3,4.04
Fotbal,1.bosensko-hercegovinská liga,2024-11-24,Gošk_NK,Sarajevo_FK,0.0,3.0,8.94,5.2,1.25
Fotbal,1.bosensko-hercegovinská liga,2024-11-29,Sarajevo_FK,Zrinjski_Mostar,0.0,1.0,2.23,2.73,3.39
Fotbal,1.bosensko-hercegovinská liga,2024-11-29,Velez_Mostar,Radnik_Bijeljina,2.0,1.0,1.52,3.54,5.63
Fotbal,1.bosensko-hercegovinská liga,2024-11-30,Posusje_NK,Gošk_NK,1.0,2.0,1.26,4.84,9.44
Fotbal,1.bosensko-hercegovinská liga,2024-11-30,Zeljeznicar_Sarajevo,Sloboda_Tuzla,3.0,0.0,1.16,5.94,16.4
