sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.bulharská liga,2024-09-13,Lokomotiv_Plovdiv,Hebur_Pazardvik,3.0,3.0,1.5,3.81,6.42
Fotbal,1.bulharská liga,2024-09-13,Botev_Vratsa,Spartak_Varna,1.0,1.0,2.93,2.74,2.65
Fotbal,1.bulharská liga,2024-09-14,Septemvri_Sofia,Slavia_Sofia,3.0,2.0,4.94,3.41,1.69
Fotbal,1.bulharská liga,2024-09-14,Beroe_Stara_Zagora,Botev_Plovdiv,0.0,1.0,4.29,2.82,2.01
Fotbal,1.bulharská liga,2024-09-15,Černo_More_Varna,Arda_Kardzhali,1.0,1.0,1.56,3.53,6.16
Fotbal,1.bulharská liga,2024-09-15,CSKA_1948_Sofia,Levski_Sofia,2.0,4.0,4.31,3.15,1.87
Fotbal,1.bulharská liga,2024-09-15,Levski_Krumovgrad,Ludogorets_Razgrad,0.0,3.0,8.47,4.63,1.33
Fotbal,1.bulharská liga,2024-09-16,Lokomotiva_Sofia,CSKA_Sofia,0.0,3.0,6.06,3.95,1.5
Fotbal,1.bulharská liga,2024-09-14,Botev_Vratsa,Spartak_Varna,1.0,1.0,2.93,2.74,2.65
Fotbal,1.bulharská liga,2024-09-14,Lokomotiv_Plovdiv,Hebur_Pazardvik,3.0,3.0,1.5,3.81,6.42
Fotbal,1.bulharská liga,2024-09-18,Slavia_Sofia,Ludogorets_Razgrad,0.0,1.0,6.94,4.15,1.43
Fotbal,1.bulharská liga,2024-09-19,Lokomotiv_Plovdiv,CSKA_1948_Sofia,0.0,2.0,2.78,2.83,2.7
Fotbal,1.bulharská liga,2024-09-20,Hebur_Pazardvik,Septemvri_Sofia,1.0,2.0,2.23,2.86,3.47
Fotbal,1.bulharská liga,2024-09-21,CSKA_Sofia,Beroe_Stara_Zagora,1.0,0.0,1.18,5.85,14.7
Fotbal,1.bulharská liga,2024-09-21,Ludogorets_Razgrad,Lokomotiva_Sofia,2.0,0.0,1.11,7.7,18.4
Fotbal,1.bulharská liga,2024-09-22,Slavia_Sofia,Levski_Sofia,0.0,1.0,6.14,3.64,1.54
Fotbal,1.bulharská liga,2024-09-22,Spartak_Varna,Černo_More_Varna,0.0,2.0,3.82,2.94,2.07
Fotbal,1.bulharská liga,2024-09-23,Levski_Krumovgrad,Botev_Vratsa,3.0,0.0,1.82,3.15,4.62
Fotbal,1.bulharská liga,2024-09-23,Arda_Kardzhali,Botev_Plovdiv,1.0,0.0,2.62,2.9,2.8
Fotbal,1.bulharská liga,2024-09-25,Septemvri_Sofia,CSKA_1948_Sofia,1.0,1.0,8.57,4.08,1.38
Fotbal,1.bulharská liga,2024-09-27,Lokomotiva_Sofia,Hebur_Pazardvik,0.0,0.0,1.71,3.35,4.89
Fotbal,1.bulharská liga,2024-09-27,Beroe_Stara_Zagora,Slavia_Sofia,1.0,0.0,2.75,2.68,2.87
