sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.chilská liga,2024-09-02,Union_La_Calera,Audax_Italiano,2.0,1.0,2.86,2.86,2.6
Fotbal,1.chilská liga,2024-09-08,Huachipato,O'Higgins,1.0,0.0,2.12,3.25,3.25
Fotbal,1.chilská liga,2024-09-14,Atletico_Nublense,Cobresal,1.0,0.0,1.56,4.12,4.99
Fotbal,1.chilská liga,2024-09-14,O'Higgins,Coquimbo_Unido,1.0,1.0,2.72,2.93,2.67
Fotbal,1.chilská liga,2024-09-15,Audax_Italiano,Cobreloa,2.0,0.0,1.83,3.37,4.14
Fotbal,1.chilská liga,2024-09-15,Copiapó,Unión_Espaňola,2.0,3.0,2.94,3.7,2.11
Fotbal,1.chilská liga,2024-09-15,Deportes_Iquique,Huachipato,3.0,1.0,1.73,3.76,4.13
Fotbal,1.chilská liga,2024-09-15,Universidad_de_Chile,Palestino,1.0,0.0,1.61,3.72,5.06
Fotbal,1.chilská liga,2024-09-24,Palestino,Deportes_Iquique,2.0,0.0,2.2,3.47,2.93
Fotbal,1.chilská liga,2024-09-24,Cobreloa,Atletico_Nublense,0.0,1.0,2.56,3.37,2.52
Fotbal,1.chilská liga,2024-09-25,Coquimbo_Unido,Everton,2.0,2.0,2.63,2.93,2.76
Fotbal,1.chilská liga,2024-09-25,Universidad_de_Chile,Huachipato,2.0,1.0,1.29,4.95,9.23
Fotbal,1.chilská liga,2024-09-25,Cobresal,Audax_Italiano,0.0,1.0,2.1,3.29,3.28
Fotbal,1.chilská liga,2024-09-25,Unión_Espaňola,O'Higgins,0.0,1.0,1.71,3.93,4.07
Fotbal,1.chilská liga,2024-09-26,Universidad_Católica,Copiapó,4.0,1.0,1.74,3.68,4.22
Fotbal,1.chilská liga,2024-09-28,Everton,Cobreloa,2.0,0.0,1.42,4.31,6.73
Fotbal,1.chilská liga,2024-09-29,Colo_Colo,Cobresal,2.0,0.0,1.34,4.6,8.22
Fotbal,1.chilská liga,2024-09-29,Atletico_Nublense,Union_La_Calera,0.0,1.0,1.65,3.68,4.85
Fotbal,1.chilská liga,2024-09-29,Copiapó,Palestino,2.0,1.0,2.91,3.38,2.25
Fotbal,1.chilská liga,2024-09-29,Deportes_Iquique,Universidad_de_Chile,3.0,0.0,3.38,3.66,1.94
Fotbal,1.chilská liga,2024-09-30,Universidad_Católica,Unión_Espaňola,0.0,2.0,2.19,3.37,3.01
Fotbal,1.chilská liga,2024-09-30,Huachipato,Coquimbo_Unido,3.0,2.0,2.76,2.78,2.76
Fotbal,1.chilská liga,2024-10-01,Audax_Italiano,O'Higgins,2.0,0.0,2.36,2.96,3.08
Fotbal,1.chilská liga,2024-10-04,Colo_Colo,Universidad_Católica,1.0,0.0,1.54,3.58,6.38
Fotbal,1.chilská liga,2024-10-06,Atletico_Nublense,Deportes_Iquique,2.0,0.0,1.95,3.56,3.42
Fotbal,1.chilská liga,2024-10-06,Universidad_de_Chile,Union_La_Calera,1.0,0.0,1.39,4.34,7.57
Fotbal,1.chilská liga,2024-10-06,Palestino,Coquimbo_Unido,2.0,0.0,2.15,3.0,3.47
Fotbal,1.chilská liga,2024-10-06,O'Higgins,Universidad_Católica,0.0,2.0,2.76,2.94,2.63
Fotbal,1.chilská liga,2024-10-06,Cobreloa,Copiapó,,,2.2,3.32,3.03
Fotbal,1.chilská liga,2024-10-06,Cobresal,Everton,,,2.59,3.42,2.46
Fotbal,1.chilská liga,2024-10-06,Unión_Espaňola,Huachipato,3.0,1.0,1.67,3.83,4.48
Fotbal,1.chilská liga,2024-10-07,Colo_Colo,Audax_Italiano,2.0,1.0,1.37,4.26,8.38
Fotbal,1.chilská liga,2024-10-05,Cobresal,Everton,2.0,1.0,2.31,3.45,2.76
Fotbal,1.chilská liga,2024-10-08,Cobreloa,Copiapó,4.0,1.0,2.07,3.5,3.15
Fotbal,1.chilská liga,2024-10-13,Everton,Union_La_Calera,0.0,1.0,1.63,3.56,5.22
Fotbal,1.chilská liga,2024-10-13,Huachipato,Colo_Colo,1.0,2.0,5.16,3.62,1.62
Fotbal,1.chilská liga,2024-10-17,Union_La_Calera,Colo_Colo,0.0,1.0,5.19,3.32,1.69
Fotbal,1.chilská liga,2024-10-19,O'Higgins,Atletico_Nublense,1.0,3.0,2.8,3.13,2.45
