sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.chorvatská liga,2024-09-13,Dinamo_Zagreb,Hajduk_Split,0.0,1.0,1.52,3.78,6.13
Fotbal,1.chorvatská liga,2024-09-14,Istra_1961_Pula,Lokomotiva_Zagreb,0.0,2.0,2.37,2.94,3.09
Fotbal,1.chorvatská liga,2024-09-14,Gorica,HNK_Rijeka,0.0,1.0,5.91,3.9,1.51
Fotbal,1.chorvatská liga,2024-09-15,HNK_Osijek,Slaven_Belupo,1.0,0.0,1.44,4.13,6.85
Fotbal,1.chorvatská liga,2024-09-15,HNK_Sibenik,Varteks_Varazdin,0.0,0.0,2.75,2.85,2.71
Fotbal,1.chorvatská liga,2024-09-20,Varteks_Varazdin,Istra_1961_Pula,1.0,0.0,1.83,3.15,4.51
Fotbal,1.chorvatská liga,2024-09-21,Slaven_Belupo,Dinamo_Zagreb,4.0,1.0,9.01,5.08,1.28
Fotbal,1.chorvatská liga,2024-09-21,Hajduk_Split,Gorica,4.0,1.0,1.21,5.6,12.1
Fotbal,1.chorvatská liga,2024-09-22,Lokomotiva_Zagreb,HNK_Osijek,0.0,1.0,2.59,3.25,2.55
Fotbal,1.chorvatská liga,2024-09-22,HNK_Rijeka,HNK_Sibenik,3.0,0.0,1.27,4.96,10.1
Fotbal,1.chorvatská liga,2024-09-27,HNK_Sibenik,Istra_1961_Pula,0.0,0.0,2.21,2.96,3.37
Fotbal,1.chorvatská liga,2024-09-28,Gorica,Slaven_Belupo,,,2.43,2.99,2.94
Fotbal,1.chorvatská liga,2024-09-28,HNK_Osijek,Varteks_Varazdin,,,1.85,3.39,4.03
Fotbal,1.chorvatská liga,2024-09-28,HNK_Rijeka,Hajduk_Split,,,2.21,3.12,3.2
Fotbal,1.chorvatská liga,2024-09-28,Dinamo_Zagreb,Lokomotiva_Zagreb,5.0,1.0,1.21,5.82,11.1
Fotbal,1.chorvatská liga,2024-09-29,HNK_Osijek,Varteks_Varazdin,2.0,1.0,1.93,3.24,3.88
Fotbal,1.chorvatská liga,2024-09-29,HNK_Rijeka,Hajduk_Split,0.0,0.0,2.41,2.86,3.12
Fotbal,1.chorvatská liga,2024-09-30,Gorica,Slaven_Belupo,2.0,1.0,2.64,3.09,2.62
Fotbal,1.chorvatská liga,2024-10-04,Istra_1961_Pula,HNK_Osijek,,,3.42,3.04,2.15
Fotbal,1.chorvatská liga,2024-10-05,Lokomotiva_Zagreb,Gorica,2.0,0.0,1.64,3.59,5.01
Fotbal,1.chorvatská liga,2024-10-05,Slaven_Belupo,HNK_Rijeka,0.0,0.0,4.83,3.65,1.65
Fotbal,1.chorvatská liga,2024-10-06,Varteks_Varazdin,Dinamo_Zagreb,0.0,1.0,8.14,4.53,1.35
Fotbal,1.chorvatská liga,2024-10-06,Hajduk_Split,HNK_Sibenik,4.0,0.0,1.22,5.35,12.6
Fotbal,1.chorvatská liga,2024-10-05,Istra_1961_Pula,HNK_Osijek,2.0,1.0,3.33,3.12,2.15
Fotbal,1.chorvatská liga,2024-10-18,Lokomotiva_Zagreb,HNK_Rijeka,2.0,2.0,3.83,3.02,2.03
Fotbal,1.chorvatská liga,2024-10-19,HNK_Sibenik,HNK_Osijek,1.0,3.0,3.25,3.06,2.22
Fotbal,1.chorvatská liga,2024-10-19,Istra_1961_Pula,Dinamo_Zagreb,2.0,2.0,6.41,4.03,1.47
Fotbal,1.chorvatská liga,2024-10-20,Slaven_Belupo,Hajduk_Split,0.0,2.0,4.72,3.51,1.7
Fotbal,1.chorvatská liga,2024-10-20,Varteks_Varazdin,Gorica,2.0,1.0,1.66,3.43,5.2
Fotbal,1.chorvatská liga,2024-10-25,Slaven_Belupo,HNK_Sibenik,2.0,2.0,1.58,3.63,5.59
Fotbal,1.chorvatská liga,2024-10-26,Hajduk_Split,Lokomotiva_Zagreb,2.0,1.0,1.28,5.04,9.2
Fotbal,1.chorvatská liga,2024-10-26,HNK_Rijeka,Varteks_Varazdin,1.0,1.0,1.48,3.82,6.74
Fotbal,1.chorvatská liga,2024-10-27,Dinamo_Zagreb,HNK_Osijek,2.0,4.0,1.3,4.9,8.99
Fotbal,1.chorvatská liga,2024-10-27,Gorica,Istra_1961_Pula,1.0,0.0,2.63,2.9,2.79
Fotbal,1.chorvatská liga,2024-11-01,HNK_Sibenik,Dinamo_Zagreb,0.0,4.0,9.1,5.01,1.29
Fotbal,1.chorvatská liga,2024-11-02,Lokomotiva_Zagreb,Slaven_Belupo,0.0,1.0,2.38,3.15,2.87
Fotbal,1.chorvatská liga,2024-11-02,HNK_Osijek,Gorica,2.0,0.0,1.29,4.91,9.39
Fotbal,1.chorvatská liga,2024-11-03,Istra_1961_Pula,HNK_Rijeka,0.0,1.0,4.06,3.11,1.94
Fotbal,1.chorvatská liga,2024-11-03,Varteks_Varazdin,Hajduk_Split,1.0,0.0,4.26,3.17,1.87
Fotbal,1.chorvatská liga,2024-11-08,HNK_Sibenik,Lokomotiva_Zagreb,,,3.11,3.18,2.22
Fotbal,1.chorvatská liga,2024-11-09,Gorica,Dinamo_Zagreb,2.0,2.0,10.0,5.3,1.25
Fotbal,1.chorvatská liga,2024-11-09,Hajduk_Split,Istra_1961_Pula,1.0,1.0,1.34,4.5,8.57
Fotbal,1.chorvatská liga,2024-11-10,Slaven_Belupo,Varteks_Varazdin,1.0,1.0,2.5,2.94,2.9
Fotbal,1.chorvatská liga,2024-11-10,HNK_Rijeka,HNK_Osijek,1.0,1.0,1.94,3.22,3.85
Fotbal,1.chorvatská liga,2024-11-09,HNK_Sibenik,Lokomotiva_Zagreb,0.0,3.0,3.39,3.15,2.11
Fotbal,1.chorvatská liga,2024-11-23,Dinamo_Zagreb,HNK_Rijeka,0.0,0.0,1.66,3.44,5.22
Fotbal,1.chorvatská liga,2024-11-23,Istra_1961_Pula,Slaven_Belupo,,,2.08,3.16,3.47
Fotbal,1.chorvatská liga,2024-11-23,HNK_Osijek,Hajduk_Split,,,2.88,3.04,2.44
Fotbal,1.chorvatská liga,2024-11-23,HNK_Sibenik,Gorica,,,2.18,2.97,3.43
Fotbal,1.chorvatská liga,2024-11-23,Varteks_Varazdin,Lokomotiva_Zagreb,1.0,1.0,2.43,2.96,2.98
Fotbal,1.chorvatská liga,2024-11-22,Istra_1961_Pula,Slaven_Belupo,2.0,3.0,1.79,3.26,4.56
Fotbal,1.chorvatská liga,2024-11-24,HNK_Osijek,Hajduk_Split,2.0,2.0,3.06,3.04,2.33
Fotbal,1.chorvatská liga,2024-11-24,HNK_Sibenik,Gorica,1.0,0.0,2.35,2.91,3.17
Fotbal,1.chorvatská liga,2024-11-30,Hajduk_Split,Dinamo_Zagreb,,,2.76,3.04,2.54
Fotbal,1.chorvatská liga,2024-11-30,Lokomotiva_Zagreb,Istra_1961_Pula,,,1.9,3.23,4.03
Fotbal,1.chorvatská liga,2024-11-30,HNK_Rijeka,Gorica,1.0,0.0,1.27,4.92,10.6
Fotbal,1.chorvatská liga,2024-11-30,Slaven_Belupo,HNK_Osijek,3.0,2.0,2.91,3.23,2.32
Fotbal,1.chorvatská liga,2024-11-30,Varteks_Varazdin,HNK_Sibenik,,,1.71,3.33,4.95
Fotbal,1.chorvatská liga,2024-11-29,Varteks_Varazdin,HNK_Sibenik,2.0,1.0,1.59,3.44,5.97
Fotbal,1.chorvatská liga,2024-12-01,Lokomotiva_Zagreb,Istra_1961_Pula,1.0,2.0,2.04,3.16,3.59
Fotbal,1.chorvatská liga,2024-12-01,Hajduk_Split,Dinamo_Zagreb,1.0,0.0,2.34,2.84,3.27
Fotbal,1.chorvatská liga,2024-12-07,Dinamo_Zagreb,Slaven_Belupo,,,1.21,5.62,11.6
Fotbal,1.chorvatská liga,2024-12-07,Gorica,Hajduk_Split,1.0,0.0,7.5,4.37,1.39
Fotbal,1.chorvatská liga,2024-12-07,Istra_1961_Pula,Varteks_Varazdin,0.0,0.0,2.75,2.8,2.76
Fotbal,1.chorvatská liga,2024-12-08,HNK_Sibenik,HNK_Rijeka,0.0,1.0,6.39,3.61,1.53
Fotbal,1.chorvatská liga,2024-12-08,HNK_Osijek,Lokomotiva_Zagreb,3.0,0.0,1.74,3.6,4.3
Fotbal,1.chorvatská liga,2024-12-06,Dinamo_Zagreb,Slaven_Belupo,1.0,1.0,1.35,4.75,7.47
Fotbal,1.chorvatská liga,2024-12-14,Hajduk_Split,HNK_Rijeka,,,2.0,2.97,4.04
Fotbal,1.chorvatská liga,2024-12-14,Istra_1961_Pula,HNK_Sibenik,3.0,3.0,1.58,3.51,5.88
Fotbal,1.chorvatská liga,2024-12-14,Lokomotiva_Zagreb,Dinamo_Zagreb,3.0,1.0,5.87,4.33,1.46
Fotbal,1.chorvatská liga,2024-12-14,Slaven_Belupo,Gorica,,,1.73,3.45,4.62
Fotbal,1.chorvatská liga,2024-12-14,Varteks_Varazdin,HNK_Osijek,,,2.72,3.03,2.59
Fotbal,1.chorvatská liga,2024-12-13,Slaven_Belupo,Gorica,2.0,1.0,1.7,3.73,4.4
Fotbal,1.chorvatská liga,2024-12-15,Varteks_Varazdin,HNK_Osijek,0.0,0.0,2.75,2.9,2.66
Fotbal,1.chorvatská liga,2024-12-15,Hajduk_Split,HNK_Rijeka,2.0,2.0,2.15,2.78,3.85
Fotbal,1.chorvatská liga,2024-12-20,HNK_Osijek,Istra_1961_Pula,2.0,2.0,1.71,3.52,4.61
Fotbal,1.chorvatská liga,2024-12-21,Gorica,Lokomotiva_Zagreb,1.0,4.0,3.0,3.19,2.28
Fotbal,1.chorvatská liga,2024-12-21,Dinamo_Zagreb,Varteks_Varazdin,,,1.37,4.34,8.23
Fotbal,1.chorvatská liga,2024-12-22,HNK_Rijeka,Slaven_Belupo,2.0,0.0,1.41,4.18,7.39
Fotbal,1.chorvatská liga,2024-12-22,HNK_Sibenik,Hajduk_Split,1.0,2.0,6.97,3.98,1.45
Fotbal,1.chorvatská liga,2024-12-22,Dinamo_Zagreb,Varteks_Varazdin,3.0,2.0,1.38,4.39,7.61
Fotbal,1.chorvatská liga,2025-01-24,HNK_Osijek,HNK_Sibenik,2.0,2.0,1.42,4.15,7.25
Fotbal,1.chorvatská liga,2025-01-25,Gorica,Varteks_Varazdin,1.0,1.0,2.51,2.87,2.96
Fotbal,1.chorvatská liga,2025-01-25,Dinamo_Zagreb,Istra_1961_Pula,3.0,1.0,1.27,5.03,9.73
Fotbal,1.chorvatská liga,2025-01-26,HNK_Rijeka,Lokomotiva_Zagreb,4.0,1.0,1.52,3.8,6.12
Fotbal,1.chorvatská liga,2025-01-26,Hajduk_Split,Slaven_Belupo,0.0,0.0,1.38,4.47,7.35
Fotbal,1.chorvatská liga,2025-01-31,Istra_1961_Pula,Gorica,0.0,0.0,1.95,3.07,4.06
Fotbal,1.chorvatská liga,2025-02-01,HNK_Sibenik,Slaven_Belupo,1.0,1.0,3.09,3.04,2.31
Fotbal,1.chorvatská liga,2025-02-01,Varteks_Varazdin,HNK_Rijeka,1.0,0.0,3.69,2.84,2.16
Fotbal,1.chorvatská liga,2025-02-02,Lokomotiva_Zagreb,Hajduk_Split,3.0,2.0,3.79,3.24,1.95
Fotbal,1.chorvatská liga,2025-02-02,HNK_Osijek,Dinamo_Zagreb,2.0,1.0,4.2,3.74,1.73
Fotbal,1.chorvatská liga,2025-02-08,Dinamo_Zagreb,HNK_Sibenik,,,1.15,6.74,14.6
Fotbal,1.chorvatská liga,2025-02-08,Hajduk_Split,Varteks_Varazdin,1.0,0.0,1.62,3.38,5.78
Fotbal,1.chorvatská liga,2025-02-08,Gorica,HNK_Osijek,1.0,0.0,3.2,3.16,2.19
Fotbal,1.chorvatská liga,2025-02-08,HNK_Rijeka,Istra_1961_Pula,,,1.46,4.14,6.34
Fotbal,1.chorvatská liga,2025-02-09,Slaven_Belupo,Lokomotiva_Zagreb,2.0,1.0,2.22,3.25,3.04
Fotbal,1.chorvatská liga,2025-02-07,Dinamo_Zagreb,HNK_Sibenik,3.0,0.0,1.15,6.87,14.6
Fotbal,1.chorvatská liga,2025-02-09,HNK_Rijeka,Istra_1961_Pula,0.0,1.0,1.59,3.38,6.21
Fotbal,1.chorvatská liga,2025-02-15,Dinamo_Zagreb,Gorica,3.0,1.0,1.28,5.04,9.23
Fotbal,1.chorvatská liga,2025-02-15,Istra_1961_Pula,Hajduk_Split,1.0,1.0,3.92,2.9,2.06
Fotbal,1.chorvatská liga,2025-02-15,HNK_Osijek,HNK_Rijeka,,,2.83,2.99,2.53
Fotbal,1.chorvatská liga,2025-02-15,HNK_Sibenik,Lokomotiva_Zagreb,,,2.97,3.1,2.35
Fotbal,1.chorvatská liga,2025-02-15,Varteks_Varazdin,Slaven_Belupo,,,2.12,3.07,3.48
Fotbal,1.chorvatská liga,2025-02-14,HNK_Sibenik,Lokomotiva_Zagreb,1.0,2.0,3.08,3.06,2.3
Fotbal,1.chorvatská liga,2025-02-16,Varteks_Varazdin,Slaven_Belupo,0.0,1.0,2.21,2.93,3.41
Fotbal,1.chorvatská liga,2025-02-16,HNK_Osijek,HNK_Rijeka,0.0,2.0,3.0,2.88,2.47
Fotbal,1.chorvatská liga,2025-02-21,Lokomotiva_Zagreb,Varteks_Varazdin,1.0,0.0,1.89,3.12,4.28
Fotbal,1.chorvatská liga,2025-02-22,Hajduk_Split,HNK_Osijek,4.0,0.0,1.52,3.82,6.05
Fotbal,1.chorvatská liga,2025-02-22,HNK_Rijeka,Dinamo_Zagreb,4.0,0.0,3.2,2.89,2.34
Fotbal,1.chorvatská liga,2025-02-23,Gorica,HNK_Sibenik,1.0,0.0,1.78,3.25,4.65
Fotbal,1.chorvatská liga,2025-02-23,Slaven_Belupo,Istra_1961_Pula,0.0,0.0,2.37,2.92,3.11
Fotbal,1.chorvatská liga,2025-03-01,Gorica,HNK_Rijeka,0.0,0.0,5.52,3.19,1.69
Fotbal,1.chorvatská liga,2025-03-01,Istra_1961_Pula,Lokomotiva_Zagreb,,,2.31,3.04,3.08
