sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.egyptská liga,2024-10-30,El_Hodood_Alexandria,Smouha,1,3,4.43,2.38,2.27
Fotbal,1.egyptská liga,2024-10-30,El_Geish,Al_Masry_Port_Said,0,2,4.65,2.54,2.09
Fotbal,1.egyptská liga,2024-10-31,El_Gounah,Masr,0,0,4.23,2.59,2.16
Fotbal,1.egyptská liga,2024-10-31,Coca_Cola_Cairo,ENPPI_Cairo,0,0,2.51,2.29,3.97
Fotbal,1.egyptská liga,2024-11-01,Pharco,Al_Ittihad_Alexandria,0,1,2.85,2.33,3.24
Fotbal,1.egyptská liga,2024-11-01,Pyramids_FC,Petrojet_Cairo,1,1,1.16,5.83,18.8
Fotbal,1.egyptská liga,2024-11-01,Al_Zamalek,National_Bank_of_Egypt,3,2,2.18,2.89,3.57
Fotbal,1.egyptská liga,2024-11-02,Ismaily_SC,Ghazl_Al_Mehalla,0,0,2.1,2.77,4.03
Fotbal,1.egyptská liga,2024-11-02,Al_Ahly,Ceramica_Cleopatra,5,2,1.56,3.5,6.34
Fotbal,1.egyptská liga,2024-11-07,Al_Ittihad_Alexandria,El_Hodood_Alexandria,1,0,1.86,2.95,4.8
Fotbal,1.egyptská liga,2024-11-07,Ghazl_Al_Mehalla,El_Geish,2,3,3.12,2.61,2.64
Fotbal,1.egyptská liga,2024-11-07,Masr,Al_Ahly,0,1,6.45,3.6,1.53
Fotbal,1.egyptská liga,2024-11-08,Petrojet_Cairo,Coca_Cola_Cairo,1,1,4.26,2.89,1.99
Fotbal,1.egyptská liga,2024-11-08,Smouha,Al_Zamalek,0,2,2.65,2.74,2.92
Fotbal,1.egyptská liga,2024-11-08,ENPPI_Cairo,Pyramids_FC,1,2,5.22,3.13,1.74
Fotbal,1.egyptská liga,2024-11-09,Al_Masry_Port_Said,El_Gounah,0,0,1.61,3.21,6.6
Fotbal,1.egyptská liga,2024-11-09,Ceramica_Cleopatra,Ismaily_SC,1,0,1.85,3.02,4.68
Fotbal,1.egyptská liga,2024-11-22,Pyramids_FC,National_Bank_of_Egypt,3,1,1.65,3.23,5.86
Fotbal,1.egyptská liga,2024-11-22,Pharco,ENPPI_Cairo,4,3,2.75,2.41,3.25
Fotbal,1.egyptská liga,2024-11-22,Al_Ahly,Al_Ittihad_Alexandria,1,1,1.29,4.39,13.1
Fotbal,1.egyptská liga,2024-11-23,El_Gounah,Ghazl_Al_Mehalla,0,1,2.76,2.37,3.29
Fotbal,1.egyptská liga,2024-11-23,El_Geish,Smouha,0,0,3.55,2.72,2.29
Fotbal,1.egyptská liga,2024-11-23,Al_Zamalek,Al_Masry_Port_Said,0,1,2.35,2.81,3.27
Fotbal,1.egyptská liga,2024-11-24,Ismaily_SC,Petrojet_Cairo,1,0,2.24,2.74,3.64
Fotbal,1.egyptská liga,2024-11-24,El_Hodood_Alexandria,Ceramica_Cleopatra,0,0,4.78,3.02,1.84
Fotbal,1.egyptská liga,2024-11-24,Coca_Cola_Cairo,Masr,0,0,3.12,2.33,2.95
Fotbal,1.egyptská liga,2024-11-30,Ceramica_Cleopatra,Coca_Cola_Cairo,4,1,2.31,2.63,3.65
Fotbal,1.egyptská liga,2024-11-30,Masr,El_Hodood_Alexandria,2,0,1.73,2.83,6.58
Fotbal,1.egyptská liga,2024-11-30,Al_Ittihad_Alexandria,El_Geish,0,1,2.41,2.58,3.52
Fotbal,1.egyptská liga,2024-12-01,National_Bank_of_Egypt,Al_Ahly,0,0,5.74,3.39,1.62
Fotbal,1.egyptská liga,2024-12-01,Smouha,El_Gounah,0,0,1.62,3.19,6.4
Fotbal,1.egyptská liga,2024-12-01,ENPPI_Cairo,Ismaily_SC,1,0,2.33,2.65,3.56
Fotbal,1.egyptská liga,2024-12-02,Al_Masry_Port_Said,Pyramids_FC,1,0,3.65,2.79,2.21
Fotbal,1.egyptská liga,2024-12-02,Petrojet_Cairo,Pharco,1,2,2.35,2.6,3.6
Fotbal,1.egyptská liga,2024-12-02,Ghazl_Al_Mehalla,Al_Zamalek,0,4,4.51,2.88,1.94
Fotbal,1.egyptská liga,2024-12-19,El_Geish,Petrojet_Cairo,0,1,3.2,2.44,2.74
Fotbal,1.egyptská liga,2024-12-19,Al_Zamalek,Ceramica_Cleopatra,1,1,2.22,2.91,3.42
Fotbal,1.egyptská liga,2024-12-20,El_Gounah,ENPPI_Cairo,1,0,4.09,2.31,2.44
Fotbal,1.egyptská liga,2024-12-20,Coca_Cola_Cairo,National_Bank_of_Egypt,0,1,2.74,2.54,3.06
Fotbal,1.egyptská liga,2024-12-20,Pharco,Masr,1,2,3.83,2.64,2.24
Fotbal,1.egyptská liga,2024-12-21,Ghazl_Al_Mehalla,Al_Ittihad_Alexandria,0,0,3.27,2.57,2.56
Fotbal,1.egyptská liga,2024-12-21,Ismaily_SC,Pyramids_FC,1,1,4.45,2.94,1.93
Fotbal,1.egyptská liga,2024-12-24,Masr,ENPPI_Cairo,0,0,2.03,2.9,4.03
Fotbal,1.egyptská liga,2024-12-24,El_Geish,Al_Zamalek,2,2,5.24,3.04,1.77
Fotbal,1.egyptská liga,2024-12-25,Al_Ittihad_Alexandria,Coca_Cola_Cairo,0,0,3.06,2.5,2.78
Fotbal,1.egyptská liga,2024-12-25,Ismaily_SC,El_Hodood_Alexandria,2,2,1.81,2.81,5.68
Fotbal,1.egyptská liga,2024-12-25,Pyramids_FC,Pharco,3,0,1.38,4.21,8.26
Fotbal,1.egyptská liga,2024-12-26,National_Bank_of_Egypt,Ceramica_Cleopatra,1,2,3.03,2.74,2.56
Fotbal,1.egyptská liga,2024-12-26,Smouha,Ghazl_Al_Mehalla,2,4,1.72,3.05,5.7
Fotbal,1.egyptská liga,2024-12-26,Al_Masry_Port_Said,Al_Ahly,0,2,5.09,2.81,1.88
Fotbal,1.egyptská liga,2024-12-26,Petrojet_Cairo,El_Gounah,1,0,2.28,2.42,4.28
Fotbal,1.egyptská liga,2024-12-29,El_Hodood_Alexandria,El_Geish,3,0,4.97,2.47,2.08
Fotbal,1.egyptská liga,2024-12-29,Al_Zamalek,Al_Ittihad_Alexandria,2,0,1.62,2.98,7.58
Fotbal,1.egyptská liga,2024-12-30,El_Gounah,Pyramids_FC,0,1,6.44,3.26,1.6
Fotbal,1.egyptská liga,2024-12-30,ENPPI_Cairo,Al_Ahly,0,0,11.5,4.59,1.28
Fotbal,1.egyptská liga,2024-12-30,Pharco,Smouha,2,1,3.52,2.79,2.26
Fotbal,1.egyptská liga,2024-12-30,Masr,Petrojet_Cairo,1,1,2.38,2.51,3.72
