sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.ekvádorská liga,2024-09-02,Emelec_Guayaquil,Orense,2.0,1.0,2.51,2.71,2.94
Fotbal,1.ekvádorská liga,2024-09-03,Cumbaya,Imbabura_SC,1.0,2.0,3.01,2.76,2.42
Fotbal,1.ekvádorská liga,2024-09-14,Orense,Universidad_Catolica_Quito,2.0,2.0,2.87,2.95,2.37
Fotbal,1.ekvádorská liga,2024-09-14,Delfin_Manta,Deportivo_Cuenca,0.0,0.0,2.08,3.0,3.35
Fotbal,1.ekvádorská liga,2024-09-14,Imbabura_SC,LDU_de_Quito,4.0,0.0,4.92,3.8,1.54
Fotbal,1.ekvádorská liga,2024-09-15,Independiente_José_Terán,Emelec_Guayaquil,2.0,1.0,1.27,4.69,9.71
Fotbal,1.ekvádorská liga,2024-09-15,El_Nacional_Quito,Cumbaya,2.0,1.0,1.53,3.53,5.45
Fotbal,1.ekvádorská liga,2024-09-15,Aucas,Mushuc_Runa,1.0,2.0,1.98,3.17,3.4
Fotbal,1.ekvádorská liga,2024-09-16,Barcelona,Macará,2.0,1.0,1.39,4.03,6.83
Fotbal,1.ekvádorská liga,2024-09-17,Técnico_Universitario,Libertad,3.0,0.0,1.49,3.64,5.69
Fotbal,1.ekvádorská liga,2024-09-21,Libertad,Independiente_José_Terán,1.0,1.0,7.08,4.35,1.34
Fotbal,1.ekvádorská liga,2024-09-21,Cumbaya,Aucas,0.0,3.0,4.38,3.28,1.72
Fotbal,1.ekvádorská liga,2024-09-21,LDU_de_Quito,El_Nacional_Quito,1.0,1.0,1.45,3.91,5.79
Fotbal,1.ekvádorská liga,2024-09-22,Deportivo_Cuenca,Barcelona,1.0,0.0,2.72,2.97,2.49
Fotbal,1.ekvádorská liga,2024-09-22,Macará,Imbabura_SC,2.0,0.0,1.96,3.17,3.49
Fotbal,1.ekvádorská liga,2024-09-22,Mushuc_Runa,Orense,3.0,0.0,1.86,3.09,3.97
Fotbal,1.ekvádorská liga,2024-09-23,Emelec_Guayaquil,Técnico_Universitario,3.0,1.0,1.89,2.85,4.29
Fotbal,1.ekvádorská liga,2024-09-24,Universidad_Catolica_Quito,Delfin_Manta,2.0,1.0,1.29,4.68,8.33
Fotbal,1.ekvádorská liga,2024-09-28,Orense,Macará,1.0,0.0,1.73,3.11,4.57
Fotbal,1.ekvádorská liga,2024-09-28,Imbabura_SC,El_Nacional_Quito,1.0,0.0,2.4,3.02,2.78
Fotbal,1.ekvádorská liga,2024-09-28,Independiente_José_Terán,Universidad_Catolica_Quito,5.0,2.0,1.82,3.25,3.88
Fotbal,1.ekvádorská liga,2024-09-28,Cumbaya,Emelec_Guayaquil,1.0,0.0,4.72,3.16,1.7
Fotbal,1.ekvádorská liga,2024-09-29,Aucas,Deportivo_Cuenca,1.0,4.0,1.72,3.27,4.37
Fotbal,1.ekvádorská liga,2024-09-29,Delfin_Manta,LDU_de_Quito,3.0,2.0,3.49,3.02,2.02
Fotbal,1.ekvádorská liga,2024-09-30,Barcelona,Libertad,0.0,0.0,1.3,4.52,8.21
Fotbal,1.ekvádorská liga,2024-09-30,Técnico_Universitario,Mushuc_Runa,2.0,2.0,2.01,3.04,3.5
Fotbal,1.ekvádorská liga,2024-10-05,Libertad,Cumbaya,2.0,1.0,1.67,3.27,4.69
Fotbal,1.ekvádorská liga,2024-10-05,Mushuc_Runa,Independiente_José_Terán,1.0,1.0,4.31,3.42,1.7
Fotbal,1.ekvádorská liga,2024-10-05,Deportivo_Cuenca,Técnico_Universitario,1.0,1.0,2.35,2.88,2.98
Fotbal,1.ekvádorská liga,2024-10-05,El_Nacional_Quito,Barcelona,3.0,0.0,2.7,2.91,2.56
Fotbal,1.ekvádorská liga,2024-10-06,Universidad_Catolica_Quito,Imbabura_SC,2.0,1.0,1.33,4.59,6.89
