sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.estonská liga,2024-09-13,Tammeka_Tartu,Kalev_Tallin,4.0,1.0,2.11,3.46,2.88
Fotbal,1.estonská liga,2024-09-14,Kuressaare_FC,Flora_Tallin,3.0,4.0,5.81,4.22,1.41
Fotbal,1.estonská liga,2024-09-14,Levadia_Tallin,Narva_Trans,0.0,0.0,1.23,5.34,9.43
Fotbal,1.estonská liga,2024-09-15,Flora_Paide,Nomme_United,,,1.22,5.45,10.1
Fotbal,1.estonská liga,2024-09-15,Vaprus_Pärnu,Kalju_Nomme_JK,0.0,4.0,4.54,3.69,1.6
Fotbal,1.estonská liga,2024-09-14,Flora_Paide,Nomme_United,7.0,2.0,1.16,6.77,12.9
Fotbal,1.estonská liga,2024-09-17,Narva_Trans,Flora_Tallin,1.0,1.0,3.77,3.66,1.74
Fotbal,1.estonská liga,2024-09-17,Kuressaare_FC,Levadia_Tallin,0.0,1.0,12.3,7.25,1.15
Fotbal,1.estonská liga,2024-09-17,Kalev_Tallin,Flora_Paide,3.0,2.0,7.64,5.33,1.26
Fotbal,1.estonská liga,2024-09-18,Kalju_Nomme_JK,Nomme_United,3.0,0.0,1.2,5.81,10.5
Fotbal,1.estonská liga,2024-09-18,Vaprus_Pärnu,Tammeka_Tartu,2.0,2.0,3.19,3.23,2.05
Fotbal,1.estonská liga,2024-09-21,Flora_Paide,Kuressaare_FC,4.0,3.0,1.21,5.86,9.28
Fotbal,1.estonská liga,2024-09-21,Nomme_United,Narva_Trans,0.0,4.0,3.93,3.7,1.7
Fotbal,1.estonská liga,2024-09-21,Flora_Tallin,Tammeka_Tartu,2.0,1.0,1.4,4.33,5.78
Fotbal,1.estonská liga,2024-09-22,Kalju_Nomme_JK,Kalev_Tallin,3.0,1.0,1.29,5.02,7.08
Fotbal,1.estonská liga,2024-09-22,Levadia_Tallin,Vaprus_Pärnu,3.0,1.0,1.11,7.89,16.7
Fotbal,1.estonská liga,2024-09-25,Flora_Paide,Narva_Trans,2.0,3.0,1.41,4.47,5.45
Fotbal,1.estonská liga,2024-09-25,Kalju_Nomme_JK,Flora_Tallin,3.0,0.0,1.66,3.7,4.2
Fotbal,1.estonská liga,2024-09-27,Levadia_Tallin,Kalev_Tallin,4.0,0.0,1.13,7.55,14.4
Fotbal,1.estonská liga,2024-09-28,Kuressaare_FC,Nomme_United,4.0,1.0,1.73,3.9,3.6
Fotbal,1.estonská liga,2024-09-29,Flora_Tallin,Vaprus_Pärnu,3.0,0.0,1.33,4.56,6.93
Fotbal,1.estonská liga,2024-09-29,Narva_Trans,Flora_Paide,0.0,3.0,3.85,3.9,1.68
Fotbal,1.estonská liga,2024-09-29,Tammeka_Tartu,Kalju_Nomme_JK,2.0,3.0,3.88,3.74,1.7
Fotbal,1.estonská liga,2024-10-05,Nomme_United,Flora_Tallin,0.0,4.0,10.9,6.31,1.19
Fotbal,1.estonská liga,2024-10-05,Narva_Trans,Levadia_Tallin,0.0,2.0,6.82,4.6,1.33
Fotbal,1.estonská liga,2024-10-05,Kalev_Tallin,Tammeka_Tartu,1.0,2.0,2.97,3.53,2.04
Fotbal,1.estonská liga,2024-10-06,Flora_Paide,Kalju_Nomme_JK,1.0,1.0,2.05,3.56,2.93
Fotbal,1.estonská liga,2024-10-06,Vaprus_Pärnu,Kuressaare_FC,3.0,1.0,2.06,3.41,3.02
Fotbal,1.estonská liga,2024-10-19,Kuressaare_FC,Kalev_Tallin,2.0,1.0,2.31,3.55,2.55
Fotbal,1.estonská liga,2024-10-19,Nomme_United,Vaprus_Pärnu,0.0,2.0,4.49,3.8,1.59
Fotbal,1.estonská liga,2024-10-19,Tammeka_Tartu,Levadia_Tallin,0.0,3.0,7.28,4.69,1.31
Fotbal,1.estonská liga,2024-10-20,Kalju_Nomme_JK,Narva_Trans,2.0,2.0,1.48,4.18,4.94
Fotbal,1.estonská liga,2024-10-20,Flora_Paide,Flora_Tallin,2.0,1.0,1.99,3.46,3.13
Fotbal,1.estonská liga,2024-10-22,Levadia_Tallin,Nomme_United,1.0,1.0,1.18,6.46,11.3
Fotbal,1.estonská liga,2024-10-22,Tammeka_Tartu,Kuressaare_FC,2.0,1.0,1.59,3.89,4.41
Fotbal,1.estonská liga,2024-10-23,Kalev_Tallin,Narva_Trans,0.0,1.0,2.79,3.5,2.16
Fotbal,1.estonská liga,2024-10-23,Vaprus_Pärnu,Flora_Paide,0.0,1.0,6.28,4.62,1.35
Fotbal,1.estonská liga,2024-10-23,Flora_Tallin,Kalju_Nomme_JK,3.0,2.0,2.15,3.4,2.85
Fotbal,1.estonská liga,2024-10-26,Flora_Tallin,Kuressaare_FC,3.0,0.0,1.23,5.58,8.9
Fotbal,1.estonská liga,2024-10-26,Narva_Trans,Vaprus_Pärnu,,,2.29,3.37,2.67
Fotbal,1.estonská liga,2024-10-26,Kalev_Tallin,Nomme_United,1.0,0.0,1.48,4.13,4.99
Fotbal,1.estonská liga,2024-10-27,Flora_Paide,Tammeka_Tartu,,,1.41,4.36,5.6
Fotbal,1.estonská liga,2024-10-27,Kalju_Nomme_JK,Levadia_Tallin,0.0,4.0,3.16,3.39,2.0
Fotbal,1.estonská liga,2024-10-26,Flora_Paide,Tammeka_Tartu,2.0,0.0,1.39,4.4,5.81
Fotbal,1.estonská liga,2024-10-27,Narva_Trans,Vaprus_Pärnu,1.0,1.0,2.22,3.25,2.86
Fotbal,1.estonská liga,2024-11-02,Kuressaare_FC,Kalju_Nomme_JK,1.0,2.0,5.27,4.51,1.42
Fotbal,1.estonská liga,2024-11-03,Tammeka_Tartu,Narva_Trans,3.0,3.0,2.41,3.33,2.55
Fotbal,1.estonská liga,2024-11-03,Nomme_United,Flora_Paide,0.0,4.0,15.0,7.66,1.12
Fotbal,1.estonská liga,2024-11-03,Levadia_Tallin,Flora_Tallin,4.0,2.0,2.38,3.23,2.64
Fotbal,1.estonská liga,2024-11-03,Vaprus_Pärnu,Kalev_Tallin,2.0,0.0,2.37,3.24,2.66
Fotbal,1.estonská liga,2024-11-09,Flora_Tallin,Kalev_Tallin,5.0,1.0,1.2,6.01,10.3
Fotbal,1.estonská liga,2024-11-09,Kalju_Nomme_JK,Vaprus_Pärnu,2.0,1.0,1.2,5.94,9.99
Fotbal,1.estonská liga,2024-11-09,Narva_Trans,Kuressaare_FC,0.0,2.0,2.03,3.61,2.94
Fotbal,1.estonská liga,2024-11-09,Nomme_United,Tammeka_Tartu,1.0,2.0,4.17,3.97,1.61
Fotbal,1.estonská liga,2024-11-09,Flora_Paide,Levadia_Tallin,3.0,0.0,2.21,3.3,2.83
Fotbal,1.estonská liga,2025-02-28,Levadia_Tallin,Harju_Jalgpallikool,5.0,0.0,1.13,7.56,13.8
Fotbal,1.estonská liga,2025-03-01,Vaprus_Pärnu,Kalju_Nomme_JK,0.0,3.0,5.33,4.29,1.44
Fotbal,1.estonská liga,2025-03-01,Flora_Tallin,Narva_Trans,2.0,2.0,1.48,4.12,5.03
Fotbal,1.estonská liga,2025-03-02,Kuressaare_FC,Flora_Paide,1.0,2.0,8.46,5.53,1.24
Fotbal,1.estonská liga,2025-03-02,Kalev_Tallin,Tammeka_Tartu,1.0,2.0,4.69,4.21,1.51
