sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.faerskoostrovní liga,2024-09-14,Skala_IF,Vestur_Sandavagur_07,4.0,1.0,1.88,3.54,3.36
Fotbal,1.faerskoostrovní liga,2024-09-15,Streymur_Eidi_EB,Fuglafjordur_IF,2.0,1.0,1.35,4.52,6.47
Fotbal,1.faerskoostrovní liga,2024-09-15,Thorshavn_B36,Runavik_NSI,2.0,2.0,1.73,3.94,3.57
Fotbal,1.faerskoostrovní liga,2024-09-15,Klakksvik_KI,Thorshavn_HB,1.0,0.0,1.49,3.94,5.15
Fotbal,1.faerskoostrovní liga,2024-09-15,Toftir_B_-_68,Vikingur_Gotu,1.0,2.0,14.8,7.93,1.12
Fotbal,1.faerskoostrovní liga,2024-09-21,Toftir_B_-_68,Klakksvik_KI,0.0,2.0,13.4,6.91,1.15
Fotbal,1.faerskoostrovní liga,2024-09-21,Vikingur_Gotu,Streymur_Eidi_EB,1.0,0.0,1.09,8.8,17.5
Fotbal,1.faerskoostrovní liga,2024-09-21,Vestur_Sandavagur_07,Thorshavn_B36,0.0,3.0,6.22,5.13,1.31
Fotbal,1.faerskoostrovní liga,2024-09-22,Runavik_NSI,Fuglafjordur_IF,3.0,0.0,1.16,7.08,11.9
Fotbal,1.faerskoostrovní liga,2024-09-22,Thorshavn_HB,Skala_IF,3.0,0.0,1.19,6.21,10.6
Fotbal,1.faerskoostrovní liga,2024-09-25,Vikingur_Gotu,Klakksvik_KI,1.0,2.0,2.06,3.27,3.13
Fotbal,1.faerskoostrovní liga,2024-09-28,Fuglafjordur_IF,Toftir_B_-_68,1.0,3.0,4.43,3.9,1.58
Fotbal,1.faerskoostrovní liga,2024-09-28,Streymur_Eidi_EB,Runavik_NSI,4.0,1.0,3.69,3.74,1.74
Fotbal,1.faerskoostrovní liga,2024-09-28,Thorshavn_B36,Thorshavn_HB,2.0,2.0,2.46,3.29,2.52
Fotbal,1.faerskoostrovní liga,2024-09-29,Vestur_Sandavagur_07,Klakksvik_KI,0.0,1.0,13.4,7.39,1.14
Fotbal,1.faerskoostrovní liga,2024-09-30,Skala_IF,Vikingur_Gotu,0.0,3.0,12.7,7.31,1.15
Fotbal,1.faerskoostrovní liga,2024-10-01,Fuglafjordur_IF,Toftir_B_-_68,1.0,3.0,4.43,3.9,1.58
Fotbal,1.faerskoostrovní liga,2024-10-04,Vikingur_Gotu,Fuglafjordur_IF,5.0,0.0,1.01,18.9,33.0
Fotbal,1.faerskoostrovní liga,2024-10-04,Toftir_B_-_68,Skala_IF,1.0,1.0,2.03,3.33,3.13
Fotbal,1.faerskoostrovní liga,2024-10-04,Klakksvik_KI,Runavik_NSI,3.0,1.0,1.23,5.62,8.89
Fotbal,1.faerskoostrovní liga,2024-10-05,Thorshavn_HB,Vestur_Sandavagur_07,1.0,0.0,1.21,5.8,10.4
Fotbal,1.faerskoostrovní liga,2024-10-05,Streymur_Eidi_EB,Thorshavn_B36,1.0,0.0,4.27,3.94,1.6
Fotbal,1.faerskoostrovní liga,2024-10-20,Vestur_Sandavagur_07,Fuglafjordur_IF,5.0,1.0,1.37,4.62,5.74
Fotbal,1.faerskoostrovní liga,2024-10-20,Thorshavn_HB,Vikingur_Gotu,1.0,1.0,3.36,3.68,1.84
Fotbal,1.faerskoostrovní liga,2024-10-20,Klakksvik_KI,Thorshavn_B36,2.0,2.0,1.4,4.35,5.82
Fotbal,1.faerskoostrovní liga,2024-10-20,Skala_IF,Runavik_NSI,0.0,0.0,3.38,4.02,1.76
Fotbal,1.faerskoostrovní liga,2024-10-20,Toftir_B_-_68,Streymur_Eidi_EB,1.0,4.0,2.25,3.22,2.84
Fotbal,1.faerskoostrovní liga,2024-10-26,Thorshavn_B36,Skala_IF,3.0,0.0,1.34,4.73,6.31
Fotbal,1.faerskoostrovní liga,2024-10-26,Streymur_Eidi_EB,Thorshavn_HB,1.0,4.0,4.75,3.91,1.54
Fotbal,1.faerskoostrovní liga,2024-10-26,Fuglafjordur_IF,Klakksvik_KI,1.0,4.0,33.0,17.7,1.02
Fotbal,1.faerskoostrovní liga,2024-10-26,Runavik_NSI,Toftir_B_-_68,1.0,4.0,1.39,4.49,5.63
Fotbal,1.faerskoostrovní liga,2024-10-26,Vikingur_Gotu,Vestur_Sandavagur_07,4.0,1.0,1.09,9.24,17.1
Fotbal,1.faerskoostrovní liga,2025-03-07,Thorshavn_HB,Toftir_B_-_68,3.0,2.0,1.21,5.58,10.2
Fotbal,1.faerskoostrovní liga,2025-03-09,Suduroy_FC,Streymur_Eidi_EB,,,2.77,3.69,2.1
Fotbal,1.faerskoostrovní liga,2025-03-09,Tvoroyri_TB,Vikingur_Gotu,1.0,1.0,15.0,7.92,1.12
Fotbal,1.faerskoostrovní liga,2025-03-09,Klakksvik_KI,Vestur_Sandavagur_07,3.0,1.0,1.05,12.2,25.2
Fotbal,1.faerskoostrovní liga,2025-03-09,Runavik_NSI,Thorshavn_B36,4.0,3.0,1.67,3.95,3.82
Fotbal,1.faerskoostrovní liga,2025-03-16,Vestur_Sandavagur_07,Thorshavn_HB,1.0,2.0,6.47,4.68,1.34
Fotbal,1.faerskoostrovní liga,2025-03-16,Thorshavn_B36,Klakksvik_KI,1.0,3.0,5.55,4.41,1.41
Fotbal,1.faerskoostrovní liga,2025-03-16,Streymur_Eidi_EB,Tvoroyri_TB,2.0,2.0,1.95,3.33,3.33
Fotbal,1.faerskoostrovní liga,2025-03-16,Toftir_B_-_68,Suduroy_FC,2.0,0.0,1.34,4.65,6.4
Fotbal,1.faerskoostrovní liga,2025-03-22,Suduroy_FC,Streymur_Eidi_EB,0.0,2.0,4.2,3.67,1.66
Fotbal,1.faerskoostrovní liga,2025-03-30,Tvoroyri_TB,Thorshavn_B36,0.0,1.0,5.62,4.31,1.42
Fotbal,1.faerskoostrovní liga,2025-03-30,Klakksvik_KI,Streymur_Eidi_EB,2.0,1.0,1.15,6.92,14.1
Fotbal,1.faerskoostrovní liga,2025-03-30,Vikingur_Gotu,Vestur_Sandavagur_07,0.0,0.0,1.14,7.36,13.4
Fotbal,1.faerskoostrovní liga,2025-03-30,Thorshavn_HB,Suduroy_FC,4.0,0.0,1.07,9.91,20.1
Fotbal,1.faerskoostrovní liga,2025-03-30,Runavik_NSI,Toftir_B_-_68,11.0,0.0,1.36,4.62,6.1
Fotbal,1.faerskoostrovní liga,2025-04-03,Suduroy_FC,Tvoroyri_TB,1.0,0.0,2.7,3.33,2.29
Fotbal,1.faerskoostrovní liga,2025-04-03,Thorshavn_B36,Vikingur_Gotu,1.0,0.0,4.07,3.7,1.68
Fotbal,1.faerskoostrovní liga,2025-04-03,Streymur_Eidi_EB,Thorshavn_HB,0.0,3.0,4.59,3.88,1.56
Fotbal,1.faerskoostrovní liga,2025-04-03,Runavik_NSI,Vestur_Sandavagur_07,4.0,1.0,1.19,6.36,10.5
Fotbal,1.faerskoostrovní liga,2025-04-03,Toftir_B_-_68,Klakksvik_KI,0.0,2.0,11.2,6.37,1.18
