sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.guatemalská liga,2024-09-02,Comunicaciones,Huehueteco_Xinabajul,1.0,2.0,1.42,3.78,6.85
Fotbal,1.guatemalská liga,2024-09-07,Marquense_CD,Cobán_Imperial_CSYD,0.0,1.0,1.97,2.95,3.76
Fotbal,1.guatemalská liga,2024-09-08,Xelaju_MC,Huehueteco_Xinabajul,2.0,0.0,1.67,3.02,5.29
Fotbal,1.guatemalská liga,2024-09-08,Malacateco_Deportivo,Guastatoya,0.0,0.0,1.87,2.82,4.42
Fotbal,1.guatemalská liga,2024-09-08,Achuapa,Zacapa_Deportivo,2.0,2.0,1.48,3.66,5.79
Fotbal,1.guatemalská liga,2024-09-11,Mixco,Xelaju_MC,1.0,0.0,2.04,2.6,4.22
Fotbal,1.guatemalská liga,2024-09-12,Comunicaciones,Achuapa,1.0,0.0,1.31,4.5,7.91
Fotbal,1.guatemalská liga,2024-09-15,Antigua_GFC,Malacateco_Deportivo,3.0,1.0,1.46,3.79,5.89
Fotbal,1.guatemalská liga,2024-09-15,Zacapa_Deportivo,Marquense_CD,0.0,0.0,1.66,3.36,4.64
Fotbal,1.guatemalská liga,2024-09-15,Guastatoya,Xelaju_MC,1.0,1.0,1.92,2.66,4.56
Fotbal,1.guatemalská liga,2024-09-16,Huehueteco_Xinabajul,Mixco,3.0,3.0,1.81,2.96,4.46
Fotbal,1.guatemalská liga,2024-09-18,Municipal,Antigua_GFC,2.0,1.0,1.77,3.07,4.43
Fotbal,1.guatemalská liga,2024-09-18,Mixco,Comunicaciones,2.0,1.0,2.52,2.61,3.05
Fotbal,1.guatemalská liga,2024-09-21,Malacateco_Deportivo,Cobán_Imperial_CSYD,1.0,0.0,2.06,2.93,3.51
Fotbal,1.guatemalská liga,2024-09-21,Mixco,Guastatoya,1.0,1.0,1.92,2.72,4.45
