sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.honduraská liga,2024-09-02,Motagua_CD,Marathón_San_Pedro_Sula,0.0,1.0,1.79,3.43,3.82
Fotbal,1.honduraská liga,2024-09-02,Real_Espana,Olimpia_Tegucigalpa_CD,2.0,0.0,3.65,2.98,1.99
Fotbal,1.honduraská liga,2024-09-14,Olimpia_Tegucigalpa_CD,UPNFM,3.0,1.0,1.22,5.42,10.5
Fotbal,1.honduraská liga,2024-09-14,Marathón_San_Pedro_Sula,Real_Sociedad,1.0,1.0,1.62,3.44,4.74
Fotbal,1.honduraská liga,2024-09-15,Deportivo_Genesis,Motagua_CD,0.0,3.0,3.45,3.13,1.99
Fotbal,1.honduraská liga,2024-09-15,Juticalpa,Real_Espana,0.0,1.0,3.11,2.91,2.25
Fotbal,1.honduraská liga,2024-09-15,Victoria_Ceiba,Olancho,3.0,2.0,2.75,2.78,2.62
Fotbal,1.honduraská liga,2024-09-18,Real_Sociedad,UPNFM,0.0,0.0,1.89,3.13,3.78
Fotbal,1.honduraská liga,2024-09-19,Motagua_CD,Juticalpa,3.0,0.0,1.26,4.85,9.64
Fotbal,1.honduraská liga,2024-09-19,Deportivo_Genesis,Marathón_San_Pedro_Sula,1.0,2.0,2.76,2.78,2.62
Fotbal,1.honduraská liga,2024-09-20,Olancho,Olimpia_Tegucigalpa_CD,1.0,2.0,3.65,2.8,2.08
Fotbal,1.honduraská liga,2024-09-20,Real_Espana,Victoria_Ceiba,1.0,1.0,1.51,3.52,5.82
Fotbal,1.honduraská liga,2024-09-22,Juticalpa,Deportivo_Genesis,0.0,0.0,2.43,2.81,2.94
Fotbal,1.honduraská liga,2024-09-22,Victoria_Ceiba,Motagua_CD,1.0,3.0,3.51,3.17,1.95
Fotbal,1.honduraská liga,2024-09-23,UPNFM,Real_Espana,1.0,0.0,2.94,2.75,2.48
Fotbal,1.honduraská liga,2024-09-23,Marathón_San_Pedro_Sula,Olancho,2.0,0.0,1.95,2.95,3.81
Fotbal,1.honduraská liga,2024-09-24,Olimpia_Tegucigalpa_CD,Real_Sociedad,5.0,0.0,1.44,3.95,5.85
Fotbal,1.honduraská liga,2024-09-29,UPNFM,Motagua_CD,0.0,2.0,3.47,3.02,2.03
Fotbal,1.honduraská liga,2024-09-29,Real_Espana,Real_Sociedad,3.0,2.0,1.54,3.42,5.58
Fotbal,1.honduraská liga,2024-09-29,Victoria_Ceiba,Marathón_San_Pedro_Sula,3.0,0.0,2.66,3.05,2.48
Fotbal,1.honduraská liga,2024-09-30,Olimpia_Tegucigalpa_CD,Deportivo_Genesis,4.0,0.0,1.18,5.98,13.6
Fotbal,1.honduraská liga,2024-09-30,Juticalpa,Olancho,0.0,1.0,3.36,2.7,2.26
Fotbal,1.honduraská liga,2024-10-05,Deportivo_Genesis,Victoria_Ceiba,2.0,1.0,2.36,2.89,2.95
Fotbal,1.honduraská liga,2024-10-05,Marathón_San_Pedro_Sula,Olimpia_Tegucigalpa_CD,,,2.87,2.82,2.48
Fotbal,1.honduraská liga,2024-10-06,Olancho,UPNFM,4.0,0.0,1.66,3.25,4.81
Fotbal,1.honduraská liga,2024-10-06,Real_Sociedad,Juticalpa,1.0,1.0,1.81,3.1,4.23
Fotbal,1.honduraská liga,2024-10-07,Motagua_CD,Real_Espana,0.0,4.0,1.6,3.55,4.73
Fotbal,1.honduraská liga,2024-10-07,Marathón_San_Pedro_Sula,Olimpia_Tegucigalpa_CD,0.0,0.0,2.95,3.03,2.27
Fotbal,1.honduraská liga,2024-10-20,Olimpia_Tegucigalpa_CD,Victoria_Ceiba,4.0,3.0,1.3,4.59,8.2
Fotbal,1.honduraská liga,2024-10-20,Real_Sociedad,Motagua_CD,1.0,4.0,4.01,3.47,1.74
Fotbal,1.honduraská liga,2024-10-20,Juticalpa,Marathón_San_Pedro_Sula,1.0,1.0,3.49,3.09,1.99
Fotbal,1.honduraská liga,2024-10-21,UPNFM,Deportivo_Genesis,1.0,4.0,2.02,3.06,3.44
Fotbal,1.honduraská liga,2024-10-21,Real_Espana,Olancho,1.0,1.0,1.92,2.85,4.17
Fotbal,1.honduraská liga,2024-10-26,Marathón_San_Pedro_Sula,UPNFM,1.0,2.0,1.31,4.53,7.95
Fotbal,1.honduraská liga,2024-10-27,Deportivo_Genesis,Real_Espana,1.0,1.0,2.93,2.85,2.4
Fotbal,1.honduraská liga,2024-10-27,Motagua_CD,Olimpia_Tegucigalpa_CD,1.0,1.0,2.35,3.19,2.72
Fotbal,1.honduraská liga,2024-10-28,Olancho,Real_Sociedad,2.0,2.0,1.47,3.61,6.09
Fotbal,1.honduraská liga,2024-10-28,Victoria_Ceiba,Juticalpa,4.0,0.0,1.6,3.46,4.9
Fotbal,1.honduraská liga,2024-11-02,Real_Sociedad,Deportivo_Genesis,2.0,4.0,1.98,3.07,3.53
Fotbal,1.honduraská liga,2024-11-03,UPNFM,Victoria_Ceiba,1.0,1.0,2.35,3.11,2.78
Fotbal,1.honduraská liga,2024-11-03,Real_Espana,Marathón_San_Pedro_Sula,0.0,3.0,2.02,2.8,3.86
Fotbal,1.honduraská liga,2024-11-03,Juticalpa,Olimpia_Tegucigalpa_CD,0.0,2.0,5.09,3.71,1.53
Fotbal,1.honduraská liga,2024-11-04,Motagua_CD,Olancho,2.0,2.0,1.65,3.26,4.83
Fotbal,1.honduraská liga,2024-11-06,Marathón_San_Pedro_Sula,Motagua_CD,2.0,1.0,2.54,2.99,2.65
Fotbal,1.honduraská liga,2024-11-07,Juticalpa,UPNFM,3.0,0.0,2.3,2.84,3.11
Fotbal,1.honduraská liga,2024-11-07,Olimpia_Tegucigalpa_CD,Real_Espana,1.0,0.0,1.38,4.15,6.65
Fotbal,1.honduraská liga,2024-11-08,Deportivo_Genesis,Olancho,0.0,0.0,3.09,2.74,2.38
Fotbal,1.honduraská liga,2024-11-08,Victoria_Ceiba,Real_Sociedad,2.0,3.0,1.58,3.69,4.72
Fotbal,1.honduraská liga,2024-11-10,Real_Espana,Juticalpa,0.0,1.0,1.36,4.12,7.41
Fotbal,1.honduraská liga,2024-11-10,UPNFM,Olimpia_Tegucigalpa_CD,0.0,2.0,5.87,4.16,1.42
Fotbal,1.honduraská liga,2024-11-10,Real_Sociedad,Marathón_San_Pedro_Sula,0.0,0.0,2.37,3.07,2.77
Fotbal,1.honduraská liga,2024-11-11,Olancho,Victoria_Ceiba,3.0,0.0,1.53,3.62,5.23
Fotbal,1.honduraská liga,2024-11-11,Motagua_CD,Deportivo_Genesis,2.0,1.0,1.39,4.2,6.37
Fotbal,1.honduraská liga,2024-11-23,Marathón_San_Pedro_Sula,Deportivo_Genesis,1.0,1.0,1.56,3.49,5.16
Fotbal,1.honduraská liga,2024-11-24,UPNFM,Real_Sociedad,2.0,1.0,2.35,3.14,2.76
Fotbal,1.honduraská liga,2024-11-24,Juticalpa,Motagua_CD,1.0,3.0,4.97,3.74,1.54
Fotbal,1.honduraská liga,2024-11-25,Olimpia_Tegucigalpa_CD,Olancho,4.0,0.0,1.45,3.73,6.18
Fotbal,1.honduraská liga,2024-11-25,Victoria_Ceiba,Real_Espana,0.0,0.0,2.75,3.17,2.34
Fotbal,1.honduraská liga,2024-12-01,Motagua_CD,Victoria_Ceiba,5.0,2.0,1.49,4.03,5.04
Fotbal,1.honduraská liga,2024-12-01,Real_Sociedad,Olimpia_Tegucigalpa_CD,0.0,2.0,5.04,3.72,1.54
Fotbal,1.honduraská liga,2024-12-01,Deportivo_Genesis,Juticalpa,3.0,0.0,1.56,3.45,5.33
Fotbal,1.honduraská liga,2024-12-01,Olancho,Marathón_San_Pedro_Sula,3.0,1.0,1.48,3.63,5.87
Fotbal,1.honduraská liga,2024-12-01,Real_Espana,UPNFM,0.0,0.0,1.52,3.62,5.34
Fotbal,1.honduraská liga,2024-12-05,Olancho,Marathón_San_Pedro_Sula,1.0,2.0,2.28,2.79,3.2
