sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.irská liga,2024-09-05,Dundalk_FC,St._Patrick's_Athletic,1.0,2.0,3.77,3.25,1.95
Fotbal,1.irská liga,2024-09-06,Bohemians_Dublin,Shelbourne_United,1.0,1.0,2.47,2.9,2.99
Fotbal,1.irská liga,2024-09-13,Waterford,Dundalk_FC,2.0,1.0,1.92,3.38,3.72
Fotbal,1.irská liga,2024-09-13,Shamrock_Rovers,Sligo_Rovers,4.0,0.0,1.27,5.3,9.18
Fotbal,1.irská liga,2024-09-16,Galway_United,Shamrock_Rovers,1.0,2.0,2.99,2.94,2.44
Fotbal,1.irská liga,2024-09-20,Bohemians_Dublin,Drogheda_United,0.0,1.0,1.82,3.56,3.93
Fotbal,1.irská liga,2024-09-20,Derry_City,Shamrock_Rovers,1.0,1.0,2.23,3.1,3.17
Fotbal,1.irská liga,2024-09-20,Galway_United,Shelbourne_United,1.0,0.0,2.13,2.91,3.67
Fotbal,1.irská liga,2024-09-20,St._Patrick's_Athletic,Waterford,3.0,0.0,1.56,3.95,5.23
Fotbal,1.irská liga,2024-09-21,Sligo_Rovers,Dundalk_FC,2.0,1.0,2.04,3.4,3.32
Fotbal,1.irská liga,2024-09-23,Shamrock_Rovers,Bohemians_Dublin,1.0,0.0,1.47,4.19,6.09
Fotbal,1.irská liga,2024-09-23,Drogheda_United,Galway_United,0.0,0.0,2.96,3.23,2.28
Fotbal,1.irská liga,2024-09-27,Drogheda_United,Derry_City,2.0,1.0,3.72,3.28,1.96
Fotbal,1.irská liga,2024-09-27,Dundalk_FC,Bohemians_Dublin,0.0,2.0,3.07,3.3,2.19
Fotbal,1.irská liga,2024-09-27,Shelbourne_United,Sligo_Rovers,0.0,0.0,1.69,3.5,4.8
Fotbal,1.irská liga,2024-09-27,Waterford,Galway_United,1.0,2.0,3.39,3.05,2.16
Fotbal,1.irská liga,2024-09-27,Shamrock_Rovers,St._Patrick's_Athletic,0.0,3.0,1.62,3.76,4.95
Fotbal,1.irská liga,2024-09-30,Shelbourne_United,St._Patrick's_Athletic,2.0,3.0,2.95,2.95,2.45
Fotbal,1.irská liga,2024-10-04,Galway_United,Dundalk_FC,1.0,1.0,1.32,4.65,8.88
Fotbal,1.irská liga,2024-10-06,Shamrock_Rovers,Shelbourne_United,2.0,0.0,1.49,3.92,6.35
Fotbal,1.irská liga,2024-10-04,Waterford,Drogheda_United,,,2.34,3.22,2.88
Fotbal,1.irská liga,2024-10-11,Derry_City,Bohemians_Dublin,1.0,1.0,1.61,3.69,5.13
Fotbal,1.irská liga,2024-10-04,Bohemians_Dublin,St._Patrick's_Athletic,,,2.68,3.22,2.5
Fotbal,1.irská liga,2024-10-14,Derry_City,Sligo_Rovers,1.0,1.0,1.33,4.8,8.03
Fotbal,1.irská liga,2024-10-11,Waterford,Drogheda_United,0.0,0.0,2.49,3.28,2.64
