sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.japonská liga,2024-09-13,Kawasaki_F.,Sagan_Tosu,3.0,2.0,1.41,4.96,6.4
Fotbal,1.japonská liga,2024-09-13,Vissel_Kobe,Cerezo,2.0,1.0,1.72,3.77,4.58
Fotbal,1.japonská liga,2024-09-13,Marinos,Kyoto,1.0,2.0,1.87,4.13,3.49
Fotbal,1.japonská liga,2024-09-14,Sapporo,Verdy,0.0,2.0,2.68,3.27,2.58
Fotbal,1.japonská liga,2024-09-14,Fukuoka,Machida_Zelvia,0.0,3.0,3.27,2.89,2.4
Fotbal,1.japonská liga,2024-09-14,Kashima,Hiroshima,2.0,2.0,3.06,3.42,2.24
Fotbal,1.japonská liga,2024-09-14,Niigata,Shonan_Bellmare,3.0,1.0,2.2,3.39,3.15
Fotbal,1.japonská liga,2024-09-14,Tokyo,Nagoja,4.0,1.0,2.92,2.97,2.57
Fotbal,1.japonská liga,2024-09-14,Gamba,Urawa,0.0,1.0,2.38,3.19,2.99
Fotbal,1.japonská liga,2024-09-14,Reysol,Jubilo,0.0,2.0,1.63,4.02,4.98
Fotbal,1.japonská liga,2024-09-18,Nagoja,Niigata,3.0,0.0,2.72,3.0,2.73
Fotbal,1.japonská liga,2024-09-21,Kashima,Reysol,0.0,0.0,2.54,3.34,2.68
Fotbal,1.japonská liga,2024-09-21,Jubilo,Fukuoka,0.0,0.0,2.96,2.77,2.71
Fotbal,1.japonská liga,2024-09-21,Kyoto,Gamba,,,2.66,3.13,2.56
Fotbal,1.japonská liga,2024-09-21,Machida_Zelvia,Sapporo,0.0,0.0,1.62,4.08,4.93
Fotbal,1.japonská liga,2024-09-21,Hiroshima,Marinos,,,1.63,4.19,4.29
Fotbal,1.japonská liga,2024-09-21,Shonan_Bellmare,Cerezo,,,2.24,3.27,2.99
Fotbal,1.japonská liga,2024-09-21,Urawa,Tokyo,0.0,2.0,1.9,3.59,3.85
Fotbal,1.japonská liga,2024-09-21,Verdy,Sagan_Tosu,,,1.64,3.84,4.68
Fotbal,1.japonská liga,2024-09-22,Nagoja,Kawasaki_F.,2.0,0.0,2.89,3.21,2.44
Fotbal,1.japonská liga,2024-09-22,Niigata,Vissel_Kobe,2.0,3.0,3.97,3.36,1.94
Fotbal,1.japonská liga,2024-09-22,Verdy,Sagan_Tosu,2.0,0.0,1.68,3.95,4.66
Fotbal,1.japonská liga,2024-09-22,Hiroshima,Marinos,6.0,2.0,1.45,4.93,5.71
Fotbal,1.japonská liga,2024-09-22,Kyoto,Gamba,2.0,2.0,2.29,3.4,2.98
Fotbal,1.japonská liga,2024-09-22,Shonan_Bellmare,Cerezo,1.0,2.0,2.21,3.3,3.2
Fotbal,1.japonská liga,2024-09-28,Sapporo,Kyoto,2.0,0.0,2.69,3.7,2.36
Fotbal,1.japonská liga,2024-09-28,Gamba,Verdy,1.0,1.0,2.12,3.3,3.43
Fotbal,1.japonská liga,2024-09-28,Marinos,Tokyo,1.0,3.0,1.96,4.08,3.26
Fotbal,1.japonská liga,2024-09-28,Cerezo,Reysol,0.0,0.0,2.94,3.2,2.41
Fotbal,1.japonská liga,2024-09-28,Kawasaki_F.,Niigata,,,1.97,3.6,3.33
Fotbal,1.japonská liga,2024-09-28,Nagoja,Jubilo,2.0,0.0,1.97,3.33,3.88
Fotbal,1.japonská liga,2024-09-28,Sagan_Tosu,Fukuoka,0.0,0.0,2.91,2.97,2.58
Fotbal,1.japonská liga,2024-09-28,Hiroshima,Machida_Zelvia,2.0,0.0,1.89,3.45,4.08
Fotbal,1.japonská liga,2024-09-28,Shonan_Bellmare,Kashima,3.0,2.0,2.47,3.32,2.78
Fotbal,1.japonská liga,2024-09-28,Vissel_Kobe,Urawa,1.0,0.0,1.61,3.96,5.18
Fotbal,1.japonská liga,2024-09-27,Kawasaki_F.,Niigata,5.0,1.0,2.11,3.68,3.12
Fotbal,1.japonská liga,2024-10-02,Cerezo,Gamba,1.0,0.0,2.9,3.09,2.51
Fotbal,1.japonská liga,2024-10-04,Fukuoka,Nagoja,1.0,0.0,2.84,2.82,2.77
Fotbal,1.japonská liga,2024-10-05,Niigata,Kashima,0.0,4.0,2.54,3.19,2.78
Fotbal,1.japonská liga,2024-10-05,Tokyo,Sagan_Tosu,1.0,1.0,1.89,3.82,3.68
Fotbal,1.japonská liga,2024-10-05,Reysol,Marinos,1.0,0.0,1.83,4.16,3.64
Fotbal,1.japonská liga,2024-10-05,Machida_Zelvia,Kawasaki_F.,1.0,4.0,2.18,3.54,3.09
Fotbal,1.japonská liga,2024-10-05,Urawa,Cerezo,0.0,1.0,2.21,3.34,3.17
Fotbal,1.japonská liga,2024-10-05,Gamba,Sapporo,2.0,1.0,2.13,3.53,3.2
Fotbal,1.japonská liga,2024-10-06,Kyoto,Vissel_Kobe,2.0,3.0,3.94,3.61,1.88
Fotbal,1.japonská liga,2024-10-06,Jubilo,Hiroshima,1.0,2.0,5.96,4.38,1.49
Fotbal,1.japonská liga,2024-10-06,Verdy,Shonan_Bellmare,0.0,2.0,2.26,3.23,3.17
Fotbal,1.japonská liga,2024-10-19,Cerezo,Jubilo,1.0,2.0,1.89,3.55,3.94
Fotbal,1.japonská liga,2024-10-19,Kashima,Fukuoka,0.0,0.0,1.86,3.24,4.57
Fotbal,1.japonská liga,2024-10-19,Reysol,Machida_Zelvia,1.0,1.0,2.51,3.13,2.87
Fotbal,1.japonská liga,2024-10-19,Kawasaki_F.,Gamba,,,2.0,3.54,3.31
Fotbal,1.japonská liga,2024-10-19,Kyoto,Sagan_Tosu,2.0,0.0,1.58,4.3,5.02
Fotbal,1.japonská liga,2024-10-19,Nagoja,Sapporo,0.0,2.0,1.97,3.53,3.66
Fotbal,1.japonská liga,2024-10-19,Shonan_Bellmare,Hiroshima,2.0,1.0,4.52,3.81,1.73
Fotbal,1.japonská liga,2024-10-19,Verdy,Urawa,2.0,1.0,2.55,2.97,2.94
Fotbal,1.japonská liga,2024-10-19,Vissel_Kobe,Tokyo,,,1.48,4.19,5.8
Fotbal,1.japonská liga,2024-10-19,Marinos,Niigata,,,2.05,3.81,2.99
Fotbal,1.japonská liga,2024-10-18,Kawasaki_F.,Gamba,1.0,1.0,2.04,3.67,3.3
Fotbal,1.japonská liga,2024-10-18,Vissel_Kobe,Tokyo,0.0,2.0,1.41,4.74,7.04
Fotbal,1.japonská liga,2024-10-18,Marinos,Niigata,0.0,0.0,2.52,3.9,2.43
Fotbal,1.japonská liga,2024-10-23,Urawa,Reysol,1.0,0.0,2.74,2.99,2.72
Fotbal,1.japonská liga,2024-10-23,Niigata,Verdy,0.0,2.0,2.08,3.18,3.69
Fotbal,1.japonská liga,2024-10-23,Gamba,Nagoja,3.0,2.0,2.52,2.98,2.98
Fotbal,1.japonská liga,2024-10-30,Marinos,Urawa,0.0,0.0,2.43,3.6,2.66
Fotbal,1.japonská liga,2024-11-01,Kawasaki_F.,Kashima,1.0,3.0,2.34,3.42,2.89
Fotbal,1.japonská liga,2024-11-01,Vissel_Kobe,Jubilo,2.0,0.0,1.38,4.75,7.74
Fotbal,1.japonská liga,2024-11-03,Fukuoka,Reysol,2.0,1.0,3.23,2.9,2.41
Fotbal,1.japonská liga,2024-11-03,Tokyo,Shonan_Bellmare,0.0,2.0,2.58,3.4,2.61
Fotbal,1.japonská liga,2024-11-03,Sapporo,Cerezo,1.0,1.0,2.41,3.5,2.74
Fotbal,1.japonská liga,2024-11-03,Sagan_Tosu,Machida_Zelvia,2.0,1.0,4.81,3.94,1.66
Fotbal,1.japonská liga,2024-11-03,Hiroshima,Kyoto,0.0,1.0,1.44,4.79,6.23
Fotbal,1.japonská liga,2024-11-09,Kashima,Nagoja,0.0,0.0,1.97,3.17,4.14
Fotbal,1.japonská liga,2024-11-09,Kyoto,Kawasaki_F.,1.0,1.0,2.5,3.62,2.57
Fotbal,1.japonská liga,2024-11-09,Machida_Zelvia,Tokyo,3.0,0.0,1.95,3.35,3.95
Fotbal,1.japonská liga,2024-11-09,Sagan_Tosu,Marinos,1.0,2.0,3.63,4.23,1.82
Fotbal,1.japonská liga,2024-11-09,Shonan_Bellmare,Sapporo,1.0,1.0,2.19,3.79,2.9
Fotbal,1.japonská liga,2024-11-09,Cerezo,Fukuoka,1.0,0.0,2.23,2.97,3.53
Fotbal,1.japonská liga,2024-11-09,Jubilo,Gamba,3.0,4.0,3.2,3.16,2.28
Fotbal,1.japonská liga,2024-11-09,Reysol,Niigata,1.0,1.0,2.32,3.13,3.14
Fotbal,1.japonská liga,2024-11-10,Verdy,Vissel_Kobe,1.0,1.0,3.37,2.98,2.29
Fotbal,1.japonská liga,2024-11-10,Urawa,Hiroshima,3.0,0.0,4.56,3.7,1.74
Fotbal,1.japonská liga,2024-11-16,Jubilo,Marinos,3.0,4.0,3.08,3.77,2.11
Fotbal,1.japonská liga,2024-11-17,Kyoto,Kashima,0.0,0.0,2.87,3.32,2.4
Fotbal,1.japonská liga,2024-11-30,Niigata,Gamba,0.0,1.0,2.44,3.02,3.05
Fotbal,1.japonská liga,2024-11-30,Fukuoka,Urawa,1.0,0.0,2.62,2.85,2.98
Fotbal,1.japonská liga,2024-11-30,Reysol,Vissel_Kobe,1.0,1.0,3.57,2.95,2.23
Fotbal,1.japonská liga,2024-11-30,Nagoja,Sagan_Tosu,0.0,3.0,1.67,3.79,4.91
Fotbal,1.japonská liga,2024-11-30,Verdy,Kawasaki_F.,4.0,5.0,2.29,3.38,2.99
Fotbal,1.japonská liga,2024-11-30,Cerezo,Kashima,0.0,2.0,3.11,3.15,2.33
Fotbal,1.japonská liga,2024-11-30,Jubilo,Tokyo,2.0,1.0,2.62,3.21,2.68
Fotbal,1.japonská liga,2024-11-30,Machida_Zelvia,Kyoto,1.0,0.0,1.72,3.92,4.43
Fotbal,1.japonská liga,2024-11-30,Shonan_Bellmare,Marinos,2.0,3.0,2.23,3.78,2.85
Fotbal,1.japonská liga,2024-12-01,Hiroshima,Sapporo,5.0,1.0,1.32,5.44,8.24
Fotbal,1.japonská liga,2024-12-08,Tokyo,Cerezo,3.0,0.0,2.62,3.24,2.65
Fotbal,1.japonská liga,2024-12-08,Kashima,Machida_Zelvia,3.0,1.0,3.03,3.13,2.4
Fotbal,1.japonská liga,2024-12-08,Kawasaki_F.,Fukuoka,3.0,1.0,1.58,4.03,5.36
Fotbal,1.japonská liga,2024-12-08,Kyoto,Verdy,0.0,0.0,2.62,3.26,2.64
Fotbal,1.japonská liga,2024-12-08,Sagan_Tosu,Jubilo,3.0,0.0,2.84,3.64,2.28
