sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.jordánská liga,2024-09-19,Al-Ahli,Shabab_Al-Ordun,3.0,2.0,2.19,2.88,3.25
Fotbal,1.jordánská liga,2024-09-19,Aqaba,Al_Salt,2.0,0.0,4.04,3.14,1.83
Fotbal,1.jordánská liga,2024-09-20,Al-Ramtha,Al_Sareeh,2.0,1.0,1.66,3.38,4.58
Fotbal,1.jordánská liga,2024-09-20,Al-Jazeera,Moghayer_Al_Sarhan,3.0,3.0,1.88,3.13,3.84
Fotbal,1.jordánská liga,2024-09-21,Al-Wihdat,Al-Faisaly,1.0,1.0,3.08,2.93,2.25
Fotbal,1.jordánská liga,2024-09-23,Al-Hussein,Maan,1.0,0.0,1.25,4.8,10.7
Fotbal,1.jordánská liga,2024-09-26,Moghayer_Al_Sarhan,Al-Ramtha,0.0,4.0,5.34,3.79,1.5
Fotbal,1.jordánská liga,2024-09-26,Al-Wihdat,Al-Ahli,2.0,1.0,1.34,4.28,7.42
Fotbal,1.jordánská liga,2024-09-27,Shabab_Al-Ordun,Al_Sareeh,2.0,1.0,2.21,3.05,3.04
Fotbal,1.jordánská liga,2024-09-27,Al-Faisaly,Aqaba,3.0,1.0,1.16,6.52,13.0
Fotbal,1.jordánská liga,2024-09-28,Al_Salt,Al-Hussein,0.0,2.0,6.11,4.03,1.42
Fotbal,1.jordánská liga,2024-09-28,Maan,Al-Jazeera,0.0,0.0,3.63,3.2,1.9
Fotbal,1.jordánská liga,2024-10-17,Al_Sareeh,Moghayer_Al_Sarhan,0.0,0.0,1.54,3.82,4.81
Fotbal,1.jordánská liga,2024-10-17,Aqaba,Al-Ahli,1.0,3.0,3.39,2.88,2.13
Fotbal,1.jordánská liga,2024-10-17,Shabab_Al-Ordun,Al-Wihdat,0.0,2.0,5.71,3.98,1.45
Fotbal,1.jordánská liga,2024-10-18,Al-Ramtha,Maan,1.0,0.0,1.39,3.95,7.01
Fotbal,1.jordánská liga,2024-10-19,Al-Jazeera,Al_Salt,2.0,0.0,2.18,2.85,3.3
Fotbal,1.jordánská liga,2024-10-19,Al-Hussein,Al-Faisaly,1.0,0.0,2.67,2.81,2.68
Fotbal,1.jordánská liga,2024-10-25,Moghayer_Al_Sarhan,Shabab_Al-Ordun,0.0,2.0,3.21,3.17,2.07
Fotbal,1.jordánská liga,2024-10-25,Al-Faisaly,Al-Jazeera,2.0,2.0,1.34,4.54,6.65
Fotbal,1.jordánská liga,2024-10-26,Al_Salt,Al-Ramtha,3.0,2.0,4.33,3.41,1.69
Fotbal,1.jordánská liga,2024-10-26,Maan,Al_Sareeh,3.0,2.0,3.36,3.06,2.05
Fotbal,1.jordánská liga,2024-10-27,Al-Ahli,Al-Hussein,0.0,2.0,6.71,4.06,1.39
Fotbal,1.jordánská liga,2024-10-27,Al-Wihdat,Aqaba,3.0,2.0,1.2,5.53,12.0
Fotbal,1.jordánská liga,2024-10-31,Maan,Moghayer_Al_Sarhan,1.0,3.0,2.3,3.1,2.84
Fotbal,1.jordánská liga,2024-11-01,Al-Hussein,Al-Wihdat,3.0,1.0,1.87,2.94,4.21
Fotbal,1.jordánská liga,2024-11-01,Aqaba,Shabab_Al-Ordun,1.0,1.0,4.03,3.4,1.75
Fotbal,1.jordánská liga,2024-11-02,Al-Jazeera,Al-Ahli,2.0,1.0,1.99,3.09,3.48
Fotbal,1.jordánská liga,2024-11-02,Al-Ramtha,Al-Faisaly,0.0,0.0,3.48,3.37,1.89
Fotbal,1.jordánská liga,2024-11-03,Al_Sareeh,Al_Salt,0.0,0.0,2.09,3.06,3.25
Fotbal,1.jordánská liga,2024-11-29,Al-Faisaly,Al_Sareeh,1.0,1.0,1.29,4.77,7.76
Fotbal,1.jordánská liga,2024-11-29,Moghayer_Al_Sarhan,Al_Salt,0.0,1.0,3.19,3.02,2.14
Fotbal,1.jordánská liga,2024-11-30,Shabab_Al-Ordun,Maan,3.0,1.0,1.72,3.23,4.47
Fotbal,1.jordánská liga,2024-11-30,Al-Ahli,Al-Ramtha,0.0,1.0,4.49,3.33,1.69
Fotbal,1.jordánská liga,2024-12-05,Al_Sareeh,Al-Ahli,1.0,1.0,3.2,3.1,2.1
Fotbal,1.jordánská liga,2024-12-06,Al_Salt,Maan,4.0,0.0,1.73,3.18,4.47
Fotbal,1.jordánská liga,2024-12-06,Moghayer_Al_Sarhan,Al-Faisaly,1.0,4.0,10.6,5.46,1.22
Fotbal,1.jordánská liga,2024-12-07,Al-Jazeera,Aqaba,6.0,2.0,1.48,3.72,5.69
Fotbal,1.jordánská liga,2024-12-07,Al-Ramtha,Al-Wihdat,0.0,4.0,3.19,2.81,2.27
Fotbal,1.jordánská liga,2024-12-09,Al-Hussein,Shabab_Al-Ordun,2.0,1.0,1.32,4.44,7.49
Fotbal,1.jordánská liga,2024-12-17,Al_Salt,Al-Wihdat,0.0,2.0,4.41,3.0,1.8
Fotbal,1.jordánská liga,2024-12-19,Moghayer_Al_Sarhan,Al-Hussein,1.0,2.0,10.6,5.69,1.21
Fotbal,1.jordánská liga,2024-12-27,Al-Wihdat,Al-Jazeera,3.0,0.0,1.62,3.51,4.67
Fotbal,1.jordánská liga,2024-12-29,Aqaba,Al-Hussein,1.0,3.0,13.9,7.38,1.14
Fotbal,1.jordánská liga,2025-02-07,Al-Ramtha,Aqaba,0.0,0.0,1.23,5.27,10.3
Fotbal,1.jordánská liga,2025-02-07,Al-Faisaly,Maan,3.0,1.0,1.14,7.13,14.6
Fotbal,1.jordánská liga,2025-02-08,Moghayer_Al_Sarhan,Al-Ahli,0.0,0.0,3.69,3.3,1.85
Fotbal,1.jordánská liga,2025-02-08,Shabab_Al-Ordun,Al_Salt,0.0,4.0,2.43,2.99,2.77
Fotbal,1.jordánská liga,2025-02-14,Al-Faisaly,Al_Salt,1.0,1.0,1.42,4.0,6.07
Fotbal,1.jordánská liga,2025-02-14,Aqaba,Al_Sareeh,2.0,1.0,3.48,3.48,1.86
Fotbal,1.jordánská liga,2025-02-15,Al-Jazeera,Shabab_Al-Ordun,2.0,1.0,2.18,3.12,3.02
Fotbal,1.jordánská liga,2025-02-21,Al_Salt,Al-Ahli,2.0,0.0,1.87,3.02,4.05
Fotbal,1.jordánská liga,2025-02-21,Al-Ramtha,Al-Jazeera,0.0,3.0,2.22,3.07,3.01
