sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.kazachstánská liga,2024-09-14,Zhenys,Kaisar_Kzyl-Orda,1.0,0.0,2.17,2.83,3.36
Fotbal,1.kazachstánská liga,2024-09-14,Turan_Turkistan,Šachťor_Karaganda,,,2.24,2.85,3.2
Fotbal,1.kazachstánská liga,2024-09-14,Astana_FC,Kyzyl-Zhar,2.0,1.0,1.3,4.38,8.77
Fotbal,1.kazachstánská liga,2024-09-15,Yelimay_Semey,Tobol_Kostanay,2.0,1.0,1.83,3.15,4.01
Fotbal,1.kazachstánská liga,2024-09-15,Aktobe_FC,Žetisu_Taldy-Kurgan,3.0,0.0,1.44,3.98,5.8
Fotbal,1.kazachstánská liga,2024-09-15,Ordabasy_Shymkent,Atyrau,1.0,0.0,1.68,3.22,4.72
Fotbal,1.kazachstánská liga,2024-09-18,Kaisar_Kzyl-Orda,Astana_FC,0.0,1.0,4.86,3.66,1.57
Fotbal,1.kazachstánská liga,2024-09-21,Atyrau,Zhenys,2.0,1.0,1.8,3.06,4.29
Fotbal,1.kazachstánská liga,2024-09-21,Turan_Turkistan,Kyzyl-Zhar,,,3.03,2.77,2.4
Fotbal,1.kazachstánská liga,2024-09-21,Kairat_Almaty,Kaisar_Kzyl-Orda,1.0,0.0,1.44,3.86,6.09
Fotbal,1.kazachstánská liga,2024-09-22,Šachťor_Karaganda,Yelimay_Semey,1.0,2.0,5.24,3.69,1.52
Fotbal,1.kazachstánská liga,2024-09-22,Ordabasy_Shymkent,Astana_FC,2.0,4.0,2.89,2.82,2.46
Fotbal,1.kazachstánská liga,2024-09-22,Tobol_Kostanay,Aktobe_FC,3.0,0.0,2.12,2.94,3.32
Fotbal,1.kazachstánská liga,2024-09-28,Tobol_Kostanay,Šachťor_Karaganda,1.0,0.0,1.27,4.86,8.49
Fotbal,1.kazachstánská liga,2024-09-29,Zhenys,Astana_FC,1.0,1.0,5.12,3.74,1.53
Fotbal,1.kazachstánská liga,2024-10-03,Kyzyl-Zhar,Ordabasy_Shymkent,0.0,1.0,3.55,2.84,2.09
Fotbal,1.kazachstánská liga,2024-10-03,Žetisu_Taldy-Kurgan,Yelimay_Semey,2.0,0.0,5.28,3.45,1.56
Fotbal,1.kazachstánská liga,2024-10-04,Aktobe_FC,Kairat_Almaty,2.0,1.0,2.16,2.95,3.24
Fotbal,1.kazachstánská liga,2024-10-04,Zhenys,Tobol_Kostanay,2.0,1.0,4.19,3.28,1.76
Fotbal,1.kazachstánská liga,2024-10-05,Atyrau,Turan_Turkistan,,,1.49,3.51,6.08
Fotbal,1.kazachstánská liga,2024-10-16,Astana_FC,Šachťor_Karaganda,3.0,0.0,1.15,6.8,14.1
Fotbal,1.kazachstánská liga,2024-10-19,Zhenys,Žetisu_Taldy-Kurgan,1.0,0.0,2.07,2.83,3.63
Fotbal,1.kazachstánská liga,2024-10-19,Kairat_Almaty,Turan_Turkistan,,,1.22,5.27,11.6
Fotbal,1.kazachstánská liga,2024-10-19,Tobol_Kostanay,Ordabasy_Shymkent,1.0,0.0,2.14,2.99,3.22
Fotbal,1.kazachstánská liga,2024-10-20,Kyzyl-Zhar,Atyrau,3.0,2.0,2.5,2.57,3.12
Fotbal,1.kazachstánská liga,2024-10-20,Yelimay_Semey,Astana_FC,0.0,3.0,2.92,3.0,2.31
Fotbal,1.kazachstánská liga,2024-10-20,Kaisar_Kzyl-Orda,Šachťor_Karaganda,5.0,1.0,1.58,3.45,5.11
Fotbal,1.kazachstánská liga,2024-10-26,Atyrau,Yelimay_Semey,1.0,0.0,2.63,2.7,2.82
Fotbal,1.kazachstánská liga,2024-10-26,Ordabasy_Shymkent,Zhenys,1.0,2.0,1.33,4.35,7.57
Fotbal,1.kazachstánská liga,2024-10-26,Turan_Turkistan,Kaisar_Kzyl-Orda,,,2.86,2.93,2.4
Fotbal,1.kazachstánská liga,2024-10-26,Žetisu_Taldy-Kurgan,Kairat_Almaty,1.0,2.0,6.43,3.98,1.41
Fotbal,1.kazachstánská liga,2024-10-27,Šachťor_Karaganda,Kyzyl-Zhar,1.0,1.0,4.16,3.16,1.8
Fotbal,1.kazachstánská liga,2024-10-27,Astana_FC,Aktobe_FC,2.0,0.0,1.5,3.63,5.61
Fotbal,1.kazachstánská liga,2024-10-30,Astana_FC,Atyrau,3.0,2.0,1.32,4.19,8.92
Fotbal,1.kazachstánská liga,2024-11-02,Kyzyl-Zhar,Kaisar_Kzyl-Orda,6.0,2.0,1.65,3.23,4.95
Fotbal,1.kazachstánská liga,2024-11-02,Kairat_Almaty,Ordabasy_Shymkent,2.0,1.0,1.76,3.22,4.28
Fotbal,1.kazachstánská liga,2024-11-02,Turan_Turkistan,Zhenys,,,2.58,3.09,2.53
Fotbal,1.kazachstánská liga,2024-11-03,Šachťor_Karaganda,Aktobe_FC,1.0,3.0,6.51,4.53,1.35
Fotbal,1.kazachstánská liga,2024-11-03,Žetisu_Taldy-Kurgan,Atyrau,0.0,2.0,2.76,2.65,2.75
Fotbal,1.kazachstánská liga,2024-11-03,Tobol_Kostanay,Astana_FC,1.0,0.0,3.58,2.97,2.02
Fotbal,1.kazachstánská liga,2024-11-09,Aktobe_FC,Turan_Turkistan,,,1.24,5.28,9.22
Fotbal,1.kazachstánská liga,2024-11-10,Atyrau,Kairat_Almaty,0.0,1.0,3.73,3.32,1.84
Fotbal,1.kazachstánská liga,2024-11-10,Astana_FC,Žetisu_Taldy-Kurgan,5.0,0.0,1.16,6.08,15.3
Fotbal,1.kazachstánská liga,2024-11-10,Kaisar_Kzyl-Orda,Tobol_Kostanay,2.0,0.0,4.57,3.46,1.64
Fotbal,1.kazachstánská liga,2024-11-10,Ordabasy_Shymkent,Yelimay_Semey,2.0,1.0,1.74,3.38,4.12
Fotbal,1.kazachstánská liga,2024-11-10,Zhenys,Kyzyl-Zhar,0.0,1.0,2.43,3.0,2.76
Fotbal,1.kazachstánská liga,2025-03-01,Atyrau,Yelimay_Semey,2.0,1.0,2.89,2.74,2.53
Fotbal,1.kazachstánská liga,2025-03-01,Ordabasy_Shymkent,Aktobe_FC,0.0,0.0,2.51,2.78,2.87
Fotbal,1.kazachstánská liga,2025-03-01,Tobol_Kostanay,Ulytau_Zhezkazgan,2.0,0.0,1.44,3.73,6.32
Fotbal,1.kazachstánská liga,2025-03-02,Kaisar_Kzyl-Orda,Zhenys,0.0,0.0,2.76,2.67,2.73
Fotbal,1.kazachstánská liga,2025-03-02,Turan_Turkistan,Oqjetpes_Kokshetau,2.0,0.0,1.99,3.23,3.31
Fotbal,1.kazachstánská liga,2025-03-02,Kyzyl-Zhar,Žetisu_Taldy-Kurgan,1.0,1.0,2.34,2.76,3.13
