sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.kostarická liga,2024-09-02,Alajuelense_LD,Deportivo_Saprissa,1.0,1.0,1.88,3.2,4.17
Fotbal,1.kostarická liga,2024-09-02,Municipal_Pérez_Zeledón,Guanacasteca,1.0,1.0,2.08,3.46,3.18
Fotbal,1.kostarická liga,2024-09-08,Alajuelense_LD,Guanacasteca,4.0,0.0,1.23,5.49,10.9
Fotbal,1.kostarická liga,2024-09-11,Municipal_Liberia,Cartaginés_CS,3.0,0.0,1.75,3.58,4.29
Fotbal,1.kostarická liga,2024-09-11,Herediano_CS,San_Carlos_FC,1.0,2.0,2.22,3.1,3.19
Fotbal,1.kostarická liga,2024-09-11,Sporting_San_José,Santos_de_Guapiles,1.0,1.0,1.34,4.7,7.88
Fotbal,1.kostarická liga,2024-09-12,Guanacasteca,Santa_Ana,1.0,0.0,2.0,3.41,3.43
Fotbal,1.kostarická liga,2024-09-12,Puntarenas_FC,Alajuelense_LD,1.0,1.0,5.96,3.8,1.53
Fotbal,1.kostarická liga,2024-09-12,Deportivo_Saprissa,Municipal_Pérez_Zeledón,2.0,2.0,1.3,4.91,8.8
Fotbal,1.kostarická liga,2024-09-15,Santos_de_Guapiles,Deportivo_Saprissa,1.0,2.0,4.73,3.8,1.64
Fotbal,1.kostarická liga,2024-09-15,Municipal_Liberia,Guanacasteca,0.0,1.0,1.52,4.07,5.44
Fotbal,1.kostarická liga,2024-09-15,Cartaginés_CS,Sporting_San_José,1.0,0.0,2.12,3.25,3.26
Fotbal,1.kostarická liga,2024-09-16,Santa_Ana,Municipal_Pérez_Zeledón,0.0,0.0,2.1,3.09,3.5
Fotbal,1.kostarická liga,2024-09-16,San_Carlos_FC,Puntarenas_FC,2.0,1.0,1.4,4.33,7.35
Fotbal,1.kostarická liga,2024-09-18,Herediano_CS,Municipal_Liberia,5.0,4.0,1.49,3.96,6.26
Fotbal,1.kostarická liga,2024-09-19,Santa_Ana,Santos_de_Guapiles,1.0,1.0,2.05,2.95,3.85
Fotbal,1.kostarická liga,2024-09-19,Puntarenas_FC,Guanacasteca,0.0,0.0,2.14,3.28,3.18
Fotbal,1.kostarická liga,2024-09-19,Deportivo_Saprissa,San_Carlos_FC,3.0,2.0,1.72,3.68,4.34
Fotbal,1.kostarická liga,2024-09-20,Municipal_Pérez_Zeledón,Cartaginés_CS,0.0,0.0,2.8,2.75,2.75
Fotbal,1.kostarická liga,2024-09-20,Sporting_San_José,Alajuelense_LD,0.0,1.0,3.73,3.25,1.97
Fotbal,1.kostarická liga,2024-09-22,Municipal_Liberia,Deportivo_Saprissa,,,2.54,3.4,2.51
Fotbal,1.kostarická liga,2024-09-22,Herediano_CS,Santa_Ana,2.0,1.0,1.41,4.29,7.02
Fotbal,1.kostarická liga,2024-09-22,Puntarenas_FC,Municipal_Pérez_Zeledón,1.0,1.0,2.31,2.99,3.14
Fotbal,1.kostarická liga,2024-09-23,Alajuelense_LD,Cartaginés_CS,2.0,1.0,1.38,4.47,7.27
Fotbal,1.kostarická liga,2024-09-23,Guanacasteca,Sporting_San_José,2.0,1.0,2.45,3.13,2.8
Fotbal,1.kostarická liga,2024-09-24,San_Carlos_FC,Santos_de_Guapiles,2.0,2.0,1.31,4.91,8.49
Fotbal,1.kostarická liga,2024-09-28,Santa_Ana,San_Carlos_FC,3.0,4.0,3.25,3.3,2.1
Fotbal,1.kostarická liga,2024-09-29,Deportivo_Saprissa,Herediano_CS,1.0,0.0,1.91,3.26,3.93
Fotbal,1.kostarická liga,2024-09-29,Cartaginés_CS,Guanacasteca,1.0,1.0,1.88,3.31,4.0
Fotbal,1.kostarická liga,2024-09-29,Santos_de_Guapiles,Municipal_Liberia,,,3.1,3.49,2.1
Fotbal,1.kostarická liga,2024-09-29,Sporting_San_José,Puntarenas_FC,,,1.68,3.64,4.67
Fotbal,1.kostarická liga,2024-09-30,Municipal_Pérez_Zeledón,Alajuelense_LD,2.0,2.0,4.28,3.28,1.83
Fotbal,1.kostarická liga,2024-09-28,Santos_de_Guapiles,Municipal_Liberia,0.0,1.0,2.72,3.24,2.45
Fotbal,1.kostarická liga,2024-10-01,Sporting_San_José,Puntarenas_FC,1.0,0.0,1.63,3.62,5.05
Fotbal,1.kostarická liga,2024-10-05,Municipal_Liberia,Santa_Ana,2.0,3.0,1.51,4.13,5.48
Fotbal,1.kostarická liga,2024-10-06,Guanacasteca,Municipal_Pérez_Zeledón,1.0,0.0,1.96,3.34,3.65
Fotbal,1.kostarická liga,2024-10-06,San_Carlos_FC,Sporting_San_José,2.0,0.0,1.61,3.87,4.86
Fotbal,1.kostarická liga,2024-10-06,Herediano_CS,Cartaginés_CS,0.0,2.0,1.61,3.66,5.25
Fotbal,1.kostarická liga,2024-10-06,Santos_de_Guapiles,Alajuelense_LD,1.0,3.0,5.41,3.89,1.55
Fotbal,1.kostarická liga,2024-10-07,Deportivo_Saprissa,Puntarenas_FC,2.0,3.0,1.27,5.08,9.74
Fotbal,1.kostarická liga,2024-10-13,Guanacasteca,Santos_de_Guapiles,2.0,1.0,1.84,3.33,4.14
Fotbal,1.kostarická liga,2024-10-17,Municipal_Pérez_Zeledón,Santos_de_Guapiles,3.0,1.0,1.66,3.26,5.68
Fotbal,1.kostarická liga,2024-10-17,Alajuelense_LD,Municipal_Liberia,2.0,2.0,1.35,4.72,7.54
Fotbal,1.kostarická liga,2024-10-17,Puntarenas_FC,Herediano_CS,0.0,2.0,3.19,3.0,2.28
Fotbal,1.kostarická liga,2024-10-18,Cartaginés_CS,San_Carlos_FC,4.0,4.0,3.1,3.35,2.15
Fotbal,1.kostarická liga,2024-10-18,Sporting_San_José,Santa_Ana,1.0,0.0,2.25,3.3,2.96
Fotbal,1.kostarická liga,2024-10-18,Guanacasteca,Deportivo_Saprissa,2.0,0.0,3.76,3.57,1.86
Fotbal,1.kostarická liga,2024-10-20,Municipal_Liberia,Puntarenas_FC,4.0,2.0,1.67,3.59,4.78
Fotbal,1.kostarická liga,2024-10-20,Herediano_CS,Alajuelense_LD,1.0,1.0,2.95,2.99,2.42
Fotbal,1.kostarická liga,2024-10-20,Santos_de_Guapiles,Guanacasteca,4.0,0.0,2.15,3.21,3.23
Fotbal,1.kostarická liga,2024-10-21,Deportivo_Saprissa,Sporting_San_José,1.0,0.0,1.48,4.06,6.03
Fotbal,1.kostarická liga,2024-10-21,San_Carlos_FC,Municipal_Pérez_Zeledón,1.0,1.0,1.7,3.63,4.54
Fotbal,1.kostarická liga,2024-10-22,Santa_Ana,Cartaginés_CS,2.0,1.0,2.4,3.15,2.84
Fotbal,1.kostarická liga,2024-10-26,Puntarenas_FC,Santos_de_Guapiles,1.0,0.0,1.92,3.16,4.05
Fotbal,1.kostarická liga,2024-10-26,Municipal_Pérez_Zeledón,Santa_Ana,2.0,1.0,2.01,3.16,3.68
Fotbal,1.kostarická liga,2024-10-27,Cartaginés_CS,Deportivo_Saprissa,2.0,1.0,3.19,3.37,2.1
Fotbal,1.kostarická liga,2024-10-27,Alajuelense_LD,San_Carlos_FC,3.0,1.0,1.6,3.92,4.85
Fotbal,1.kostarická liga,2024-10-27,Guanacasteca,Municipal_Liberia,2.0,0.0,2.4,3.47,2.63
Fotbal,1.kostarická liga,2024-10-27,Sporting_San_José,Herediano_CS,1.0,3.0,3.11,3.18,2.22
Fotbal,1.kostarická liga,2024-11-02,San_Carlos_FC,Guanacasteca,2.0,2.0,1.49,3.99,6.19
Fotbal,1.kostarická liga,2024-11-02,Municipal_Liberia,Sporting_San_José,1.0,1.0,1.69,3.68,4.49
Fotbal,1.kostarická liga,2024-11-02,Santos_de_Guapiles,Cartaginés_CS,1.0,0.0,2.32,3.02,3.09
Fotbal,1.kostarická liga,2024-11-03,Deportivo_Saprissa,Alajuelense_LD,3.0,0.0,2.25,3.13,3.1
Fotbal,1.kostarická liga,2024-11-03,Santa_Ana,Puntarenas_FC,1.0,1.0,1.97,3.17,3.83
Fotbal,1.kostarická liga,2024-11-03,Herediano_CS,Municipal_Pérez_Zeledón,4.0,1.0,1.44,3.98,7.14
Fotbal,1.kostarická liga,2024-11-06,Cartaginés_CS,Municipal_Liberia,2.0,1.0,2.34,3.12,2.95
Fotbal,1.kostarická liga,2024-11-06,Guanacasteca,Puntarenas_FC,,,1.76,3.43,4.45
Fotbal,1.kostarická liga,2024-11-07,San_Carlos_FC,Herediano_CS,0.0,0.0,2.41,3.05,2.93
Fotbal,1.kostarická liga,2024-11-07,Alajuelense_LD,Sporting_San_José,1.0,0.0,1.27,5.11,9.8
Fotbal,1.kostarická liga,2024-11-07,Santos_de_Guapiles,Santa_Ana,1.0,0.0,2.0,3.06,3.89
Fotbal,1.kostarická liga,2024-11-08,Municipal_Pérez_Zeledón,Deportivo_Saprissa,1.0,2.0,3.85,3.13,1.98
Fotbal,1.kostarická liga,2024-11-10,Santa_Ana,Alajuelense_LD,0.0,2.0,4.71,3.64,1.67
Fotbal,1.kostarická liga,2024-11-09,Municipal_Liberia,San_Carlos_FC,,,2.31,3.58,2.69
