sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.kyperská liga,2024-09-14,Ethnikos_Achnas,Salamina_NEA,2.0,3.0,2.28,3.44,2.82
Fotbal,1.kyperská liga,2024-09-14,Karmiotissa,Apoel_Nikósia,0.0,3.0,5.62,4.19,1.49
Fotbal,1.kyperská liga,2024-09-14,Paphos_AEP,Anorthosis_Famagusta,3.0,1.0,1.41,4.38,6.87
Fotbal,1.kyperská liga,2024-09-15,Omonia_29is_Maiou,EN_of_Paralimni,0.0,1.0,2.47,3.08,2.81
Fotbal,1.kyperská liga,2024-09-15,Appolon_Limassol,Limassol_AEL,,,1.76,3.48,4.36
Fotbal,1.kyperská liga,2024-09-15,Omonia_Aradippu,Aris_Limassol,0.0,3.0,11.5,5.44,1.23
Fotbal,1.kyperská liga,2024-09-16,Omonia_Nikósia,Larnaca_AEK,1.0,0.0,2.21,3.14,3.17
Fotbal,1.kyperská liga,2024-09-18,Paphos_AEP,Salamina_NEA,4.0,0.0,1.23,5.62,10.3
Fotbal,1.kyperská liga,2024-09-18,EN_of_Paralimni,Apoel_Nikósia,0.0,4.0,8.42,4.84,1.31
Fotbal,1.kyperská liga,2024-09-20,Karmiotissa,Omonia_29is_Maiou,1.0,1.0,2.0,3.31,3.52
Fotbal,1.kyperská liga,2024-09-21,Anorthosis_Famagusta,Omonia_Nikósia,1.0,0.0,4.67,3.67,1.67
Fotbal,1.kyperská liga,2024-09-21,Aris_Limassol,Appolon_Limassol,0.0,0.0,1.98,3.34,3.56
Fotbal,1.kyperská liga,2024-09-22,Larnaca_AEK,Ethnikos_Achnas,2.0,2.0,1.33,4.75,8.17
Fotbal,1.kyperská liga,2024-09-22,Limassol_AEL,Paphos_AEP,1.0,3.0,5.13,3.84,1.59
Fotbal,1.kyperská liga,2024-09-22,Apoel_Nikósia,Salamina_NEA,3.0,1.0,1.27,5.15,9.65
Fotbal,1.kyperská liga,2024-09-23,EN_of_Paralimni,Omonia_Aradippu,0.0,2.0,2.33,2.97,3.12
Fotbal,1.kyperská liga,2024-09-27,Salamina_NEA,Larnaca_AEK,1.0,3.0,5.28,3.98,1.55
Fotbal,1.kyperská liga,2024-09-27,Omonia_Nikósia,Limassol_AEL,3.0,1.0,1.38,4.53,7.07
