sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.nigerijská liga,2024-09-08,Kano_Pillars,Ikorodu_City,3.0,0.0,1.68,3.17,4.82
Fotbal,1.nigerijská liga,2024-09-08,Kwara_United_FC,Niger_Tornadoes_FC,1.0,2.0,1.6,3.21,5.39
Fotbal,1.nigerijská liga,2024-09-08,Nasarawa_United,Shooting_Stars,1.0,1.0,1.66,3.02,5.34
Fotbal,1.nigerijská liga,2024-09-08,Bendel_Insurance,Rivers_United_FC,0.0,0.0,1.65,2.97,5.66
Fotbal,1.nigerijská liga,2024-09-08,Abia_Warriors,Remo_Stars,0.0,2.0,1.6,3.24,5.31
Fotbal,1.nigerijská liga,2024-09-08,Plateau_United,Katsina_United,1.0,0.0,1.35,4.01,8.08
Fotbal,1.nigerijská liga,2024-09-08,Heartland_Owerri_FC,Enyimba_International_FC,1.0,3.0,2.62,2.66,2.87
Fotbal,1.nigerijská liga,2024-09-09,Lobi_Stars_FC,Akwa_United,0.0,0.0,1.53,3.31,6.02
Fotbal,1.nigerijská liga,2024-09-14,Rivers_United_FC,Heartland_Owerri_FC,3.0,1.0,1.26,4.73,10.3
Fotbal,1.nigerijská liga,2024-09-14,Remo_Stars,Sunshine_Stars_FC,1.0,0.0,1.53,3.19,6.61
Fotbal,1.nigerijská liga,2024-09-15,Akwa_United,Abia_Warriors,1.0,1.0,1.36,3.79,8.62
Fotbal,1.nigerijská liga,2024-09-15,Bayelsa_United_FC,Kano_Pillars,1.0,1.0,1.56,3.56,5.04
Fotbal,1.nigerijská liga,2024-09-15,Niger_Tornadoes_FC,Nasarawa_United,0.0,0.0,1.53,3.26,6.23
Fotbal,1.nigerijská liga,2024-09-15,Shooting_Stars,Plateau_United,1.0,1.0,1.5,3.35,6.52
Fotbal,1.nigerijská liga,2024-09-15,Katsina_United,Bendel_Insurance,2.0,1.0,1.74,2.9,4.98
Fotbal,1.nigerijská liga,2024-09-21,Lobi_Stars_FC,Rivers_United_FC,0.0,1.0,1.65,3.1,5.17
Fotbal,1.nigerijská liga,2024-09-21,Nasarawa_United,El_Kanemi_Warriors,3.0,4.0,1.66,2.98,5.47
Fotbal,1.nigerijská liga,2024-09-22,Plateau_United,Niger_Tornadoes_FC,1.0,2.0,1.48,3.5,6.31
Fotbal,1.nigerijská liga,2024-09-22,Heartland_Owerri_FC,Katsina_United,0.0,0.0,1.83,2.86,4.57
Fotbal,1.nigerijská liga,2024-09-22,Sunshine_Stars_FC,Abia_Warriors,0.0,0.0,1.48,3.39,6.87
Fotbal,1.nigerijská liga,2024-09-25,Enyimba_International_FC,Lobi_Stars_FC,2.0,1.0,1.35,3.87,8.75
Fotbal,1.nigerijská liga,2024-09-25,Ikorodu_City,Enugu_Rangers_International,0.0,1.0,2.47,2.53,3.22
Fotbal,1.nigerijská liga,2024-09-28,Ikorodu_City,Nasarawa_United,1.0,2.0,1.57,3.07,6.44
Fotbal,1.nigerijská liga,2024-09-28,Akwa_United,Sunshine_Stars_FC,1.0,2.0,1.46,3.44,7.09
Fotbal,1.nigerijská liga,2024-09-29,Niger_Tornadoes_FC,Bendel_Insurance,1.0,1.0,1.53,3.12,6.94
Fotbal,1.nigerijská liga,2024-09-29,Rivers_United_FC,Enyimba_International_FC,2.0,0.0,1.63,3.04,5.54
Fotbal,1.nigerijská liga,2024-09-29,Abia_Warriors,Kano_Pillars,2.0,0.0,1.57,3.39,5.34
Fotbal,1.nigerijská liga,2024-09-29,Bayelsa_United_FC,Kwara_United_FC,1.0,1.0,1.53,3.37,5.93
Fotbal,1.nigerijská liga,2024-09-29,Katsina_United,Lobi_Stars_FC,3.0,0.0,1.79,2.82,4.9
Fotbal,1.nigerijská liga,2024-09-29,Remo_Stars,Enugu_Rangers_International,2.0,1.0,1.72,2.84,5.38
Fotbal,1.nigerijská liga,2024-09-29,Shooting_Stars,Heartland_Owerri_FC,1.0,0.0,1.39,3.88,7.36
Fotbal,1.nigerijská liga,2024-10-02,Bendel_Insurance,Shooting_Stars,1.0,0.0,1.67,2.79,6.22
Fotbal,1.nigerijská liga,2024-10-02,Enyimba_International_FC,Akwa_United,1.0,0.0,1.44,3.5,7.25
Fotbal,1.nigerijská liga,2024-10-03,Enugu_Rangers_International,Bayelsa_United_FC,1.0,0.0,1.46,3.36,7.31
Fotbal,1.nigerijská liga,2024-10-05,Lobi_Stars_FC,Shooting_Stars,1.0,0.0,1.7,3.12,4.75
Fotbal,1.nigerijská liga,2024-10-06,Nasarawa_United,Bayelsa_United_FC,0.0,0.0,1.6,3.18,5.47
Fotbal,1.nigerijská liga,2024-10-06,Kwara_United_FC,Remo_Stars,1.0,0.0,1.84,3.0,4.26
Fotbal,1.nigerijská liga,2024-10-06,Enugu_Rangers_International,Abia_Warriors,1.0,0.0,1.33,4.01,8.8
Fotbal,1.nigerijská liga,2024-10-06,Heartland_Owerri_FC,Niger_Tornadoes_FC,2.0,0.0,1.75,2.95,4.77
Fotbal,1.nigerijská liga,2024-10-06,Kano_Pillars,Sunshine_Stars_FC,2.0,0.0,1.69,2.95,5.23
Fotbal,1.nigerijská liga,2024-10-06,Plateau_United,Ikorodu_City,1.0,0.0,1.29,4.42,9.56
Fotbal,1.nigerijská liga,2024-10-06,Rivers_United_FC,Akwa_United,2.0,1.0,1.45,3.65,6.44
Fotbal,1.nigerijská liga,2024-10-07,Enyimba_International_FC,Katsina_United,3.0,0.0,1.33,4.04,8.72
Fotbal,1.nigerijská liga,2024-10-12,Ikorodu_City,Bendel_Insurance,3.0,0.0,1.68,2.87,5.65
Fotbal,1.nigerijská liga,2024-10-12,Sunshine_Stars_FC,Enugu_Rangers_International,1.0,0.0,1.96,2.55,4.68
Fotbal,1.nigerijská liga,2024-10-13,Bayelsa_United_FC,Plateau_United,1.0,0.0,1.69,3.06,5.01
Fotbal,1.nigerijská liga,2024-10-13,Akwa_United,Kano_Pillars,2.0,0.0,1.46,3.53,6.62
Fotbal,1.nigerijská liga,2024-10-13,Katsina_United,Rivers_United_FC,0.0,0.0,1.86,2.83,4.49
Fotbal,1.nigerijská liga,2024-10-13,Niger_Tornadoes_FC,Lobi_Stars_FC,1.0,1.0,1.45,3.5,7.04
Fotbal,1.nigerijská liga,2024-10-13,Remo_Stars,Nasarawa_United,3.0,0.0,1.32,4.17,9.03
Fotbal,1.nigerijská liga,2024-10-13,Shooting_Stars,Enyimba_International_FC,0.0,0.0,1.94,2.55,4.75
Fotbal,1.nigerijská liga,2024-10-16,Lobi_Stars_FC,El_Kanemi_Warriors,2.0,2.0,1.49,3.29,6.96
Fotbal,1.nigerijská liga,2024-10-16,Enugu_Rangers_International,Kano_Pillars,3.0,4.0,1.32,4.1,9.13
Fotbal,1.nigerijská liga,2024-10-16,Kwara_United_FC,Sunshine_Stars_FC,3.0,0.0,1.82,2.7,5.07
Fotbal,1.nigerijská liga,2024-10-16,Nasarawa_United,Abia_Warriors,3.0,0.0,1.51,3.21,6.91
Fotbal,1.nigerijská liga,2024-10-16,Enyimba_International_FC,Niger_Tornadoes_FC,1.0,1.0,1.3,4.08,10.9
Fotbal,1.nigerijská liga,2024-10-17,Bendel_Insurance,Bayelsa_United_FC,3.0,0.0,1.59,3.05,6.15
Fotbal,1.nigerijská liga,2024-10-17,Heartland_Owerri_FC,Ikorodu_City,1.0,1.0,1.52,3.26,6.44
Fotbal,1.nigerijská liga,2024-10-17,Katsina_United,Akwa_United,1.0,0.0,1.63,2.85,6.38
Fotbal,1.nigerijská liga,2024-10-17,Plateau_United,Remo_Stars,3.0,1.0,1.68,2.99,5.27
Fotbal,1.nigerijská liga,2024-10-17,Rivers_United_FC,Shooting_Stars,2.0,0.0,1.4,3.59,8.09
Fotbal,1.nigerijská liga,2024-10-20,Bayelsa_United_FC,Heartland_Owerri_FC,1.0,0.0,1.58,3.17,5.77
Fotbal,1.nigerijská liga,2024-10-20,Abia_Warriors,Plateau_United,3.0,1.0,1.52,3.34,6.07
Fotbal,1.nigerijská liga,2024-10-20,Kano_Pillars,Kwara_United_FC,1.0,1.0,1.45,3.5,6.94
Fotbal,1.nigerijská liga,2024-10-20,Sunshine_Stars_FC,Nasarawa_United,1.0,0.0,1.41,3.52,8.25
Fotbal,1.nigerijská liga,2024-10-20,Remo_Stars,Bendel_Insurance,1.0,0.0,1.41,3.48,8.41
Fotbal,1.nigerijská liga,2024-10-21,Ikorodu_City,Lobi_Stars_FC,4.0,2.0,1.75,2.86,5.05
Fotbal,1.nigerijská liga,2024-10-21,Niger_Tornadoes_FC,Rivers_United_FC,0.0,1.0,1.99,2.54,4.53
Fotbal,1.nigerijská liga,2024-10-21,Akwa_United,Enugu_Rangers_International,0.0,0.0,1.55,3.08,6.73
Fotbal,1.nigerijská liga,2024-10-21,Shooting_Stars,Katsina_United,1.0,0.0,1.34,3.8,10.2
Fotbal,1.nigerijská liga,2024-10-26,Bendel_Insurance,Abia_Warriors,0.0,1.0,1.58,3.01,6.39
Fotbal,1.nigerijská liga,2024-10-27,Enyimba_International_FC,Ikorodu_City,2.0,1.0,1.25,4.48,13.3
Fotbal,1.nigerijská liga,2024-10-27,Heartland_Owerri_FC,Remo_Stars,1.0,0.0,2.25,2.54,3.65
Fotbal,1.nigerijská liga,2024-10-27,Nasarawa_United,Kano_Pillars,1.0,0.0,1.51,3.36,6.3
Fotbal,1.nigerijská liga,2024-10-27,Plateau_United,Sunshine_Stars_FC,3.0,0.0,1.41,3.52,8.03
Fotbal,1.nigerijská liga,2024-10-27,Rivers_United_FC,El_Kanemi_Warriors,1.0,1.0,1.26,4.73,10.3
Fotbal,1.nigerijská liga,2024-10-27,Shooting_Stars,Akwa_United,2.0,1.0,1.62,3.01,5.84
Fotbal,1.nigerijská liga,2024-10-28,Lobi_Stars_FC,Bayelsa_United_FC,2.0,1.0,1.5,3.48,6.1
Fotbal,1.nigerijská liga,2024-10-28,Kwara_United_FC,Enugu_Rangers_International,1.0,1.0,1.57,3.13,6.09
Fotbal,1.nigerijská liga,2024-11-03,Bayelsa_United_FC,Enyimba_International_FC,1.0,1.0,1.83,2.73,4.93
Fotbal,1.nigerijská liga,2024-11-03,Ikorodu_City,Rivers_United_FC,2.0,0.0,2.53,2.57,3.09
Fotbal,1.nigerijská liga,2024-11-03,Niger_Tornadoes_FC,Shooting_Stars,2.0,0.0,1.48,3.34,7.1
Fotbal,1.nigerijská liga,2024-11-03,El_Kanemi_Warriors,Katsina_United,1.0,0.0,1.94,2.66,4.48
Fotbal,1.nigerijská liga,2024-11-03,Abia_Warriors,Heartland_Owerri_FC,0.0,2.0,1.54,3.26,6.15
Fotbal,1.nigerijská liga,2024-11-03,Akwa_United,Kwara_United_FC,2.0,1.0,1.47,3.46,6.76
Fotbal,1.nigerijská liga,2024-11-03,Kano_Pillars,Plateau_United,2.0,1.0,1.58,3.33,5.31
Fotbal,1.nigerijská liga,2024-11-03,Enugu_Rangers_International,Nasarawa_United,2.0,0.0,1.38,3.73,8.08
Fotbal,1.nigerijská liga,2024-11-03,Sunshine_Stars_FC,Bendel_Insurance,1.0,2.0,1.52,3.07,7.4
Fotbal,1.nigerijská liga,2024-11-03,Remo_Stars,Lobi_Stars_FC,1.0,0.0,1.31,4.31,8.97
Fotbal,1.nigerijská liga,2024-11-09,Bendel_Insurance,Kano_Pillars,0.0,1.0,1.54,3.3,5.93
Fotbal,1.nigerijská liga,2024-11-09,Lobi_Stars_FC,Abia_Warriors,3.0,1.0,1.45,3.48,7.19
Fotbal,1.nigerijská liga,2024-11-10,Katsina_United,Ikorodu_City,1.0,2.0,1.52,3.15,7.06
