sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.norská liga,2024-09-13,Bodo_Glimt,Hamar_Kam,3.0,0.0,1.23,6.29,10.2
Fotbal,1.norská liga,2024-09-15,Haugar_Haugesund,Stromsgodset,0.0,0.0,2.22,3.63,2.94
Fotbal,1.norská liga,2024-09-15,Molde_FK,Fredrikstad,,,1.65,3.7,4.77
Fotbal,1.norská liga,2024-09-15,Odd_Grenland,Tromsö,1.0,0.0,3.08,3.31,2.27
Fotbal,1.norská liga,2024-09-15,Sandefjord,Brann_Bergen,2.0,2.0,2.7,3.86,2.3
Fotbal,1.norská liga,2024-09-15,Sarpsborg_08,Kristiansund_BK,0.0,2.0,1.57,4.54,4.89
Fotbal,1.norská liga,2024-09-15,Viking_Stavanger,KFUM_Oslo,,,1.62,3.93,4.66
Fotbal,1.norská liga,2024-09-15,Lilleström,Rosenborg_Trondheim,1.0,1.0,2.82,3.62,2.3
Fotbal,1.norská liga,2024-09-14,Viking_Stavanger,KFUM_Oslo,1.0,0.0,1.71,4.04,4.36
Fotbal,1.norská liga,2024-09-14,Molde_FK,Fredrikstad,6.0,1.0,1.59,3.99,5.4
Fotbal,1.norská liga,2024-09-18,Kristiansund_BK,Molde_FK,0.0,4.0,5.42,4.54,1.51
Fotbal,1.norská liga,2024-09-18,Brann_Bergen,KFUM_Oslo,2.0,0.0,1.67,3.79,4.94
Fotbal,1.norská liga,2024-09-21,Stromsgodset,Sarpsborg_08,2.0,1.0,1.96,3.99,3.33
Fotbal,1.norská liga,2024-09-21,Hamar_Kam,Lilleström,5.0,0.0,2.25,3.53,2.95
Fotbal,1.norská liga,2024-09-22,Brann_Bergen,Bodo_Glimt,4.0,1.0,2.65,3.74,2.38
Fotbal,1.norská liga,2024-09-22,Kristiansund_BK,Odd_Grenland,0.0,0.0,2.03,3.66,3.36
Fotbal,1.norská liga,2024-09-22,Rosenborg_Trondheim,Haugar_Haugesund,4.0,0.0,1.38,4.97,7.19
Fotbal,1.norská liga,2024-09-22,Tromsö,Sandefjord,3.0,0.0,1.73,3.88,4.43
Fotbal,1.norská liga,2024-09-22,Fredrikstad,Viking_Stavanger,3.0,2.0,2.18,3.44,3.15
Fotbal,1.norská liga,2024-09-23,KFUM_Oslo,Molde_FK,1.0,1.0,3.95,3.66,1.86
Fotbal,1.norská liga,2024-09-29,Stromsgodset,Hamar_Kam,1.0,1.0,1.96,3.89,3.39
Fotbal,1.norská liga,2024-09-28,Sarpsborg_08,Fredrikstad,0.0,1.0,2.3,3.56,2.86
Fotbal,1.norská liga,2024-09-29,Bodo_Glimt,Kristiansund_BK,4.0,0.0,1.16,8.03,13.1
Fotbal,1.norská liga,2024-09-29,Haugar_Haugesund,Brann_Bergen,,,3.99,3.82,1.75
Fotbal,1.norská liga,2024-09-29,Lilleström,Viking_Stavanger,1.0,4.0,2.35,3.75,2.68
Fotbal,1.norská liga,2024-09-29,Sandefjord,Rosenborg_Trondheim,0.0,1.0,3.07,3.98,2.06
Fotbal,1.norská liga,2024-09-28,Molde_FK,Tromsö,5.0,3.0,1.5,4.41,5.85
Fotbal,1.norská liga,2024-09-29,Odd_Grenland,KFUM_Oslo,1.0,3.0,3.34,3.24,2.18
Fotbal,1.norská liga,2024-09-28,Haugar_Haugesund,Brann_Bergen,0.0,1.0,3.77,3.9,1.85
Fotbal,1.norská liga,2024-10-05,Kristiansund_BK,Sandefjord,2.0,1.0,2.43,3.62,2.65
Fotbal,1.norská liga,2024-10-19,Molde_FK,Sandefjord,0.0,1.0,1.21,6.75,10.6
Fotbal,1.norská liga,2024-10-19,Tromsö,Bodo_Glimt,0.0,0.0,3.69,3.76,1.9
Fotbal,1.norská liga,2024-10-20,Rosenborg_Trondheim,Brann_Bergen,1.0,2.0,2.07,3.84,3.12
Fotbal,1.norská liga,2024-10-20,Hamar_Kam,Sarpsborg_08,0.0,2.0,2.28,3.73,2.8
Fotbal,1.norská liga,2024-10-20,KFUM_Oslo,Haugar_Haugesund,0.0,0.0,1.89,3.42,4.15
Fotbal,1.norská liga,2024-10-20,Kristiansund_BK,Stromsgodset,0.0,0.0,2.36,3.6,2.75
Fotbal,1.norská liga,2024-10-20,Viking_Stavanger,Odd_Grenland,3.0,3.0,1.34,5.25,7.85
