sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.norská liga W,2024-09-07,Lillestrom_SK,Roa_IL_Oslo,1,0,2.13,2.92,3.34
Fotbal,1.norská liga W,2024-09-08,Arna_Bjornar_Bergen,Kolbotn_IL,1,2,2.5,3.37,2.43
Fotbal,1.norská liga W,2024-09-08,Sandviken_Bergen_IL,Asane,1,0,1.07,10.4,21.7
Fotbal,1.norská liga W,2024-09-08,Lyn,Stabaek,0,1,2.5,2.93,2.74
Fotbal,1.norská liga W,2024-09-11,Roa_IL_Oslo,Valerenga,0,2,11.5,5.78,1.2
Fotbal,1.norská liga W,2024-09-12,Rosenborg_Trondheim,Arna_Bjornar_Bergen,3,0,1.08,9.58,18.8
Fotbal,1.norská liga W,2024-09-14,Asane,Lyn,1,0,2.75,2.86,2.56
Fotbal,1.norská liga W,2024-09-14,Kolbotn_IL,Sandviken_Bergen_IL,0,5,14.8,7.68,1.12
Fotbal,1.norská liga W,2024-09-14,Stabaek,Lillestrom_SK,1,3,2.18,3.01,3.13
Fotbal,1.norská liga W,2024-09-21,Arna_Bjornar_Bergen,Asane,1,1,3.14,3.01,2.17
Fotbal,1.norská liga W,2024-09-21,Kolbotn_IL,Rosenborg_Trondheim,2,1,8.08,4.53,1.3
Fotbal,1.norská liga W,2024-09-21,Lyn,Lillestrom_SK,2,5,2.79,2.97,2.43
Fotbal,1.norská liga W,2024-09-21,Sandviken_Bergen_IL,Roa_IL_Oslo,4,0,1.09,8.77,19.4
Fotbal,1.norská liga W,2024-10-04,Asane,Valerenga,1,3,13.6,6.83,1.15
Fotbal,1.norská liga W,2024-10-05,Lillestrom_SK,Sandviken_Bergen_IL,0,2,7.58,4.76,1.3
Fotbal,1.norská liga W,2024-10-05,Roa_IL_Oslo,Kolbotn_IL,0,2,1.65,3.4,4.64
Fotbal,1.norská liga W,2024-10-05,Stabaek,Arna_Bjornar_Bergen,0,0,1.34,4.52,6.6
Fotbal,1.norská liga W,2024-10-05,Rosenborg_Trondheim,Lyn,0,2,1.27,4.8,8.65
Fotbal,1.norská liga W,2024-10-12,Rosenborg_Trondheim,Lillestrom_SK,1,2,1.48,3.89,5.35
Fotbal,1.norská liga W,2024-10-12,Arna_Bjornar_Bergen,Roa_IL_Oslo,0,0,3.35,3.0,2.08
Fotbal,1.norská liga W,2024-10-12,Sandviken_Bergen_IL,Stabaek,3,0,1.14,7.09,14.5
Fotbal,1.norská liga W,2024-10-12,Kolbotn_IL,Asane,0,2,2.51,2.92,2.75
Fotbal,1.norská liga W,2024-10-12,Valerenga,Lyn,3,0,1.11,8.15,15.9
Fotbal,1.norská liga W,2024-10-19,Asane,Roa_IL_Oslo,1,0,2.35,2.88,2.99
Fotbal,1.norská liga W,2024-10-19,Lillestrom_SK,Arna_Bjornar_Bergen,2,2,1.23,5.27,10.2
Fotbal,1.norská liga W,2024-10-19,Stabaek,Rosenborg_Trondheim,3,1,4.63,3.77,1.57
Fotbal,1.norská liga W,2024-10-19,Lyn,Sandviken_Bergen_IL,1,3,13.2,7.1,1.15
Fotbal,1.norská liga W,2024-10-20,Valerenga,Kolbotn_IL,3,0,1.06,10.9,23.0
Fotbal,1.norská liga W,2024-11-02,Sandviken_Bergen_IL,Valerenga,1,2,2.09,3.58,2.84
Fotbal,1.norská liga W,2024-11-03,Arna_Bjornar_Bergen,Lyn,1,1,4.38,3.65,1.63
Fotbal,1.norská liga W,2024-11-03,Kolbotn_IL,Lillestrom_SK,1,3,4.38,3.37,1.7
Fotbal,1.norská liga W,2024-11-03,Roa_IL_Oslo,Stabaek,3,1,2.8,2.99,2.41
Fotbal,1.norská liga W,2024-11-03,Rosenborg_Trondheim,Asane,1,0,1.3,4.56,8.13
Fotbal,1.norská liga W,2024-11-09,Lillestrom_SK,Asane,1,1,1.36,4.09,7.35
Fotbal,1.norská liga W,2024-11-09,Stabaek,Kolbotn_IL,3,0,1.67,3.69,4.1
Fotbal,1.norská liga W,2024-11-09,Arna_Bjornar_Bergen,Valerenga,1,3,14.4,8.32,1.11
Fotbal,1.norská liga W,2024-11-09,Lyn,Roa_IL_Oslo,1,0,2.16,3.12,3.06
