sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.německá liga W,2024-09-02,Wolfsburg_VfL,Werder_Bremen,3.0,3.0,1.1,8.43,16.1
Fotbal,1.německá liga W,2024-09-13,Bayern_München,Leipzig_FFV,6.0,2.0,1.05,12.2,25.3
Fotbal,1.německá liga W,2024-09-14,Jena_USV,Wolfsburg_VfL,0.0,1.0,18.3,10.7,1.07
Fotbal,1.německá liga W,2024-09-14,Werder_Bremen,Potsdam_71_eV,2.0,0.0,1.3,4.69,7.87
Fotbal,1.německá liga W,2024-09-15,Bayer_04_Leverkusen,Frankfurt_FFC,2.0,2.0,4.05,3.48,1.73
Fotbal,1.německá liga W,2024-09-15,Köln_TuS,Essen-Schönebeck_SG,2.0,2.0,2.58,3.29,2.4
Fotbal,1.německá liga W,2024-09-16,Hoffenheim_1899,Freiburg_SC,2.0,3.0,1.37,4.58,5.84
Fotbal,1.německá liga W,2024-09-20,Leipzig_FFV,Werder_Bremen,2.0,0.0,2.79,3.59,2.12
Fotbal,1.německá liga W,2024-09-21,Freiburg_SC,Jena_USV,1.0,1.0,1.44,4.19,5.42
Fotbal,1.německá liga W,2024-09-21,Essen-Schönebeck_SG,Bayer_04_Leverkusen,0.0,2.0,2.66,2.98,2.54
Fotbal,1.německá liga W,2024-09-22,Potsdam_71_eV,Frankfurt_FFC,0.0,6.0,15.4,7.77,1.12
Fotbal,1.německá liga W,2024-09-22,Wolfsburg_VfL,Köln_TuS,5.0,1.0,1.07,10.4,19.0
Fotbal,1.německá liga W,2024-09-23,Bayern_München,Hoffenheim_1899,5.0,1.0,1.14,7.12,13.6
Fotbal,1.německá liga W,2024-09-27,Bayer_04_Leverkusen,Hoffenheim_1899,2.0,1.0,2.42,3.36,2.52
Fotbal,1.německá liga W,2024-09-28,Köln_TuS,Freiburg_SC,0.0,2.0,2.34,3.51,2.52
Fotbal,1.německá liga W,2024-09-28,Potsdam_71_eV,Leipzig_FFV,0.0,3.0,4.65,3.74,1.58
Fotbal,1.německá liga W,2024-09-29,Werder_Bremen,Bayern_München,0.0,4.0,16.3,8.56,1.1
Fotbal,1.německá liga W,2024-09-29,Frankfurt_FFC,Wolfsburg_VfL,3.0,0.0,4.06,3.83,1.65
Fotbal,1.německá liga W,2024-09-30,Jena_USV,Essen-Schönebeck_SG,0.0,2.0,4.62,3.66,1.6
Fotbal,1.německá liga W,2024-10-04,Wolfsburg_VfL,Leipzig_FFV,5.0,0.0,1.1,8.78,15.4
Fotbal,1.německá liga W,2024-10-05,Freiburg_SC,Potsdam_71_eV,3.0,0.0,1.28,4.93,8.05
Fotbal,1.německá liga W,2024-10-05,Bayer_04_Leverkusen,Jena_USV,,,1.16,6.59,13.4
Fotbal,1.německá liga W,2024-10-05,Bayern_München,Köln_TuS,1.0,0.0,1.05,11.6,24.8
Fotbal,1.německá liga W,2024-10-06,Essen-Schönebeck_SG,Frankfurt_FFC,1.0,3.0,6.19,4.39,1.37
Fotbal,1.německá liga W,2024-10-06,Hoffenheim_1899,Werder_Bremen,1.0,0.0,1.73,3.76,3.72
Fotbal,1.německá liga W,2024-10-07,Bayer_04_Leverkusen,Jena_USV,1.0,0.0,1.16,6.59,13.4
