sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.peruánská liga,2024-09-07,FBC_Melgar,Comerciantes_Unidos,3.0,0.0,1.09,8.65,20.0
Fotbal,1.peruánská liga,2024-09-13,Cajamarca,Cienciano_Cuzco,1.0,2.0,2.06,2.99,3.76
Fotbal,1.peruánská liga,2024-09-13,Deportivo_Garcilaso,Tarma_ADT,1.0,0.0,1.79,3.38,4.36
Fotbal,1.peruánská liga,2024-09-14,Cesar_Vallejo,Deportivo_Unión_Comercio,1.0,0.0,1.33,4.62,8.65
Fotbal,1.peruánská liga,2024-09-14,Cusco,Comerciantes_Unidos,2.0,1.0,1.23,5.42,11.1
Fotbal,1.peruánská liga,2024-09-14,Sport_Boys,Atlético_Grau,0.0,0.0,2.61,2.84,2.86
Fotbal,1.peruánská liga,2024-09-14,Sport_Huancayo,Sporting_Cristal,1.0,2.0,2.63,3.26,2.52
Fotbal,1.peruánská liga,2024-09-15,Alianza_Lima,Carlos_Manucci,1.0,0.0,1.13,7.15,16.7
Fotbal,1.peruánská liga,2024-09-15,Alianza_Atlético_Sullana,Universitario_de_Deportes,0.0,3.0,4.24,2.95,1.96
Fotbal,1.peruánská liga,2024-09-15,FBC_Melgar,Los_Chankas,2.0,0.0,1.23,5.68,10.2
Fotbal,1.peruánská liga,2024-09-17,Sporting_Cristal,Deportivo_Garcilaso,1.0,0.0,1.29,5.09,8.78
Fotbal,1.peruánská liga,2024-09-17,Tarma_ADT,Cusco,1.0,2.0,2.03,3.31,3.43
Fotbal,1.peruánská liga,2024-09-18,Atlético_Grau,Alianza_Lima,1.0,0.0,3.34,2.78,2.35
Fotbal,1.peruánská liga,2024-09-18,Comerciantes_Unidos,Cesar_Vallejo,2.0,0.0,2.9,2.82,2.6
Fotbal,1.peruánská liga,2024-09-19,Cienciano_Cuzco,Sport_Huancayo,3.0,1.0,1.64,3.55,5.15
Fotbal,1.peruánská liga,2024-09-19,Universitario_de_Deportes,Sport_Boys,3.0,0.0,1.26,4.79,11.8
Fotbal,1.peruánská liga,2024-09-19,Deportivo_Unión_Comercio,Alianza_Atlético_Sullana,1.0,2.0,2.99,2.93,2.44
Fotbal,1.peruánská liga,2024-09-19,Los_Chankas,Cajamarca,1.0,1.0,1.62,3.73,4.96
Fotbal,1.peruánská liga,2024-09-20,Carlos_Manucci,FBC_Melgar,1.0,1.0,5.16,3.72,1.6
Fotbal,1.peruánská liga,2024-09-22,Deportivo_Garcilaso,Cienciano_Cuzco,1.0,0.0,2.32,3.02,3.09
Fotbal,1.peruánská liga,2024-09-22,Sport_Boys,Alianza_Lima,0.0,3.0,7.34,4.06,1.43
Fotbal,1.peruánská liga,2024-09-22,Cusco,Sporting_Cristal,1.0,1.0,2.05,3.45,3.26
Fotbal,1.peruánská liga,2024-09-23,Universitario_de_Deportes,Deportivo_Unión_Comercio,1.0,0.0,1.11,8.0,18.3
Fotbal,1.peruánská liga,2024-09-23,Cesar_Vallejo,Tarma_ADT,0.0,0.0,1.93,3.23,3.9
Fotbal,1.peruánská liga,2024-09-23,Alianza_Atlético_Sullana,Comerciantes_Unidos,1.0,0.0,1.34,4.52,8.62
Fotbal,1.peruánská liga,2024-09-23,Cajamarca,Carlos_Manucci,,,1.52,3.91,5.82
Fotbal,1.peruánská liga,2024-09-24,Sport_Huancayo,Los_Chankas,3.0,1.0,1.85,3.38,4.04
Fotbal,1.peruánská liga,2024-09-24,FBC_Melgar,Atlético_Grau,0.0,0.0,1.29,4.77,9.8
Fotbal,1.peruánská liga,2024-09-24,Cajamarca,Carlos_Manucci,,,1.78,3.48,4.25
Fotbal,1.peruánská liga,2024-09-25,Cajamarca,Carlos_Manucci,2.0,0.0,1.79,3.46,4.22
Fotbal,1.peruánská liga,2024-09-27,Deportivo_Unión_Comercio,Sport_Boys,0.0,2.0,2.86,2.92,2.55
Fotbal,1.peruánská liga,2024-09-28,Tarma_ADT,Alianza_Atlético_Sullana,0.0,1.0,1.49,3.86,6.46
Fotbal,1.peruánská liga,2024-09-29,Cienciano_Cuzco,Cusco,1.0,2.0,2.94,3.01,2.42
Fotbal,1.peruánská liga,2024-09-29,Alianza_Lima,FBC_Melgar,1.0,1.0,1.6,3.27,6.5
Fotbal,1.peruánská liga,2024-09-29,Sporting_Cristal,Cesar_Vallejo,4.0,1.0,1.34,4.67,8.23
Fotbal,1.peruánská liga,2024-09-29,Los_Chankas,Deportivo_Garcilaso,1.0,0.0,2.11,3.25,3.29
Fotbal,1.peruánská liga,2024-09-29,Carlos_Manucci,Sport_Huancayo,1.0,2.0,1.76,3.38,4.54
Fotbal,1.peruánská liga,2024-09-29,Comerciantes_Unidos,Universitario_de_Deportes,0.0,2.0,5.52,3.8,1.56
Fotbal,1.peruánská liga,2024-09-30,Atlético_Grau,Cajamarca,4.0,0.0,1.39,4.17,8.01
Fotbal,1.peruánská liga,2024-10-17,Deportivo_Unión_Comercio,Comerciantes_Unidos,3.0,2.0,2.32,3.09,3.02
Fotbal,1.peruánská liga,2024-10-17,Cusco,Los_Chankas,2.0,1.0,1.41,4.54,6.29
Fotbal,1.peruánská liga,2024-10-18,Sport_Huancayo,Atlético_Grau,1.0,3.0,2.16,2.92,3.57
Fotbal,1.peruánská liga,2024-10-18,Sport_Boys,FBC_Melgar,0.0,2.0,3.91,3.12,1.97
Fotbal,1.peruánská liga,2024-10-18,Cajamarca,Alianza_Lima,0.0,1.0,5.22,3.15,1.73
Fotbal,1.peruánská liga,2024-10-19,Cesar_Vallejo,Cienciano_Cuzco,2.0,2.0,1.64,3.31,5.7
Fotbal,1.peruánská liga,2024-10-19,Deportivo_Garcilaso,Carlos_Manucci,1.0,0.0,1.36,4.63,7.39
Fotbal,1.peruánská liga,2024-10-19,Alianza_Atlético_Sullana,Sporting_Cristal,1.0,0.0,3.83,3.24,1.94
Fotbal,1.peruánská liga,2024-10-20,Universitario_de_Deportes,Tarma_ADT,2.0,1.0,1.22,5.17,13.3
Fotbal,1.peruánská liga,2024-10-22,Atlético_Grau,Deportivo_Garcilaso,2.0,2.0,1.52,3.73,6.19
Fotbal,1.peruánská liga,2024-10-22,Los_Chankas,Cesar_Vallejo,2.0,1.0,1.62,3.72,4.99
Fotbal,1.peruánská liga,2024-10-23,FBC_Melgar,Cajamarca,1.0,0.0,1.14,6.74,16.0
Fotbal,1.peruánská liga,2024-10-23,Alianza_Lima,Sport_Huancayo,2.0,1.0,1.13,6.72,18.9
Fotbal,1.peruánská liga,2024-10-23,Tarma_ADT,Deportivo_Unión_Comercio,2.0,0.0,1.07,10.7,23.6
Fotbal,1.peruánská liga,2024-10-24,Cienciano_Cuzco,Alianza_Atlético_Sullana,3.0,0.0,1.59,3.35,6.39
Fotbal,1.peruánská liga,2024-10-24,Carlos_Manucci,Cusco,4.0,1.0,2.32,3.48,2.73
Fotbal,1.peruánská liga,2024-10-24,Sporting_Cristal,Universitario_de_Deportes,2.0,1.0,2.95,2.86,2.52
Fotbal,1.peruánská liga,2024-10-24,Comerciantes_Unidos,Sport_Boys,0.0,0.0,2.35,2.73,3.4
Fotbal,1.peruánská liga,2024-10-27,Deportivo_Garcilaso,Alianza_Lima,1.0,2.0,4.24,3.13,1.89
Fotbal,1.peruánská liga,2024-10-27,Cesar_Vallejo,Carlos_Manucci,0.0,2.0,2.21,3.05,3.27
Fotbal,1.peruánská liga,2024-10-27,Deportivo_Unión_Comercio,Sporting_Cristal,0.0,12.0,15.6,8.51,1.11
Fotbal,1.peruánská liga,2024-10-27,Sport_Huancayo,FBC_Melgar,2.0,4.0,4.86,3.66,1.65
Fotbal,1.peruánská liga,2024-10-28,Universitario_de_Deportes,Cienciano_Cuzco,3.0,1.0,1.15,6.59,15.5
Fotbal,1.peruánská liga,2024-10-28,Alianza_Atlético_Sullana,Los_Chankas,1.0,0.0,1.47,4.05,6.35
Fotbal,1.peruánská liga,2024-10-29,Cusco,Atlético_Grau,0.0,1.0,1.98,3.09,3.88
Fotbal,1.peruánská liga,2024-10-27,Sport_Boys,Cajamarca,1.0,1.0,2.47,2.98,2.91
Fotbal,1.peruánská liga,2024-10-28,Comerciantes_Unidos,Tarma_ADT,0.0,0.0,3.07,3.22,2.23
Fotbal,1.peruánská liga,2024-11-01,Tarma_ADT,Sport_Boys,1.0,0.0,1.24,5.35,11.0
Fotbal,1.peruánská liga,2024-11-02,Atlético_Grau,Cesar_Vallejo,3.0,1.0,2.32,3.1,3.01
Fotbal,1.peruánská liga,2024-11-02,Cajamarca,Sport_Huancayo,1.0,1.0,1.48,4.05,6.13
Fotbal,1.peruánská liga,2024-11-02,Carlos_Manucci,Alianza_Atlético_Sullana,2.0,2.0,1.44,4.04,6.99
Fotbal,1.peruánská liga,2024-11-03,FBC_Melgar,Deportivo_Garcilaso,1.0,1.0,1.15,6.7,14.9
