sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.polská liga,2024-09-13,Motor_Lublin,Górnik_Zabrze,1.0,0.0,2.48,3.08,2.8
Fotbal,1.polská liga,2024-09-13,Katowice_GKS,Widzew_Lódz,2.0,2.0,2.25,3.28,2.98
Fotbal,1.polská liga,2024-09-14,Lechia_Gdaňsk,Radomiak_Radom,1.0,0.0,2.54,3.35,2.55
Fotbal,1.polská liga,2024-09-14,Cracovia_Kraków,Pogon_Szczecin,2.0,1.0,2.65,3.46,2.39
Fotbal,1.polská liga,2024-09-14,Lech_Poznan,Jagiellonia_Bialystok,5.0,0.0,1.68,3.88,4.34
Fotbal,1.polská liga,2024-09-15,Piast_Gliwice,Puszcza_Niepołomice,1.0,1.0,1.55,3.58,6.18
Fotbal,1.polská liga,2024-09-15,Korona_Kielce,Zaglebie_Lubin,2.0,0.0,2.19,3.07,3.29
Fotbal,1.polská liga,2024-09-15,Legia_Warszawa,Rakow_Czestochowa,0.0,1.0,2.28,3.0,3.19
Fotbal,1.polská liga,2024-09-16,Slask_Wroclaw,Stal_Mielec,,,1.69,3.42,4.99
Fotbal,1.polská liga,2024-09-20,Radomiak_Radom,Korona_Kielce,4.0,0.0,2.36,3.09,2.95
Fotbal,1.polská liga,2024-09-20,Pogon_Szczecin,Legia_Warszawa,1.0,0.0,2.39,3.26,2.78
Fotbal,1.polská liga,2024-09-21,Puszcza_Niepołomice,Cracovia_Kraków,1.0,2.0,3.4,3.27,2.06
Fotbal,1.polská liga,2024-09-21,Jagiellonia_Bialystok,Lechia_Gdaňsk,3.0,2.0,1.74,3.96,3.9
Fotbal,1.polská liga,2024-09-21,Widzew_Lódz,Piast_Gliwice,1.0,0.0,2.81,2.99,2.54
Fotbal,1.polská liga,2024-09-21,Górnik_Zabrze,Katowice_GKS,3.0,0.0,2.41,3.16,2.82
Fotbal,1.polská liga,2024-09-22,Stal_Mielec,Motor_Lublin,1.0,0.0,2.42,2.98,2.97
Fotbal,1.polská liga,2024-09-22,Rakow_Czestochowa,Zaglebie_Lubin,5.0,1.0,1.51,3.84,6.1
Fotbal,1.polská liga,2024-09-22,Lech_Poznan,Slask_Wroclaw,1.0,0.0,1.59,3.68,5.41
Fotbal,1.polská liga,2024-09-25,Motor_Lublin,Jagiellonia_Bialystok,0.0,2.0,2.53,3.39,2.54
Fotbal,1.polská liga,2024-09-28,Cracovia_Kraków,Stal_Mielec,,,1.75,3.52,4.37
Fotbal,1.polská liga,2024-09-28,Katowice_GKS,Pogon_Szczecin,,,3.05,3.5,2.12
Fotbal,1.polská liga,2024-09-28,Lechia_Gdaňsk,Widzew_Lódz,,,2.55,3.39,2.52
Fotbal,1.polská liga,2024-09-28,Legia_Warszawa,Górnik_Zabrze,1.0,1.0,1.7,3.52,4.68
Fotbal,1.polská liga,2024-09-28,Motor_Lublin,Slask_Wroclaw,2.0,1.0,2.61,3.06,2.67
Fotbal,1.polská liga,2024-09-28,Rakow_Czestochowa,Puszcza_Niepołomice,2.0,0.0,1.34,4.54,8.68
Fotbal,1.polská liga,2024-09-29,Zaglebie_Lubin,Radomiak_Radom,1.0,0.0,2.36,3.26,2.83
Fotbal,1.polská liga,2024-09-29,Korona_Kielce,Lech_Poznan,2.0,3.0,3.69,3.29,1.96
Fotbal,1.polská liga,2024-09-29,Piast_Gliwice,Jagiellonia_Bialystok,0.0,1.0,1.81,3.43,4.14
Fotbal,1.polská liga,2024-09-27,Katowice_GKS,Pogon_Szczecin,3.0,1.0,2.96,3.5,2.17
Fotbal,1.polská liga,2024-09-27,Lechia_Gdaňsk,Widzew_Lódz,1.0,1.0,2.64,3.58,2.34
Fotbal,1.polská liga,2024-09-30,Cracovia_Kraków,Stal_Mielec,1.0,1.0,1.67,3.6,4.78
Fotbal,1.polská liga,2024-10-04,Puszcza_Niepołomice,Katowice_GKS,0.0,6.0,2.98,3.12,2.33
Fotbal,1.polská liga,2024-10-04,Widzew_Lódz,Korona_Kielce,0.0,1.0,1.9,3.32,3.9
