sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.saudskoarabská liga,2024-09-13,Al_Taawon_Buraidah,Al_Khaleej,2.0,0.0,1.81,3.3,4.34
Fotbal,1.saudskoarabská liga,2024-09-13,Dhamk,Al_Akhdoud,3.0,1.0,2.08,3.12,3.52
Fotbal,1.saudskoarabská liga,2024-09-13,Al_Nasr_Riyadh,Al_Ahli_Jeddah,1.0,1.0,1.77,3.96,3.77
Fotbal,1.saudskoarabská liga,2024-09-14,Al_Fateh,Al_Ittifaq_Dammam,1.0,2.0,2.86,3.22,2.35
Fotbal,1.saudskoarabská liga,2024-09-14,Al_Feiha,Al_Raed,0.0,5.0,2.5,3.06,2.8
Fotbal,1.saudskoarabská liga,2024-09-14,Al_Riyadh,Al_Hilal_Riyadh,0.0,3.0,14.4,7.84,1.13
Fotbal,1.saudskoarabská liga,2024-09-15,Al_Ittihad_Jeddah,Al_Wahda_Mecca,7.0,1.0,1.29,5.15,8.54
Fotbal,1.saudskoarabská liga,2024-09-15,Al_Quadisiya_Khobar,Al_Shabab_Riyadh,0.0,1.0,1.78,3.45,4.27
Fotbal,1.saudskoarabská liga,2024-09-15,Al_Kholood,Al_Orubah,3.0,3.0,2.12,3.18,3.33
Fotbal,1.saudskoarabská liga,2024-09-19,Al_Akhdoud,Al_Quadisiya_Khobar,0.0,0.0,5.15,3.86,1.58
Fotbal,1.saudskoarabská liga,2024-09-19,Al_Orubah,Al_Fateh,1.0,0.0,2.84,3.15,2.41
Fotbal,1.saudskoarabská liga,2024-09-19,Al_Wahda_Mecca,Al_Kholood,0.0,1.0,2.18,3.42,2.99
Fotbal,1.saudskoarabská liga,2024-09-20,Al_Khaleej,Al_Feiha,0.0,0.0,1.91,3.55,3.57
Fotbal,1.saudskoarabská liga,2024-09-20,Al_Ahli_Jeddah,Dhamk,4.0,2.0,1.32,4.86,8.22
Fotbal,1.saudskoarabská liga,2024-09-20,Al_Ittifaq_Dammam,Al_Nasr_Riyadh,0.0,3.0,4.58,4.08,1.61
Fotbal,1.saudskoarabská liga,2024-09-21,Al_Shabab_Riyadh,Al_Taawon_Buraidah,1.0,0.0,2.05,3.09,3.66
Fotbal,1.saudskoarabská liga,2024-09-21,Al_Raed,Al_Riyadh,1.0,2.0,2.16,3.06,3.38
Fotbal,1.saudskoarabská liga,2024-09-21,Al_Hilal_Riyadh,Al_Ittihad_Jeddah,3.0,1.0,1.57,4.4,4.53
Fotbal,1.saudskoarabská liga,2024-09-26,Al_Shabab_Riyadh,Al_Raed,,,1.52,3.99,5.66
Fotbal,1.saudskoarabská liga,2024-09-26,Al_Taawon_Buraidah,Al_Ittifaq_Dammam,,,2.37,3.13,2.91
Fotbal,1.saudskoarabská liga,2024-09-27,Al_Nasr_Riyadh,Al_Wahda_Mecca,2.0,0.0,1.12,8.19,15.3
Fotbal,1.saudskoarabská liga,2024-09-27,Al_Ittihad_Jeddah,Al_Khaleej,4.0,1.0,1.23,5.82,9.46
Fotbal,1.saudskoarabská liga,2024-09-27,Al_Quadisiya_Khobar,Al_Ahli_Jeddah,1.0,0.0,2.54,3.31,2.58
Fotbal,1.saudskoarabská liga,2024-09-28,Al_Fateh,Al_Akhdoud,2.0,4.0,2.17,3.19,3.22
Fotbal,1.saudskoarabská liga,2024-09-28,Al_Orubah,Dhamk,1.0,0.0,2.59,3.18,2.6
Fotbal,1.saudskoarabská liga,2024-09-28,Al_Kholood,Al_Hilal_Riyadh,2.0,4.0,12.4,7.08,1.16
Fotbal,1.saudskoarabská liga,2024-09-29,Al_Feiha,Al_Riyadh,2.0,0.0,2.83,3.27,2.35
Fotbal,1.saudskoarabská liga,2024-09-29,Al_Shabab_Riyadh,Al_Raed,2.0,1.0,1.43,4.26,6.52
Fotbal,1.saudskoarabská liga,2024-09-29,Al_Taawon_Buraidah,Al_Ittifaq_Dammam,1.0,1.0,2.43,2.98,2.95
Fotbal,1.saudskoarabská liga,2024-10-03,Al_Ittifaq_Dammam,Al_Raed,0.0,1.0,1.58,3.74,5.37
Fotbal,1.saudskoarabská liga,2024-10-03,Al_Akhdoud,Al_Ittihad_Jeddah,1.0,2.0,6.18,4.72,1.4
Fotbal,1.saudskoarabská liga,2024-10-03,Al_Wahda_Mecca,Al_Feiha,2.0,2.0,2.48,3.31,2.63
Fotbal,1.saudskoarabská liga,2024-10-04,Al_Khaleej,Al_Kholood,1.0,0.0,2.5,3.01,2.84
Fotbal,1.saudskoarabská liga,2024-10-04,Al_Riyadh,Al_Quadisiya_Khobar,2.0,1.0,3.93,3.49,1.84
Fotbal,1.saudskoarabská liga,2024-10-04,Dhamk,Al_Shabab_Riyadh,1.0,0.0,3.0,3.23,2.26
Fotbal,1.saudskoarabská liga,2024-10-05,Al_Nasr_Riyadh,Al_Orubah,3.0,0.0,1.12,7.91,15.4
Fotbal,1.saudskoarabská liga,2024-10-05,Al_Taawon_Buraidah,Al_Fateh,2.0,0.0,1.9,3.41,3.78
