sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.singapurská liga,2024-09-13,Brunei_DPMM,Balestier_Khalsa,2,2,4.97,5.27,1.43
Fotbal,1.singapurská liga,2024-09-14,Tampines_Rovers,Young_Lions,2,2,1.05,13.1,23.1
Fotbal,1.singapurská liga,2024-09-14,Tanjong_Pagar_United,Lion_City_Sailors,0,6,10.5,7.12,1.18
Fotbal,1.singapurská liga,2024-09-15,Geylang_United,Albirex_Niigata,5,1,1.53,4.69,4.58
Fotbal,1.singapurská liga,2024-09-20,Albirex_Niigata,Tanjong_Pagar_United,4,1,1.35,5.33,6.29
Fotbal,1.singapurská liga,2024-09-21,Young_Lions,Hougang_United,4,4,3.72,4.53,1.68
Fotbal,1.singapurská liga,2024-09-22,Lion_City_Sailors,Balestier_Khalsa,3,1,1.55,4.97,4.18
Fotbal,1.singapurská liga,2024-09-22,Brunei_DPMM,Tampines_Rovers,3,2,5.69,4.92,1.41
Fotbal,1.singapurská liga,2024-09-27,Hougang_United,Brunei_DPMM,2,2,2.19,4.23,2.56
Fotbal,1.singapurská liga,2024-09-28,Balestier_Khalsa,Albirex_Niigata,2,3,1.49,4.99,4.6
Fotbal,1.singapurská liga,2024-09-28,Tanjong_Pagar_United,Geylang_United,2,7,8.83,6.53,1.22
Fotbal,1.singapurská liga,2024-09-29,Tampines_Rovers,Lion_City_Sailors,2,2,2.04,4.15,2.85
Fotbal,1.singapurská liga,2024-10-18,Brunei_DPMM,Young_Lions,0,3,1.77,4.28,3.53
Fotbal,1.singapurská liga,2024-10-19,Lion_City_Sailors,Hougang_United,3,1,1.13,8.24,13.6
Fotbal,1.singapurská liga,2024-10-19,Tampines_Rovers,Albirex_Niigata,2,3,1.2,6.59,9.56
Fotbal,1.singapurská liga,2024-10-20,Balestier_Khalsa,Geylang_United,1,4,2.56,4.56,2.11
Fotbal,1.singapurská liga,2024-10-28,Tanjong_Pagar_United,Balestier_Khalsa,0,5,10.4,8.24,1.15
Fotbal,1.singapurská liga,2024-10-29,Albirex_Niigata,Hougang_United,2,1,1.84,4.38,3.23
Fotbal,1.singapurská liga,2024-10-29,Geylang_United,Tampines_Rovers,0,3,3.13,4.48,1.85
Fotbal,1.singapurská liga,2024-11-01,Hougang_United,Tanjong_Pagar_United,6,0,1.49,4.83,4.78
Fotbal,1.singapurská liga,2024-11-02,Albirex_Niigata,Brunei_DPMM,2,3,1.52,4.67,4.67
Fotbal,1.singapurská liga,2024-11-02,Tampines_Rovers,Balestier_Khalsa,3,1,1.51,5.02,4.44
Fotbal,1.singapurská liga,2024-11-03,Geylang_United,Young_Lions,4,0,1.23,6.31,8.72
Fotbal,1.singapurská liga,2024-11-22,Tampines_Rovers,Tanjong_Pagar_United,5,0,1.0,25.4,36.0
Fotbal,1.singapurská liga,2024-11-23,Young_Lions,Albirex_Niigata,0,1,3.91,4.71,1.62
Fotbal,1.singapurská liga,2024-11-24,Hougang_United,Geylang_United,2,3,4.42,4.85,1.53
Fotbal,1.singapurská liga,2025-01-13,Brunei_DPMM,Lion_City_Sailors,2,4,5.06,4.96,1.45
Fotbal,1.singapurská liga,2025-01-17,Lion_City_Sailors,Albirex_Niigata,6,0,1.51,4.73,4.72
Fotbal,1.singapurská liga,2025-01-18,Young_Lions,Tanjong_Pagar_United,1,1,1.91,4.31,3.06
Fotbal,1.singapurská liga,2025-01-18,Brunei_DPMM,Geylang_United,0,2,2.82,4.39,2.01
Fotbal,1.singapurská liga,2025-01-19,Hougang_United,Balestier_Khalsa,3,1,3.13,4.62,1.82
Fotbal,1.singapurská liga,2025-01-25,Balestier_Khalsa,Young_Lions,2,3,1.26,6.03,7.7
Fotbal,1.singapurská liga,2025-01-25,Tampines_Rovers,Hougang_United,2,4,1.42,5.03,5.34
Fotbal,1.singapurská liga,2025-01-26,Geylang_United,Lion_City_Sailors,1,2,3.54,4.6,1.71
Fotbal,1.singapurská liga,2025-01-26,Tanjong_Pagar_United,Brunei_DPMM,3,0,2.88,4.23,2.01
Fotbal,1.singapurská liga,2025-02-07,Brunei_DPMM,Balestier_Khalsa,2,3,2.98,4.49,1.91
Fotbal,1.singapurská liga,2025-02-08,Young_Lions,Tampines_Rovers,1,5,12.3,8.21,1.14
Fotbal,1.singapurská liga,2025-02-09,Lion_City_Sailors,Tanjong_Pagar_United,4,1,1.03,17.1,27.4
Fotbal,1.singapurská liga,2025-02-09,Albirex_Niigata,Geylang_United,1,1,2.89,4.41,1.96
Fotbal,1.singapurská liga,2025-02-21,Tanjong_Pagar_United,Albirex_Niigata,1,2,6.29,5.29,1.35
Fotbal,1.singapurská liga,2025-02-22,Hougang_United,Young_Lions,3,3,1.55,4.63,4.46
Fotbal,1.singapurská liga,2025-02-23,Balestier_Khalsa,Lion_City_Sailors,1,5,6.22,5.75,1.33
Fotbal,1.singapurská liga,2025-02-23,Tampines_Rovers,Brunei_DPMM,1,0,1.2,6.59,9.91
Fotbal,1.singapurská liga,2025-02-26,Lion_City_Sailors,Tampines_Rovers,1,0,1.65,4.19,4.19
Fotbal,1.singapurská liga,2025-02-26,Brunei_DPMM,Hougang_United,2,1,3.41,4.21,1.81
Fotbal,1.singapurská liga,2025-02-27,Albirex_Niigata,Balestier_Khalsa,4,0,2.58,4.49,2.12
Fotbal,1.singapurská liga,2025-02-27,Geylang_United,Tanjong_Pagar_United,5,0,1.21,6.62,8.97
Fotbal,1.singapurská liga,2025-03-07,Geylang_United,Balestier_Khalsa,3,4,1.44,5.26,4.86
Fotbal,1.singapurská liga,2025-03-08,Young_Lions,Brunei_DPMM,1,1,3.66,4.26,1.74
Fotbal,1.singapurská liga,2025-03-09,Albirex_Niigata,Tampines_Rovers,0,4,5.37,4.89,1.43
Fotbal,1.singapurská liga,2025-03-09,Hougang_United,Lion_City_Sailors,1,1,8.29,6.38,1.24
Fotbal,1.singapurská liga,2025-04-04,Tampines_Rovers,Geylang_United,3,1,1.61,4.54,4.15
Fotbal,1.singapurská liga,2025-04-05,Balestier_Khalsa,Tanjong_Pagar_United,3,3,1.14,8.2,12.1
Fotbal,1.singapurská liga,2025-04-05,Hougang_United,Albirex_Niigata,1,0,2.16,4.27,2.6
Fotbal,1.singapurská liga,2025-04-06,Young_Lions,Lion_City_Sailors,0,8,14.4,9.63,1.1
