sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.slovenská liga W,2024-09-07,Banská_Bystrica,Ružomberok,1,2,8.69,5.8,1.23
Fotbal,1.slovenská liga W,2024-09-07,Trenčín,Žilina,0,4,1.29,5.16,6.78
Fotbal,1.slovenská liga W,2024-09-14,Ružomberok,Trnava,1,0,1.33,4.99,6.12
Fotbal,1.slovenská liga W,2024-09-14,Žilina,Prešov,0,4,7.62,6.31,1.23
Fotbal,1.slovenská liga W,2024-09-21,Trnava,Komárno,1,1,4.19,4.47,1.54
Fotbal,1.slovenská liga W,2024-09-21,Trenčín,Myjava,0,9,29.1,16.7,1.03
Fotbal,1.slovenská liga W,2024-09-21,Prešov,Petržalka,2,0,1.37,4.79,5.51
Fotbal,1.slovenská liga W,2024-09-21,Banská_Bystrica,Žilina,1,2,1.82,4.24,3.07
Fotbal,1.slovenská liga W,2024-09-24,Petržalka,Myjava,0,5,25.0,15.4,1.03
Fotbal,1.slovenská liga W,2024-09-28,Trnava,Žilina,1,0,1.61,3.81,4.35
Fotbal,1.slovenská liga W,2024-09-28,Myjava,Ružomberok,5,0,1.02,18.0,33.0
Fotbal,1.slovenská liga W,2024-09-28,Petržalka,Banská_Bystrica,2,0,1.71,3.79,3.78
Fotbal,1.slovenská liga W,2024-10-02,Myjava,Slovan_Bratislava,4,2,1.21,6.15,8.94
Fotbal,1.slovenská liga W,2024-10-05,Banská_Bystrica,Trenčín,4,0,2.08,4.16,2.59
Fotbal,1.slovenská liga W,2024-10-05,Prešov,Myjava,0,5,33.0,18.8,1.02
Fotbal,1.slovenská liga W,2024-10-05,Ružomberok,Komárno,1,1,1.6,4.31,3.94
Fotbal,1.slovenská liga W,2024-10-05,Trnava,Petržalka,0,0,1.8,3.62,3.53
Fotbal,1.slovenská liga W,2024-10-05,Slovan_Bratislava,Žilina,5,0,1.0,22.0,33.0
Fotbal,1.slovenská liga W,2024-10-09,Petržalka,Trenčín,2,2,1.25,5.59,7.53
Fotbal,1.slovenská liga W,2024-10-12,Slovan_Bratislava,Petržalka,8,1,1.06,11.2,24.7
Fotbal,1.slovenská liga W,2024-10-12,Ružomberok,Žilina,2,1,1.07,9.79,19.8
Fotbal,1.slovenská liga W,2024-10-12,Banská_Bystrica,Prešov,0,5,7.8,5.23,1.26
Fotbal,1.slovenská liga W,2024-10-12,Trnava,Trenčín,3,2,1.29,5.13,6.87
Fotbal,1.slovenská liga W,2024-10-12,Myjava,Komárno,3,0,1.01,18.3,33.0
Fotbal,1.slovenská liga W,2024-10-19,Prešov,Trnava,3,2,1.39,4.48,5.79
Fotbal,1.slovenská liga W,2024-10-19,Trenčín,Slovan_Bratislava,0,8,19.7,12.4,1.05
Fotbal,1.slovenská liga W,2024-10-19,Žilina,Komárno,1,4,4.95,4.55,1.44
Fotbal,1.slovenská liga W,2024-10-19,Banská_Bystrica,Myjava,1,7,32.0,18.1,1.02
Fotbal,1.slovenská liga W,2024-10-19,Petržalka,Ružomberok,2,1,4.81,3.83,1.54
Fotbal,1.slovenská liga W,2024-10-31,Slovan_Bratislava,Prešov,1,3,1.12,8.44,13.1
Fotbal,1.slovenská liga W,2024-11-02,Ružomberok,Trenčín,5,1,1.07,9.85,19.5
Fotbal,1.slovenská liga W,2024-11-02,Trnava,Banská_Bystrica,2,1,1.48,4.39,4.73
Fotbal,1.slovenská liga W,2024-11-02,Myjava,Žilina,11,1,1.0,18.3,33.0
Fotbal,1.slovenská liga W,2024-11-03,Komárno,Petržalka,2,0,1.52,4.27,4.5
Fotbal,1.slovenská liga W,2024-11-09,Trnava,Myjava,0,6,32.0,18.2,1.02
Fotbal,1.slovenská liga W,2024-11-09,Trenčín,Komárno,3,4,6.86,5.16,1.29
Fotbal,1.slovenská liga W,2024-11-09,Prešov,Ružomberok,3,2,1.54,4.02,4.58
Fotbal,1.slovenská liga W,2024-11-09,Petržalka,Žilina,2,4,1.43,4.39,5.26
Fotbal,1.slovenská liga W,2024-11-16,Komárno,Prešov,2,0,2.9,3.81,1.99
Fotbal,1.slovenská liga W,2024-11-16,Ružomberok,Banská_Bystrica,2,0,1.13,7.71,13.2
Fotbal,1.slovenská liga W,2024-11-16,Slovan_Bratislava,Trnava,5,2,1.03,16.8,33.0
Fotbal,1.slovenská liga W,2024-11-16,Žilina,Trenčín,1,1,1.54,4.56,4.1
Fotbal,1.slovenská liga W,2024-11-16,Myjava,Petržalka,11,0,1.01,18.2,33.0
Fotbal,1.slovenská liga W,2024-11-20,Banská_Bystrica,Slovan_Bratislava,0,3,21.0,13.2,1.05
Fotbal,1.slovenská liga W,2024-11-23,Prešov,Žilina,4,1,1.11,8.56,14.5
Fotbal,1.slovenská liga W,2024-11-23,Trenčín,Petržalka,2,3,2.47,3.78,2.28
Fotbal,1.slovenská liga W,2024-11-23,Slovan_Bratislava,Myjava,3,4,14.4,8.25,1.12
Fotbal,1.slovenská liga W,2024-11-23,Trnava,Ružomberok,2,2,4.58,3.93,1.56
Fotbal,1.slovenská liga W,2024-11-23,Banská_Bystrica,Komárno,2,0,20.6,9.48,1.08
Fotbal,1.slovenská liga W,2025-02-16,Slovan_Bratislava,Komárno,6,0,1.19,6.36,9.8
Fotbal,1.slovenská liga W,2025-03-01,Komárno,Trnava,0,1,1.32,4.63,6.99
Fotbal,1.slovenská liga W,2025-03-01,Petržalka,Prešov,0,1,4.74,4.24,1.5
Fotbal,1.slovenská liga W,2025-03-01,Žilina,Banská_Bystrica,1,1,2.0,4.07,2.77
Fotbal,1.slovenská liga W,2025-03-01,Ružomberok,Slovan_Bratislava,3,0,5.24,4.43,1.43
Fotbal,1.slovenská liga W,2025-03-01,Myjava,Trenčín,8,0,1.0,18.3,33.0
Fotbal,1.slovenská liga W,2025-03-08,Banská_Bystrica,Petržalka,1,3,2.42,3.57,2.42
Fotbal,1.slovenská liga W,2025-03-08,Prešov,Trenčín,0,0,1.05,12.1,27.5
Fotbal,1.slovenská liga W,2025-03-08,Žilina,Trnava,2,1,3.07,3.87,1.9
Fotbal,1.slovenská liga W,2025-03-15,Petržalka,Trnava,1,1,2.33,3.63,2.48
Fotbal,1.slovenská liga W,2025-03-15,Komárno,Ružomberok,4,2,3.1,3.63,1.94
Fotbal,1.slovenská liga W,2025-03-15,Trenčín,Banská_Bystrica,1,0,3.51,4.09,1.72
Fotbal,1.slovenská liga W,2025-03-15,Myjava,Prešov,4,2,1.11,8.58,14.8
Fotbal,1.slovenská liga W,2025-03-15,Žilina,Slovan_Bratislava,0,6,25.7,15.7,1.03
Fotbal,1.slovenská liga W,2025-03-22,Prešov,Slovan_Bratislava,2,2,6.48,4.91,1.32
Fotbal,1.slovenská liga W,2025-03-22,Komárno,Ružomberok,0,1,2.67,3.57,2.21
Fotbal,1.slovenská liga W,2025-03-22,Žilina,Banská_Bystrica,2,1,1.95,3.91,2.92
Fotbal,1.slovenská liga W,2025-03-22,Petržalka,Trenčín,2,2,1.44,4.54,4.96
Fotbal,1.slovenská liga W,2025-03-29,Trnava,Petržalka,1,1,1.66,3.65,4.21
Fotbal,1.slovenská liga W,2025-03-29,Slovan_Bratislava,Komárno,4,2,1.02,17.8,33.0
Fotbal,1.slovenská liga W,2025-03-29,Trenčín,Žilina,3,2,2.42,3.67,2.36
Fotbal,1.slovenská liga W,2025-03-29,Myjava,Prešov,4,0,1.04,13.0,26.5
