sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.slovinská liga,2024-09-14,Bravo_Publikum,Domzale,,,1.57,3.68,4.81
Fotbal,1.slovinská liga,2024-09-14,Mura_Murska_Sobota,Primorje_Ajdovščina,4.0,0.0,2.02,3.25,3.24
Fotbal,1.slovinská liga,2024-09-14,Radomlje,Olimpija_Lublaň,0.0,2.0,5.77,4.09,1.43
Fotbal,1.slovinská liga,2024-09-15,NK_Celje,Nafta,3.0,1.0,1.24,5.11,9.86
Fotbal,1.slovinská liga,2024-09-15,Maribor_Branik_NK,Koper,2.0,0.0,1.62,3.57,4.56
Fotbal,1.slovinská liga,2024-09-15,Bravo_Publikum,Domzale,0.0,0.0,1.73,3.32,4.28
Fotbal,1.slovinská liga,2024-09-18,NK_Celje,Maribor_Branik_NK,2.0,1.0,2.07,3.31,3.06
Fotbal,1.slovinská liga,2024-09-21,Olimpija_Lublaň,Bravo_Publikum,1.0,1.0,1.58,3.61,4.78
Fotbal,1.slovinská liga,2024-09-22,Koper,Mura_Murska_Sobota,0.0,0.0,1.82,3.21,3.97
Fotbal,1.slovinská liga,2024-09-22,Nafta,Maribor_Branik_NK,0.0,3.0,6.6,4.71,1.33
Fotbal,1.slovinská liga,2024-09-22,Domzale,NK_Celje,0.0,3.0,5.33,3.98,1.47
Fotbal,1.slovinská liga,2024-09-28,Nafta,Mura_Murska_Sobota,0.0,0.0,2.83,3.25,2.23
Fotbal,1.slovinská liga,2024-09-28,Domzale,Maribor_Branik_NK,,,5.36,4.14,1.45
Fotbal,1.slovinská liga,2024-09-28,Koper,Radomlje,,,1.72,3.35,4.28
Fotbal,1.slovinská liga,2024-09-28,Primorje_Ajdovščina,Olimpija_Lublaň,0.0,2.0,6.85,4.55,1.33
Fotbal,1.slovinská liga,2024-09-28,Bravo_Publikum,NK_Celje,,,3.09,3.12,2.14
Fotbal,1.slovinská liga,2024-09-29,Koper,Radomlje,1.0,0.0,1.58,3.5,4.99
Fotbal,1.slovinská liga,2024-09-29,Domzale,Maribor_Branik_NK,0.0,3.0,5.17,4.08,1.47
Fotbal,1.slovinská liga,2024-09-29,Bravo_Publikum,NK_Celje,3.0,2.0,3.14,3.02,2.17
Fotbal,1.slovinská liga,2024-10-04,Radomlje,Nafta,2.0,0.0,1.87,3.19,3.77
Fotbal,1.slovinská liga,2024-10-05,Mura_Murska_Sobota,Domzale,0.0,1.0,1.82,3.18,4.03
Fotbal,1.slovinská liga,2024-10-06,Primorje_Ajdovščina,Bravo_Publikum,1.0,0.0,4.01,3.24,1.8
Fotbal,1.slovinská liga,2024-10-06,Maribor_Branik_NK,NK_Celje,1.0,2.0,2.06,3.26,3.12
Fotbal,1.slovinská liga,2024-10-06,Olimpija_Lublaň,Koper,0.0,1.0,1.58,3.63,4.82
Fotbal,1.slovinská liga,2024-10-12,Primorje_Ajdovščina,Radomlje,0.0,1.0,2.6,2.97,2.6
Fotbal,1.slovinská liga,2024-10-19,NK_Celje,Mura_Murska_Sobota,4.0,3.0,1.38,4.26,6.46
Fotbal,1.slovinská liga,2024-10-19,Koper,Primorje_Ajdovščina,3.0,4.0,1.52,3.62,5.34
Fotbal,1.slovinská liga,2024-10-19,Nafta,Olimpija_Lublaň,0.0,1.0,8.49,4.93,1.27
Fotbal,1.slovinská liga,2024-10-20,Bravo_Publikum,Maribor_Branik_NK,0.0,1.0,2.8,3.0,2.4
Fotbal,1.slovinská liga,2024-10-20,Domzale,Radomlje,1.0,4.0,2.56,2.8,2.8
Fotbal,1.slovinská liga,2024-10-26,Mura_Murska_Sobota,Maribor_Branik_NK,1.0,1.0,3.92,3.49,1.75
Fotbal,1.slovinská liga,2024-10-26,Primorje_Ajdovščina,Nafta,1.0,1.0,1.96,3.21,3.43
Fotbal,1.slovinská liga,2024-10-27,Koper,Bravo_Publikum,3.0,2.0,2.36,2.83,3.02
Fotbal,1.slovinská liga,2024-10-27,Radomlje,NK_Celje,4.0,2.0,4.3,3.53,1.67
Fotbal,1.slovinská liga,2024-10-27,Olimpija_Lublaň,Domzale,3.0,0.0,1.26,4.93,9.32
Fotbal,1.slovinská liga,2024-11-02,Domzale,Primorje_Ajdovščina,0.0,0.0,2.29,2.84,3.12
Fotbal,1.slovinská liga,2024-11-02,Maribor_Branik_NK,Radomlje,1.0,0.0,1.52,3.79,5.11
Fotbal,1.slovinská liga,2024-11-03,Bravo_Publikum,Mura_Murska_Sobota,2.0,1.0,1.84,3.13,4.0
Fotbal,1.slovinská liga,2024-11-03,NK_Celje,Olimpija_Lublaň,0.0,1.0,2.58,3.02,2.58
Fotbal,1.slovinská liga,2024-11-03,Nafta,Koper,1.0,2.0,3.87,3.25,1.83
Fotbal,1.slovinská liga,2024-11-09,Koper,Domzale,4.0,0.0,1.57,3.63,4.89
Fotbal,1.slovinská liga,2024-11-09,Nafta,Bravo_Publikum,0.0,1.0,3.85,3.2,1.85
Fotbal,1.slovinská liga,2024-11-10,Olimpija_Lublaň,Maribor_Branik_NK,0.0,0.0,2.0,3.04,3.5
Fotbal,1.slovinská liga,2024-11-10,Radomlje,Mura_Murska_Sobota,2.0,4.0,2.22,2.99,3.07
Fotbal,1.slovinská liga,2024-11-10,Primorje_Ajdovščina,NK_Celje,1.0,3.0,6.25,4.18,1.39
Fotbal,1.slovinská liga,2024-11-23,NK_Celje,Koper,1.0,0.0,1.69,3.67,4.04
