sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.tuniská liga,2024-09-14,Gafsa_EGS,Esperance_Zarzis,1.0,3.0,2.53,2.53,3.14
Fotbal,1.tuniská liga,2024-09-15,Tataouine,Bizertin_CA,2.0,0.0,3.2,2.56,2.46
Fotbal,1.tuniská liga,2024-09-22,Club_Africain,Jeunesse_Sportive_Omrane,2.0,0.0,1.43,3.56,7.2
Fotbal,1.tuniská liga,2024-09-25,Sfaxien_Club_Sportif,Ben_Guerdane,1.0,0.0,2.04,2.75,3.88
Fotbal,1.tuniská liga,2024-09-25,Slimane,Espérance,1.0,2.0,8.43,4.25,1.32
Fotbal,1.tuniská liga,2024-09-26,Stade_Tunis,Métlaoui,1.0,0.0,1.5,3.28,6.85
Fotbal,1.tuniská liga,2024-09-26,Monastir_US,Etoile_de_Sahel,1.0,0.0,1.88,2.74,4.59
Fotbal,1.tuniská liga,2024-09-28,Bizertin_CA,Slimane,0.0,0.0,1.75,2.88,4.99
Fotbal,1.tuniská liga,2024-09-28,Gafsa_EGS,Club_Africain,0.0,3.0,5.28,2.97,1.68
Fotbal,1.tuniská liga,2024-09-28,Jeunesse_Sportive_Omrane,Sfaxien_Club_Sportif,,,4.14,2.94,1.88
Fotbal,1.tuniská liga,2024-09-29,Ben_Guerdane,Olympique_Béja,0.0,1.0,2.12,2.47,4.22
Fotbal,1.tuniská liga,2024-09-29,Etoile_de_Sahel,Tataouine,2.0,0.0,1.28,4.52,9.4
Fotbal,1.tuniská liga,2024-09-29,Gabes_AS,Monastir_US,0.0,0.0,3.41,2.7,2.24
Fotbal,1.tuniská liga,2024-09-29,Esperance_Zarzis,Métlaoui,1.0,0.0,1.7,2.98,5.08
Fotbal,1.tuniská liga,2024-09-29,Jeunesse_Sportive_Omrane,Sfaxien_Club_Sportif,1.0,0.0,3.58,2.55,2.28
Fotbal,1.tuniská liga,2024-09-29,Espérance,Stade_Tunis,2.0,2.0,1.31,4.1,9.78
Fotbal,1.tuniská liga,2024-10-03,Slimane,Etoile_de_Sahel,0.0,0.0,4.78,2.66,1.88
Fotbal,1.tuniská liga,2024-10-03,Sfaxien_Club_Sportif,Gafsa_EGS,2.0,0.0,1.33,3.97,9.46
Fotbal,1.tuniská liga,2024-10-03,Métlaoui,Espérance,1.0,1.0,10.5,4.43,1.28
Fotbal,1.tuniská liga,2024-10-03,Monastir_US,Ben_Guerdane,2.0,1.0,1.53,3.24,6.31
Fotbal,1.tuniská liga,2024-10-03,Stade_Tunis,Bizertin_CA,1.0,0.0,1.71,3.0,4.97
Fotbal,1.tuniská liga,2024-10-03,Tataouine,Gabes_AS,1.0,2.0,2.33,2.62,3.35
Fotbal,1.tuniská liga,2024-10-03,Club_Africain,Esperance_Zarzis,1.0,0.0,1.39,3.53,8.77
Fotbal,1.tuniská liga,2024-10-19,Bizertin_CA,Métlaoui,1.0,1.0,1.76,2.81,5.16
Fotbal,1.tuniská liga,2024-10-19,Jeunesse_Sportive_Omrane,Monastir_US,1.0,2.0,3.45,2.57,2.31
Fotbal,1.tuniská liga,2024-10-19,Club_Africain,Sfaxien_Club_Sportif,0.0,0.0,1.84,2.61,5.16
Fotbal,1.tuniská liga,2024-10-20,Ben_Guerdane,Tataouine,2.0,0.0,1.45,3.69,6.38
Fotbal,1.tuniská liga,2024-10-20,Etoile_de_Sahel,Stade_Tunis,0.0,1.0,1.99,2.41,4.96
Fotbal,1.tuniská liga,2024-10-20,Gafsa_EGS,Olympique_Béja,0.0,2.0,3.09,2.42,2.68
Fotbal,1.tuniská liga,2024-10-26,Métlaoui,Etoile_de_Sahel,0.0,0.0,3.41,2.48,2.42
Fotbal,1.tuniská liga,2024-10-26,Olympique_Béja,Club_Africain,1.0,1.0,3.49,2.41,2.44
Fotbal,1.tuniská liga,2024-10-26,Tataouine,Jeunesse_Sportive_Omrane,2.0,4.0,3.04,2.64,2.5
Fotbal,1.tuniská liga,2024-10-26,Espérance,Bizertin_CA,0.0,0.0,1.21,5.13,12.8
Fotbal,1.tuniská liga,2024-10-27,Sfaxien_Club_Sportif,Esperance_Zarzis,1.0,1.0,1.39,3.5,9.2
