sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.ukrajinská liga,2024-09-13,Obolon,Oleksandrija_FK,0.0,0.0,5.29,3.56,1.54
Fotbal,1.ukrajinská liga,2024-09-14,Černomorec_Oděsa,Inhulets,1.0,0.0,2.63,2.86,2.67
Fotbal,1.ukrajinská liga,2024-09-14,Zorya_Luhansk,Dynamo_Kyjev,0.0,2.0,6.37,4.42,1.36
Fotbal,1.ukrajinská liga,2024-09-14,Doněck_Šachtor,Karpaty_Lvov,5.0,2.0,1.25,5.1,9.28
Fotbal,1.ukrajinská liga,2024-09-15,Vorskla_Poltava,Rukh_Vynnyky,0.0,0.0,2.87,2.94,2.39
Fotbal,1.ukrajinská liga,2024-09-15,Livyi_Bereh,Kryvbas_Kryvyj_Rig,0.0,1.0,5.41,3.6,1.52
Fotbal,1.ukrajinská liga,2024-09-15,Polessya_Zhitomir,Veres_Rivne,2.0,1.0,1.39,3.92,6.96
Fotbal,1.ukrajinská liga,2024-09-16,Kolos_Kovalivka,Cherkasy_FK,1.0,1.0,3.91,2.79,2.01
Fotbal,1.ukrajinská liga,2024-09-18,Dynamo_Kyjev,Vorskla_Poltava,3.0,1.0,1.29,4.67,8.44
Fotbal,1.ukrajinská liga,2024-09-21,Černomorec_Oděsa,Karpaty_Lvov,0.0,1.0,3.74,2.94,1.98
Fotbal,1.ukrajinská liga,2024-09-21,Oleksandrija_FK,Livyi_Bereh,2.0,0.0,1.42,3.78,6.7
Fotbal,1.ukrajinská liga,2024-09-21,Dynamo_Kyjev,Rukh_Vynnyky,0.0,0.0,1.24,5.15,10.1
Fotbal,1.ukrajinská liga,2024-09-22,Veres_Rivne,Inhulets,2.0,2.0,1.98,2.94,3.73
Fotbal,1.ukrajinská liga,2024-09-22,Kryvbas_Kryvyj_Rig,Vorskla_Poltava,1.0,1.0,1.71,3.2,4.57
Fotbal,1.ukrajinská liga,2024-09-22,Polessya_Zhitomir,Cherkasy_FK,1.0,1.0,1.84,3.06,4.12
Fotbal,1.ukrajinská liga,2024-09-23,Kolos_Kovalivka,Zorya_Luhansk,1.0,0.0,3.17,2.77,2.31
Fotbal,1.ukrajinská liga,2024-09-23,Doněck_Šachtor,Obolon,4.0,0.0,1.1,8.41,18.2
Fotbal,1.ukrajinská liga,2024-09-27,Veres_Rivne,Doněck_Šachtor,1.0,1.0,10.7,5.74,1.21
Fotbal,1.ukrajinská liga,2024-09-28,Kryvbas_Kryvyj_Rig,Oleksandrija_FK,0.0,1.0,2.39,2.81,2.99
Fotbal,1.ukrajinská liga,2024-09-28,Cherkasy_FK,Černomorec_Oděsa,1.0,1.0,1.55,3.55,5.14
Fotbal,1.ukrajinská liga,2024-09-28,Karpaty_Lvov,Polessya_Zhitomir,1.0,3.0,3.17,2.95,2.19
Fotbal,1.ukrajinská liga,2024-09-29,Obolon,Inhulets,2.0,1.0,2.49,2.55,3.17
Fotbal,1.ukrajinská liga,2024-09-29,Rukh_Vynnyky,Kolos_Kovalivka,0.0,0.0,1.73,3.07,4.69
