sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.uruguayská liga,2024-09-07,Racing_Montevideo,Montevideo_Wanderers,0.0,1.0,2.22,2.98,3.32
Fotbal,1.uruguayská liga,2024-09-07,Cerro,Defensor_Sporting,1.0,1.0,3.89,3.12,1.97
Fotbal,1.uruguayská liga,2024-09-07,Miramar_Misiones,Peňarol,1.0,2.0,8.31,4.45,1.35
Fotbal,1.uruguayská liga,2024-09-08,Deportivo_Maldonado,River_Plate_(URU),0.0,1.0,2.47,2.89,3.0
Fotbal,1.uruguayská liga,2024-09-08,Rampla_Juniors,Progreso,2.0,0.0,2.95,3.12,2.35
Fotbal,1.uruguayská liga,2024-09-08,Fénix,Cerro_Largo,1.0,0.0,2.66,2.66,2.99
Fotbal,1.uruguayská liga,2024-09-08,Danubio,Boston_River,2.0,0.0,2.38,2.77,3.3
Fotbal,1.uruguayská liga,2024-09-08,Nacional,Liverpool_Montevideo,1.0,0.0,1.39,4.47,6.96
Fotbal,1.uruguayská liga,2024-09-14,Defensor_Sporting,Racing_Montevideo,1.0,2.0,2.28,3.11,3.07
Fotbal,1.uruguayská liga,2024-09-14,Cerro_Largo,Miramar_Misiones,1.0,2.0,2.15,2.98,3.51
Fotbal,1.uruguayská liga,2024-09-14,Progreso,Cerro,0.0,1.0,2.17,3.09,3.33
Fotbal,1.uruguayská liga,2024-09-15,Peňarol,Rampla_Juniors,4.0,0.0,1.33,4.58,8.8
Fotbal,1.uruguayská liga,2024-09-15,Danubio,River_Plate_(URU),3.0,0.0,2.14,2.95,3.58
Fotbal,1.uruguayská liga,2024-09-15,Deportivo_Maldonado,Liverpool_Montevideo,0.0,1.0,2.81,2.78,2.72
Fotbal,1.uruguayská liga,2024-09-16,Montevideo_Wanderers,Nacional,0.0,2.0,5.23,3.61,1.62
Fotbal,1.uruguayská liga,2024-09-17,Boston_River,Fénix,2.0,0.0,2.37,2.84,3.21
Fotbal,1.uruguayská liga,2024-09-21,Deportivo_Maldonado,Montevideo_Wanderers,1.0,3.0,2.7,2.75,2.86
Fotbal,1.uruguayská liga,2024-09-21,Rampla_Juniors,Cerro_Largo,2.0,0.0,2.8,2.88,2.63
Fotbal,1.uruguayská liga,2024-09-21,Racing_Montevideo,Progreso,1.0,0.0,2.1,3.17,3.39
Fotbal,1.uruguayská liga,2024-09-22,Nacional,Defensor_Sporting,1.0,1.0,1.48,3.93,6.44
Fotbal,1.uruguayská liga,2024-09-22,Fénix,Miramar_Misiones,0.0,0.0,2.5,2.75,3.11
Fotbal,1.uruguayská liga,2024-09-22,Boston_River,River_Plate_(URU),3.0,1.0,2.05,3.11,3.61
Fotbal,1.uruguayská liga,2024-09-22,Danubio,Liverpool_Montevideo,1.0,0.0,2.43,2.88,3.06
Fotbal,1.uruguayská liga,2024-09-23,Cerro,Peňarol,0.0,5.0,3.56,2.89,2.18
Fotbal,1.uruguayská liga,2024-09-28,Miramar_Misiones,Rampla_Juniors,0.0,0.0,2.12,3.07,3.47
Fotbal,1.uruguayská liga,2024-09-28,Cerro_Largo,Cerro,3.0,1.0,2.16,2.8,3.76
Fotbal,1.uruguayská liga,2024-09-29,Montevideo_Wanderers,Danubio,2.0,2.0,2.78,2.78,2.75
Fotbal,1.uruguayská liga,2024-09-29,River_Plate_(URU),Fénix,4.0,3.0,2.41,3.09,2.89
Fotbal,1.uruguayská liga,2024-09-29,Liverpool_Montevideo,Boston_River,1.0,1.0,2.18,2.8,3.7
