sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.waleská liga,2024-09-03,The_New_Saints_FC,Aberystwyth_Town,2.0,0.0,1.0,24.3,36.0
Fotbal,1.waleská liga,2024-09-07,Haverfordwest_C.,The_New_Saints_FC,0.0,1.0,11.1,5.52,1.22
Fotbal,1.waleská liga,2024-09-07,Newtown_AFC,Briton_Ferry,1.0,0.0,1.17,6.56,12.3
Fotbal,1.waleská liga,2024-09-07,Bala_Town,Cardiff_MU,0.0,1.0,2.25,2.98,3.27
Fotbal,1.waleská liga,2024-09-07,Connah's_Quay,Barry_Town,1.0,2.0,1.59,3.92,4.99
Fotbal,1.waleská liga,2024-09-07,Penybont,Caernarfon_Town,2.0,0.0,1.44,4.45,6.03
Fotbal,1.waleská liga,2024-09-07,Aberystwyth_Town,Flint_Town_United,0.0,2.0,2.86,3.46,2.24
Fotbal,1.waleská liga,2024-09-13,Bala_Town,Aberystwyth_Town,3.0,0.0,1.29,4.62,10.6
Fotbal,1.waleská liga,2024-09-13,Newtown_AFC,Cardiff_MU,2.0,1.0,2.91,3.24,2.31
Fotbal,1.waleská liga,2024-09-14,Caernarfon_Town,Briton_Ferry,3.0,2.0,1.2,6.18,10.5
Fotbal,1.waleská liga,2024-09-14,Flint_Town_United,Haverfordwest_C.,1.0,0.0,4.26,3.55,1.76
Fotbal,1.waleská liga,2024-09-14,The_New_Saints_FC,Barry_Town,4.0,0.0,1.06,11.9,24.2
Fotbal,1.waleská liga,2024-09-15,Connah's_Quay,Penybont,0.0,1.0,2.65,3.12,2.59
Fotbal,1.waleská liga,2024-09-20,Bala_Town,Newtown_AFC,2.0,2.0,1.86,3.15,4.37
Fotbal,1.waleská liga,2024-09-20,Penybont,The_New_Saints_FC,2.0,1.0,7.73,4.57,1.36
Fotbal,1.waleská liga,2024-09-20,Aberystwyth_Town,Haverfordwest_C.,0.0,3.0,8.2,4.39,1.36
Fotbal,1.waleská liga,2024-09-21,Barry_Town,Caernarfon_Town,1.0,1.0,1.91,3.75,3.4
Fotbal,1.waleská liga,2024-09-21,Briton_Ferry,Flint_Town_United,1.0,1.0,4.58,4.3,1.58
Fotbal,1.waleská liga,2024-09-21,Cardiff_MU,Connah's_Quay,2.0,1.0,2.72,3.24,2.45
Fotbal,1.waleská liga,2024-09-24,Connah's_Quay,Newtown_AFC,1.0,1.0,1.97,3.53,3.4
Fotbal,1.waleská liga,2024-09-24,Haverfordwest_C.,Barry_Town,1.0,1.0,1.88,3.27,4.04
Fotbal,1.waleská liga,2024-09-24,Penybont,Briton_Ferry,0.0,1.0,1.06,11.5,26.4
Fotbal,1.waleská liga,2024-09-24,The_New_Saints_FC,Bala_Town,2.0,3.0,1.12,7.53,17.2
Fotbal,1.waleská liga,2024-09-24,Aberystwyth_Town,Cardiff_MU,1.0,2.0,7.12,4.26,1.41
Fotbal,1.waleská liga,2024-09-25,Flint_Town_United,Caernarfon_Town,1.0,2.0,2.68,3.66,2.29
Fotbal,1.waleská liga,2024-09-27,Barry_Town,Aberystwyth_Town,1.0,0.0,1.31,4.81,8.87
Fotbal,1.waleská liga,2024-09-27,Haverfordwest_C.,Cardiff_MU,1.0,0.0,2.12,3.0,3.57
Fotbal,1.waleská liga,2024-09-27,Newtown_AFC,The_New_Saints_FC,1.0,6.0,11.5,6.17,1.19
