sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.íránská liga,2024-09-13,Sepahan,Malavan_Anzali,1,0,1.59,3.11,5.83
Fotbal,1.íránská liga,2024-09-13,Shams_Azar_Qazvin,Esteghlal_Khuzestan,2,2,2.03,2.64,4.16
Fotbal,1.íránská liga,2024-09-13,Teraktor-Sazi,Zob-Ahan,0,1,1.54,3.11,6.81
Fotbal,1.íránská liga,2024-09-14,Aluminium_Arak,Havadar,0,0,2.1,2.36,4.6
Fotbal,1.íránská liga,2024-09-14,Foolad_Ahvaz,Kheybar_Khorramabad,1,1,2.3,2.28,4.15
Fotbal,1.íránská liga,2024-09-20,Nassaji_Mazandaran,Esteghlal_Tehran,2,2,6.84,2.85,1.61
Fotbal,1.íránská liga,2024-09-20,Mes_Rafsanjan,Gol_Gohar_Sirjan,0,0,3.06,2.19,3.01
Fotbal,1.íránská liga,2024-09-20,Malavan_Anzali,Shams_Azar_Qazvin,2,0,2.43,2.51,3.33
Fotbal,1.íránská liga,2024-09-20,Persepolis,Aluminium_Arak,2,0,1.39,3.5,9.35
Fotbal,1.íránská liga,2024-09-21,Havadar,Foolad_Ahvaz,0,1,4.07,2.35,2.26
Fotbal,1.íránská liga,2024-09-21,Esteghlal_Khuzestan,Chadormalu_SC,1,1,1.49,3.24,7.11
Fotbal,1.íránská liga,2024-09-22,Kheybar_Khorramabad,Teraktor-Sazi,1,2,3.99,2.72,2.03
Fotbal,1.íránská liga,2024-09-22,Zob-Ahan,Sepahan,1,1,4.57,2.76,1.87
Fotbal,1.íránská liga,2024-09-25,Esteghlal_Tehran,Persepolis,0,1,2.84,2.16,3.33
Fotbal,1.íránská liga,2024-09-26,Shams_Azar_Qazvin,Nassaji_Mazandaran,0,0,1.94,2.68,4.44
Fotbal,1.íránská liga,2024-09-27,Gol_Gohar_Sirjan,Havadar,0,0,1.66,2.99,5.41
Fotbal,1.íránská liga,2024-09-27,Aluminium_Arak,Kheybar_Khorramabad,1,0,2.49,2.47,3.27
Fotbal,1.íránská liga,2024-09-27,Chadormalu_SC,Mes_Rafsanjan,1,0,2.41,2.5,3.37
Fotbal,1.íránská liga,2024-09-27,Malavan_Anzali,Esteghlal_Khuzestan,1,0,2.25,2.54,3.65
Fotbal,1.íránská liga,2024-09-27,Sepahan,Teraktor-Sazi,0,1,2.38,2.54,3.37
Fotbal,1.íránská liga,2024-09-28,Foolad_Ahvaz,Zob-Ahan,1,0,2.41,2.19,4.11
Fotbal,1.íránská liga,2024-10-04,Kheybar_Khorramabad,Gol_Gohar_Sirjan,0,0,3.04,2.2,3.02
Fotbal,1.íránská liga,2024-10-04,Zob-Ahan,Aluminium_Arak,0,4,2.72,2.13,3.61
Fotbal,1.íránská liga,2024-10-04,Mes_Rafsanjan,Shams_Azar_Qazvin,0,1,2.46,2.48,3.32
Fotbal,1.íránská liga,2024-10-04,Nassaji_Mazandaran,Malavan_Anzali,1,1,2.97,2.28,2.97
Fotbal,1.íránská liga,2024-10-05,Persepolis,Chadormalu_SC,1,0,1.32,4.09,9.26
Fotbal,1.íránská liga,2024-10-05,Esteghlal_Khuzestan,Sepahan,0,1,4.59,2.91,1.8
Fotbal,1.íránská liga,2024-10-05,Havadar,Esteghlal_Tehran,1,2,8.67,3.82,1.36
Fotbal,1.íránská liga,2024-10-06,Teraktor-Sazi,Foolad_Ahvaz,1,2,1.64,2.77,6.78
Fotbal,1.íránská liga,2024-10-17,Chadormalu_SC,Kheybar_Khorramabad,1,0,2.94,2.23,3.08
Fotbal,1.íránská liga,2024-10-17,Shams_Azar_Qazvin,Havadar,1,1,1.55,3.08,6.65
Fotbal,1.íránská liga,2024-10-17,Esteghlal_Khuzestan,Mes_Rafsanjan,3,2,2.2,2.57,3.75
Fotbal,1.íránská liga,2024-10-18,Esteghlal_Tehran,Zob-Ahan,0,3,1.53,3.0,7.57
Fotbal,1.íránská liga,2024-10-20,Aluminium_Arak,Foolad_Ahvaz,4,2,3.02,2.13,3.18
