sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.španělská liga,2024-09-13,Betis_Sevilla,Leganes,2.0,0.0,1.69,3.68,5.97
Fotbal,1.španělská liga,2024-09-14,Mallorca,Villarreal,1.0,2.0,2.41,3.24,3.3
Fotbal,1.španělská liga,2024-09-14,Espaňol_Barcelona,Alavés,3.0,2.0,3.0,3.01,2.77
Fotbal,1.španělská liga,2024-09-14,Sevilla,Getafe,1.0,0.0,2.29,3.12,3.69
Fotbal,1.španělská liga,2024-09-14,San_Sebastian_Real,Real_Madrid,0.0,2.0,5.1,3.77,1.76
Fotbal,1.španělská liga,2024-09-15,Celta_Vigo,Valladolid,3.0,1.0,1.69,4.05,5.17
Fotbal,1.španělská liga,2024-09-15,Girona_FC,Barcelona_FC,1.0,4.0,4.31,4.34,1.76
Fotbal,1.španělská liga,2024-09-15,Las_Palmas,Bilbao,2.0,3.0,4.02,3.45,2.04
Fotbal,1.španělská liga,2024-09-15,Atletico_Madrid,Valencia_FC,3.0,0.0,1.35,5.08,10.5
Fotbal,1.španělská liga,2024-09-16,Vallecano_Madrid,Osasuna,3.0,1.0,2.15,3.18,4.02
Fotbal,1.španělská liga,2024-09-17,Mallorca,San_Sebastian_Real,1.0,0.0,3.07,2.68,3.04
Fotbal,1.španělská liga,2024-09-18,Betis_Sevilla,Getafe,2.0,1.0,1.92,3.18,5.17
Fotbal,1.španělská liga,2024-09-19,Leganes,Bilbao,0.0,2.0,4.22,3.02,2.17
Fotbal,1.španělská liga,2024-09-15,Mallorca,Villarreal,1.0,2.0,2.41,3.24,3.3
Fotbal,1.španělská liga,2024-09-15,Sevilla,Getafe,1.0,0.0,2.29,3.12,3.69
Fotbal,1.španělská liga,2024-09-20,Alavés,Sevilla,2.0,1.0,2.24,3.23,3.68
Fotbal,1.španělská liga,2024-09-21,Valladolid,San_Sebastian_Real,0.0,0.0,4.09,3.1,2.16
Fotbal,1.španělská liga,2024-09-21,Osasuna,Las_Palmas,2.0,1.0,1.87,3.63,4.56
Fotbal,1.španělská liga,2024-09-21,Valencia_FC,Girona_FC,2.0,0.0,2.54,3.16,3.15
Fotbal,1.španělská liga,2024-09-21,Real_Madrid,Espaňol_Barcelona,4.0,1.0,1.13,9.77,23.5
Fotbal,1.španělská liga,2024-09-22,Getafe,Leganes,1.0,1.0,2.07,2.81,5.26
Fotbal,1.španělská liga,2024-09-22,Bilbao,Celta_Vigo,3.0,1.0,1.84,3.7,4.62
Fotbal,1.španělská liga,2024-09-22,Villarreal,Barcelona_FC,1.0,5.0,3.74,4.24,1.9
Fotbal,1.španělská liga,2024-09-22,Vallecano_Madrid,Atletico_Madrid,1.0,1.0,5.7,3.66,1.71
Fotbal,1.španělská liga,2024-09-23,Betis_Sevilla,Mallorca,1.0,2.0,1.88,3.22,5.36
Fotbal,1.španělská liga,2024-09-24,Valencia_FC,Osasuna,0.0,0.0,2.0,3.2,4.6
Fotbal,1.španělská liga,2024-09-24,Real_Madrid,Alavés,3.0,2.0,1.17,8.01,20.2
Fotbal,1.španělská liga,2024-09-25,Barcelona_FC,Getafe,1.0,0.0,1.28,5.84,12.7
Fotbal,1.španělská liga,2024-09-25,Celta_Vigo,Atletico_Madrid,,,3.63,3.74,2.0
Fotbal,1.španělská liga,2024-09-25,Girona_FC,Vallecano_Madrid,0.0,0.0,1.7,3.9,5.32
Fotbal,1.španělská liga,2024-09-25,Las_Palmas,Betis_Sevilla,,,3.04,3.23,2.46
Fotbal,1.španělská liga,2024-09-25,Sevilla,Valladolid,,,1.81,3.59,4.71
Fotbal,1.španělská liga,2024-09-25,Espaňol_Barcelona,Villarreal,,,3.53,3.55,2.08
Fotbal,1.španělská liga,2024-09-24,Sevilla,Valladolid,2.0,1.0,1.62,4.03,6.02
Fotbal,1.španělská liga,2024-09-26,Las_Palmas,Betis_Sevilla,1.0,1.0,3.67,3.46,2.14
Fotbal,1.španělská liga,2024-09-26,Espaňol_Barcelona,Villarreal,1.0,2.0,3.57,3.57,2.14
Fotbal,1.španělská liga,2024-09-26,Celta_Vigo,Atletico_Madrid,0.0,1.0,4.22,3.68,1.92
Fotbal,1.španělská liga,2024-09-27,Valladolid,Mallorca,,,3.3,2.91,2.63
Fotbal,1.španělská liga,2024-09-28,Getafe,Alavés,2.0,0.0,2.54,2.74,3.71
Fotbal,1.španělská liga,2024-09-28,Vallecano_Madrid,Leganes,1.0,1.0,1.89,3.16,5.41
Fotbal,1.španělská liga,2024-09-28,San_Sebastian_Real,Valencia_FC,,,1.89,3.33,5.03
Fotbal,1.španělská liga,2024-09-28,Osasuna,Barcelona_FC,4.0,2.0,4.48,4.11,1.78
Fotbal,1.španělská liga,2024-09-29,Celta_Vigo,Girona_FC,1.0,1.0,2.62,3.41,2.84
Fotbal,1.španělská liga,2024-09-29,Bilbao,Sevilla,1.0,1.0,1.74,3.8,5.22
Fotbal,1.španělská liga,2024-09-29,Betis_Sevilla,Espaňol_Barcelona,1.0,0.0,1.5,4.29,7.46
Fotbal,1.španělská liga,2024-09-29,Atletico_Madrid,Real_Madrid,1.0,1.0,2.9,3.27,2.66
Fotbal,1.španělská liga,2024-09-30,Villarreal,Las_Palmas,3.0,1.0,1.5,4.84,6.33
Fotbal,1.španělská liga,2024-09-28,Valladolid,Mallorca,1.0,2.0,3.3,2.91,2.63
Fotbal,1.španělská liga,2024-09-29,Vallecano_Madrid,Leganes,1.0,1.0,1.89,3.16,5.41
Fotbal,1.španělská liga,2024-09-29,San_Sebastian_Real,Valencia_FC,3.0,0.0,1.84,3.33,5.32
Fotbal,1.španělská liga,2024-10-04,Leganes,Valencia_FC,0.0,0.0,3.0,2.79,2.99
Fotbal,1.španělská liga,2024-10-05,Espaňol_Barcelona,Mallorca,2.0,1.0,3.75,2.96,2.37
Fotbal,1.španělská liga,2024-10-05,Getafe,Osasuna,1.0,1.0,2.18,3.05,4.15
Fotbal,1.španělská liga,2024-10-05,Las_Palmas,Celta_Vigo,0.0,1.0,3.86,3.64,2.02
Fotbal,1.španělská liga,2024-10-05,Valladolid,Vallecano_Madrid,1.0,2.0,3.51,3.02,2.43
Fotbal,1.španělská liga,2024-10-05,Real_Madrid,Villarreal,2.0,0.0,1.25,6.94,10.9
Fotbal,1.španělská liga,2024-10-06,Girona_FC,Bilbao,2.0,1.0,2.39,3.36,3.21
Fotbal,1.španělská liga,2024-10-06,Alavés,Barcelona_FC,0.0,3.0,4.86,4.19,1.71
Fotbal,1.španělská liga,2024-10-06,Sevilla,Betis_Sevilla,1.0,0.0,2.79,3.19,2.82
Fotbal,1.španělská liga,2024-10-06,San_Sebastian_Real,Atletico_Madrid,1.0,1.0,2.9,3.06,2.82
Fotbal,1.španělská liga,2024-10-18,Alavés,Valladolid,2.0,3.0,1.62,3.92,6.2
Fotbal,1.španělská liga,2024-10-19,Bilbao,Espaňol_Barcelona,4.0,1.0,1.42,4.61,9.06
Fotbal,1.španělská liga,2024-10-19,Osasuna,Betis_Sevilla,1.0,2.0,2.43,3.15,3.34
Fotbal,1.španělská liga,2024-10-19,Girona_FC,San_Sebastian_Real,0.0,1.0,2.78,3.22,2.81
Fotbal,1.španělská liga,2024-10-19,Celta_Vigo,Real_Madrid,1.0,2.0,5.77,4.58,1.56
Fotbal,1.španělská liga,2024-10-20,Mallorca,Vallecano_Madrid,1.0,0.0,2.13,3.12,4.18
Fotbal,1.španělská liga,2024-10-20,Atletico_Madrid,Leganes,3.0,1.0,1.41,4.65,9.27
Fotbal,1.španělská liga,2024-10-20,Villarreal,Getafe,1.0,1.0,1.85,3.54,4.85
Fotbal,1.španělská liga,2024-10-20,Barcelona_FC,Sevilla,5.0,1.0,1.29,6.21,9.9
Fotbal,1.španělská liga,2024-10-21,Valencia_FC,Las_Palmas,2.0,3.0,1.92,3.41,4.67
Fotbal,1.španělská liga,2024-10-25,Espaňol_Barcelona,Sevilla,0.0,2.0,3.1,3.18,2.57
Fotbal,1.španělská liga,2024-10-26,Valladolid,Villarreal,1.0,2.0,3.97,3.6,2.0
Fotbal,1.španělská liga,2024-10-26,Vallecano_Madrid,Alavés,1.0,0.0,2.05,3.14,4.49
