sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.španělská liga W,2024-09-06,Espanyol_Barcelona,Real_Madrid_CF,0.0,5.0,12.7,6.1,1.18
Fotbal,1.španělská liga W,2024-09-07,Madrid_CFF,Tenerife_Sur,2.0,1.0,1.79,3.48,3.73
Fotbal,1.španělská liga W,2024-09-07,Eibar_SD,Real_Betis,2.0,0.0,1.97,3.1,3.53
Fotbal,1.španělská liga W,2024-09-07,Sevilla_FC,Real_Sociedad,3.0,2.0,3.75,3.65,1.75
Fotbal,1.španělská liga W,2024-09-08,Levante_Valencia_UD,Athletic_Bilbao,0.0,1.0,2.95,3.29,2.14
Fotbal,1.španělská liga W,2024-09-08,Deportivo_de_La_Coruna,Barcelona_FC_Ladies,0.0,3.0,33.0,21.9,1.0
Fotbal,1.španělská liga W,2024-09-08,Colegio_Aleman_Valencia,Levante_Las_Planas,1.0,1.0,3.01,3.29,2.11
Fotbal,1.španělská liga W,2024-09-11,Atletico_Madrid_Féminas,Granada,2.0,0.0,1.12,7.57,16.5
Fotbal,1.španělská liga W,2024-09-15,Barcelona_FC_Ladies,Real_Sociedad,,,1.0,16.3,31.0
Fotbal,1.španělská liga W,2024-09-13,Barcelona_FC_Ladies,Real_Sociedad,3.0,1.0,1.0,21.5,33.0
Fotbal,1.španělská liga W,2024-09-14,Tenerife_Sur,Sevilla_FC,4.0,1.0,2.12,3.26,3.0
Fotbal,1.španělská liga W,2024-09-14,Real_Betis,Real_Madrid_CF,0.0,3.0,12.4,6.54,1.17
Fotbal,1.španělská liga W,2024-09-14,Levante_Las_Planas,Levante_Valencia_UD,2.0,0.0,2.67,3.09,2.44
Fotbal,1.španělská liga W,2024-09-15,Athletic_Bilbao,Granada,2.0,1.0,1.42,3.91,6.41
Fotbal,1.španělská liga W,2024-09-15,Madrid_CFF,Espanyol_Barcelona,2.0,1.0,1.27,4.86,8.64
Fotbal,1.španělská liga W,2024-09-15,Atletico_Madrid_Féminas,Deportivo_de_La_Coruna,2.0,1.0,1.12,7.39,17.9
Fotbal,1.španělská liga W,2024-09-15,Eibar_SD,Colegio_Aleman_Valencia,2.0,0.0,1.89,3.07,3.87
Fotbal,1.španělská liga W,2024-09-21,Granada,Eibar_SD,2.0,0.0,2.39,3.07,2.76
Fotbal,1.španělská liga W,2024-09-21,Levante_Valencia_UD,Real_Sociedad,1.0,2.0,2.46,3.16,2.6
Fotbal,1.španělská liga W,2024-09-21,Levante_Las_Planas,Madrid_CFF,1.0,0.0,2.49,3.27,2.49
Fotbal,1.španělská liga W,2024-09-21,Sevilla_FC,Barcelona_FC_Ladies,0.0,1.0,33.0,18.9,1.01
Fotbal,1.španělská liga W,2024-09-22,Espanyol_Barcelona,Tenerife_Sur,0.0,0.0,3.11,3.41,2.01
Fotbal,1.španělská liga W,2024-09-22,Colegio_Aleman_Valencia,Atletico_Madrid_Féminas,0.0,4.0,7.53,4.56,1.31
Fotbal,1.španělská liga W,2024-09-22,Deportivo_de_La_Coruna,Real_Betis,0.0,0.0,2.33,3.16,2.76
Fotbal,1.španělská liga W,2024-09-22,Real_Madrid_CF,Athletic_Bilbao,2.0,0.0,1.21,5.46,10.7
Fotbal,1.španělská liga W,2024-09-28,Eibar_SD,Levante_Valencia_UD,0.0,3.0,3.08,2.9,2.27
Fotbal,1.španělská liga W,2024-09-28,Real_Betis,Espanyol_Barcelona,0.0,0.0,2.33,2.92,2.97
Fotbal,1.španělská liga W,2024-09-28,Barcelona_FC_Ladies,Granada,10.0,1.0,1.0,21.3,33.0
Fotbal,1.španělská liga W,2024-09-28,Deportivo_de_La_Coruna,Athletic_Bilbao,2.0,2.0,4.18,3.47,1.71
Fotbal,1.španělská liga W,2024-09-29,Atletico_Madrid_Féminas,Madrid_CFF,,,1.47,3.78,5.76
Fotbal,1.španělská liga W,2024-09-27,Atletico_Madrid_Féminas,Madrid_CFF,4.0,0.0,1.47,3.78,5.76
Fotbal,1.španělská liga W,2024-09-29,Colegio_Aleman_Valencia,Sevilla_FC,1.0,3.0,2.89,3.2,2.22
Fotbal,1.španělská liga W,2024-09-29,Real_Sociedad,Levante_Las_Planas,2.0,1.0,1.83,3.43,3.63
Fotbal,1.španělská liga W,2024-09-29,Tenerife_Sur,Real_Madrid_CF,1.0,4.0,7.49,4.63,1.31
Fotbal,1.španělská liga W,2024-10-04,Real_Madrid_CF,Colegio_Aleman_Valencia,1.0,0.0,1.05,11.5,24.3
Fotbal,1.španělská liga W,2024-10-05,Athletic_Bilbao,Atletico_Madrid_Féminas,0.0,2.0,4.41,3.39,1.69
Fotbal,1.španělská liga W,2024-10-05,Madrid_CFF,Barcelona_FC_Ladies,1.0,8.0,33.0,18.2,1.02
Fotbal,1.španělská liga W,2024-10-05,Levante_Valencia_UD,Sevilla_FC,0.0,0.0,1.6,3.77,4.46
Fotbal,1.španělská liga W,2024-10-06,Real_Betis,Tenerife_Sur,0.0,1.0,2.88,3.0,2.34
Fotbal,1.španělská liga W,2024-10-06,Granada,Real_Sociedad,0.0,2.0,3.48,3.62,1.82
Fotbal,1.španělská liga W,2024-10-06,Espanyol_Barcelona,Eibar_SD,2.0,1.0,2.31,2.93,2.98
Fotbal,1.španělská liga W,2024-10-06,Levante_Las_Planas,Deportivo_de_La_Coruna,1.0,0.0,1.58,3.69,4.66
Fotbal,1.španělská liga W,2024-10-12,Real_Sociedad,Real_Betis,4.0,0.0,1.2,5.63,11.3
Fotbal,1.španělská liga W,2024-10-12,Tenerife_Sur,Levante_Valencia_UD,0.0,0.0,2.07,2.94,3.46
Fotbal,1.španělská liga W,2024-10-12,Deportivo_de_La_Coruna,Madrid_CFF,1.0,0.0,3.46,3.53,1.85
Fotbal,1.španělská liga W,2024-10-13,Eibar_SD,Athletic_Bilbao,1.0,2.0,3.52,2.95,2.05
Fotbal,1.španělská liga W,2024-10-13,Colegio_Aleman_Valencia,Granada,0.0,2.0,2.16,3.16,3.02
Fotbal,1.španělská liga W,2024-10-13,Sevilla_FC,Levante_Las_Planas,0.0,1.0,2.78,3.1,2.35
Fotbal,1.španělská liga W,2024-10-13,Barcelona_FC_Ladies,Espanyol_Barcelona,7.0,1.0,1.0,21.6,33.0
Fotbal,1.španělská liga W,2024-10-13,Real_Madrid_CF,Atletico_Madrid_Féminas,1.0,1.0,1.68,3.67,4.1
Fotbal,1.španělská liga W,2024-10-19,Granada,Real_Betis,1.0,2.0,1.68,3.5,4.29
Fotbal,1.španělská liga W,2024-10-19,Levante_Las_Planas,Tenerife_Sur,0.0,0.0,1.81,3.18,4.03
Fotbal,1.španělská liga W,2024-10-19,Atletico_Madrid_Féminas,Real_Sociedad,1.0,0.0,1.71,3.57,4.04
Fotbal,1.španělská liga W,2024-10-19,Sevilla_FC,Espanyol_Barcelona,1.0,0.0,1.63,3.64,4.4
Fotbal,1.španělská liga W,2024-10-20,Athletic_Bilbao,Colegio_Aleman_Valencia,1.0,1.0,1.41,4.01,6.3
Fotbal,1.španělská liga W,2024-10-20,Eibar_SD,Deportivo_de_La_Coruna,0.0,0.0,2.09,3.04,3.29
Fotbal,1.španělská liga W,2024-10-20,Levante_Valencia_UD,Barcelona_FC_Ladies,1.0,4.0,33.0,20.2,1.0
Fotbal,1.španělská liga W,2024-10-20,Madrid_CFF,Real_Madrid_CF,0.0,1.0,10.6,5.8,1.2
Fotbal,1.španělská liga W,2024-11-02,Tenerife_Sur,Athletic_Bilbao,2.0,1.0,2.12,2.89,3.39
Fotbal,1.španělská liga W,2024-11-02,Real_Betis,Levante_Las_Planas,4.0,3.0,4.18,3.36,1.73
Fotbal,1.španělská liga W,2024-11-02,Espanyol_Barcelona,Atletico_Madrid_Féminas,0.0,0.0,6.63,4.33,1.36
Fotbal,1.španělská liga W,2024-11-02,Barcelona_FC_Ladies,Eibar_SD,4.0,0.0,1.0,21.8,33.0
Fotbal,1.španělská liga W,2024-11-03,Granada,Sevilla_FC,3.0,0.0,2.23,3.33,2.78
Fotbal,1.španělská liga W,2024-11-03,Real_Sociedad,Madrid_CFF,2.0,2.0,1.66,3.82,4.04
