sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.švédská liga,2024-09-14,Västeras,GAIS_Gothenburg,2.0,3.0,2.14,3.52,3.18
Fotbal,1.švédská liga,2024-09-15,AIK_Stockholm,Malmö_FF,0.0,0.0,2.97,3.35,2.32
Fotbal,1.švédská liga,2024-09-15,Sirius,Brommapojkarna,3.0,2.0,1.95,4.07,3.28
Fotbal,1.švédská liga,2024-09-15,Djurgarden_IF,Mjällby,1.0,1.0,1.73,3.63,4.72
Fotbal,1.švédská liga,2024-09-15,Häcken_BK,IFK_Göteborg,3.0,3.0,1.69,4.25,4.27
Fotbal,1.švédská liga,2024-09-15,Halmstad_BK,Elfsborg_Boras_IF,0.0,1.0,8.45,5.33,1.32
Fotbal,1.švédská liga,2024-09-15,Kalmar_FF,Värnamo_IFK,3.0,1.0,2.68,3.18,2.64
Fotbal,1.švédská liga,2024-09-16,Hammarby,Norrkoping,1.0,1.0,1.5,4.48,5.66
Fotbal,1.švédská liga,2024-09-18,GAIS_Gothenburg,Malmö_FF,0.0,0.0,4.28,3.95,1.74
Fotbal,1.švédská liga,2024-09-19,Häcken_BK,Djurgarden_IF,1.0,2.0,2.13,3.74,3.05
Fotbal,1.švédská liga,2024-09-19,Elfsborg_Boras_IF,Norrkoping,2.0,2.0,1.26,5.91,9.49
Fotbal,1.švédská liga,2024-09-21,Kalmar_FF,AIK_Stockholm,0.0,1.0,4.3,3.4,1.86
Fotbal,1.švédská liga,2024-09-21,Brommapojkarna,Mjällby,0.0,0.0,2.38,3.62,2.71
Fotbal,1.švédská liga,2024-09-22,Elfsborg_Boras_IF,Hammarby,0.0,0.0,1.75,4.11,4.04
Fotbal,1.švédská liga,2024-09-22,GAIS_Gothenburg,Djurgarden_IF,3.0,0.0,2.87,3.16,2.49
Fotbal,1.švédská liga,2024-09-22,Värnamo_IFK,Västeras,2.0,0.0,2.29,3.39,2.98
Fotbal,1.švédská liga,2024-09-22,Malmö_FF,Häcken_BK,4.0,0.0,1.47,4.87,5.62
Fotbal,1.švédská liga,2024-09-23,IFK_Göteborg,Halmstad_BK,1.0,1.0,1.56,3.99,5.75
Fotbal,1.švédská liga,2024-09-25,Djurgarden_IF,Brommapojkarna,2.0,1.0,1.78,3.91,4.06
Fotbal,1.švédská liga,2024-09-25,Mjällby,Värnamo_IFK,1.0,1.0,2.13,3.25,3.46
Fotbal,1.švédská liga,2024-09-25,Sirius,AIK_Stockholm,0.0,1.0,2.54,3.24,2.74
Fotbal,1.švédská liga,2024-09-26,Halmstad_BK,Kalmar_FF,2.0,2.0,2.96,3.06,2.48
Fotbal,1.švédská liga,2024-09-26,Hammarby,Häcken_BK,2.0,0.0,2.11,4.09,2.91
Fotbal,1.švédská liga,2024-09-26,Västeras,IFK_Göteborg,1.0,1.0,2.0,3.65,3.46
Fotbal,1.švédská liga,2024-09-29,AIK_Stockholm,Hammarby,1.0,0.0,2.14,2.96,3.82
Fotbal,1.švédská liga,2024-09-29,Halmstad_BK,Norrkoping,0.0,0.0,2.83,3.12,2.54
Fotbal,1.švédská liga,2024-09-29,Värnamo_IFK,Djurgarden_IF,1.0,1.0,3.12,3.25,2.27
Fotbal,1.švédská liga,2024-09-29,Häcken_BK,Sirius,2.0,0.0,1.78,4.16,3.82
Fotbal,1.švédská liga,2024-09-29,Kalmar_FF,Elfsborg_Boras_IF,1.0,3.0,3.92,3.74,1.85
Fotbal,1.švédská liga,2024-09-29,Malmö_FF,Mjällby,2.0,0.0,1.58,4.1,5.28
Fotbal,1.švédská liga,2024-09-30,Brommapojkarna,Västeras,2.0,1.0,2.25,3.79,2.82
Fotbal,1.švédská liga,2024-09-30,IFK_Göteborg,GAIS_Gothenburg,2.0,0.0,2.78,3.46,2.39
Fotbal,1.švédská liga,2024-10-03,Norrkoping,Sirius,0.0,2.0,2.69,3.52,2.44
Fotbal,1.švédská liga,2024-10-05,Hammarby,Halmstad_BK,1.0,0.0,1.32,5.19,8.67
Fotbal,1.švédská liga,2024-10-05,Mjällby,Västeras,2.0,1.0,1.9,3.7,3.75
Fotbal,1.švédská liga,2024-10-05,Brommapojkarna,GAIS_Gothenburg,2.0,0.0,2.15,3.79,2.97
Fotbal,1.švédská liga,2024-10-06,AIK_Stockholm,Häcken_BK,0.0,2.0,1.96,3.52,3.69
Fotbal,1.švédská liga,2024-10-06,Djurgarden_IF,Kalmar_FF,1.0,1.0,1.47,4.34,6.44
