sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,1.švýcarská liga,2024-09-18,Lausanne,Lugano_AC,1.0,2.0,2.24,3.59,2.93
Fotbal,1.švýcarská liga,2024-09-21,Grasshoppers_Curych,Servette_FC,2.0,2.0,3.05,3.41,2.24
Fotbal,1.švýcarská liga,2024-09-21,St._Gallen,Luzern,2.0,3.0,1.84,4.03,3.67
Fotbal,1.švýcarská liga,2024-09-21,Basel_FC,Curych_FC,0.0,2.0,2.11,3.5,3.26
Fotbal,1.švýcarská liga,2024-09-22,Lausanne,Yverdon,3.0,1.0,1.51,4.45,5.64
Fotbal,1.švýcarská liga,2024-09-22,Sion_FC,Lugano_AC,0.0,0.0,2.6,3.35,2.62
Fotbal,1.švýcarská liga,2024-09-22,Winterthur,Young_Boys_Bern,1.0,4.0,4.74,4.19,1.63
Fotbal,1.švýcarská liga,2024-09-24,St._Gallen,Curych_FC,4.0,1.0,2.28,3.61,2.85
Fotbal,1.švýcarská liga,2024-09-28,Servette_FC,Lausanne,1.0,0.0,1.85,3.87,3.79
Fotbal,1.švýcarská liga,2024-09-28,Yverdon,St._Gallen,1.0,0.0,4.3,4.21,1.69
Fotbal,1.švýcarská liga,2024-09-28,Young_Boys_Bern,Grasshoppers_Curych,0.0,1.0,1.6,4.25,4.88
Fotbal,1.švýcarská liga,2024-09-29,Curych_FC,Sion_FC,1.0,0.0,2.12,3.18,3.56
Fotbal,1.švýcarská liga,2024-09-29,Lugano_AC,Winterthur,2.0,1.0,1.38,4.87,7.39
Fotbal,1.švýcarská liga,2024-09-29,Luzern,Basel_FC,1.0,0.0,2.48,3.51,2.65
Fotbal,1.švýcarská liga,2024-10-05,Luzern,Lausanne,2.0,2.0,1.92,3.84,3.55
Fotbal,1.švýcarská liga,2024-10-05,Sion_FC,Yverdon,1.0,1.0,1.47,4.36,6.37
Fotbal,1.švýcarská liga,2024-10-05,Winterthur,Grasshoppers_Curych,1.0,0.0,3.12,3.5,2.18
Fotbal,1.švýcarská liga,2024-10-06,Curych_FC,Lugano_AC,1.0,1.0,2.34,3.34,2.95
Fotbal,1.švýcarská liga,2024-10-06,Basel_FC,Young_Boys_Bern,1.0,0.0,2.3,3.59,2.83
Fotbal,1.švýcarská liga,2024-10-06,St._Gallen,Servette_FC,1.0,1.0,2.6,3.83,2.39
Fotbal,1.švýcarská liga,2024-10-19,Grasshoppers_Curych,Curych_FC,1.0,2.0,2.86,3.22,2.46
Fotbal,1.švýcarská liga,2024-10-19,Young_Boys_Bern,Luzern,2.0,1.0,1.99,3.89,3.3
Fotbal,1.švýcarská liga,2024-10-19,Servette_FC,Sion_FC,3.0,0.0,1.89,3.68,3.82
Fotbal,1.švýcarská liga,2024-10-20,Basel_FC,St._Gallen,2.0,1.0,1.96,3.79,3.44
Fotbal,1.švýcarská liga,2024-10-20,Lausanne,Winterthur,2.0,0.0,1.46,4.57,6.29
Fotbal,1.švýcarská liga,2024-10-20,Yverdon,Lugano_AC,2.0,0.0,4.99,4.19,1.6
Fotbal,1.švýcarská liga,2024-10-26,Lausanne,Grasshoppers_Curych,3.0,0.0,1.79,3.83,4.09
Fotbal,1.švýcarská liga,2024-10-26,Winterthur,Basel_FC,1.0,6.0,4.38,3.98,1.71
Fotbal,1.švýcarská liga,2024-10-26,Luzern,Yverdon,2.0,3.0,1.48,4.59,5.84
Fotbal,1.švýcarská liga,2024-10-27,Sion_FC,St._Gallen,2.0,2.0,2.05,3.69,3.26
Fotbal,1.švýcarská liga,2024-10-27,Lugano_AC,Young_Boys_Bern,2.0,0.0,2.01,3.76,3.33
Fotbal,1.švýcarská liga,2024-10-27,Curych_FC,Servette_FC,1.0,3.0,2.85,3.28,2.43
Fotbal,1.švýcarská liga,2024-10-29,Yverdon,Lausanne,0.0,3.0,4.07,3.88,1.79
Fotbal,1.švýcarská liga,2024-10-30,Sion_FC,Curych_FC,0.0,2.0,2.19,3.22,3.32
Fotbal,1.švýcarská liga,2024-10-30,St._Gallen,Winterthur,2.0,2.0,1.39,5.05,6.66
Fotbal,1.švýcarská liga,2024-10-30,Young_Boys_Bern,Basel_FC,3.0,2.0,2.0,3.84,3.3
Fotbal,1.švýcarská liga,2024-10-31,Grasshoppers_Curych,Lugano_AC,1.0,1.0,3.26,3.51,2.11
Fotbal,1.švýcarská liga,2024-10-31,Servette_FC,Luzern,2.0,2.0,1.82,3.85,3.93
Fotbal,1.švýcarská liga,2024-11-02,Basel_FC,Winterthur,5.0,0.0,1.3,5.57,8.66
Fotbal,1.švýcarská liga,2024-11-02,Curych_FC,Young_Boys_Bern,0.0,0.0,2.41,3.48,2.75
Fotbal,1.švýcarská liga,2024-11-02,St._Gallen,Sion_FC,1.0,1.0,1.94,3.61,3.68
Fotbal,1.švýcarská liga,2024-11-03,Lausanne,Servette_FC,1.0,0.0,2.45,3.59,2.64
Fotbal,1.švýcarská liga,2024-11-03,Lugano_AC,Yverdon,2.0,0.0,1.35,5.09,7.86
Fotbal,1.švýcarská liga,2024-11-03,Luzern,Grasshoppers_Curych,2.0,0.0,1.92,3.72,3.65
Fotbal,1.švýcarská liga,2024-11-09,Winterthur,Lausanne,1.0,0.0,4.8,4.25,1.61
Fotbal,1.švýcarská liga,2024-11-09,Yverdon,Basel_FC,1.0,4.0,5.9,4.63,1.47
Fotbal,1.švýcarská liga,2024-11-09,Servette_FC,Curych_FC,1.0,1.0,1.86,3.62,4.03
Fotbal,1.švýcarská liga,2024-11-10,Sion_FC,Luzern,4.0,2.0,2.56,3.15,2.79
Fotbal,1.švýcarská liga,2024-11-10,Grasshoppers_Curych,St._Gallen,1.0,2.0,2.26,3.61,2.9
Fotbal,1.švýcarská liga,2024-11-10,Young_Boys_Bern,Lugano_AC,2.0,1.0,2.41,3.45,2.78
Fotbal,1.švýcarská liga,2024-11-23,Grasshoppers_Curych,Winterthur,1.0,1.0,1.84,3.63,4.1
Fotbal,1.švýcarská liga,2024-11-23,Luzern,Young_Boys_Bern,1.0,1.0,3.06,3.88,2.09
Fotbal,1.švýcarská liga,2024-11-23,Lausanne,Sion_FC,1.0,0.0,1.96,3.5,3.74
Fotbal,1.švýcarská liga,2024-11-24,Lugano_AC,Curych_FC,4.0,1.0,2.11,3.35,3.4
Fotbal,1.švýcarská liga,2024-11-24,Basel_FC,Servette_FC,3.0,1.0,2.21,3.73,2.9
Fotbal,1.švýcarská liga,2024-11-24,St._Gallen,Yverdon,0.0,0.0,1.4,4.93,6.88
Fotbal,1.švýcarská liga,2024-11-30,Basel_FC,Lausanne,1.0,1.0,1.9,3.8,3.65
Fotbal,1.švýcarská liga,2024-11-30,Yverdon,Luzern,0.0,1.0,3.58,3.85,1.91
Fotbal,1.švýcarská liga,2024-11-30,Curych_FC,Grasshoppers_Curych,1.0,1.0,2.18,3.17,3.41
Fotbal,1.švýcarská liga,2024-12-01,Winterthur,Sion_FC,1.0,3.0,3.09,3.16,2.34
Fotbal,1.švýcarská liga,2024-12-01,Servette_FC,Lugano_AC,3.0,0.0,1.87,3.74,3.83
Fotbal,1.švýcarská liga,2024-12-01,Young_Boys_Bern,St._Gallen,3.0,1.0,1.83,3.97,3.79
Fotbal,1.švýcarská liga,2024-12-07,Grasshoppers_Curych,Yverdon,1.0,1.0,1.59,4.09,5.16
Fotbal,1.švýcarská liga,2024-12-07,Sion_FC,Young_Boys_Bern,3.0,1.0,3.18,3.33,2.21
Fotbal,1.švýcarská liga,2024-12-07,Luzern,Lugano_AC,1.0,4.0,2.5,3.56,2.6
Fotbal,1.švýcarská liga,2024-12-08,Lausanne,Curych_FC,3.0,0.0,1.96,3.48,3.76
Fotbal,1.švýcarská liga,2024-12-08,Servette_FC,Winterthur,1.0,1.0,1.3,5.45,8.64
Fotbal,1.švýcarská liga,2024-12-08,St._Gallen,Basel_FC,1.0,1.0,2.8,3.7,2.29
Fotbal,1.švýcarská liga,2024-12-14,Winterthur,Luzern,3.0,4.0,3.38,3.81,1.98
Fotbal,1.švýcarská liga,2024-12-14,Yverdon,Sion_FC,0.0,1.0,4.24,3.47,1.85
Fotbal,1.švýcarská liga,2024-12-14,Basel_FC,Grasshoppers_Curych,0.0,1.0,1.61,3.98,5.16
Fotbal,1.švýcarská liga,2024-12-15,Young_Boys_Bern,Servette_FC,2.0,1.0,2.21,3.62,2.97
Fotbal,1.švýcarská liga,2024-12-15,Lugano_AC,Lausanne,1.0,4.0,2.23,3.4,3.09
Fotbal,1.švýcarská liga,2024-12-15,Curych_FC,St._Gallen,0.0,2.0,2.2,3.44,3.11
Fotbal,1.švýcarská liga,2025-01-18,Sion_FC,Grasshoppers_Curych,0.0,1.0,2.27,2.98,3.41
Fotbal,1.švýcarská liga,2025-01-18,Young_Boys_Bern,Winterthur,0.0,0.0,1.27,5.94,8.88
Fotbal,1.švýcarská liga,2025-01-18,Servette_FC,St._Gallen,1.0,1.0,1.7,4.13,4.31
Fotbal,1.švýcarská liga,2025-01-19,Curych_FC,Yverdon,1.0,0.0,1.8,3.65,4.26
Fotbal,1.švýcarská liga,2025-01-19,Lausanne,Luzern,0.0,0.0,1.85,3.9,3.75
Fotbal,1.švýcarská liga,2025-01-19,Lugano_AC,Basel_FC,2.0,2.0,2.61,3.57,2.48
Fotbal,1.švýcarská liga,2025-01-25,Grasshoppers_Curych,Young_Boys_Bern,0.0,0.0,3.24,3.55,2.1
Fotbal,1.švýcarská liga,2025-01-25,Yverdon,Servette_FC,0.0,0.0,5.88,4.48,1.49
Fotbal,1.švýcarská liga,2025-01-25,Winterthur,Lugano_AC,2.0,3.0,4.6,4.1,1.66
Fotbal,1.švýcarská liga,2025-01-26,St._Gallen,Lausanne,3.0,2.0,2.62,3.49,2.52
Fotbal,1.švýcarská liga,2025-01-26,Basel_FC,Sion_FC,4.0,1.0,1.7,3.82,4.66
Fotbal,1.švýcarská liga,2025-01-26,Luzern,Curych_FC,3.0,1.0,2.13,3.56,3.17
Fotbal,1.švýcarská liga,2025-02-01,Lausanne,Young_Boys_Bern,1.0,2.0,2.35,3.54,2.8
Fotbal,1.švýcarská liga,2025-02-01,Lugano_AC,Sion_FC,3.0,2.0,1.92,3.38,4.02
Fotbal,1.švýcarská liga,2025-02-01,Servette_FC,Grasshoppers_Curych,1.0,1.0,1.58,4.04,5.45
Fotbal,1.švýcarská liga,2025-02-02,Luzern,St._Gallen,2.0,0.0,2.26,3.76,2.81
Fotbal,1.švýcarská liga,2025-02-02,Yverdon,Winterthur,3.0,0.0,2.26,3.29,3.13
Fotbal,1.švýcarská liga,2025-02-02,Curych_FC,Basel_FC,0.0,1.0,3.43,3.86,1.95
Fotbal,1.švýcarská liga,2025-02-04,Grasshoppers_Curych,Lausanne,2.0,2.0,3.15,3.26,2.26
Fotbal,1.švýcarská liga,2025-02-04,Sion_FC,Servette_FC,3.0,3.0,2.77,3.21,2.53
Fotbal,1.švýcarská liga,2025-02-05,St._Gallen,Lugano_AC,2.0,1.0,2.44,3.51,2.7
Fotbal,1.švýcarská liga,2025-02-05,Young_Boys_Bern,Yverdon,6.0,1.0,1.33,5.22,8.32
Fotbal,1.švýcarská liga,2025-02-06,Basel_FC,Luzern,2.0,1.0,1.72,4.07,4.22
Fotbal,1.švýcarská liga,2025-02-06,Winterthur,Curych_FC,0.0,2.0,3.43,3.73,1.98
Fotbal,1.švýcarská liga,2025-02-08,Lausanne,Yverdon,4.0,1.0,1.37,4.88,7.93
Fotbal,1.švýcarská liga,2025-02-08,Lugano_AC,Grasshoppers_Curych,1.0,1.0,1.89,3.48,4.04
Fotbal,1.švýcarská liga,2025-02-08,Young_Boys_Bern,Sion_FC,5.0,1.0,1.74,3.71,4.58
Fotbal,1.švýcarská liga,2025-02-09,Servette_FC,Basel_FC,2.0,1.0,2.26,3.72,2.82
Fotbal,1.švýcarská liga,2025-02-09,Luzern,Winterthur,3.0,2.0,1.5,4.48,5.73
Fotbal,1.švýcarská liga,2025-02-09,Curych_FC,St._Gallen,1.0,2.0,2.35,3.68,2.72
Fotbal,1.švýcarská liga,2025-02-15,Lugano_AC,Luzern,2.0,0.0,1.93,3.76,3.6
Fotbal,1.švýcarská liga,2025-02-15,Sion_FC,Curych_FC,2.0,1.0,2.44,3.25,2.87
Fotbal,1.švýcarská liga,2025-02-15,Winterthur,Young_Boys_Bern,1.0,0.0,5.86,4.68,1.47
Fotbal,1.švýcarská liga,2025-02-16,Yverdon,St._Gallen,1.0,0.0,3.74,3.71,1.9
Fotbal,1.švýcarská liga,2025-02-16,Basel_FC,Lausanne,1.0,1.0,2.04,3.66,3.33
Fotbal,1.švýcarská liga,2025-02-16,Grasshoppers_Curych,Servette_FC,1.0,2.0,3.09,3.39,2.23
Fotbal,1.švýcarská liga,2025-02-22,Lausanne,Grasshoppers_Curych,2.0,2.0,1.7,3.81,4.7
Fotbal,1.švýcarská liga,2025-02-22,Curych_FC,Yverdon,2.0,1.0,1.71,3.79,4.65
Fotbal,1.švýcarská liga,2025-02-22,St._Gallen,Basel_FC,2.0,2.0,3.11,3.93,2.05
Fotbal,1.švýcarská liga,2025-02-23,Luzern,Sion_FC,2.0,1.0,2.11,3.4,3.35
Fotbal,1.švýcarská liga,2025-02-23,Servette_FC,Winterthur,3.0,1.0,1.39,4.8,7.39
Fotbal,1.švýcarská liga,2025-02-23,Young_Boys_Bern,Lugano_AC,1.0,0.0,1.98,3.64,3.51
Fotbal,1.švýcarská liga,2025-03-01,Basel_FC,Sion_FC,2.0,0.0,1.64,4.03,4.82
Fotbal,1.švýcarská liga,2025-03-01,Winterthur,St._Gallen,4.0,0.0,4.0,4.13,1.75
Fotbal,1.švýcarská liga,2025-03-01,Lausanne,Servette_FC,0.0,1.0,2.42,3.47,2.74
Fotbal,1.švýcarská liga,2025-03-02,Lugano_AC,Curych_FC,0.0,3.0,2.0,3.58,3.52
Fotbal,1.švýcarská liga,2025-03-02,Grasshoppers_Curych,Young_Boys_Bern,1.0,0.0,3.46,3.56,2.02
Fotbal,1.švýcarská liga,2025-03-02,Yverdon,Luzern,2.0,2.0,3.07,3.42,2.23
Fotbal,1.švýcarská liga,2025-03-08,Young_Boys_Bern,Lausanne,3.0,0.0,1.99,3.69,3.43
Fotbal,1.švýcarská liga,2025-03-08,Yverdon,Winterthur,2.0,1.0,2.07,3.5,3.37
Fotbal,1.švýcarská liga,2025-03-08,St._Gallen,Grasshoppers_Curych,3.0,1.0,1.91,3.64,3.77
Fotbal,1.švýcarská liga,2025-03-09,Curych_FC,Servette_FC,1.0,3.0,2.74,3.51,2.4
Fotbal,1.švýcarská liga,2025-03-09,Luzern,Basel_FC,1.0,1.0,3.09,3.86,2.07
Fotbal,1.švýcarská liga,2025-03-09,Sion_FC,Lugano_AC,2.0,1.0,2.83,3.19,2.5
Fotbal,1.švýcarská liga,2025-03-15,Servette_FC,Yverdon,2.0,3.0,1.43,4.63,6.72
Fotbal,1.švýcarská liga,2025-03-15,St._Gallen,Lausanne,0.0,2.0,2.26,3.58,2.91
Fotbal,1.švýcarská liga,2025-03-15,Curych_FC,Luzern,3.0,2.0,2.28,3.52,2.91
Fotbal,1.švýcarská liga,2025-03-16,Grasshoppers_Curych,Sion_FC,1.0,1.0,2.81,3.17,2.53
Fotbal,1.švýcarská liga,2025-03-16,Basel_FC,Young_Boys_Bern,1.0,2.0,2.15,3.84,2.95
Fotbal,1.švýcarská liga,2025-03-16,Lugano_AC,Winterthur,2.0,1.0,1.33,5.19,8.29
Fotbal,1.švýcarská liga,2025-03-29,Sion_FC,Yverdon,1.0,1.0,1.9,3.57,3.88
Fotbal,1.švýcarská liga,2025-03-29,Young_Boys_Bern,St._Gallen,1.0,0.0,1.66,4.31,4.39
Fotbal,1.švýcarská liga,2025-03-29,Lugano_AC,Servette_FC,0.0,2.0,2.34,3.37,2.91
Fotbal,1.švýcarská liga,2025-03-30,Winterthur,Basel_FC,0.0,2.0,5.66,4.77,1.47
Fotbal,1.švýcarská liga,2025-03-30,Grasshoppers_Curych,Curych_FC,1.0,2.0,2.98,3.39,2.3
