sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,2.brazilská liga,2024-09-03,Sport_Recife,Ituano,3.0,2.0,1.44,4.03,7.0
Fotbal,2.brazilská liga,2024-09-03,Operário_Ferroviário,Brusque,0.0,0.0,1.74,3.0,5.63
Fotbal,2.brazilská liga,2024-09-04,Mirassol,América_Mineiro,1.0,0.0,2.15,2.95,3.54
Fotbal,2.brazilská liga,2024-09-04,Guarani_de_Campinas,Coritiba,2.0,1.0,2.63,2.55,3.18
Fotbal,2.brazilská liga,2024-09-05,Vila_Nova,CRB_Maceio,1.0,0.0,1.91,2.92,4.58
Fotbal,2.brazilská liga,2024-09-06,Paysandu_SC,Amazonas,0.0,1.0,2.08,2.85,3.96
Fotbal,2.brazilská liga,2024-09-07,Brusque,Santos,0.0,1.0,5.34,3.23,1.7
Fotbal,2.brazilská liga,2024-09-07,Ituano,Mirassol,3.0,2.0,3.16,2.82,2.41
Fotbal,2.brazilská liga,2024-09-08,Avai_Florianopolis,Sport_Recife,0.0,2.0,2.31,2.71,3.52
Fotbal,2.brazilská liga,2024-09-08,Ceará,Operário_Ferroviário,2.0,1.0,1.53,3.43,7.03
Fotbal,2.brazilská liga,2024-09-08,América_Mineiro,Guarani_de_Campinas,3.0,0.0,1.85,2.96,4.88
Fotbal,2.brazilská liga,2024-09-08,Coritiba,Novorizontino,2.0,2.0,2.07,2.69,4.36
Fotbal,2.brazilská liga,2024-09-10,Botafogo_Sao_Paulo,Goiás,1.0,0.0,2.63,2.56,3.17
Fotbal,2.brazilská liga,2024-09-10,Ponte_Preta,Chapecoense_AF,0.0,2.0,1.99,2.95,4.11
Fotbal,2.brazilská liga,2024-09-12,CRB_Maceio,Sport_Recife,1.0,1.0,3.11,2.62,2.61
Fotbal,2.brazilská liga,2024-09-14,Novorizontino,Botafogo_Sao_Paulo,2.0,0.0,1.78,2.99,5.24
Fotbal,2.brazilská liga,2024-09-14,Goiás,Avai_Florianopolis,2.0,1.0,2.05,2.78,4.23
Fotbal,2.brazilská liga,2024-09-14,Ponte_Preta,Ituano,1.0,4.0,2.15,2.94,3.56
Fotbal,2.brazilská liga,2024-09-14,Brusque,Vila_Nova,3.0,1.0,3.37,2.72,2.37
Fotbal,2.brazilská liga,2024-09-14,Mirassol,Amazonas,0.0,0.0,1.71,3.15,5.45
Fotbal,2.brazilská liga,2024-09-14,Paysandu_SC,Guarani_de_Campinas,2.0,1.0,1.99,2.89,4.24
Fotbal,2.brazilská liga,2024-09-15,Operário_Ferroviário,Coritiba,2.0,1.0,2.82,2.57,2.92
Fotbal,2.brazilská liga,2024-09-15,Santos,América_Mineiro,2.0,1.0,1.65,3.34,5.49
Fotbal,2.brazilská liga,2024-09-15,Chapecoense_AF,Ceará,2.0,1.0,3.37,2.7,2.39
Fotbal,2.brazilská liga,2024-09-14,Sport_Recife,CRB_Maceio,,,1.7,3.23,5.34
Fotbal,2.brazilská liga,2024-09-15,Sport_Recife,CRB_Maceio,2.0,0.0,1.53,3.59,6.54
Fotbal,2.brazilská liga,2024-09-18,Avai_Florianopolis,Ituano,2.0,0.0,1.74,3.13,5.24
Fotbal,2.brazilská liga,2024-09-18,Guarani_de_Campinas,Mirassol,1.0,0.0,2.36,2.62,3.57
Fotbal,2.brazilská liga,2024-09-18,Novorizontino,Brusque,1.0,0.0,1.55,3.4,6.92
Fotbal,2.brazilská liga,2024-09-19,Sport_Recife,Goiás,1.0,1.0,1.66,3.23,5.7
Fotbal,2.brazilská liga,2024-09-19,Vila_Nova,Chapecoense_AF,3.0,2.0,1.58,3.5,6.04
Fotbal,2.brazilská liga,2024-09-19,Amazonas,Operário_Ferroviário,2.0,1.0,1.97,2.74,4.7
Fotbal,2.brazilská liga,2024-09-19,América_Mineiro,Paysandu_SC,2.0,0.0,1.71,3.3,5.01
Fotbal,2.brazilská liga,2024-09-19,Coritiba,Ceará,3.0,1.0,2.14,3.06,3.44
Fotbal,2.brazilská liga,2024-09-20,CRB_Maceio,Ponte_Preta,0.0,1.0,1.76,3.08,5.15
Fotbal,2.brazilská liga,2024-09-20,Botafogo_Sao_Paulo,Santos,0.0,1.0,4.36,3.08,1.89
Fotbal,2.brazilská liga,2024-09-21,Botafogo_Sao_Paulo,CRB_Maceio,,,2.17,2.72,3.89
Fotbal,2.brazilská liga,2024-09-21,Goiás,Mirassol,0.0,1.0,2.07,2.83,4.03
Fotbal,2.brazilská liga,2024-09-21,Ponte_Preta,América_Mineiro,,,3.06,2.88,2.43
Fotbal,2.brazilská liga,2024-09-21,Santos,Novorizontino,,,1.63,3.25,6.03
Fotbal,2.brazilská liga,2024-09-21,Ituano,Coritiba,0.0,1.0,2.54,2.86,2.93
Fotbal,2.brazilská liga,2024-09-22,Chapecoense_AF,Avai_Florianopolis,1.0,0.0,2.59,2.64,3.13
Fotbal,2.brazilská liga,2024-09-22,Ceará,Vila_Nova,4.0,0.0,1.6,3.52,5.63
Fotbal,2.brazilská liga,2024-09-23,Paysandu_SC,Sport_Recife,0.0,1.0,2.88,2.88,2.57
Fotbal,2.brazilská liga,2024-09-24,Brusque,Amazonas,1.0,0.0,2.89,2.54,2.89
Fotbal,2.brazilská liga,2024-09-25,Operário_Ferroviário,Guarani_de_Campinas,1.0,0.0,2.28,2.64,3.72
Fotbal,2.brazilská liga,2024-09-24,Santos,Novorizontino,1.0,1.0,1.61,3.34,5.98
Fotbal,2.brazilská liga,2024-09-25,Botafogo_Sao_Paulo,CRB_Maceio,0.0,0.0,2.25,2.67,3.76
Fotbal,2.brazilská liga,2024-09-25,Ponte_Preta,América_Mineiro,0.0,2.0,3.51,2.95,2.17
Fotbal,2.brazilská liga,2024-09-28,Ceará,Brusque,1.0,0.0,1.34,4.34,9.24
Fotbal,2.brazilská liga,2024-09-28,Paysandu_SC,Ituano,1.0,0.0,1.71,3.32,5.04
Fotbal,2.brazilská liga,2024-09-28,Chapecoense_AF,Amazonas,,,2.25,2.76,3.59
Fotbal,2.brazilská liga,2024-09-28,Coritiba,Goiás,0.0,0.0,1.91,2.99,4.46
Fotbal,2.brazilská liga,2024-09-27,Chapecoense_AF,Amazonas,2.0,0.0,2.34,2.71,3.45
Fotbal,2.brazilská liga,2024-09-28,Vila_Nova,Botafogo_Sao_Paulo,1.0,1.0,1.77,3.15,4.91
Fotbal,2.brazilská liga,2024-09-28,Santos,Operário_Ferroviário,1.0,0.0,1.38,4.01,9.07
Fotbal,2.brazilská liga,2024-09-29,CRB_Maceio,América_Mineiro,2.0,1.0,2.75,2.7,2.85
Fotbal,2.brazilská liga,2024-09-29,Mirassol,Sport_Recife,0.0,0.0,2.52,2.74,3.1
Fotbal,2.brazilská liga,2024-10-01,Novorizontino,Ponte_Preta,2.0,1.0,1.56,3.38,6.7
Fotbal,2.brazilská liga,2024-10-01,Guarani_de_Campinas,Avai_Florianopolis,0.0,0.0,2.26,2.67,3.73
Fotbal,2.brazilská liga,2024-10-04,Operário_Ferroviário,Chapecoense_AF,3.0,2.0,1.81,2.95,5.2
Fotbal,2.brazilská liga,2024-10-05,América_Mineiro,Coritiba,2.0,1.0,1.81,3.17,4.65
Fotbal,2.brazilská liga,2024-10-05,CRB_Maceio,Paysandu_SC,3.0,2.0,1.89,3.05,4.42
Fotbal,2.brazilská liga,2024-10-05,Amazonas,Novorizontino,1.0,0.0,2.96,2.56,2.81
Fotbal,2.brazilská liga,2024-10-05,Avai_Florianopolis,Brusque,0.0,0.0,1.83,2.95,5.03
Fotbal,2.brazilská liga,2024-10-05,Ituano,Guarani_de_Campinas,1.0,0.0,2.3,2.8,3.41
Fotbal,2.brazilská liga,2024-10-05,Ponte_Preta,Botafogo_Sao_Paulo,1.0,0.0,2.28,2.76,3.52
Fotbal,2.brazilská liga,2024-10-05,Mirassol,Vila_Nova,1.0,0.0,1.82,3.1,4.68
Fotbal,2.brazilská liga,2024-10-08,Goiás,Santos,3.0,1.0,3.04,2.7,2.59
Fotbal,2.brazilská liga,2024-10-08,Sport_Recife,Ceará,2.0,1.0,1.84,3.18,4.44
Fotbal,2.brazilská liga,2024-10-10,Botafogo_Sao_Paulo,Guarani_de_Campinas,3.0,2.0,2.66,2.48,3.25
