sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,2.francouzská liga,2024-09-13,Bastia,Troyes,0.0,0.0,1.82,3.34,4.64
Fotbal,2.francouzská liga,2024-09-14,Annecy,Amiens,,,2.15,3.14,3.52
Fotbal,2.francouzská liga,2024-09-14,Clermont,Dunkerque,,,1.83,3.45,4.39
Fotbal,2.francouzská liga,2024-09-14,Laval,Ajaccio,,,2.42,2.69,3.51
Fotbal,2.francouzská liga,2024-09-14,Lorient,Red_Stars,,,1.51,4.12,6.14
Fotbal,2.francouzská liga,2024-09-14,Paris_FC,Metz,1.0,2.0,2.27,3.11,3.28
Fotbal,2.francouzská liga,2024-09-14,Pau,Martigues,,,2.01,3.25,3.83
Fotbal,2.francouzská liga,2024-09-14,Rodez,Guingamp,,,2.91,3.06,2.52
Fotbal,2.francouzská liga,2024-09-16,Grenoble,Caen,3.0,1.0,2.95,3.15,2.43
Fotbal,2.francouzská liga,2024-09-13,Annecy,Amiens,3.0,0.0,2.35,2.95,3.3
Fotbal,2.francouzská liga,2024-09-13,Clermont,Dunkerque,0.0,1.0,1.86,3.38,4.33
Fotbal,2.francouzská liga,2024-09-13,Laval,Ajaccio,1.0,1.0,2.47,2.68,3.42
Fotbal,2.francouzská liga,2024-09-13,Lorient,Red_Stars,2.0,1.0,1.65,4.0,4.82
Fotbal,2.francouzská liga,2024-09-13,Pau,Martigues,3.0,0.0,2.22,3.19,3.29
Fotbal,2.francouzská liga,2024-09-13,Rodez,Guingamp,1.0,2.0,3.48,3.17,2.15
Fotbal,2.francouzská liga,2024-09-20,Amiens,Clermont,1.0,0.0,2.57,2.84,3.05
Fotbal,2.francouzská liga,2024-09-20,Caen,Ajaccio,1.0,0.0,2.1,3.03,3.83
Fotbal,2.francouzská liga,2024-09-20,Bastia,Paris_FC,2.0,1.0,3.05,2.94,2.49
Fotbal,2.francouzská liga,2024-09-20,Troyes,Rodez,0.0,3.0,2.52,3.26,2.76
Fotbal,2.francouzská liga,2024-09-20,Dunkerque,Pau,3.0,2.0,2.86,3.1,2.54
Fotbal,2.francouzská liga,2024-09-20,Guingamp,Annecy,2.0,2.0,1.8,3.54,4.44
Fotbal,2.francouzská liga,2024-09-20,Martigues,Grenoble,0.0,4.0,3.49,2.82,2.33
Fotbal,2.francouzská liga,2024-09-20,Red_Stars,Laval,0.0,3.0,2.54,3.01,2.92
Fotbal,2.francouzská liga,2024-09-21,Metz,Lorient,1.0,1.0,2.58,3.16,2.76
Fotbal,2.francouzská liga,2024-09-24,Ajaccio,Grenoble,2.0,0.0,2.81,2.7,2.92
Fotbal,2.francouzská liga,2024-09-24,Annecy,Troyes,1.0,0.0,1.79,3.58,4.42
Fotbal,2.francouzská liga,2024-09-24,Clermont,Red_Stars,1.0,1.0,1.95,3.41,3.88
Fotbal,2.francouzská liga,2024-09-24,Paris_FC,Guingamp,2.0,0.0,2.28,3.07,3.29
Fotbal,2.francouzská liga,2024-09-24,Caen,Amiens,2.0,1.0,2.0,3.26,3.85
Fotbal,2.francouzská liga,2024-09-24,Dunkerque,Bastia,2.0,1.0,3.05,2.88,2.55
Fotbal,2.francouzská liga,2024-09-24,Metz,Martigues,6.0,0.0,1.35,4.76,8.74
Fotbal,2.francouzská liga,2024-09-24,Pau,Lorient,1.0,0.0,3.32,3.8,2.0
Fotbal,2.francouzská liga,2024-09-24,Rodez,Laval,1.0,3.0,2.22,3.19,3.28
Fotbal,2.francouzská liga,2024-09-27,Amiens,Rodez,2.0,1.0,2.31,3.16,3.14
Fotbal,2.francouzská liga,2024-09-27,Bastia,Annecy,2.0,2.0,2.08,3.08,3.84
Fotbal,2.francouzská liga,2024-09-27,Grenoble,Clermont,3.0,0.0,2.34,3.18,3.07
Fotbal,2.francouzská liga,2024-09-27,Laval,Pau,3.0,1.0,2.45,3.01,3.05
Fotbal,2.francouzská liga,2024-09-27,Lorient,Ajaccio,3.0,0.0,1.47,4.11,7.07
Fotbal,2.francouzská liga,2024-09-27,Martigues,Dunkerque,1.0,1.0,3.29,2.98,2.33
Fotbal,2.francouzská liga,2024-09-28,Red_Stars,Paris_FC,1.0,3.0,3.64,3.41,2.01
Fotbal,2.francouzská liga,2024-09-28,Troyes,Metz,2.0,1.0,4.31,3.53,1.82
Fotbal,2.francouzská liga,2024-09-30,Guingamp,Caen,3.0,1.0,2.26,3.18,3.22
Fotbal,2.francouzská liga,2024-10-04,Ajaccio,Martigues,,,1.92,3.01,4.73
Fotbal,2.francouzská liga,2024-10-04,Annecy,Red_Stars,1.0,0.0,2.17,3.32,3.26
Fotbal,2.francouzská liga,2024-10-04,Dunkerque,Troyes,2.0,1.0,2.23,3.17,3.3
Fotbal,2.francouzská liga,2024-10-04,Paris_FC,Laval,1.0,0.0,1.68,3.64,5.07
Fotbal,2.francouzská liga,2024-10-04,Pau,Bastia,,,2.33,2.98,3.28
Fotbal,2.francouzská liga,2024-10-04,Rodez,Grenoble,2.0,1.0,2.44,3.21,2.89
Fotbal,2.francouzská liga,2024-10-05,Caen,Lorient,1.0,2.0,3.17,3.49,2.16
Fotbal,2.francouzská liga,2024-10-05,Clermont,Guingamp,4.0,1.0,3.36,3.09,2.24
Fotbal,2.francouzská liga,2024-10-05,Metz,Amiens,3.0,2.0,1.73,3.44,5.09
Fotbal,2.francouzská liga,2024-10-05,Ajaccio,Martigues,1.0,1.0,1.86,3.04,4.98
Fotbal,2.francouzská liga,2024-10-19,Amiens,Ajaccio,3.0,1.0,1.87,3.06,4.87
Fotbal,2.francouzská liga,2024-10-19,Bastia,Clermont,,,2.15,2.97,3.53
Fotbal,2.francouzská liga,2024-10-19,Grenoble,Metz,,,3.32,3.07,2.18
Fotbal,2.francouzská liga,2024-10-19,Guingamp,Pau,,,1.79,3.52,4.13
Fotbal,2.francouzská liga,2024-10-19,Laval,Dunkerque,,,2.12,3.04,3.51
Fotbal,2.francouzská liga,2024-10-19,Lorient,Annecy,4.0,2.0,1.46,4.49,6.45
Fotbal,2.francouzská liga,2024-10-19,Martigues,Rodez,,,3.69,3.33,1.95
Fotbal,2.francouzská liga,2024-10-19,Red_Stars,Caen,,,2.83,3.15,2.42
Fotbal,2.francouzská liga,2024-10-18,Bastia,Clermont,0.0,0.0,2.1,2.9,4.07
Fotbal,2.francouzská liga,2024-10-18,Grenoble,Metz,2.0,0.0,3.83,3.25,2.01
Fotbal,2.francouzská liga,2024-10-18,Guingamp,Pau,0.0,1.0,1.86,3.59,4.04
Fotbal,2.francouzská liga,2024-10-18,Laval,Dunkerque,3.0,2.0,2.2,3.13,3.42
Fotbal,2.francouzská liga,2024-10-18,Martigues,Rodez,0.0,2.0,4.72,3.69,1.72
Fotbal,2.francouzská liga,2024-10-18,Red_Stars,Caen,2.0,2.0,2.44,3.28,2.83
Fotbal,2.francouzská liga,2024-10-21,Troyes,Paris_FC,0.0,3.0,4.25,3.59,1.82
Fotbal,2.francouzská liga,2024-10-22,Pau,Bastia,1.0,1.0,2.16,3.07,3.59
Fotbal,2.francouzská liga,2024-10-25,Annecy,Laval,2.0,0.0,2.26,2.96,3.46
Fotbal,2.francouzská liga,2024-10-25,Clermont,Martigues,0.0,1.0,1.74,3.53,4.82
Fotbal,2.francouzská liga,2024-10-25,Dunkerque,Red_Stars,2.0,0.0,2.37,3.32,2.92
Fotbal,2.francouzská liga,2024-10-25,Metz,Guingamp,1.0,0.0,1.92,3.33,4.11
Fotbal,2.francouzská liga,2024-10-25,Pau,Amiens,0.0,2.0,2.5,3.17,2.84
Fotbal,2.francouzská liga,2024-10-25,Rodez,Lorient,3.0,3.0,3.69,3.75,1.9
Fotbal,2.francouzská liga,2024-10-26,Caen,Troyes,0.0,1.0,1.96,3.47,3.76
Fotbal,2.francouzská liga,2024-10-26,Ajaccio,Bastia,,,3.43,2.7,2.44
Fotbal,2.francouzská liga,2024-10-26,Paris_FC,Grenoble,2.0,1.0,1.56,3.97,5.78
Fotbal,2.francouzská liga,2024-10-29,Amiens,Paris_FC,0.0,0.0,3.36,3.01,2.28
Fotbal,2.francouzská liga,2024-10-29,Bastia,Rodez,2.0,2.0,2.21,3.09,3.42
Fotbal,2.francouzská liga,2024-10-29,Troyes,Pau,3.0,0.0,2.74,3.24,2.54
Fotbal,2.francouzská liga,2024-10-29,Grenoble,Annecy,0.0,0.0,1.92,3.44,3.95
Fotbal,2.francouzská liga,2024-10-29,Guingamp,Ajaccio,1.0,0.0,1.66,3.55,5.51
Fotbal,2.francouzská liga,2024-10-29,Laval,Clermont,1.0,2.0,2.49,2.93,3.06
Fotbal,2.francouzská liga,2024-10-29,Lorient,Dunkerque,4.0,2.0,1.38,4.92,7.44
Fotbal,2.francouzská liga,2024-10-29,Martigues,Caen,0.0,3.0,4.17,3.48,1.86
Fotbal,2.francouzská liga,2024-10-29,Red_Stars,Metz,1.0,0.0,3.63,3.39,2.02
Fotbal,2.francouzská liga,2024-11-01,Troyes,Laval,0.0,0.0,2.03,3.21,3.84
Fotbal,2.francouzská liga,2024-11-02,Caen,Bastia,2.0,0.0,2.27,3.01,3.38
Fotbal,2.francouzská liga,2024-11-02,Ajaccio,Metz,,,4.22,3.05,2.0
Fotbal,2.francouzská liga,2024-11-02,Annecy,Pau,,,2.39,3.29,2.9
Fotbal,2.francouzská liga,2024-11-02,Clermont,Lorient,,,4.05,3.59,1.86
Fotbal,2.francouzská liga,2024-11-02,Dunkerque,Amiens,,,2.42,3.02,3.08
Fotbal,2.francouzská liga,2024-11-02,Martigues,Red_Stars,,,3.32,3.16,2.22
Fotbal,2.francouzská liga,2024-11-02,Paris_FC,Rodez,,,1.66,3.88,4.89
Fotbal,2.francouzská liga,2024-11-02,Guingamp,Grenoble,3.0,0.0,1.72,3.63,4.79
Fotbal,2.francouzská liga,2024-11-01,Annecy,Pau,2.0,0.0,2.51,3.14,2.86
Fotbal,2.francouzská liga,2024-11-01,Clermont,Lorient,2.0,1.0,3.26,3.38,2.16
Fotbal,2.francouzská liga,2024-11-01,Dunkerque,Amiens,3.0,1.0,2.42,3.06,3.04
Fotbal,2.francouzská liga,2024-11-01,Martigues,Red_Stars,0.0,1.0,3.4,3.25,2.15
Fotbal,2.francouzská liga,2024-11-01,Paris_FC,Rodez,3.0,3.0,1.69,3.82,4.75
