sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,2.italská liga,2024-09-13,Cesena,Modena,,,2.15,3.03,3.65
Fotbal,2.italská liga,2024-09-14,Cosenza,Sampdoria_Genoa,,,2.74,2.99,2.72
Fotbal,2.italská liga,2024-09-14,Bari,Mantova,2.0,0.0,1.92,3.38,4.05
Fotbal,2.italská liga,2024-09-14,Brescia,Frosinone,4.0,0.0,2.51,3.08,2.9
Fotbal,2.italská liga,2024-09-14,Cittadella,Catanzaro,0.0,0.0,2.36,3.09,3.12
Fotbal,2.italská liga,2024-09-14,Cremonese,Spezia,1.0,1.0,2.06,3.33,3.57
Fotbal,2.italská liga,2024-09-14,Juve_Stabia,Palermo,1.0,3.0,2.92,3.04,2.52
Fotbal,2.italská liga,2024-09-15,Carrarese,Sassuolo,0.0,2.0,3.39,3.39,2.1
Fotbal,2.italská liga,2024-09-15,Reggiana,Sudtirol_Bolzano_FC,1.0,3.0,2.54,2.72,3.24
Fotbal,2.italská liga,2024-09-15,Salernitana,Pisa_AC,2.0,3.0,3.0,3.17,2.39
Fotbal,2.italská liga,2024-09-15,Cosenza,Sampdoria_Genoa,2.0,1.0,2.31,3.06,3.24
Fotbal,2.italská liga,2024-09-20,Catanzaro,Cremonese,1.0,2.0,2.7,3.24,2.58
Fotbal,2.italská liga,2024-09-21,Cosenza,Sassuolo,0.0,1.0,2.74,3.15,2.6
Fotbal,2.italská liga,2024-09-21,Palermo,Cesena,0.0,0.0,2.49,3.21,2.83
Fotbal,2.italská liga,2024-09-21,Pisa_AC,Brescia,2.0,1.0,1.95,3.25,4.12
Fotbal,2.italská liga,2024-09-21,Reggiana,Salernitana,0.0,0.0,2.32,3.15,3.13
Fotbal,2.italská liga,2024-09-21,Sampdoria_Genoa,Sudtirol_Bolzano_FC,1.0,0.0,1.97,3.11,4.23
Fotbal,2.italská liga,2024-09-21,Modena,Juve_Stabia,3.0,0.0,1.9,3.11,4.62
Fotbal,2.italská liga,2024-09-22,Frosinone,Bari,0.0,3.0,2.56,3.09,2.83
Fotbal,2.italská liga,2024-09-22,Mantova,Cittadella,1.0,0.0,2.47,3.05,2.98
Fotbal,2.italská liga,2024-09-22,Spezia,Carrarese,4.0,2.0,1.83,3.36,4.53
Fotbal,2.italská liga,2024-09-27,Cittadella,Frosinone,1.0,2.0,2.57,3.08,2.84
Fotbal,2.italská liga,2024-09-28,Cesena,Mantova,,,1.76,3.49,4.37
Fotbal,2.italská liga,2024-09-28,Juve_Stabia,Pisa_AC,,,2.87,2.89,2.56
Fotbal,2.italská liga,2024-09-28,Modena,Sampdoria_Genoa,,,2.34,2.87,3.22
Fotbal,2.italská liga,2024-09-28,Bari,Cosenza,1.0,1.0,2.04,3.2,3.81
Fotbal,2.italská liga,2024-09-28,Carrarese,Reggiana,0.0,0.0,2.86,2.98,2.62
Fotbal,2.italská liga,2024-09-28,Sassuolo,Spezia,0.0,0.0,2.09,3.28,3.52
Fotbal,2.italská liga,2024-09-29,Salernitana,Catanzaro,0.0,0.0,1.92,3.47,3.91
Fotbal,2.italská liga,2024-09-28,Sudtirol_Bolzano_FC,Palermo,,,2.64,2.82,2.85
Fotbal,2.italská liga,2024-09-30,Brescia,Cremonese,3.0,2.0,3.23,3.07,2.31
Fotbal,2.italská liga,2024-09-29,Cesena,Mantova,4.0,2.0,1.66,3.81,4.99
Fotbal,2.italská liga,2024-09-29,Juve_Stabia,Pisa_AC,2.0,0.0,3.03,2.92,2.52
Fotbal,2.italská liga,2024-09-29,Modena,Sampdoria_Genoa,1.0,3.0,2.64,2.85,2.95
Fotbal,2.italská liga,2024-09-30,Sudtirol_Bolzano_FC,Palermo,1.0,3.0,2.55,2.91,3.0
Fotbal,2.italská liga,2024-10-04,Sampdoria_Genoa,Juve_Stabia,1.0,2.0,1.78,3.27,4.99
Fotbal,2.italská liga,2024-10-05,Frosinone,Carrarese,0.0,1.0,1.95,3.33,4.0
Fotbal,2.italská liga,2024-10-05,Pisa_AC,Cesena,3.0,1.0,2.51,2.9,3.08
Fotbal,2.italská liga,2024-10-05,Sassuolo,Cittadella,6.0,1.0,1.65,3.8,5.06
Fotbal,2.italská liga,2024-10-05,Spezia,Reggiana,1.0,0.0,2.02,3.2,3.87
Fotbal,2.italská liga,2024-10-06,Catanzaro,Modena,2.0,2.0,2.98,2.77,2.69
Fotbal,2.italská liga,2024-10-06,Cosenza,Sudtirol_Bolzano_FC,0.0,2.0,2.37,2.81,3.43
Fotbal,2.italská liga,2024-10-06,Cremonese,Bari,1.0,1.0,2.06,3.3,3.61
Fotbal,2.italská liga,2024-10-06,Mantova,Brescia,1.0,1.0,2.8,3.11,2.58
Fotbal,2.italská liga,2024-10-06,Palermo,Salernitana,0.0,1.0,2.0,3.37,3.73
Fotbal,2.italská liga,2024-10-19,Bari,Catanzaro,,,1.92,3.21,3.98
Fotbal,2.italská liga,2024-10-19,Brescia,Sassuolo,2.0,5.0,3.42,3.59,2.02
Fotbal,2.italská liga,2024-10-19,Carrarese,Mantova,,,2.11,3.22,3.31
Fotbal,2.italská liga,2024-10-19,Cesena,Sampdoria_Genoa,,,2.17,3.04,3.37
Fotbal,2.italská liga,2024-10-19,Cittadella,Cosenza,0.0,0.0,2.69,2.95,2.81
Fotbal,2.italská liga,2024-10-19,Juve_Stabia,Cremonese,,,3.18,3.01,2.28
Fotbal,2.italská liga,2024-10-19,Modena,Palermo,2.0,2.0,2.43,2.93,3.16
Fotbal,2.italská liga,2024-10-19,Reggiana,Frosinone,,,2.5,3.02,2.82
Fotbal,2.italská liga,2024-10-19,Salernitana,Spezia,0.0,2.0,2.57,2.9,3.0
Fotbal,2.italská liga,2024-10-19,Sudtirol_Bolzano_FC,Pisa_AC,1.0,2.0,2.58,2.65,3.27
Fotbal,2.italská liga,2024-10-18,Bari,Catanzaro,1.0,1.0,1.9,3.26,4.35
Fotbal,2.italská liga,2024-10-20,Carrarese,Mantova,1.0,1.0,2.46,3.19,2.88
Fotbal,2.italská liga,2024-10-20,Juve_Stabia,Cremonese,1.0,2.0,3.12,3.13,2.34
Fotbal,2.italská liga,2024-10-20,Reggiana,Frosinone,2.0,0.0,2.54,2.93,3.0
Fotbal,2.italská liga,2024-10-20,Cesena,Sampdoria_Genoa,3.0,5.0,2.35,3.03,3.2
Fotbal,2.italská liga,2024-10-25,Spezia,Bari,0.0,0.0,1.98,3.18,4.06
Fotbal,2.italská liga,2024-10-26,Carrarese,Cittadella,3.0,0.0,2.34,2.97,3.29
Fotbal,2.italská liga,2024-10-26,Cesena,Brescia,2.0,0.0,1.76,3.7,4.42
Fotbal,2.italská liga,2024-10-26,Cosenza,Juve_Stabia,1.0,1.0,2.29,2.97,3.39
Fotbal,2.italská liga,2024-10-26,Cremonese,Salernitana,2.0,1.0,1.74,3.69,4.58
Fotbal,2.italská liga,2024-10-26,Palermo,Reggiana,2.0,0.0,1.87,3.44,4.21
Fotbal,2.italská liga,2024-10-26,Sassuolo,Modena,2.0,0.0,1.98,3.45,3.72
Fotbal,2.italská liga,2024-10-27,Catanzaro,Sudtirol_Bolzano_FC,3.0,0.0,2.11,2.87,4.06
Fotbal,2.italská liga,2024-10-27,Frosinone,Pisa_AC,0.0,0.0,3.08,2.97,2.46
Fotbal,2.italská liga,2024-10-27,Sampdoria_Genoa,Mantova,1.0,0.0,1.7,3.69,4.88
Fotbal,2.italská liga,2024-10-29,Bari,Carrarese,0.0,0.0,1.9,3.29,4.28
Fotbal,2.italská liga,2024-10-29,Brescia,Spezia,1.0,1.0,3.3,2.99,2.32
Fotbal,2.italská liga,2024-10-29,Juve_Stabia,Sassuolo,2.0,2.0,3.04,3.17,2.36
Fotbal,2.italská liga,2024-10-29,Modena,Cremonese,2.0,2.0,2.81,2.91,2.71
Fotbal,2.italská liga,2024-10-29,Reggiana,Cosenza,0.0,1.0,2.35,2.94,3.29
Fotbal,2.italská liga,2024-10-29,Salernitana,Cesena,1.0,1.0,2.34,3.2,3.04
Fotbal,2.italská liga,2024-10-30,Sudtirol_Bolzano_FC,Frosinone,1.0,1.0,2.59,2.71,3.17
Fotbal,2.italská liga,2024-10-30,Cittadella,Sampdoria_Genoa,0.0,0.0,3.04,3.1,2.4
Fotbal,2.italská liga,2024-10-30,Mantova,Palermo,0.0,0.0,3.82,3.52,1.93
Fotbal,2.italská liga,2024-10-30,Pisa_AC,Catanzaro,0.0,0.0,2.14,3.0,3.75
Fotbal,2.italská liga,2024-11-02,Bari,Reggiana,2.0,2.0,1.83,3.28,4.69
Fotbal,2.italská liga,2024-11-02,Carrarese,Juve_Stabia,0.0,0.0,2.62,2.78,3.06
Fotbal,2.italská liga,2024-11-02,Spezia,Modena,1.0,0.0,2.36,2.83,3.42
Fotbal,2.italská liga,2024-11-03,Cosenza,Salernitana,1.0,1.0,2.41,3.0,3.13
Fotbal,2.italská liga,2024-11-03,Catanzaro,Frosinone,0.0,0.0,2.12,3.08,3.69
Fotbal,2.italská liga,2024-11-03,Cesena,Sudtirol_Bolzano_FC,1.0,0.0,2.05,3.05,3.99
Fotbal,2.italská liga,2024-11-03,Cremonese,Pisa_AC,1.0,3.0,2.1,3.13,3.68
Fotbal,2.italská liga,2024-11-03,Palermo,Cittadella,0.0,1.0,1.76,3.55,4.69
Fotbal,2.italská liga,2024-11-03,Sampdoria_Genoa,Brescia,0.0,1.0,1.84,3.44,4.36
Fotbal,2.italská liga,2024-11-03,Sassuolo,Mantova,1.0,0.0,1.5,4.37,5.83
Fotbal,2.italská liga,2024-11-08,Frosinone,Palermo,1.0,1.0,3.01,3.04,2.46
Fotbal,2.italská liga,2024-11-09,Brescia,Cosenza,2.0,3.0,2.35,3.02,3.21
Fotbal,2.italská liga,2024-11-09,Modena,Carrarese,2.0,0.0,1.98,3.02,4.4
Fotbal,2.italská liga,2024-11-09,Pisa_AC,Sampdoria_Genoa,3.0,0.0,2.11,3.08,3.73
Fotbal,2.italská liga,2024-11-09,Sudtirol_Bolzano_FC,Sassuolo,0.0,1.0,3.77,3.1,2.09
Fotbal,2.italská liga,2024-11-09,Mantova,Cremonese,1.0,0.0,3.92,3.42,1.94
Fotbal,2.italská liga,2024-11-10,Cittadella,Cesena,0.0,2.0,3.06,2.96,2.47
Fotbal,2.italská liga,2024-11-10,Juve_Stabia,Spezia,0.0,3.0,2.83,2.75,2.85
Fotbal,2.italská liga,2024-11-10,Reggiana,Catanzaro,2.0,2.0,2.16,3.04,3.63
Fotbal,2.italská liga,2024-11-10,Salernitana,Bari,0.0,2.0,2.55,3.03,2.89
Fotbal,2.italská liga,2024-11-22,Cosenza,Modena,1.0,1.0,2.71,2.81,2.91
Fotbal,2.italská liga,2024-11-23,Bari,Cittadella,,,1.86,3.25,4.2
Fotbal,2.italská liga,2024-11-23,Carrarese,Pisa_AC,1.0,0.0,3.16,2.88,2.47
Fotbal,2.italská liga,2024-11-23,Cremonese,Frosinone,,,1.77,3.38,4.46
Fotbal,2.italská liga,2024-11-23,Palermo,Sampdoria_Genoa,,,2.09,3.12,3.47
Fotbal,2.italská liga,2024-11-23,Spezia,Sudtirol_Bolzano_FC,,,1.81,3.08,4.79
Fotbal,2.italská liga,2024-11-23,Catanzaro,Mantova,2.0,2.0,1.93,3.34,4.07
Fotbal,2.italská liga,2024-11-23,Juve_Stabia,Brescia,0.0,0.0,2.04,3.28,3.71
Fotbal,2.italská liga,2024-11-23,Sassuolo,Salernitana,4.0,0.0,1.65,3.78,5.14
Fotbal,2.italská liga,2024-11-23,Cesena,Reggiana,1.0,1.0,1.72,3.48,5.08
Fotbal,2.italská liga,2024-11-24,Bari,Cittadella,3.0,2.0,1.81,3.36,4.68
Fotbal,2.italská liga,2024-11-24,Cremonese,Frosinone,1.0,0.0,1.65,3.6,5.43
Fotbal,2.italská liga,2024-11-24,Spezia,Sudtirol_Bolzano_FC,3.0,0.0,1.84,3.05,5.16
Fotbal,2.italská liga,2024-11-24,Palermo,Sampdoria_Genoa,1.0,1.0,1.99,3.34,3.78
Fotbal,2.italská liga,2024-11-29,Reggiana,Sassuolo,0.0,2.0,5.06,3.91,1.63
Fotbal,2.italská liga,2024-11-30,Brescia,Bari,1.0,1.0,2.74,3.05,2.67
Fotbal,2.italská liga,2024-11-30,Cittadella,Juve_Stabia,2.0,2.0,2.88,2.82,2.73
Fotbal,2.italská liga,2024-11-30,Sampdoria_Genoa,Catanzaro,3.0,3.0,2.1,3.17,3.63
Fotbal,2.italská liga,2024-11-30,Sudtirol_Bolzano_FC,Cremonese,0.0,4.0,3.99,2.97,2.09
Fotbal,2.italská liga,2024-11-30,Mantova,Modena,0.0,0.0,3.07,2.95,2.47
Fotbal,2.italská liga,2024-12-01,Frosinone,Cesena,3.0,2.0,3.38,2.98,2.29
Fotbal,2.italská liga,2024-12-01,Palermo,Spezia,2.0,0.0,2.36,2.96,3.26
Fotbal,2.italská liga,2024-12-01,Pisa_AC,Cosenza,2.0,2.0,2.01,3.11,4.06
Fotbal,2.italská liga,2024-12-01,Salernitana,Carrarese,4.0,1.0,2.17,3.0,3.65
Fotbal,2.italská liga,2024-12-06,Juve_Stabia,Sudtirol_Bolzano_FC,2.0,1.0,2.07,2.79,4.44
Fotbal,2.italská liga,2024-12-07,Bari,Cesena,1.0,0.0,2.58,3.02,2.87
Fotbal,2.italská liga,2024-12-07,Carrarese,Palermo,1.0,0.0,3.34,3.16,2.22
Fotbal,2.italská liga,2024-12-07,Mantova,Pisa_AC,2.0,3.0,3.61,3.16,2.11
Fotbal,2.italská liga,2024-12-07,Modena,Salernitana,1.0,1.0,1.98,3.12,4.18
Fotbal,2.italská liga,2024-12-07,Cosenza,Frosinone,0.0,1.0,2.17,2.95,3.73
Fotbal,2.italská liga,2024-12-08,Catanzaro,Brescia,2.0,1.0,2.37,3.1,3.09
Fotbal,2.italská liga,2024-12-08,Cremonese,Reggiana,0.0,2.0,1.76,3.55,4.66
Fotbal,2.italská liga,2024-12-08,Spezia,Cittadella,5.0,0.0,1.61,3.61,5.93
Fotbal,2.italská liga,2024-12-08,Sassuolo,Sampdoria_Genoa,5.0,1.0,1.66,3.9,4.84
Fotbal,2.italská liga,2024-12-13,Pisa_AC,Bari,2.0,0.0,1.93,3.21,4.29
Fotbal,2.italská liga,2024-12-14,Brescia,Carrarese,,,2.08,3.28,3.57
Fotbal,2.italská liga,2024-12-14,Cittadella,Cremonese,,,3.75,3.27,2.03
Fotbal,2.italská liga,2024-12-14,Palermo,Catanzaro,,,1.88,3.47,4.12
Fotbal,2.italská liga,2024-12-14,Salernitana,Juve_Stabia,,,2.32,2.94,3.18
Fotbal,2.italská liga,2024-12-14,Cesena,Cosenza,2.0,1.0,2.03,3.1,4.01
