sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,2.jihokorejská liga,2024-09-14,Chungbuk_Cheongju,Seoul_E-Land_FC,1.0,2.0,3.24,2.9,2.18
Fotbal,2.jihokorejská liga,2024-09-14,Chungnam_Asan,Ansan_Greeners,1.0,1.0,1.59,3.49,4.89
Fotbal,2.jihokorejská liga,2024-09-14,Suwon_Bluewings,Cheonan_City,1.0,2.0,1.51,3.92,4.96
Fotbal,2.jihokorejská liga,2024-09-15,Gyeongnam,Bucheon_FC,1.0,4.0,2.49,3.1,2.61
Fotbal,2.jihokorejská liga,2024-09-15,Chunnam_Dragons,Busan_I'Park,1.0,2.0,2.61,3.34,2.36
Fotbal,2.jihokorejská liga,2024-09-15,Gimpo_Citizen,Anyang,1.0,2.0,3.3,2.95,2.13
Fotbal,2.jihokorejská liga,2024-09-21,Chungnam_Asan,Chunnam_Dragons,2.0,1.0,2.17,3.25,2.93
Fotbal,2.jihokorejská liga,2024-09-21,Anyang,Ansan_Greeners,2.0,1.0,1.45,3.89,5.82
Fotbal,2.jihokorejská liga,2024-09-21,Cheonan_City,Chungbuk_Cheongju,1.0,0.0,2.82,2.93,2.43
Fotbal,2.jihokorejská liga,2024-09-22,Bucheon_FC,Gimpo_Citizen,2.0,0.0,2.24,2.99,3.04
Fotbal,2.jihokorejská liga,2024-09-22,Seongnam_Ilhwa,Suwon_Bluewings,1.0,2.0,3.5,3.47,1.85
Fotbal,2.jihokorejská liga,2024-09-22,Busan_I'Park,Gyeongnam,1.0,1.0,1.79,3.46,3.79
Fotbal,2.jihokorejská liga,2024-09-24,Ansan_Greeners,Chungbuk_Cheongju,3.0,2.0,3.37,2.63,2.31
Fotbal,2.jihokorejská liga,2024-09-24,Chungnam_Asan,Cheonan_City,2.0,0.0,1.81,3.41,3.76
Fotbal,2.jihokorejská liga,2024-09-24,Seoul_E-Land_FC,Anyang,1.0,0.0,2.18,3.04,3.1
Fotbal,2.jihokorejská liga,2024-09-25,Bucheon_FC,Seongnam_Ilhwa,3.0,0.0,1.61,3.47,4.78
Fotbal,2.jihokorejská liga,2024-09-25,Gyeongnam,Gimpo_Citizen,1.0,1.0,2.75,2.78,2.62
