sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,2.maďarská liga,2024-09-22,Budapešť_BVSC,Szeged_2011,0.0,0.0,3.26,2.62,2.37
Fotbal,2.maďarská liga,2024-09-22,Kazincbarcika,Szentlőrinci,,,2.19,3.1,3.02
Fotbal,2.maďarská liga,2024-09-22,Mezokovesd_Zsory,Kisvarda,4.0,1.0,2.95,3.1,2.23
Fotbal,2.maďarská liga,2024-09-22,Ajkai,Budafok,2.0,2.0,1.94,3.08,3.65
Fotbal,2.maďarská liga,2024-09-22,Csákvári_TK,Kispet-Honved,3.0,1.0,2.98,3.1,2.21
Fotbal,2.maďarská liga,2024-09-22,Gyirmót,Bekescsaba,1.0,0.0,1.6,3.71,4.54
Fotbal,2.maďarská liga,2024-09-22,Kozarmisleny_SE,Tatabánya_FC,3.0,2.0,1.48,3.91,5.3
Fotbal,2.maďarská liga,2024-09-22,Soroksár,Vasas_Budapešť,3.0,2.0,3.85,3.42,1.78
Fotbal,2.maďarská liga,2024-09-23,Kazincbarcika,Szentlőrinci,2.0,0.0,2.2,3.01,3.09
Fotbal,2.maďarská liga,2024-09-29,Budafok,Soroksár,2.0,1.0,2.46,2.85,2.86
Fotbal,2.maďarská liga,2024-09-29,Tatabánya_FC,Ajkai,1.0,2.0,3.4,3.12,2.01
Fotbal,2.maďarská liga,2024-09-29,Bekescsaba,Szentlőrinci,2.0,1.0,2.73,3.04,2.43
Fotbal,2.maďarská liga,2024-09-29,Kispet-Honved,Budapešť_BVSC,0.0,1.0,2.21,2.81,3.3
Fotbal,2.maďarská liga,2024-09-29,Kisvarda,Csákvári_TK,2.0,0.0,1.64,3.68,4.34
Fotbal,2.maďarská liga,2024-09-29,Szeged_2011,Gyirmót,1.0,1.0,1.67,3.22,4.8
Fotbal,2.maďarská liga,2024-09-30,Vasas_Budapešť,Mezokovesd_Zsory,1.0,2.0,1.67,3.54,4.31
Fotbal,2.maďarská liga,2024-10-06,Budapešť_BVSC,Kisvarda,0.0,2.0,2.91,2.84,2.43
Fotbal,2.maďarská liga,2024-10-06,Mezokovesd_Zsory,Budafok,3.0,2.0,1.7,3.48,4.23
Fotbal,2.maďarská liga,2024-10-06,Szentlőrinci,Szeged_2011,0.0,0.0,3.26,2.82,2.23
Fotbal,2.maďarská liga,2024-10-06,Csákvári_TK,Vasas_Budapešť,2.0,1.0,4.14,3.51,1.7
Fotbal,2.maďarská liga,2024-10-06,Ajkai,Kozarmisleny_SE,1.0,1.0,2.3,3.11,2.83
Fotbal,2.maďarská liga,2024-10-06,Gyirmót,Kispet-Honved,3.0,1.0,2.17,3.04,3.1
Fotbal,2.maďarská liga,2024-10-06,Kazincbarcika,Bekescsaba,2.0,1.0,1.46,3.95,5.56
Fotbal,2.maďarská liga,2024-10-06,Soroksár,Tatabánya_FC,2.0,0.0,1.44,3.94,5.85
Fotbal,2.maďarská liga,2024-10-20,Budafok,Csákvári_TK,2.0,1.0,1.97,3.12,3.53
Fotbal,2.maďarská liga,2024-10-20,Kisvarda,Gyirmót,6.0,4.0,1.9,3.34,3.47
Fotbal,2.maďarská liga,2024-10-20,Ajkai,Kazincbarcika,1.0,1.0,2.75,3.01,2.43
Fotbal,2.maďarská liga,2024-10-20,Kispet-Honved,Szentlőrinci,,,1.9,3.08,3.8
