sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,2.nizozemská liga,2024-09-06,Graafschap,EW_Eindhoven,2.0,0.0,1.51,4.17,4.74
Fotbal,2.nizozemská liga,2024-09-08,Telstar,Maastricht,4.0,0.0,1.61,3.89,4.27
Fotbal,2.nizozemská liga,2024-09-13,Cambuur_Leeuwarden,Ajax_Amsterdam_(Am.),0.0,1.0,2.0,3.81,2.88
Fotbal,2.nizozemská liga,2024-09-13,Graafschap,Helmond,2.0,3.0,1.57,3.87,4.55
Fotbal,2.nizozemská liga,2024-09-13,Den_Bosch,den_Haag_FC,2.0,0.0,2.87,3.37,2.15
Fotbal,2.nizozemská liga,2024-09-13,EW_Eindhoven,Dordrecht,0.0,0.0,2.29,3.58,2.55
Fotbal,2.nizozemská liga,2024-09-13,Emmen,Kerkade_Roda,1.0,3.0,1.8,3.68,3.5
Fotbal,2.nizozemská liga,2024-09-13,Top_Oss,Eindhoven_(Am.),0.0,3.0,2.27,3.66,2.53
Fotbal,2.nizozemská liga,2024-09-13,Venlo_VVV,Utrecht_(Am.),3.0,2.0,1.73,3.47,4.05
Fotbal,2.nizozemská liga,2024-09-13,Excelsior,Telstar,3.0,2.0,1.72,3.76,3.78
Fotbal,2.nizozemská liga,2024-09-13,Alkmaar_AZ_(Am.),Arnheim_Vitesse,0.0,1.0,2.19,3.48,2.75
Fotbal,2.nizozemská liga,2024-09-13,Maastricht,Volendam,2.0,2.0,2.32,3.7,2.46
Fotbal,2.nizozemská liga,2024-09-16,Cambuur_Leeuwarden,Kerkade_Roda,0.0,0.0,2.04,3.62,2.91
Fotbal,2.nizozemská liga,2024-09-16,Emmen,Arnheim_Vitesse,3.0,3.0,1.87,3.39,3.52
Fotbal,2.nizozemská liga,2024-09-16,Helmond,Top_Oss,1.0,0.0,1.63,3.64,4.53
Fotbal,2.nizozemská liga,2024-09-16,Eindhoven_(Am.),den_Haag_FC,2.0,2.0,4.03,4.19,1.6
Fotbal,2.nizozemská liga,2024-09-16,Utrecht_(Am.),Den_Bosch,0.0,3.0,2.59,3.21,2.44
Fotbal,2.nizozemská liga,2024-09-17,Ajax_Amsterdam_(Am.),Alkmaar_AZ_(Am.),1.0,2.0,2.11,3.83,2.69
Fotbal,2.nizozemská liga,2024-09-16,Excelsior,Venlo_VVV,4.0,0.0,1.5,4.1,4.83
Fotbal,2.nizozemská liga,2024-09-17,Volendam,Dordrecht,2.0,0.0,1.91,3.84,3.06
Fotbal,2.nizozemská liga,2024-09-20,Den_Bosch,Emmen,1.0,0.0,2.38,3.27,2.63
Fotbal,2.nizozemská liga,2024-09-20,den_Haag_FC,Telstar,1.0,1.0,1.99,3.53,3.06
Fotbal,2.nizozemská liga,2024-09-20,Dordrecht,Excelsior,2.0,2.0,3.13,3.74,1.91
Fotbal,2.nizozemská liga,2024-09-20,Helmond,Volendam,2.0,3.0,2.22,3.44,2.73
Fotbal,2.nizozemská liga,2024-09-20,Venlo_VVV,Eindhoven_(Am.),0.0,2.0,1.93,3.75,3.07
Fotbal,2.nizozemská liga,2024-09-21,Kerkade_Roda,Maastricht,1.0,0.0,1.75,3.77,3.63
Fotbal,2.nizozemská liga,2024-09-21,Arnheim_Vitesse,Ajax_Amsterdam_(Am.),2.0,2.0,1.85,3.74,3.29
Fotbal,2.nizozemská liga,2024-09-22,Top_Oss,EW_Eindhoven,0.0,4.0,2.32,3.36,2.63
Fotbal,2.nizozemská liga,2024-09-23,Alkmaar_AZ_(Am.),Graafschap,2.0,2.0,2.53,3.8,2.23
Fotbal,2.nizozemská liga,2024-09-23,Utrecht_(Am.),Cambuur_Leeuwarden,0.0,4.0,2.35,3.48,2.53
Fotbal,2.nizozemská liga,2024-09-27,den_Haag_FC,Utrecht_(Am.),1.0,1.0,1.35,4.65,6.26
Fotbal,2.nizozemská liga,2024-09-27,EW_Eindhoven,Kerkade_Roda,0.0,0.0,2.7,3.5,2.22
Fotbal,2.nizozemská liga,2024-09-27,Excelsior,Alkmaar_AZ_(Am.),4.0,2.0,1.37,4.64,5.7
Fotbal,2.nizozemská liga,2024-09-27,Volendam,Venlo_VVV,2.0,4.0,1.55,4.0,4.56
Fotbal,2.nizozemská liga,2024-09-27,Maastricht,Top_Oss,2.0,2.0,1.73,3.71,3.78
Fotbal,2.nizozemská liga,2024-09-29,Graafschap,Arnheim_Vitesse,3.0,1.0,1.85,3.73,3.28
Fotbal,2.nizozemská liga,2024-09-29,Cambuur_Leeuwarden,Emmen,1.0,3.0,1.95,3.59,3.12
Fotbal,2.nizozemská liga,2024-09-30,Ajax_Amsterdam_(Am.),Dordrecht,0.0,1.0,2.18,3.86,2.56
Fotbal,2.nizozemská liga,2024-09-30,Eindhoven_(Am.),Helmond,1.0,3.0,2.7,3.6,2.18
Fotbal,2.nizozemská liga,2024-09-30,Telstar,Den_Bosch,,,1.85,3.44,3.54
Fotbal,2.nizozemská liga,2024-09-28,Telstar,Den_Bosch,0.0,0.0,1.87,3.41,3.52
Fotbal,2.nizozemská liga,2024-10-04,Den_Bosch,Graafschap,2.0,2.0,1.98,3.69,2.98
Fotbal,2.nizozemská liga,2024-10-04,Dordrecht,Eindhoven_(Am.),2.0,0.0,1.72,4.18,3.42
Fotbal,2.nizozemská liga,2024-10-04,Emmen,Maastricht,1.0,1.0,1.54,4.07,4.54
Fotbal,2.nizozemská liga,2024-10-04,Helmond,Ajax_Amsterdam_(Am.),1.0,1.0,1.36,4.63,5.9
Fotbal,2.nizozemská liga,2024-10-04,Alkmaar_AZ_(Am.),EW_Eindhoven,2.0,3.0,1.99,3.53,3.06
Fotbal,2.nizozemská liga,2024-10-04,Utrecht_(Am.),Telstar,1.0,1.0,2.98,3.34,2.1
Fotbal,2.nizozemská liga,2024-10-04,Kerkade_Roda,Excelsior,3.0,0.0,2.48,3.32,2.48
Fotbal,2.nizozemská liga,2024-10-04,Top_Oss,den_Haag_FC,1.0,5.0,4.59,4.07,1.54
Fotbal,2.nizozemská liga,2024-10-04,Venlo_VVV,Cambuur_Leeuwarden,0.0,1.0,2.58,3.35,2.37
Fotbal,2.nizozemská liga,2024-10-04,Arnheim_Vitesse,Volendam,1.0,2.0,2.26,3.59,2.59
Fotbal,2.nizozemská liga,2024-10-12,Telstar,Graafschap,2.0,2.0,2.41,3.4,2.5
Fotbal,2.nizozemská liga,2024-10-13,Maastricht,Venlo_VVV,2.0,0.0,1.93,3.59,3.18
Fotbal,2.nizozemská liga,2024-10-18,Cambuur_Leeuwarden,Volendam,1.0,2.0,1.99,3.76,2.93
Fotbal,2.nizozemská liga,2024-10-18,Den_Bosch,Arnheim_Vitesse,4.0,2.0,2.02,3.34,3.15
Fotbal,2.nizozemská liga,2024-10-18,den_Haag_FC,Kerkade_Roda,3.0,0.0,1.8,3.59,3.56
Fotbal,2.nizozemská liga,2024-10-18,EW_Eindhoven,Emmen,0.0,3.0,2.77,3.26,2.27
Fotbal,2.nizozemská liga,2024-10-18,Excelsior,Maastricht,3.0,2.0,1.5,4.16,4.78
Fotbal,2.nizozemská liga,2024-10-18,Ajax_Amsterdam_(Am.),Utrecht_(Am.),0.0,0.0,2.01,3.59,2.99
Fotbal,2.nizozemská liga,2024-10-18,Alkmaar_AZ_(Am.),Helmond,2.0,3.0,3.05,3.57,1.99
Fotbal,2.nizozemská liga,2024-10-18,Top_Oss,Telstar,1.0,1.0,3.37,3.57,1.87
Fotbal,2.nizozemská liga,2024-10-18,Graafschap,Eindhoven_(Am.),3.0,1.0,1.33,5.04,5.95
Fotbal,2.nizozemská liga,2024-10-18,Venlo_VVV,Dordrecht,2.0,3.0,3.12,3.78,1.9
Fotbal,2.nizozemská liga,2024-10-21,Cambuur_Leeuwarden,EW_Eindhoven,2.0,0.0,1.57,3.93,4.51
Fotbal,2.nizozemská liga,2024-10-21,Dordrecht,Arnheim_Vitesse,,,2.01,3.64,2.96
Fotbal,2.nizozemská liga,2024-10-21,Emmen,Top_Oss,,,1.41,4.29,5.8
Fotbal,2.nizozemská liga,2024-10-21,Volendam,Den_Bosch,,,1.85,3.72,3.29
Fotbal,2.nizozemská liga,2024-10-21,Helmond,Kerkade_Roda,2.0,1.0,2.06,3.43,2.99
Fotbal,2.nizozemská liga,2024-10-21,Ajax_Amsterdam_(Am.),den_Haag_FC,0.0,0.0,3.96,4.06,1.63
Fotbal,2.nizozemská liga,2024-10-21,Eindhoven_(Am.),Excelsior,1.0,3.0,4.22,4.24,1.57
Fotbal,2.nizozemská liga,2024-10-21,Utrecht_(Am.),Alkmaar_AZ_(Am.),,,2.19,3.53,2.72
Fotbal,2.nizozemská liga,2024-10-22,Volendam,Den_Bosch,3.0,2.0,1.72,3.95,3.59
Fotbal,2.nizozemská liga,2024-10-22,Dordrecht,Arnheim_Vitesse,2.0,2.0,1.68,3.91,3.85
Fotbal,2.nizozemská liga,2024-10-22,Emmen,Top_Oss,2.0,0.0,1.25,5.27,8.41
Fotbal,2.nizozemská liga,2024-10-22,Utrecht_(Am.),Alkmaar_AZ_(Am.),0.0,1.0,2.2,3.48,2.73
Fotbal,2.nizozemská liga,2024-10-25,den_Haag_FC,Graafschap,1.0,2.0,1.81,3.81,3.37
Fotbal,2.nizozemská liga,2024-10-25,Dordrecht,Utrecht_(Am.),3.0,1.0,1.41,4.3,5.66
Fotbal,2.nizozemská liga,2024-10-25,Volendam,EW_Eindhoven,4.0,1.0,1.45,4.3,5.12
Fotbal,2.nizozemská liga,2024-10-25,Kerkade_Roda,Ajax_Amsterdam_(Am.),2.0,1.0,1.39,4.5,5.71
Fotbal,2.nizozemská liga,2024-10-25,Top_Oss,Alkmaar_AZ_(Am.),2.0,1.0,2.26,3.49,2.63
Fotbal,2.nizozemská liga,2024-10-25,Venlo_VVV,Den_Bosch,1.0,2.0,2.76,3.54,2.16
Fotbal,2.nizozemská liga,2024-10-25,Arnheim_Vitesse,Eindhoven_(Am.),1.0,3.0,1.99,3.82,2.9
Fotbal,2.nizozemská liga,2024-10-26,Excelsior,Cambuur_Leeuwarden,0.0,1.0,1.8,3.77,3.44
Fotbal,2.nizozemská liga,2024-10-27,Emmen,Telstar,0.0,1.0,1.83,3.36,3.72
Fotbal,2.nizozemská liga,2024-10-27,Maastricht,Helmond,1.0,2.0,2.68,3.45,2.25
Fotbal,2.nizozemská liga,2024-11-01,Graafschap,Dordrecht,4.0,1.0,1.66,4.04,3.81
Fotbal,2.nizozemská liga,2024-11-01,EW_Eindhoven,den_Haag_FC,0.0,4.0,3.5,3.57,1.83
Fotbal,2.nizozemská liga,2024-11-01,Ajax_Amsterdam_(Am.),Venlo_VVV,0.0,1.0,1.66,3.9,3.95
Fotbal,2.nizozemská liga,2024-11-01,Alkmaar_AZ_(Am.),Cambuur_Leeuwarden,2.0,3.0,3.33,3.73,1.84
Fotbal,2.nizozemská liga,2024-11-02,Arnheim_Vitesse,Top_Oss,0.0,0.0,1.54,3.96,4.64
Fotbal,2.nizozemská liga,2024-11-02,Den_Bosch,Kerkade_Roda,1.0,1.0,2.63,3.36,2.32
Fotbal,2.nizozemská liga,2024-11-03,Telstar,Volendam,2.0,2.0,2.38,3.51,2.48
Fotbal,2.nizozemská liga,2024-11-03,Helmond,Excelsior,0.0,1.0,2.97,3.57,2.02
Fotbal,2.nizozemská liga,2024-11-04,Utrecht_(Am.),Maastricht,4.0,3.0,2.37,3.35,2.58
Fotbal,2.nizozemská liga,2024-11-04,Eindhoven_(Am.),Emmen,2.0,3.0,3.5,3.86,1.76
Fotbal,2.nizozemská liga,2024-11-08,Cambuur_Leeuwarden,Eindhoven_(Am.),1.0,0.0,1.29,5.07,7.03
Fotbal,2.nizozemská liga,2024-11-08,den_Haag_FC,Arnheim_Vitesse,2.0,0.0,1.37,4.56,6.02
Fotbal,2.nizozemská liga,2024-11-08,Excelsior,EW_Eindhoven,2.0,0.0,1.34,4.6,6.46
Fotbal,2.nizozemská liga,2024-11-08,Emmen,Ajax_Amsterdam_(Am.),4.0,2.0,1.57,3.97,4.47
Fotbal,2.nizozemská liga,2024-11-08,Volendam,Utrecht_(Am.),2.0,0.0,1.27,5.22,7.52
Fotbal,2.nizozemská liga,2024-11-08,Maastricht,Graafschap,0.0,0.0,4.0,4.08,1.62
Fotbal,2.nizozemská liga,2024-11-08,Top_Oss,Den_Bosch,1.0,0.0,3.14,3.5,1.97
Fotbal,2.nizozemská liga,2024-11-08,Venlo_VVV,Alkmaar_AZ_(Am.),0.0,1.0,1.9,3.59,3.23
Fotbal,2.nizozemská liga,2024-11-09,Kerkade_Roda,Telstar,1.0,0.0,1.98,3.38,3.21
Fotbal,2.nizozemská liga,2024-11-10,Dordrecht,Helmond,4.0,0.0,1.7,3.85,3.76
Fotbal,2.nizozemská liga,2024-11-15,Telstar,Venlo_VVV,4.0,0.0,1.42,4.32,5.46
Fotbal,2.nizozemská liga,2024-11-17,EW_Eindhoven,Maastricht,1.0,1.0,2.01,3.52,3.03
Fotbal,2.nizozemská liga,2024-11-22,Graafschap,Top_Oss,4.0,0.0,1.27,5.1,7.92
Fotbal,2.nizozemská liga,2024-11-22,Den_Bosch,Excelsior,0.0,3.0,3.27,3.65,1.88
Fotbal,2.nizozemská liga,2024-11-22,Helmond,EW_Eindhoven,3.0,4.0,1.97,3.39,3.21
Fotbal,2.nizozemská liga,2024-11-22,Ajax_Amsterdam_(Am.),Telstar,3.0,0.0,3.08,3.65,1.95
Fotbal,2.nizozemská liga,2024-11-22,Alkmaar_AZ_(Am.),den_Haag_FC,3.0,3.0,3.34,3.81,1.82
Fotbal,2.nizozemská liga,2024-11-22,Eindhoven_(Am.),Volendam,1.0,4.0,4.29,4.59,1.51
Fotbal,2.nizozemská liga,2024-11-22,Utrecht_(Am.),Kerkade_Roda,1.0,3.0,3.86,3.66,1.72
Fotbal,2.nizozemská liga,2024-11-22,Arnheim_Vitesse,Cambuur_Leeuwarden,0.0,6.0,2.96,3.49,2.05
Fotbal,2.nizozemská liga,2024-11-22,Maastricht,Dordrecht,2.0,1.0,2.91,3.81,1.98
Fotbal,2.nizozemská liga,2024-11-22,Venlo_VVV,Emmen,0.0,2.0,3.43,3.51,1.86
Fotbal,2.nizozemská liga,2024-11-25,Dordrecht,Top_Oss,2.0,2.0,1.37,4.55,5.87
Fotbal,2.nizozemská liga,2024-11-25,Emmen,Graafschap,3.0,0.0,2.38,3.44,2.52
Fotbal,2.nizozemská liga,2024-11-25,Volendam,Ajax_Amsterdam_(Am.),3.0,0.0,1.32,5.14,6.08
Fotbal,2.nizozemská liga,2024-11-25,Helmond,den_Haag_FC,2.0,1.0,4.18,3.95,1.62
Fotbal,2.nizozemská liga,2024-11-25,Eindhoven_(Am.),Alkmaar_AZ_(Am.),2.0,1.0,2.85,3.85,2.01
Fotbal,2.nizozemská liga,2024-11-26,Cambuur_Leeuwarden,Den_Bosch,1.0,2.0,1.41,4.39,5.56
Fotbal,2.nizozemská liga,2024-11-26,Utrecht_(Am.),Excelsior,0.0,0.0,4.63,3.98,1.54
Fotbal,2.nizozemská liga,2024-11-26,Kerkade_Roda,Arnheim_Vitesse,3.0,0.0,1.38,4.37,6.06
Fotbal,2.nizozemská liga,2024-11-29,den_Haag_FC,Emmen,2.0,1.0,2.01,3.49,3.05
Fotbal,2.nizozemská liga,2024-11-29,EW_Eindhoven,Eindhoven_(Am.),1.0,0.0,1.83,3.62,3.46
Fotbal,2.nizozemská liga,2024-11-29,Excelsior,Ajax_Amsterdam_(Am.),2.0,0.0,1.28,5.32,7.13
Fotbal,2.nizozemská liga,2024-11-29,Kerkade_Roda,Volendam,1.0,1.0,2.58,3.64,2.24
Fotbal,2.nizozemská liga,2024-11-29,Telstar,Cambuur_Leeuwarden,2.0,2.0,2.85,3.42,2.14
Fotbal,2.nizozemská liga,2024-11-29,Arnheim_Vitesse,Helmond,2.0,1.0,2.43,3.34,2.52
Fotbal,2.nizozemská liga,2024-11-30,Top_Oss,Utrecht_(Am.),1.0,1.0,1.81,3.37,3.77
Fotbal,2.nizozemská liga,2024-12-01,Graafschap,Venlo_VVV,3.0,1.0,1.23,5.68,8.64
Fotbal,2.nizozemská liga,2024-12-01,Den_Bosch,Dordrecht,2.0,3.0,2.17,3.61,2.71
Fotbal,2.nizozemská liga,2024-12-02,Alkmaar_AZ_(Am.),Maastricht,2.0,3.0,2.03,3.73,2.87
Fotbal,2.nizozemská liga,2024-12-06,Dordrecht,Telstar,3.0,2.0,2.19,3.64,2.65
