sport,league,date,home_team,away_team,home_score,away_score,odds_home,odds_draw,odds_away
Fotbal,2.portugalská liga,2024-09-13,Torreense,Portimonense,3.0,2.0,2.83,3.08,2.45
Fotbal,2.portugalská liga,2024-09-14,Felgueiras,Chaves,1.0,2.0,2.04,3.19,3.55
Fotbal,2.portugalská liga,2024-09-14,Viseu,Leiria,0.0,1.0,2.04,3.09,3.7
Fotbal,2.portugalská liga,2024-09-15,Mafra,Tondela,0.0,4.0,2.39,2.98,3.02
Fotbal,2.portugalská liga,2024-09-15,Marítimo,Alverca,1.0,2.0,1.67,3.5,4.95
Fotbal,2.portugalská liga,2024-09-15,Peňafiel,Porto_FC_B,1.0,1.0,2.19,3.36,3.02
Fotbal,2.portugalská liga,2024-09-15,Benfica_Lisabon_B,Oliveirense_UD,2.0,2.0,1.64,3.82,4.68
Fotbal,2.portugalská liga,2024-09-15,Leixoes_DC,Vizela,0.0,1.0,1.97,3.08,3.95
Fotbal,2.portugalská liga,2024-09-16,Feirense,Ferreira,2.0,0.0,2.5,3.05,2.81
Fotbal,2.portugalská liga,2024-09-15,Viseu,Leiria,0.0,1.0,2.04,3.09,3.7
Fotbal,2.portugalská liga,2024-09-15,Felgueiras,Chaves,1.0,2.0,2.04,3.19,3.55
Fotbal,2.portugalská liga,2024-09-28,Chaves,Torreense,2.0,1.0,1.9,3.2,4.09
Fotbal,2.portugalská liga,2024-09-28,Ferreira,Benfica_Lisabon_B,0.0,3.0,2.37,3.15,2.89
Fotbal,2.portugalská liga,2024-09-28,Portimonense,Peňafiel,0.0,2.0,2.12,3.25,3.27
Fotbal,2.portugalská liga,2024-09-28,Tondela,Viseu,4.0,1.0,2.67,2.91,2.73
Fotbal,2.portugalská liga,2024-09-29,Porto_FC_B,Felgueiras,0.0,2.0,2.9,3.25,2.31
Fotbal,2.portugalská liga,2024-09-29,Oliveirense_UD,Feirense,1.0,0.0,2.64,3.16,2.57
Fotbal,2.portugalská liga,2024-09-29,Alverca,Leixoes_DC,1.0,1.0,3.02,2.87,2.46
